t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
878.9449999999999,806.3199999999999,743.505,690.5,647.3050000000001,613.9200000000001,590.345,576.58,572.625,578.48,594.145,619.62,654.905
171486.41070604054,141808.65232255758,113213.70049952908,86258.81883848312,61522.163385136795,39600.64898207934,21095.28899482291,6575.144902695111,-3492.4025797390627,-8860.873988963245,-9692.300815303954,-6833.9816129582605,-2204.7193032842397
286233.05991725164,238697.0255179189,192406.8076341322,148117.09752838296,106731.54020139917,69320.67157602972,37100.16780296718,11345.909766698602,-6782.529762911637,-16538.67953375053,-18026.42563133663,-12775.599023492767,-4413.218073132982
318460.7160394776,269665.418745887,221180.95534315097,173482.34208680093,127416.55191335457,84279.24609967138,45817.15717735108,14103.09907409696,-8775.829068857773,-21261.89437650153,-23097.824969456487,-16225.668675895251,-5575.987515093926
279260.75811988825,242132.5668962212,203878.87823743527,164391.68893269013,124128.94007320277,84287.2417301022,46884.53535510217,14649.752533510156,-9398.44109510255,-22762.58732944262,-24618.248529093053,-17030.922051644153,-5686.754475714471
203029.23763129886,182297.37349371894,159321.5193859385,133414.1881779939,104498.5547120858,73387.53489112842,41998.072980227334,13335.80771128347,-8953.035894837854,-21601.233308533705,-23215.699609550895,-15749.669935920994,-5043.952809924274
124702.43374447325,117908.1736732672,108518.45597738332,95502.37159409147,78315.5712419894,57256.22915618246,33819.8654255533,10835.616391700196,-7910.878846864248,-18784.89422665549,-20012.373385640632,-13283.801249652091,-4054.4302219672795
64909.10925193247,66415.94260605372,65665.0349693037,61575.15142864467,53336.465060246,40786.17624602244,24859.390048989495,7874.935469084718,-6706.741102958193,-15343.39438833571,-16152.638226062838,-10493.315331447435,-3055.810480046464
28286.05020660799,32909.469518769394,35936.73219957971,36445.916316093884,33582.20633067551,26895.962884009106,16815.248996102953,5025.602949644144,-5628.076849212294,-12049.522303103693,-12488.391638701049,-7964.431435340979,-2235.5972410822587
9877.476382655706,14494.17983567102,18158.479327091798,20189.752517988018,19842.500467564212,16572.29960982332,10461.801599537755,2619.6787652542153,-4806.131210868127,-9333.339972433538,-9481.325937729764,-5965.512241816008,-1643.6059487364034
2278.012234868608,5708.925406685894,8646.752195428435,10637.228769418749,11107.593950807714,9553.711039515441,5881.468736055329,766.7895595005161,-4264.145770221269,-7335.4899222596405,-7263.835428907553,-4525.425115163383,-1248.7811798973776
-327.64158037177094,1874.1132740951882,3848.3975089295295,5309.373292020292,5849.901543484472,5062.026009256699,2789.243363111545,-575.382072724309,-3973.907148764793,-6013.965412490533,-5763.212964559044,-3546.8565449756506,-994.1346502543107
