t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
1305.6799999999998,1203.6249999999998,1111.3799999999999,1028.945,956.3199999999999,893.505,840.5,797.3050000000001,763.9200000000001,740.345,726.58,722.625,728.48,744.145,769.62,804.905
955426.6881242597,825115.8059849344,697609.0942225782,574398.2401024806,457080.5349741582,347378.38600325387,247140.09089409746,158310.82630960795,82859.0647415896,22639.858046478188,-20826.77375669593,-46685.85309806934,-55208.47944934608,-48401.570820293724,-30773.36675725765,-10243.801095123037
1307087.4121299018,1147294.8903218838,988099.1512136891,830269.3167458622,675132.6080128364,524726.9649462813,381901.17051487585,250322.00202098585,134335.06123056306,38618.233842858164,-32429.302738186325,-75595.83612932803,-90045.09674363009,-78679.50286085474,-49457.75109796394,-16312.559529416081
1022310.0076528708,926919.3511288487,827355.9755174244,722206.9289453697,610932.9696477678,494225.1603887199,374347.6225952198,255376.46732294,143197.63543569794,45094.74920243569,-31230.362142376536,-79273.498101353,-95857.44816136382,-83359.32372038865,-51287.71066522983,-16229.043485279984
518018.37243117986,500194.51172530436,476296.051652033,443588.84443788446,399892.8417658083,344033.6061092673,276425.8796290679,199677.009317918,118989.1253473241,42042.18986292994,-21977.472247121295,-64388.599379157975,-79868.55780910041,-69367.94009830366,-41734.71370229097,-12543.609088330433
158305.94280130684,176878.2944532067,191311.28999480768,199286.2247849838,198410.59139336913,186552.15187859963,162432.6339012345,126419.85759553488,81305.12761924176,32677.751315685688,-11589.268786536213,-43097.0274570009,-55792.257332789166,-49038.244842502856,-29253.56559745064,-8476.390753706497
17324.54520243982,35146.31331178613,51639.72657092084,65706.0839106841,75853.43242758421,80303.60843217825,77337.95019001658,65909.44622986947,46427.254338374514,21430.663853159203,-4306.244220788805,-24699.757373245466,-34427.1864560808,-31548.38519649696,-19318.777541443837,-5642.281424607405
-267.5198922499592,5628.365639435321,11625.941819813359,17551.390820093136,22969.09098161395,27128.01458797138,28993.368109398292,27436.37314558424,21640.357522026825,11694.373354665711,-834.2070249069941,-12773.74593227759,-20162.05583376467,-20139.42578036947,-13188.144588980269,-4047.745353417168
12619.559902416244,10639.59547558305,8820.788852506965,7319.609765266824,6344.554995996892,6076.019907091896,6491.802747018473,7139.2250953080475,7021.063932781041,4867.589650275709,-41.00763103402056,-6815.493132229318,-12613.230952935257,-14007.986952005815,-9816.796173522851,-3133.3894954206276
19493.498251076806,15260.21386009066,10778.574517048683,6186.880581596579,1923.6944085213488,-1297.9931154119836,-2744.724777273124,-2176.2076042556087,-387.25666709201886,766.9189099448106,-637.5301652949788,-4874.069402960058,-9579.39847455747,-11107.535096443224,-7856.622337152107,-2482.5718236663583
18050.043540813247,14122.861043930927,9638.918838073168,4650.920805137684,-362.32628557100486,-4466.350388295194,-6556.179762368878,-6043.325596650954,-3640.885887236802,-1473.8085061320671,-1844.3050949946214,-5155.74787995196,-8953.574391257109,-9748.145018536437,-6477.08841806088,-1942.154562350217
13641.838859445263,10358.119615315896,6411.749890867822,1826.8209972850418,-2892.4030469303575,-6719.875544248121,-8451.58449176143,-7520.567043491566,-4844.630967883981,-2746.5716935472233,-3355.062862268358,-6489.72798191433,-9338.104998564675,-8960.139012724252,-5343.7889048408415,-1498.0930909948106
9431.194163687798,6439.954310603158,2803.614208415734,-1411.958430450211,-5626.051548502417,-8743.22786304443,-9616.46757424339,-7980.176012228892,-5194.165025638093,-3718.5963941288783,-5106.278151014859,-8219.91287612993,-9962.036230919739,-8304.072771333735,-4376.65682250797,-1168.3317104640978
6067.46444203988,3057.2277325566233,-524.1677023039603,-4518.810763938109,-8222.56266751659,-10478.762216566327,-10316.151899140468,-7968.551242567228,-5333.72612183288,-4822.596994916124,-7079.121795218751,-9957.266393393455,-10425.131100286808,-7621.035245685524,-3584.8591737318584,-965.1378723583784
3198.3632049818416,63.27653808881027,-3530.051405450963,-7303.792022360443,-10421.815582800751,-11722.32302296104,-10547.11495598837,-7746.247033979581,-5652.921609570549,-6282.143822948921,-9148.545703249118,-11379.268428184894,-10510.80724931408,-6890.385235832405,-3005.6600977330254,-893.2611158940022
400.65380051967554,-2747.884411070973,-6202.680533821635,-9569.468459998407,-11934.14610962545,-12254.287905184485,-10318.973181041867,-7556.734890182542,-6394.464110572246,-8048.002088985468,-10965.007096311536,-12145.45373169425,-10127.433532819037,-6185.7705660148,-2691.8530776310727,-953.274150016566
-2373.2635963208554,-5207.3854877490685,-8190.650237575902,-10872.788915116209,-12387.763261578415,-11955.583732589195,-9815.300162621523,-7666.064635532124,-7527.7645609662695,-9649.227284095101,-11934.351207715446,-11971.468710537916,-9353.76770903614,-5670.24195892317,-2702.0320373206223,-1138.2783546151359
-4450.845469213704,-6512.583644558738,-8678.690918188513,-10577.851956973836,-11533.843737429399,-11023.864510032006,-9414.92673912655,-8118.618269347509,-8451.996170312575,-10145.639938647128,-11440.385402853746,-10863.049056420266,-8514.798353382434,-5572.865170033516,-3072.4589621483615,-1422.1839050140538
-4250.467207162287,-5284.305223426984,-6692.140259681801,-8335.532321702594,-9697.565439915928,-10108.285414704553,-9380.423511119165,-8257.47481217054,-7863.697129482903,-8519.315348358588,-9386.63556682851,-9392.446052680756,-8178.835575372743,-6109.446875095897,-3767.531356253044,-1742.1116827073013
220.90573365731385,-350.0638698785027,-2035.4232676503054,-4906.437943827831,-8120.481297468785,-9981.476950611854,-9198.149081648357,-6495.725897247842,-4374.778676561114,-4676.262733212394,-6820.972996382943,-8756.308368307515,-8980.730623865204,-7346.726132857068,-4621.886868267916,-1982.747478230114
9683.778669780848,7645.062731461371,3456.9313827835804,-2676.8123821123804,-8556.307211186595,-10640.847308764447,-7212.364067911914,-1197.1330363608167,1888.2006162478606,-543.7099040791454,-6034.3437281565775,-10366.597921354994,-11278.757915448317,-9059.440418783604,-5304.914277212247,-1978.04635705512
21302.62333072882,14796.842764030414,5568.010992972546,-4868.450879062037,-11907.768209525346,-10639.50305852839,-1663.437437185491,7137.090046353048,7723.978441243737,-36.24286809236861,-9607.153182808117,-15033.084586435725,-14809.482414018683,-10669.646295473125,-5350.747166621422,-1548.9452417853481
27992.045063362846,14604.754498965305,-473.02356633107587,-13290.897858993254,-16963.241531047708,-8000.056518739588,6789.865719769628,14067.406407304265,7368.84477088554,-7068.733302452611,-18704.25681371274,-22229.390172584215,-18588.708063080943,-11350.34538021908,-4285.356065085752,-582.6193141255667
21431.86858741812,1627.2825619898395,-16497.33449613101,-26324.55182096721,-20960.372785090232,-2735.3067330915037,13326.675014200397,12504.332263592156,-4076.20936383261,-22617.88478487553,-31859.108773686054,-30047.341242050603,-21201.29166056893,-10300.777191954941,-1832.626248048035,875.1204709375467
-2251.9606509524665,-24086.70844891247,-39097.13461186977,-39424.98973025524,-22101.31686047452,1485.844137287338,10870.141276736906,-2578.1932737605557,-26591.967886588423,-43304.251496133686,-45386.63888616353,-35994.114108752314,-21368.66923788894,-7089.176453154931,1890.2064609506067,2576.632535737699
-38721.86889043054,-55829.115808811235,-61091.513530021424,-48199.04080036654,-21579.786804217183,-891.6379365382717,-4849.274501886185,-29745.223202311787,-54319.850569521535,-62986.133697974474,-55248.75368238263,-38130.9990669771,-18480.948649381935,-1888.414732299275,6314.135652710166,4133.7859638694745
-77313.64152936063,-83869.29859034794,-75846.46222572525,-51277.17880557582,-22757.91870065635,-13088.47077872754,-31545.47584642058,-61297.0390314421,-78871.67791653,-76139.13066757546,-58981.34893442033,-35820.812175134284,-12805.343731544559,4531.954154189786,10570.85171311619,5173.82935016895
-107149.43218693246,-100916.60568355111,-80774.96814028175,-50471.99226164298,-28286.321872225693,-33327.22822790894,-61558.185250709575,-87945.9143591708,-93994.21705093211,-80361.19379252294,-56422.6813598008,-29726.422964562556,-5305.876459501207,11060.517602639296,13803.460061188114,5501.821603463286
-122426.9287236224,-105112.51879641837,-77557.50279758823,-48690.10378799757,-38116.86964101845,-56095.55795204164,-86622.63527637703,-103763.64121171345,-97983.80244491262,-76558.63585562716,-49128.77620579497,-21260.026372617474,2763.918906561784,16615.177129489508,15475.94987771352,5167.426558388333
-123508.45067113938,-99188.20281735437,-69915.37685958044,-47917.1539529524,-49949.67472365206,-75675.4892265239,-101948.05282556443,-107880.87869102301,-92940.78213337423,-67464.49112061919,-39250.16595057064,-11933.588641022761,10263.08475484099,20457.615398158745,15523.432723430273,4403.948850345901
-114558.56330348525,-87673.15380700199,-61286.872527485924,-48666.82125651647,-61046.438282319505,-88786.80137895113,-107096.7742385324,-102996.98524636868,-82507.44879439221,-55973.2043774782,-28647.91989841473,-2932.003409122024,16410.796172555765,22337.41046754003,14290.97322301489,3496.8340666033346
-100490.47051935928,-74553.9881978395,-53768.0001324859,-50535.49684809136,-69625.9152322851,-94982.11033709443,-104404.19361983819,-92904.84276815358,-69980.37183856382,-44197.489186115985,-18528.47168721655,5027.246445711982,20855.23733064215,22452.212114813017,12331.005926473192,2669.648835777714
-85102.29723201919,-62334.68254481072,-48180.0344463123,-52907.31126779378,-75149.4588557955,-95564.3624508068,-96939.1155581749,-80781.48710423408,-57514.85508055746,-33288.567177947276,-9471.190846527068,11644.868370927688,23615.929793614632,21285.68430464459,10183.675412654162,2037.7052637449437
-70621.50052458693,-52147.77953490098,-44558.91262421713,-55309.00207905787,-77893.85765832986,-92331.22379654013,-87240.45482447502,-68622.66670854355,-46159.665643323664,-23659.1497524008,-1615.5591675109995,16919.603310922106,24964.67821743653,19410.31618363758,8235.528055782934,1623.2123555470494
-58027.63399268019,-44238.364022514936,-42583.88532913885,-57448.97993661573,-78426.14860372407,-86829.93812866711,-76948.31111802046,-57392.2267748566,-36213.65096265718,-15284.395674048494,5149.580830254236,21027.33483759195,25292.452797289072,17327.435670834504,6683.547966560551,1397.0348909431998
-47544.78125721301,-38398.39563212276,-41819.06611753625,-59141.67487561366,-77285.0984912791,-80134.25772843372,-66934.41810001685,-47386.78158151434,-27572.912124335788,-7931.12388216846,11049.289257553406,24220.294781350494,24991.609922102096,15382.596932721837,5575.657920457432,1316.4463841706954
-39017.03450479793,-34233.37379074608,-41817.37311521145,-60242.64305724882,-74873.03724922938,-72896.62128052476,-57562.61964188689,-38547.60214042245,-19960.015559202326,-1295.7558977133945,16332.030406189258,26745.27038962938,24374.125420491157,13758.466947963494,4879.173472649625,1345.9353548227064
-32125.062689563467,-31295.3041833459,-42159.0733535983,-60621.69422767392,-71457.3358786612,-65471.24321585134,-48904.3326259085,-30656.28518413624,-13049.457487127258,4916.35543356958,21203.87824235757,28782.697830275614,23640.221411971015,12520.451412592209,4538.594130048762,1461.7937414517874
-26497.109832366106,-29146.51665389943,-42470.88543113092,-60162.86923600172,-67205.46592096337,-58021.34137859748,-40878.475345850056,-23443.56767390198,-6536.293635585498,10936.472301711761,25778.60412677726,30419.812745945354,22898.380838188023,11677.995260049158,4504.925475834851,1646.3611972937733
-21772.818657397398,-27401.18082101211,-42448.1172170716,-58781.74525897143,-62226.92616053795,-50600.71425799434,-33341.43689594913,-16654.782244294827,-182.67905216133812,16890.43038705521,30055.047802187884,31670.889173947613,22216.288713536982,11227.895088727055,4736.545236944519,1877.8519161453428
-17652.313943127017,-25764.66014344943,-41885.800091521865,-56455.71350027174,-56619.70447794989,-43222.05087985772,-26153.307154224254,-10096.704028094146,6148.177161508381,22779.28022237543,33939.57577893497,32535.623710843054,21664.94446401897,11162.35649436101,5181.962185240046,2120.796011587984
-13934.93001505947,-24066.999940015874,-40709.02387021209,-53256.62471042555,-50516.11896661107,-35915.03630356848,-19227.396575917675,-3667.337736002242,12480.430859230259,28498.84547395034,37310.540869744334,33055.858913155615,21322.676422418135,11446.758480678138,5758.784184741137,2321.82027184652
-10534.706691736315,-22272.70674649656,-38981.32397170301,-49365.03017687261,-44111.090979655346,-28762.516231376652,-12554.369866778756,2641.2353227606905,18746.516939285582,33894.52365583602,40086.15112685194,33323.987826060205,21236.180086306806,11989.40160064334,6342.605486670442,2414.7821137357305
-7461.048385953836,-20452.765240504217,-36874.129031352815,-45047.31866974889,-37655.181190890304,-21901.23234619903,-6192.780595160858,8769.518831854602,24831.34858780321,38817.593914162135,42245.91387979685,33432.73209158641,21370.995748641155,12628.6066605675,6774.935746796647,2336.3635954481015
-4770.875378488936,-18725.923379714368,-34602.52854680582,-40597.64588370974,-31412.353545426595,-15489.184479778889,-233.34893405236983,14631.191995506195,30611.069053866773,43144.47008197236,43793.48337409414,33408.370877333844,21593.338971893834,13150.31846930331,6891.239408046755,2047.8292927717007
-2516.973351230281,-17197.481074711188,-32356.554968245964,-36271.316715812456,-25605.472875447114,-9661.150760555709,5240.63037183902,20143.0859056397,35962.96238525633,46755.70571345335,44704.01427911774,33184.83748600196,21700.26549531146,13330.740234789608,6560.9055534287345,1553.39199780656
-717.608229808938,-15924.40926630939,-30260.09975359775,-32242.145988279543,-20379.40942937806,-4498.314783388935,10175.895392537457,25232.07470637847,40752.48325088188,49512.71861277586,44911.34683806313,32637.793075119742,21479.6844023219,12985.7981613134,5724.605600764204,904.8682995853877
645.629608117086,-14914.669476878726,-28368.29699471409,-28597.553449666535,-15796.026305076091,-23.447691491938997,14550.445109784003,29827.42357926774,44825.31568203857,51269.875862350054,44346.23911653648,31647.794813676246,20766.27792409415,12008.827233101509,4414.517316242967,188.25407090502569
1613.0865495228127,-14146.919261224708,-26689.832632696176,-25360.698258489316,-11853.500075782627,3785.128613614648,18363.41929964334,33855.394328987204,48023.55307565122,51919.97241797317,42988.85269152924,30148.211460426326,19470.731196922545,10386.738339290452,2749.4647974548593,-502.48633151049995
2230.619703176787,-13591.907315905626,-25213.34047880306,-22519.537604649282,-8513.03043856025,6974.363223200413,21625.061866955966,37244.19424450515,50219.59548269475,51439.46954051118,40894.79577063748,28137.64223053831,17580.782487174987,8195.15613316987,906.7018313443045,-1092.333779314621
2539.5888639391374,-13225.430067015952,-23925.326696528773,-20049.13324825802,-5720.6160680025505,9601.259854550366,24351.551273096124,39935.764635881926,51347.6466454242,49904.498467614,38184.137826437596,25664.889610963142,15145.548646380585,5578.875356816831,-919.7529208320373,-1541.4876840494658
2574.1519749708236,-13031.77432619035,-22817.284133249857,-17923.44282831763,-3419.926051385788,11724.163011839299,26563.934303172064,41896.94106019198,51417.742595227195,47473.124020868956,35008.679717801686,22804.586421084296,12255.519904265875,2724.900883944713,-2560.726209696123,-1846.685669250739
2363.4381226987284,-13000.722252175003,-21884.861220676445,-16118.579268837495,-1557.5533722666187,13399.154025023961,28288.40894157787,43124.51288939798,50509.061038619235,44347.47191853962,31517.746512057987,19636.711910449612,9025.640749824583,-166.1870407200555,-3901.6009183168167,-2031.0476846186298
1935.321369290379,-13122.214335119686,-21123.438832386357,-14611.446164364112,-83.83485167501985,14678.942639365698,29555.539600145683,43642.623606385474,48748.58960071577,40733.7129696209,27835.207505924987,16235.27277636868,5583.887492768192,-2906.536855083656,-4893.862221097734,-2129.69703078043
1319.465805065344,-13381.864416067705,-20523.820890392686,-13377.26139455928,1047.974847334543,15612.484738899273,30398.019082403924,43495.228633992614,46285.782617535886,36813.31368111255,24051.32961272854,12666.111198278119,2064.5560886318754,-5342.272965306708,-5549.091388103854,-2177.383414295039
549.4055764318217,-13758.275013875502,-20069.605577067457,-12387.613107507257,1883.057798323924,16245.313337310312,30848.79278120827,42738.69124670045,43272.673028656114,32730.59770922994,20226.758781246303,8991.121949728098,-1396.2683997663792,-7367.966555989965,-5921.251946311285,-2200.898976771355
-335.5733884903005,-14221.64326253795,-19736.089783279887,-11609.13076922259,2466.9350910422745,16621.25619788942,30941.477791953163,41438.14397801999,39853.36419690303,28594.015609839298,16403.06059177018,5274.983220082979,-4666.204105296267,-8933.442891779194,-6084.859894280601,-2216.0180898119106
-1289.1287611552905,-14733.779986245781,-19490.680299312553,-11002.893450250445,2847.5317363682225,16785.190378874435,30713.033938004388,39667.619418397124,36161.227287036614,24484.73960981341,12614.163189913246,1590.2789992892733,-7625.432595256603,-10042.577805183659,-6115.124566673389,-2227.327566422842
-2259.1154489321975,-15250.908412175664,-19295.660527799773,-10525.510693482314,3076.0026922886072,16785.07262704869,30206.60654086587,37511.22030586931,32319.45779116654,20466.17452911118,8894.38076104983,-1982.3639722390035,-10178.947326086205,-10744.094673090152,-6073.239167371405,-2229.468328969718
-3193.3143181624996,-15730.34972050072,-19113.942344363782,-10132.832715015868,3204.719986956952,16671.09940697971,29471.808080276027,35061.94546592261,28440.73290624195,16589.89447232553,5280.655443736763,-5360.357265659054,-12268.676386592731,-11115.162961486654,-5997.619359063597,-2209.145299532075
-4049.2927049665805,-16140.01131744953,-18916.711958572192,-9785.959426621474,3282.005887892693,16490.987828393678,28560.765160167422,32416.09987401459,24623.65531121776,12896.399982648723,1809.347239882045,-8469.1416856209,-13879.328436480026,-11240.419009286828,-5900.804338946815,-2147.993248359404
-4804.624458322575,-16466.731238035245,-18689.744237016057,-9457.270442707968,3345.407563769583,16282.813969134722,27520.87912077558,29664.16608840008,20946.83504642526,9412.474111404015,-1489.0138254181113,-11250.54307252304,-15032.967841759628,-11191.416707543238,-5771.507922323764,-2026.5724697589494
-5461.43294743981,-16718.25017516232,-18434.413444404043,-9133.010214416507,3417.2223175722834,16069.312666866774,26388.144835272935,26882.10990122407,17464.262595642944,6149.3477548212595,-4591.972816764947,-13664.102439730399,-15773.16358667383,-11012.634853398185,-5581.1077275782845,-1829.3463295570546
-6040.925126622211,-16916.01413842302,-18161.597899772445,-8810.11803404774,3505.615306313546,15857.71068936833,25185.460851530457,24127.6786160895,14205.766724934676,3105.398451657155,-7481.292394448127,-15680.92578688395,-16146.414938935706,-10718.227531290588,-5293.262821462566,-1549.7154864350862
-6569.640963887271,-17081.757080549316,-17881.22546584298,-8488.595656840787,3611.270557928677,15645.830431842181,23927.208246772978,21443.12910339563,11183.19111991009,273.4941993466454,-10134.908565195678,-17275.924645710136,-16190.32374753267,-10299.082872104298,-4874.57798139014,-1193.535012383444
-7065.257274295895,-17225.586566354927,-17593.67073581921,-8164.135606312993,3735.4079232213417,15430.588158520672,22626.671136607943,18861.327382062278,8398.907422969534,-2350.8614713548104,-12520.648100750934,-18425.81685745937,-15932.464146251634,-9735.33853708269,-4303.884344134849,-779.5638804549814
-7529.983109787842,-17342.190231893448,-17287.903503189784,-7825.506500697098,3884.131593376439,15213.447689647532,21301.016524325405,16410.397046917536,5852.088284752477,-4765.022287540112,-14596.576682850804,-19114.776141644285,-15396.07811741796,-9008.286183687373,-3578.2007173862185,-336.2395377728361
-7952.976081922598,-17415.094506454192,-16945.7747183571,-7457.000255883737,4067.671479505879,15000.653871673243,19971.451290999034,14114.658579851432,3540.9168041929856,-6959.385951718125,-16317.477148671984,-19342.631573576647,-14605.66221330848,-8107.9249358298175,-2714.579597368043,104.3398296427161
-8316.246374796561,-17423.077003522892,-16547.387335700794,-7042.171025130259,4297.537450211929,14800.801015354165,18660.710479082994,11993.585858259225,1462.6155558486,-8919.654156964856,-17642.898529881997,-19129.164034193873,-13588.663899798361,-7035.905338699344,-1748.1505779269773,513.1556067929666
-8598.226789853883,-17343.611753220674,-16073.533788286139,-6565.355760386878,4585.216931124977,14623.471510200263,17391.37328896311,10061.627370714981,-386.08436409393,-10628.499710173543,-18543.272670893133,-18512.57090984962,-12374.166981532528,-5805.650955012551,-727.2482548895753,869.4747816273963
