t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
1639.2199999999998,1517.5449999999998,1405.6799999999998,1303.6249999999998,1211.3799999999999,1128.945,1056.32,993.505,940.5,897.3050000000001,863.9200000000001,840.345,826.58,822.625,828.48,844.145,869.62,904.905
2472978.1917328374,2180950.572298148,1893193.0247019075,1612049.9895792068,1340111.929452309,1080275.5813509568,835779.3216398595,610199.9309361153,407392.6739621372,231352.20099362702,85968.0466039009,-25353.54830419643,-100228.81174628984,-138018.35802256173,-140741.57311932815,-114172.91066422501,-69079.50797464064,-22519.091051445794
2730161.2034207117,2466537.1088667586,2199783.1231914423,1929131.0320557142,1654790.238267149,1378281.5064439669,1102741.1311845325,833144.0099213356,576368.905197152,341006.8446588493,136802.38913921858,-26371.137582796797,-140053.98355279615,-199215.79294968516,-204551.71548521743,-164672.45435101778,-97597.77769302415,-30810.533105466176
1410561.594971507,1348816.653645087,1277361.2673716487,1191836.898921734,1088654.3009894427,965497.4928506215,821968.6813594649,660305.8153243297,486023.646108061,308240.18808609305,139381.61575190435,-6043.6899458994985,-113789.61550332331,-173230.56259327906,-181166.8109255227,-144973.70563868474,-83597.5780033689,-24965.932741310357
313285.1896745137,355853.8300815651,392224.33461128495,418882.03972999624,432033.5420489844,427875.7627850984,403162.299771488,356076.6205654039,287315.96057969466,201132.5949476374,105905.43812719865,13707.760540853391,-61579.87161641303,-107671.66947090355,-118141.10486399673,-96058.05505478547,-55000.82640145967,-15839.51443938563
-2946.9670646759964,25075.601867500285,52487.63602581531,78471.68522876999,101652.80544258624,120035.05163938153,131104.13070610748,132181.78859620795,121088.89292538194,97081.2319281778,61855.70038050814,20219.099080893295,-20131.601218924512,-50189.59203884239,-62600.63182031691,-55209.72897037167,-33512.39415336248,-10015.908346753422
33816.61893525033,30119.947404673843,26890.571075867756,24437.40586794085,23114.74143239998,23236.58100130323,24891.592981949972,27663.923513633683,30350.129912941993,30886.58630880249,26787.47021654919,16289.128715446232,-38.90906804738006,-18147.073142659483,-31205.5692271787,-32955.02621067743,-22534.336209718236,-7263.133298938262
72595.51953773695,61540.866619195185,49510.81583552446,36457.18168457713,22903.480990490152,10092.304349178668,-94.95133744376551,-5640.932688689938,-5383.556569036289,-196.33480484192387,6430.57816633368,9383.55593140732,4777.696971204633,-6699.0888797424195,-18816.688314703846,-23416.10649583526,-17132.50588847975,-5592.311085795257
60941.487028024014,54970.223675782065,47039.22974537906,36564.73441393029,23628.900694533186,9349.838160177418,-3951.434285938846,-13163.214418232224,-15642.910741639404,-11049.05512658457,-2617.1245062859507,3680.6032913847653,2652.1395481289273,-5842.817662234433,-15749.23433260337,-19172.900358831586,-13449.427188774764,-4137.197330530386
37324.71553397417,35904.90815258201,32426.63331155486,26099.817013779786,16703.675017985253,5062.450607607023,-6635.670856516856,-15162.083214080698,-17595.37770258888,-13375.83105414842,-5667.037182134211,-227.97312715743527,-1516.612436750829,-8714.889517150821,-15760.28773047042,-16463.96723075348,-10312.1930362596,-2886.135123048684
21078.308447200296,21346.899280938036,19742.47398363166,15483.248366794698,8299.362992514669,-1055.7698918368594,-10468.186740817495,-16859.018815389227,-17685.189102031352,-13006.702229559112,-6412.034360805423,-3124.690924909884,-5897.402541039371,-12231.823793467003,-16269.991840409915,-14185.976957416317,-7690.809248804555,-1946.2777626304612
12326.266960778526,12803.23690453754,11520.639487263481,7754.696651560845,1332.0601560754285,-6835.031012436889,-14486.440129961178,-18656.630921306296,-17461.215330995154,-12053.79983692248,-6704.870372832186,-5855.422072392964,-10126.817773983503,-15388.77464043679,-16503.11586627095,-12149.208729312146,-5661.22503263869,-1332.4246188917057
7500.5471525976345,7665.017019895476,6081.516401402796,2092.077732446735,-4296.317358431745,-11859.678663754858,-18057.627703933587,-20073.41009461023,-16935.628241595095,-11123.749502267698,-7425.819468406322,-8998.394880928668,-14174.423453941738,-17811.760664527937,-16201.577288830904,-10318.080355682809,-4225.5845731986155,-1018.3815718969516
4230.632512963934,3804.6811080692883,1644.196257128841,-2797.1452684619653,-9251.582117830178,-16122.542471803807,-20666.7191746879,-20508.218268597433,-15912.027692008804,-10581.614715365426,-9102.993861453591,-12668.800510533609,-17646.925471802195,-19048.162327902075,-15214.52226075671,-8741.50865514736,-3406.8723597036005,-988.2453156619083
920.7510756661122,-173.95904581712296,-2840.5641750207337,-7433.234497147376,-13401.410977717687,-18923.218324686633,-21444.24835804489,-19498.561925013462,-14626.659071234455,-10959.459290796633,-11745.739355811404,-16027.977044595367,-19456.284567646235,-18554.91523218723,-13634.534222592318,-7669.168067527661,-3298.017285978055,-1236.5928785904891
