t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
1178.1499999999996,1125.1449999999998,1077.0449999999996,1033.85,995.5599999999998,962.1749999999998,933.6949999999998,910.1199999999999,891.4499999999999,877.685,868.825,864.87,865.82,871.675,882.435,898.1,918.67,944.145,974.525,1009.81
3835757.924982506,3456414.6519238017,3079630.7737489254,2706965.950795221,2340312.1981631424,1981991.588154055,1634838.3877275365,1302256.4127374408,988239.1486599637,697336.8031882463,434551.3629638128,205138.5565880535,14295.22002559084,-133287.03717175013,-234014.5591202635,-286131.8121363602,-290592.08198730723,-252016.8913200381,-179670.71777732868,-88340.79502622085
2620005.546734594,2466368.7472156486,2304620.493217064,2131196.3119553393,1943186.8027587475,1738649.0949903838,1516974.000140399,1279289.9292703625,1028860.2050372706,771401.4606157301,515221.24203232146,271049.8747964363,51435.90684964169,-130400.39513766696,-262291.14554424054,-335334.6062400056,-346336.4671615771,-300015.0244048686,-210328.06572514406,-100200.2704297348
304226.1049381847,368620.6466336715,427431.64783677744,477481.15024796315,515241.9965787778,536914.4309012336,538675.7349258802,517139.3467505275,470031.4165878628,397039.0947202122,300704.68613638665,187143.02477631703,66272.77996346579,-48778.57911507396,-143354.68131051632,-204051.4094093858,-222210.14359273217,-197245.89620401277,-138548.7412800873,-64678.22805952498
-96185.37415418854,-79872.74097611457,-62418.50028713359,-43467.15438412298,-22951.204221555112,-1228.9748393263094,20769.225958498257,41423.271007888055,58398.001005417806,68799.99472417022,69611.45603897577,58457.76690749195,34656.61430044901,310.65454284757595,-39017.44865992,-74656.58595070343,-96710.4692592382,-97459.5692518696,-75343.40807046654,-37599.38928745861
107273.09715817301,86479.17513785146,64717.75126069664,41914.44438492703,18513.75666794544,-4356.019351493902,-24819.347727604047,-40412.885337870204,-48593.19055903885,-47636.37113400849,-37769.316095932656,-22072.45308930059,-6445.6826454392085,1998.517354904936,-1899.0727767157337,-17817.59907507641,-38361.674801101,-51588.150350456846,-47706.84599729286,-26474.891449676663
72872.63634784224,72448.98474278559,69192.62433604531,61797.91665976415,49292.777713516596,31430.090647230012,9184.222010072726,-14840.23545599399,-36424.88428443216,-50557.71666667701,-53210.81006001524,-43644.34955028111,-26037.118162261377,-8864.412796000652,-1198.404080696011,-7192.010101189337,-22299.71232222907,-35021.00023516889,-34571.09421453256,-19492.619874104454
-4945.5704817780415,4700.019359329771,12748.003885373508,18126.506613201243,19624.08327410458,16164.746717402399,7321.9421436607645,-6032.727080029741,-21262.37800727396,-34175.41760157051,-40326.2109358536,-37254.378089698665,-26568.658724967994,-14130.272657838817,-7208.632796967015,-9664.708757355185,-18583.66316635241,-25773.47861151219,-23971.957453039988,-12960.871374032693
-21317.79752857435,-15148.799664940545,-9499.843288180824,-4889.163978636385,-2043.1971731405006,-1766.255905205553,-4620.5476780404015,-10453.870607606037,-17981.976226311774,-24800.76542480483,-28170.75379576724,-26490.674035985445,-20658.388142867636,-14089.62721860909,-10765.930493149719,-12311.115343510497,-16444.825327554623,-18539.04815708013,-15363.633011580563,-7819.949245677609
-15731.225254170542,-12696.443288600107,-10036.059453393907,-8087.632619578593,-7284.363389094334,-8034.48032705122,-10484.086221737442,-14234.612737241172,-18206.14880469281,-20889.325526179924,-21063.648938098166,-18657.29955995556,-15065.636287429586,-12408.061233955128,-12026.269272347201,-13379.671546623491,-14397.380505622832,-13124.99169593692,-9274.133099975983,-4347.040009708873
-11998.031069704452,-9503.839474641163,-7532.068238699502,-6474.216322886566,-6749.732281346121,-8609.401727682547,-11840.67381551523,-15547.055330451058,-18288.307957523935,-18759.045535120804,-16736.93100929762,-13529.431228882166,-11239.324253951407,-11151.560563645075,-12610.750352164918,-13562.460075542795,-12346.498272530029,-9035.077796406153,-5133.752336860473,-2160.6313280030577
-9962.382786685539,-7381.401813856414,-5491.18714782687,-4781.075416859622,-5716.523020537873,-8434.886943972226,-12360.203035335771,-16058.405843072691,-17737.916761690034,-16417.812839932372,-12977.233651118107,-9881.990389151495,-9309.198822844499,-11180.727571432533,-13161.32303491785,-12806.164528361585,-9704.150197376006,-5544.941372579315,-2377.1750480553883,-990.4226637062521
-5895.747510973185,-4126.662337737405,-3228.417391423561,-3697.693049071994,-5848.742883824858,-9435.689173794013,-13341.242812205799,-15787.709379039707,-15360.838805169711,-12333.110335312369,-8946.089284585283,-7796.367844327313,-9473.371047052322,-11909.848179681367,-12342.287597333108,-9846.51100035045,-5859.476712680586,-2542.3610739008273,-984.2748721847579,-790.3740219674087
748.1984010014507,-164.65953712242953,-1876.7496385691952,-4549.282779043667,-7888.558998180239,-10968.897824374844,-12465.211339284637,-11508.417024215427,-8706.23638433455,-6176.1386176076085,-5944.997756694287,-7953.455614496971,-9938.133588511697,-9620.962935907075,-6853.321763040971,-3455.0480777907355,-1298.3449574218316,-858.1786675487535,-1320.481665736687,-1563.9874289139693
4424.936082771888,-280.31882982321747,-4636.14398192121,-7884.045701292607,-8930.138836790393,-7007.50960533914,-2743.7373419098753,1342.4482067789588,2171.670737680885,-1080.264774883746,-5506.317477729884,-6772.5428952347265,-3339.304223903889,2095.670426293066,5438.76724541376,4844.9133429347685,1554.0897941513258,-1886.345867843459,-3593.5199438900527,-3083.5468077201185
-5080.09494038129,-9188.18987132469,-10086.81586259344,-6199.777922946526,2696.770124448773,13848.251358582724,21414.35254522403,19949.260030283047,10037.473594748555,-76.0909932297173,-1082.8548021629915,8231.376923574793,19791.462134694008,24348.829173455906,19315.906134701905,8930.811959683004,-808.4674067434242,-6276.733092130563,-6997.46316428018,-4495.250195372707
-26501.681729440457,-17044.70943159557,-1918.6482493009546,18714.730218356,39986.08746849226,52418.313841094605,47610.97927322219,27695.399199913893,8296.802029536113,6692.653080479282,24622.34091244381,46027.07158988597,53115.57670746458,41651.173644235736,20539.690884126856,1314.4026537541522,-9677.34963964641,-12084.48522825596,-8886.483721889641,-4027.224614947928
