t1,t2,t3,t4,t5,t6,t7,t8,t9
314.87,315.82000000000005,321.675,332.435,348.1,368.67,394.145,424.525,459.81
7838.709354599883,5971.140693082352,4234.754768731189,2693.966096934081,1413.9132138725865,458.3382229505312,-116.63917720009732,-276.4884418992013,-35.24568334037525
14451.193642017555,10979.997695237536,7730.349393449755,4820.171296763828,2375.905283017369,528.2447455339204,-602.3739969880755,-937.7899458410193,-500.79781086742753
19429.545544167286,14825.70506216289,10472.495437097465,6521.756095333562,3153.2152703520856,568.5707536298971,-1034.3205020742328,-1518.3877886574544,-905.9571629807774
22361.695247227894,17202.310940870837,12253.287403422462,7676.052084789305,3691.2703566104688,573.0128476297455,-1390.689119171471,-1987.2834642365704,-1227.892189077906
23193.67773343454,18049.52066041549,13016.217787196145,8240.379906745506,3967.4435743638824,539.3173214554172,-1658.837268001842,-2326.502216197308,-1454.121073185779
22190.51395513976,17530.414726155985,12845.978756151939,8248.800544309703,3990.6135286690783,469.20669668743597,-1835.804144309882,-2531.8736753244025,-1582.9398324740318
19832.893989739765,15965.437454017012,11931.655190991807,7795.118445431027,3795.453755302895,367.77030602629395,-1927.2789665545342,-2611.673435862681,-1622.1197439078942
16687.18877974511,13746.344673044463,10516.316826546967,7008.036134188172,3433.3814883066098,242.4737623914475,-1945.4307355444687,-2583.670701559289,-1586.3693107988706
13286.581270066987,11254.740703847172,8847.126958341023,6025.215754693626,2962.5188402269014,101.98713069243098,-1906.198816165204,-2471.364556299918,-1494.2387701890673
10049.33733173927,8803.023884636877,7136.828555456627,4971.823358293626,2438.7638049935035,-44.96537201705485,-1826.6348306899808,-2300.2024204287745,-1365.1289058966574
7243.348622890531,6605.093585671462,5541.893279018434,3946.72704052141,1909.3492770271264,-190.5655314582633,-1722.7378678522525,-2094.40246945936,-1216.8959323382987
4991.157499273708,4774.452447575412,4157.080617938705,3016.913811979383,1409.3945960944711,-328.56203678173955,-1608.0104802672217,-1874.73403340935,-1064.3017353027199
3301.0544463937817,3341.254027780603,3022.3399457943083,2218.6941459860045,961.2018325319307,-454.59185686261884,-1492.7565062797892,-1657.3380286351385,-918.3256268140107
2108.2355715501203,2278.1200173138536,2136.4902893362805,1563.253272255812,575.5795243770646,-566.1842121754587,-1383.9939436403986,-1453.4602398345753,-786.1860460419572
1313.4474910619838,1526.184472374074,1472.5720792933612,1044.0338998008835,254.32002581627034,-662.5136513025909,-1285.7851309316104,-1269.8532251790812,-671.8388899524087
812.0756118023368,1016.0759122878443,991.3330772791234,643.9825938949484,-6.954332435833521,-743.9902402898527,-1199.783367676179,-1109.5733998443175,-576.7138293442858
511.7700320492679,681.842281515714,651.1229267979912,341.4836238572092,-216.13664686532022,-811.7753384114711,-1125.8359857512896,-972.9334110409832,-500.494764321223
340.1309014332883,468.2193910480539,413.94158748333115,114.54211133163392,-382.4776795406175,-867.2974965672865,-1062.5425915818957,-858.435157791042,-441.81627354112607
245.48573216666068,332.8825799818566,248.2807575592959,-56.696343196657125,-515.0159987983919,-911.8231073601717,-1007.7234460184698,-763.5793096792578,-398.8116886975343
193.8572840231948,245.60557123803392,129.74789528893822,-188.72287799386942,-621.5463076836945,-946.11799260125,-958.7952801618115,-685.5061398008218,-369.49741982375576
164.51870154653,185.961528451655,40.4374503419604,-294.2940531197103,-708.0106512413091,-970.2237137010799,-913.0765992425705,-621.4628578489189,-352.0085808545723
145.62794315932618,140.6949518553787,-32.19953686781312,-382.5155150568896,-778.191152288701,-983.3670476272737,-868.0530166096335,-569.1145567564503,-344.7150215851659
130.661608859165,101.40440568851005,-96.49665055398592,-459.09370499189623,-833.6149843590729,-984.0204636539293,-821.6288899468373,-526.723484013056,-346.24944386622826
