t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
756.3199999999999,693.505,640.5,597.305,563.92,540.345,526.5799999999999,522.625,528.48,544.145,569.62,604.905
-132205.8307907959,-96.28866402704465,-10604.44090285473,-16029.9589352439,-17389.636425418317,-15752.120457373127,-12210.170830447174,-7844.580534137748,-3666.228252782257,-519.3198295570833,1074.1581586293387,1150.7395682577867
-220094.24828780518,-2085.7700388391413,-19238.744379784886,-28587.928425952578,-31236.26425694409,-28651.652920355475,-22551.02645885294,-14788.733209994944,-7211.893989673308,-1437.7583695608505,1490.6959889631917,1600.029686609314
-242617.5240137942,-4818.1061492197,-23420.385040032514,-34607.49145126155,-38477.64276173267,-36024.43281555652,-28924.33092141486,-19333.791694126943,-9641.78033902459,-2096.6157076746213,1764.1067286582495,1891.3298629539981
-210415.6580258825,-6668.149037510334,-22806.007862175866,-34052.327135237465,-39009.498427615355,-37635.739233127235,-31038.708124155644,-21231.86436560256,-10815.007729789184,-2464.83498803626,1865.0138632353776,1999.7301169622062
-151569.10195799306,-6375.122157898439,-18509.887510497734,-28799.18418063233,-34599.908956515275,-34784.41865082461,-29680.232938337635,-20873.19647574031,-10884.83824629685,-2584.768738352903,1793.8372647434223,1937.475436805823
-92853.95031924172,-4023.3498368470227,-12443.076552336473,-21432.379522794206,-27723.051294817524,-29419.663437985084,-26152.55462644138,-18988.46953479296,-10171.653521872382,-2536.0512936057744,1578.5945189040228,1744.099677402166
-49055.60822475642,-730.3807056379094,-6449.964759830793,-14156.627226078608,-20527.81972309138,-23326.987087915735,-21729.53400922747,-16339.203447832366,-9024.61253095246,-2398.355204735978,1266.3402321789276,1471.419080956808
-22871.876474020417,2281.4924839713744,-1717.7746504576048,-8275.617550998013,-14346.923521705827,-17706.0641215827,-17341.05982656561,-13523.172762738033,-7729.8216892685705,-2229.5170907981374,910.8524071389517,1169.316853010128
-10245.634928868914,4321.048818490337,1346.628226707282,-4213.240804465436,-9703.766295633195,-13129.384635783834,-13505.714923132442,-10913.964698538519,-6476.965750788913,-2061.020251089314,560.859811683419,876.3507131610578
-5586.412885930642,5295.256850188723,2898.1560813104957,-1813.925247553696,-6568.778864181003,-9707.450378147256,-10411.632153737417,-8688.941820474585,-5366.569807588634,-1903.8492318096098,252.40336688052372,616.3316260587205
-4544.219668227065,5451.530024349017,3338.6162436800428,-670.1784059781676,-4643.654028504062,-7295.56405609565,-8041.55012125822,-6890.67783555303,-4434.163232353713,-1756.7972928303707,6.573876914108581,399.65368281075166
