t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
1255.6799999999998,1103.6249999999998,961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-999280.3152161648,-866386.0227729494,-736224.1750553565,-610262.8013593614,-490078.88694170915,-377379.75502522173,-274006.29560995474,-181907.06366719803,-103068.46686496177,-39382.38719529416,7570.7576276239615,36847.43302234072,48598.15173284554,44674.964899417806,29397.502842445516,10468.086654707484
-1355497.9149442234,-1195725.0056041572,-1036258.7493327917,-877735.3785366468,-721355.1633641635,-569041.9438790599,-423553.94586542825,-288505.619774866,-168246.57608607892,-67534.79222240887,9056.357933640917,58035.77059133865,78185.3539445679,71947.77679134131,46797.50790655975,16244.829687883903
-1039858.1467242279,-949892.3107032801,-855367.9292613785,-754657.6474258542,-646979.3441093748,-532758.8583699865,-413992.8203775545,-294524.36051430047,-180094.41697933513,-77994.56254863087,3848.731716599713,58448.874907751,81898.33462773271,75684.66974543387,48450.34285190116,16201.190229335592
-507362.0079831895,-496924.0895255459,-480304.9349246096,-454641.58808930946,-417531.216556951,-367469.7371264071,-304446.1049979384,-230591.79070539022,-150672.77821818393,-72103.51192394849,-4124.414098512476,44091.56458381215,66275.70136888511,62130.42878185444,39298.541359432376,12662.279243676132
-144040.24487652126,-167132.16856818215,-186367.10885098457,-199486.65078158444,-204042.36521268525,-197687.91225756943,-178746.2320626966,-147014.1096287052,-104617.7013168579,-56546.96235643777,-10367.408880734343,25311.874979176715,43600.834510171524,42533.97615962566,27141.546917839773,8635.523348574721
-16198.364365844593,-34512.749817355296,-51867.47194204912,-67331.96203450143,-79528.37964271814,-86688.18668713963,-86935.2925880675,-78845.69103128226,-62228.499613553904,-38891.512467505854,-12958.714890693347,9754.238028703048,23544.86513304959,25405.162178647635,17177.130281869428,5697.707935730465
-11562.691749734979,-16100.768276815694,-20843.093121372436,-25721.896799863895,-30449.119346318723,-34447.2015924391,-36829.453036923034,-36496.27561060989,-32423.74203305724,-24176.78041873411,-12537.853189546673,91.12924209177481,10045.025426676608,13896.419790917998,10756.413786659727,3930.7275212138325
-29155.021160060616,-26467.22661145386,-23686.491727285756,-20902.720174906375,-18347.45431734934,-16368.550261970968,-15282.764265507332,-15086.472537316224,-15140.113061603532,-14130.23387217221,-10657.704107667087,-4430.701116544178,2733.4797537402615,7401.516798568733,7028.028139174768,2845.0407042031243
-33958.28532825058,-30757.787449406587,-26846.901341658777,-22120.06140148307,-16827.01296012994,-11680.164203240296,-7755.892219457954,-6033.223325833499,-6632.891228955671,-8246.54975474838,-8521.502192254948,-5693.004667011563,-438.2792419915836,4058.270517254019,4753.513683633273,2043.942580518247
-28003.235863938164,-26693.048618701527,-24363.87613090488,-20704.324083263626,-15783.456524402505,-10277.275591451762,-5487.614428298764,-2880.1330735518145,-3123.5484153722864,-5210.195098093654,-6675.879138177104,-5357.891487439528,-1474.6328916154605,2241.7253267616707,3110.9631234328726,1363.8580245516482
-19566.105998357092,-19886.103483143474,-19225.367133469073,-17184.32020875774,-13663.654090343067,-9147.216097493445,-4816.8123513186865,-2168.842771640912,-2061.5980600558632,-3788.448727010902,-5237.832134126725,-4519.50048578662,-1759.0367916999212,957.7657292765077,1729.3733564227934,776.6317469607303
-12761.19748121143,-13875.979841940241,-14231.350661103319,-13442.031100655377,-11310.460906818103,-8105.073054909159,-4725.420125231406,-2430.6337177935757,-2040.2989532911306,-3139.00847890542,-4198.424375912851,-3842.0515347680994,-2107.0773777098675,-286.2115217194489,491.5318232605155,292.1306567426691
-8127.858194923399,-9533.175887551532,-10457.71980462449,-10574.740925245143,-9619.617721735218,-7629.681631736582,-5150.409177921928,-3128.4685321363722,-2356.774707855399,-2822.966283771955,-3642.7058471170894,-3797.8025964247036,-2981.4137893542425,-1691.9475275628588,-617.5187541192645,-81.65344265176483
-4976.4417188107245,-6648.627887498994,-8122.084181273656,-9109.18304315425,-9225.095670421391,-8201.76975854892,-6209.82466566451,-4020.8767847751333,-2687.345923099041,-2792.698518232937,-3899.585407408879,-4835.454213852193,-4643.740425662729,-3299.6580549344026,-1576.4247641563204,-345.1361366931281
-2756.0637591285563,-5094.685989075071,-7480.2856426312,-9566.500438460056,-10690.868723960502,-10160.78906461174,-7883.193987588852,-4897.7790557872595,-3027.50504092417,-3482.214064196371,-5626.5577611055505,-7407.711119491585,-7184.513605192996,-5034.2444323741865,-2349.058155845,-506.60797981308855
-1695.033353578793,-5433.581958881339,-9323.92146927815,-12754.541124092482,-14545.809933614244,-13551.184762200994,-9872.434030095488,-5644.314358245771,-3916.632491485896,-5946.738082175708,-9731.234483415328,-11813.39337671969,-10455.587519166736,-6718.286071642645,-2899.7381017745206,-585.3311554526892
-3218.8775484017706,-9192.012554154422,-15047.771071165282,-19592.60969489249,-20946.151612676786,-17866.96362204689,-11698.116760583758,-6670.058761094446,-6793.62589577981,-11774.697656190829,-16961.610596948027,-17870.114794321365,-13986.696912504218,-8103.091347655798,-3218.9244522143445,-618.9863139300635
-10040.849281435181,-18604.302192643434,-26065.802702191184,-30342.04732625461,-29053.371723212407,-21980.483835279738,-13254.83099898704,-9545.119686451713,-13981.91076714951,-22361.472511702344,-27125.41065680538,-24581.378355380435,-17002.71106521938,-8947.884238646708,-3357.9735769608387,-671.2634820298498
-25233.940757185122,-35332.06659755735,-42387.53542471721,-43450.78782616397,-36661.84868579957,-24736.94450064518,-15736.40432602741,-17111.456072563375,-27571.771957998062,-37438.372881938725,-38306.88189956071,-30115.99192219883,-18633.67501512576,-9138.98554086039,-3457.281159747116,-831.6714427117802
-49746.222669356066,-58161.065135531404,-60905.62576518114,-54948.435143344104,-40901.61545303946,-26244.65391491306,-21978.618311180177,-31983.056550886216,-47075.54452108767,-53660.00002672162,-46864.72408674177,-32367.154575688382,-18290.9613359639,-8796.47621148043,-3742.7894969762356,-1197.7099936432758
-79308.90559705795,-81116.83195420637,-75047.49518341172,-59672.060965327764,-40180.93701080642,-28705.601298812417,-34809.93581407856,-53396.59720855115,-67386.36829402235,-64854.852978360635,-48798.65541539947,-29973.55670393528,-16022.90025180481,-8293.20275079064,-4468.755271359136,-1834.4230230536168
-103658.19143614192,-94512.51379068167,-77378.74496093865,-54390.3150034966,-35889.19801618452,-35066.596583850274,-53524.39924215579,-74836.67456776412,-79692.56334520933,-64851.87990741299,-42000.97664390487,-23198.118759799876,-12601.491444734094,-8139.213334867662,-5808.210557440035,-2722.0902057447292
-110669.29345429028,-89913.13183584732,-64336.26328791945,-40550.30189035586,-31662.910054206404,-45634.88394708278,-71585.14431389315,-85917.74168731844,-76228.70556325822,-51429.57469091369,-27812.686334066224,-13982.850393362745,-9228.724789470782,-8761.996484012087,-7732.691901394555,-3723.1474182316483
-93851.11473110622,-66023.19125815303,-39357.96438393663,-23744.264693138997,-30168.25764797628,-55914.978984294736,-79188.60033861425,-78726.3065175092,-55725.46334908995,-28212.677298869537,-10531.668814885388,-5051.043005303315,-7009.422774301447,-10291.24361945956,-9953.503059120498,-4604.413915142537
-57307.480132239194,-30359.968305135037,-11188.87748925781,-9893.833527428164,-30518.454278049874,-58858.25745470133,-69862.4765809955,-53677.86211482397,-24752.9602590438,-2718.929238894671,4846.325046393295,1347.155673650992,-6501.154733112963,-12471.77457628458,-11982.900521686162,-5122.784910019258
-13539.486806351837,5162.236402850559,11457.388066844718,-1615.317955970771,-29200.518143733465,-50144.46618931014,-45346.17077143182,-19480.490436962165,6349.866016092827,17852.598244039473,14962.010725281683,4243.873613959248,-7579.391380909571,-14757.554810893593,-13307.367228155617,-5133.700217686713
24062.08240801891,31002.11403100633,24337.87723586798,2176.737202993702,-23457.711525754465,-31474.427201710056,-14268.007986723642,12592.043984129476,29325.896504846376,29807.75916768735,19025.372837635226,3964.937490634302,-9626.51813154887,-16532.263593743475,-13588.841147426596,-4654.979012527454
47783.19810574784,43827.1375151496,28206.089273169462,3997.325866124507,-13544.703802158985,-9030.292793295077,13652.249085895775,34865.240637488365,41161.477642028694,33358.247503490136,18229.74586501858,1585.918740403481,-11868.959055055288,-17336.993065464918,-12785.918712382505,-3845.788726521693
57083.433373278676,45732.60200941004,26392.895929639435,5588.910840860823,-2090.887781473563,10774.776175817822,32588.501789741455,45518.69002302185,43410.358520625276,31000.73795543915,14539.698082694129,-1693.1123116844647,-13665.649935955258,-17001.75404000399,-11137.711330804937,-2920.979590093245
55922.8088834219,41087.70782614889,22209.769466252197,7370.863076465583,8052.077841544501,24406.330176605206,41724.89095191288,46967.80660123285,39630.5655501184,25622.60088135268,9728.314534039746,-4941.405948503548,-14649.75898938842,-15646.425788462522,-9036.91157809097,-2060.2518536123603
49234.355793667026,33860.15769832301,17758.601315882057,9067.50429277173,15339.38693901199,31581.23103543072,43415.191213729544,43014.76012512501,33192.896233580774,19402.554453711975,4971.226932044317,-7614.189834243138,-14732.093001094458,-13583.09632312397,-6872.634359798212,-1360.4596476819022
40787.484948098754,26542.746029876853,13978.49337583385,10406.318742389487,19690.38714421136,33900.222389976196,40805.3149184342,36869.391627692276,26331.36086621939,13569.031373653037,859.0714917216621,-9496.004245128082,-14023.968037668925,-11181.858686269992,-4918.880425388705,-839.0084366341986
32692.699130181954,20269.042568577344,11124.8781415068,11365.733675366142,21836.37889259973,33343.21768947344,36396.92916821266,30498.63615000865,20147.722723619434,8615.289486615031,-2420.129816938481,-10584.709767100685,-12735.06351486766,-8756.636628627171,-3300.167608099744,-465.7141837321307
25793.136377475927,15331.570269935017,9157.210559369845,12081.456733327235,22635.680416953594,31436.9753085207,31675.076375061482,24800.878729233045,14988.737038673315,4609.845358929837,-4892.638127278943,-10980.340794094125,-11081.570646192651,-6503.576998826848,-2020.4901438773281,-196.38274103395008
20225.606227183016,11626.671798798518,7925.168836946154,12681.979219836841,22712.387079694006,29074.029484705396,27310.81559987083,20019.94417669698,10817.892394914,1436.4114912609298,-6661.607135590572,-10799.557104203062,-9224.369881050083,-4497.801396416198,-1020.2427202618658,6.083932452992164
15825.128733403119,8907.639081332773,7230.691940620724,13199.005459319744,22390.24469815745,26654.224546990263,23492.177299854433,16089.436205071406,7458.913956457347,-1060.5349670602443,-7819.348074420661,-10120.400915666532,-7248.813127320128,-2733.665705503987,-229.0719770068824,164.1742763725401
12338.00467121789,6897.846251918728,6850.920509708812,13563.837725214134,21768.055347765443,24286.655829468415,20179.027685734593,12838.848338723901,4725.805762980959,-2995.6983513815862,-8397.523746931023,-8964.943496966678,-5189.105895704404,-1182.3654583438458,402.13230367600397,286.9370282533984
9515.560866138045,5341.082772794677,6564.705840043259,13652.45189274874,20823.980690481985,21944.98410295475,17253.292215426365,10098.013991040061,2486.8299123159068,-4402.938020279778,-8357.045158179008,-7330.0137951411025,-3084.627797961486,160.6984039779328,892.3270127153356,374.82590759181153
7158.6808818499285,4037.233990317086,6193.355549515516,13348.510992449272,19506.337056905093,19568.02536956468,14600.343861593203,7747.983266582045,692.4605285064658,-5232.825767452663,-7630.596591754901,-5261.216861148937,-1036.2003626962612,1258.3280447264083,1238.2968439445865,425.2430904546953
5146.672677072781,2876.1887662123345,5647.339613687916,12605.588347098017,17804.28179137781,17124.687611815163,12154.127877157136,5742.035067182403,-629.5228535153358,-5400.030422597674,-6216.902928536791,-2931.992872944667,777.5977546622088,2047.822317279781,1430.65866290544,437.4276917022648
3450.4114094973947,1856.7498255633186,4956.929208189429,11488.959386686829,15792.655279253018,14650.873101246676,9915.033901655861,4096.904388725926,-1420.219833946412,-4878.7502624825065,-4283.694298772732,-664.1244047582401,2145.204039541445,2478.2421179512608,1469.7189334077243,415.8913187192491
2115.1142479772802,1068.747299257185,4260.867354047598,10174.116410453598,13636.777241959295,12251.166237297964,7935.444147128705,2850.477736746733,-1669.4361883278912,-3802.661701802746,-2199.6969804336313,1152.8312159694797,2908.1386286900806,2545.8104973986838,1375.3092255856031,371.5745414557114
1208.3903620144606,631.9072443597732,3743.8843407993672,8892.067603370291,11549.44903370281,10061.519965485171,6275.34427318974,2000.625027079304,-1488.0888914469758,-2493.6605025610124,-438.5872682945639,2214.3005861074284,3035.5183180841095,2307.886892130058,1187.773003911751,320.1024144384825
755.0174349163821,616.1655947238966,3547.417564991103,7842.384117103246,9717.63443569191,8190.286263911444,4951.031120739018,1461.8090355863926,-1117.116468921208,-1371.114602310172,611.0771865055493,2431.3169194881557,2639.7122977165827,1870.0803525675237,960.5574694729023,277.45031183324494
696.1815638341208,988.2549239752335,3702.1519488219437,7120.530590128437,8239.1379230026,6672.426311361421,3910.062480782662,1073.3182135558757,-850.567479562982,-780.0341985071058,810.756244286492,1953.1911705806099,1927.394968293656,1356.1040421970104,747.6795419012215,254.70163739076676
897.7370916519662,1615.57195962111,4120.013843563245,6699.290962387096,7104.81335352133,5464.1498125960425,3049.1462596162505,658.46888496644,-914.5321352864896,-847.235172723463,303.9255887035484,1076.9913302207174,1121.5242473492272,876.3983402365055,590.8344208881808,254.38984356753116
1198.441224897061,2319.5941114956945,4643.122864466885,6467.260436665059,6230.128975125042,4476.334089825934,2260.79122055744,96.84955913253506,-1378.3875026343671,-1454.9460067690427,-589.808971448299,114.58347244724266,398.3196418939396,507.55956202836603,510.56328302928864,270.2940733968854
1465.476693631499,2941.998303309704,5113.396551936903,6292.90338722746,5509.499642795269,3620.991096320347,1477.4353787573066,-633.8911461296592,-2147.01689387008,-2330.750229932633,-1531.1364190945765,-704.4815368862401,-138.9756417290551,285.8145371749876,503.9396901425585,290.6896478818436
1628.2911487306728,3388.744376119224,5424.62068136012,6077.207989157483,4861.379230814378,2844.163678570501,690.1806012789289,-1463.7863590115016,-3024.0106949608826,-3180.6598260663627,-2275.1396239685796,-1263.8211123844787,-454.80136934441083,210.9747362604566,548.6590173128412,303.21215746831666
1681.6734079851867,3639.5236917773204,5540.275958015528,5776.361420860173,4247.7206147010975,2134.3023962911006,-60.69398217877266,-2271.139315595671,-3799.6977920541094,-3790.55171682739,-2708.049688136761,-1541.6436018455931,-561.715089015226,255.31969906959665,611.3645484308878,298.94556976858314
1665.4408215878093,3729.410769600121,5481.5256722644635,5396.220202397032,3669.2016646908896,1510.4464690855261,-712.2150951868175,-2932.876623936463,-4320.536888138431,-4064.667558198772,-2825.2717695964116,-1574.4059579605264,-500.7434769207573,373.3661714955938,657.1933870745229,274.26191995077687
1634.2754959548965,3717.35013727133,5299.301410914941,4970.5498620909975,3146.769658138959,1001.3567627928779,-1207.4755305453969,-3363.244062705604,-4519.247978282808,-4010.869176172643,-2686.606282418649,-1424.917935880946,-327.7161545556551,510.85835058598275,657.8865383661097,230.41010959150188
1630.2282443420404,3655.6028538261585,5044.888563765504,4536.226142313333,2701.0729719548167,626.293883884243,-1515.6441077128788,-3530.550750551761,-4408.2703040744045,-3700.505188424106,-2375.9700958077997,-1163.0175003214679,-105.63732409677552,612.964891080423,596.9224129208947,171.83112463643562
1665.3667139413142,3569.2987569937372,4748.972365352997,4114.747598860907,2337.5809186115725,383.4382441432375,-1639.4513656989157,-3453.925884601625,-4053.2627112898786,-3229.034260208248,-1977.3781580441437,-857.8374463523791,99.59498605194862,632.2770563923598,471.36780702851274,104.29487323409127
1715.848307546391,3448.650175575561,4412.680727466474,3703.5809060021434,2039.844702228667,246.4323588836119,-1612.983481753383,-3189.5960421213454,-3544.927652624572,-2691.216287319826,-1566.5686944972215,-576.7099332942963,223.6371226369634,536.9253851596286,290.9626048137299,33.51185634781007
1725.188043589593,3252.009849672795,4009.382695460787,3276.4734035416914,1769.7839582631784,166.68341698968243,-1494.747886056341,-2815.8453366941294,-2979.3724664296874,-2171.4506017981375,-1211.3333420817519,-384.79479272621097,211.45266700854344,318.08157212947447,75.18642542338544,-35.64185144040809
1614.8777374219753,2917.4292570140115,3494.7512856655485,2790.682631878073,1473.4167769127876,79.6286914795667,-1358.8865293815174,-2420.5738309692574,-2447.5654553432764,-1742.3677296792239,-972.6659135495166,-340.38871105296045,29.55765661797531,-5.387540337671936,-151.05050821957008,-99.4453110133498
1301.95719824012,2381.215267611577,2822.9979470872318,2199.548249394522,1091.360532506906,-85.19447842159141,-1284.5601376620434,-2090.5828705983436,-2029.1094833143072,-1463.8459753955585,-901.112788731053,-483.47479900965067,-319.8792821773445,-388.30244630975034,-362.4716392830448,-155.40677559516269
722.4124545058667,1601.0563730062045,1966.4697280602998,1468.5209442467515,573.3788277920191,-390.1253426982606,-1342.5407021015887,-1900.0586629952081,-1785.2589791661571,-1377.6714381436823,-1026.6299376899728,-819.6249973369088,-790.1409631068503,-768.7891012560706,-538.3981916857367,-202.2126683865987
-144.19376807766972,578.1742713565922,933.5126856866963,590.9781646781781,-105.55394080417068,-873.029069357251,-1579.5678858220585,-1897.3404210414396,-1749.3645556793886,-1497.9303905624404,-1345.1799595788975,-1306.8699350108086,-1294.9075518132024,-1084.8629249452338,-666.5071335573965,-239.5845001886296
-1257.5978611615938,-630.0806014997423,-222.47861283972443,-401.8589536187756,-932.842146371467,-1533.3381082894368,-2004.3590332057388,-2092.8992377760187,-1917.7731367516287,-1802.1542181084678,-1809.7515951851017,-1856.0807488028645,-1730.8464646236478,-1292.3508266715496,-744.3906392155524,-268.04671706081643
-2516.9686627862416,-1915.2560093386853,-1408.8705044554335,-1442.5688421762234,-1855.8804501109144,-2327.27023804035,-2581.8785994522564,-2454.669546783265,-2247.461890708874,-2230.5046028682973,-2334.243446632885,-2351.3197386544293,-2011.0934465628459,-1376.5111407330605,-778.5288985020928,-288.61724795956604
-3782.473070677608,-3142.066994877875,-2514.8618318125245,-2442.465948411172,-2793.24859154594,-3176.94269177712,-3241.0474426062465,-2915.748187796706,-2665.1270557427706,-2697.3969270892685,-2813.1883229697296,-2685.229343251194,-2093.8037108170274,-1352.3130161859415,-781.1484651735191,-302.45316623281195
-4911.349327811224,-4183.236889468163,-3439.999397311584,-3314.673525934297,-3656.2578276904665,-3991.3009603852433,-3894.5406926365267,-3393.273060919861,-3086.1740452643553,-3112.769736639427,-3150.727662343849,-2793.249754258899,-1991.055728331677,-1254.3275748830017,-766.1466559927901,-310.51927870430137
-5792.49590210324,-4949.412091671367,-4117.423874542132,-3995.0442406343705,-4371.269003132514,-4689.602608411485,-4461.987301357623,-3810.415138605905,-3435.6822675733492,-3403.8657307804638,-3285.7304908536366,-2669.5729295201236,-1755.4444161686995,-1122.363378810075,-745.462639100514,-313.37329537480565
-6364.977798273046,-5402.012942981674,-4522.577427684734,-4452.200896526673,-4893.052434760232,-5217.005656467591,-4886.232913084417,-4111.9437264885855,-3662.5148581944063,-3528.4267911163515,-3202.5822655993297,-2359.431263825169,-1455.011796889424,-989.7838010355691,-726.8557173337165,-311.12362427702385
-6617.512641711521,-5548.576840111636,-4667.861323020294,-4685.652834272377,-5206.291029843142,-5548.193287436681,-5138.181937452124,-4269.224437254965,-3743.191964408196,-3476.6827662825394,-2926.810143956971,-1936.5312947350244,-1150.9820211323283,-878.0551536539008,-713.2802553345421,-303.5323333682737
-6577.436572244742,-5429.86018116799,-4591.296613277553,-4717.955410396673,-5319.95194060293,-5683.026983964903,-5213.553997157526,-4277.588114893385,-3678.6857587905884,-3266.1614253664493,-2512.3171303069803,-1479.225334463777,-886.1800141238999,-796.7872800050624,-703.4313880379332,-290.1942778230416
-6298.791950975652,-5107.504519477655,-4346.3153152934565,-4587.061894568989,-5260.719866784165,-5640.521419144433,-5127.4575889418975,-4151.293765639697,-3488.9710725104324,-2934.233948736561,-2026.7623807973578,-1053.4367920285051,-683.1834080566313,-746.3779052810389,-692.8858965329989,-270.7458333145476
-5851.678897083293,-4653.534878465806,-3993.3562439605707,-4339.8077575388315,-5067.115491359273,-5453.308381021476,-4909.098271393771,-3918.1584904222304,-3206.9569291703074,-2529.639041329291,-1537.3182055405555,-703.2640351066549,-547.3803914497715,-720.8082079963168,-675.4506424312664,-245.0764283893344
