t1,t2,t3,t4,t5,t6,t7,t8
313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-3180.2028103059906,-2296.15676172315,-1488.4585661182505,-800.5792265842952,-274.93587455486914,52.34363053230203,165.4712088116268,99.70655358168673
-6424.941769891115,-4666.411204244724,-3056.0757034492644,-1677.2618207578344,-614.4956163713051,57.432371953245806,303.0654879164623,189.2136206501542
-9198.972171201674,-6720.320109211796,-4435.767130895036,-2461.7361589813204,-924.0451351787738,59.44292206609393,426.6536986214853,269.2709032548659
-11339.923392531382,-8345.313753650671,-5557.770879982328,-3117.630785885742,-1190.1704870156632,58.689866891128446,531.6596104113102,336.57953771254006
-12760.233270581466,-9476.881816079436,-6379.233127260164,-3620.8906695587234,-1403.233513543026,55.72467449313541,614.9709491045999,388.9260251221248
-13450.250558659453,-10101.251238035458,-6886.22647925463,-3961.018057367995,-1557.9168020094035,51.254418641308504,675.0538984485092,425.27192399706956
-13469.397955572467,-10250.581142112544,-7091.72063449294,-4140.54012883343,-1653.2481245258568,46.03998814427208,711.8942643588266,445.70684110504453
-12928.5516742982,-9992.470913878215,-7030.345077462957,-4172.997152624322,-1692.158402309296,40.79186740067348,726.7937990469028,451.28821526095237
-11968.07804714245,-9416.405878444459,-6751.246005848665,-4079.954196181519,-1680.69183927212,36.08059440587343,722.0672385538816,443.8052879213239
-10736.029395764344,-8619.882505483298,-6310.457594393877,-3887.61942335551,-1627.0217297114737,32.27436228874613,700.6923652491453,425.50977177513244
-9370.05115451676,-7696.462993185118,-5764.01504632971,-3623.607387447622,-1540.4282906391427,29.509496233327667,665.9623827309769,398.85261095644876
-7985.039029153914,-6727.152297339213,-5162.640823161414,-3314.250330684455,-1430.370844170797,27.692612422710518,621.1795825864219,366.257129934262
-6667.008387919611,-5775.5549310305805,-4548.370685398326,-2982.6824480561568,-1305.7457247834502,26.52779290463473,569.4151695080091,329.94684817044777
-5472.388112820773,-4886.488816516532,-3953.071426228561,-2647.7480421923697,-1174.374793047468,25.559066513273912,513.3456240929893,291.8342349415735
