t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
1305.6799999999998,1203.6249999999998,1111.3799999999999,1028.945,956.3199999999999,893.505,840.5,797.3050000000001,763.9200000000001,740.345,726.58,722.625,728.48,744.145,769.62,804.905
-999230.3177211486,-866286.0428123377,-736074.2426854746,-610062.9616584227,-489829.2000022868,-377080.2959442128,-273657.1544760374,-181508.3455457848,-102620.29178064951,-38884.89011181484,8117.426829950861,37443.10957164867,49242.65599325286,45368.10240104602,30139.064313919604,11257.848058135041
-1355447.9249639178,-1195625.0857536877,-1036109.0197922868,-877536.0194759397,-721106.4148224228,-568744.1056044047,-423207.3771146131,-288110.73907315126,-167803.86094742123,-67044.77883012765,9593.075085541597,58618.539095990454,78813.46391897844,72620.46135180823,47513.94368249263,17004.13737374348
-1039808.1692676009,-949792.4910096106,-855218.5375666078,-754459.0885760849,-646732.1569522169,-532463.7149442155,-413650.5249021039,-294135.8481778661,-179660.7525321197,-77516.93869800861,4368.9961044709935,59010.336798097334,82499.42899659308,76323.7119455944,49125.53116234051,16910.608584952573
-507312.0480579551,-496824.4099951928,-480156.01578728267,-454444.1477384527,-417286.2098608109,-367178.3528740815,-304109.7627177051,-230212.13686246055,-150251.68180042447,-71643.0594254912,-3626.9039125345876,44623.628350525025,66839.61564566649,62723.29883297088,39917.28861553004,13303.649648189812
-143990.3074886378,-167032.66915148706,-186218.7965566904,-199290.6454246728,-203800.15259306837,-197401.33794719656,-178417.49368040584,-146645.7476299394,-104212.58833059418,-56108.291106807126,-9898.67873581275,25806.87278405497,44118.032922511724,43069.04957666813,27689.9296092733,9192.42896992176
-16148.454519009925,-34413.47039247065,-51719.90022916356,-67137.70586628432,-79289.56771740723,-86407.4557419667,-86615.7714879874,-78490.98185347386,-61842.655823427165,-38479.01429677411,-12524.442042377723,10205.036209739716,24006.601872358267,25871.947703178463,17642.808294012877,6155.893943946133
-11512.814444890233,-16001.748633726289,-20696.39506046521,-25529.701211159125,-30214.306216110934,-34173.32636379881,-36520.71736668668,-36157.4927242575,-32060.296916337546,-23794.585120846594,-12143.297546901416,491.2311202609253,10443.492539478157,14285.765094645532,11128.908087008125,4278.465962064966
-29105.181394884115,-26368.50643602546,-23540.799601122882,-20712.893253441467,-18117.228068120712,-16102.518378614572,-14986.32923994914,-14765.787335059373,-14802.014425826092,-13782.167858830337,-10307.644525297514,-4087.061610382453,3061.939173917569,7705.78793431348,7298.9565843168875,3073.430693668187
-33908.48809666042,-30659.406307482885,-26702.346525920388,-21932.907438034414,-16601.950189983556,-11422.935009822471,-7473.2126842316375,-5732.691205142408,-6322.881303029755,-7936.097746652737,-8220.178588860877,-5410.779894393064,-185.38175271556935,4271.50159880555,4916.7796404682595,2147.1381361889394
-27953.486155590257,-26595.04594024541,-24220.588975718296,-20520.14308388075,-15564.120899587306,-10029.776689012737,-5220.077719777553,-2601.6802628782893,-2844.141608086218,-4940.465237084424,-6426.941142693401,-5141.148731325843,-1301.5738216858258,2359.735502834445,3162.892660136587,1339.2177022715125
-19516.40879814563,-19788.518546434396,-19083.47684586794,-17003.407413856763,-13450.594933560638,-8910.339998412222,-4565.731487817111,-1914.253984462991,-1815.0605663697888,-3562.141458389362,-5044.294881448475,-4371.363334907478,-1668.7425644473149,978.2411580386635,1668.797915990409,624.7862525278747
-12711.557768769078,-13778.851757831622,-14090.985188516774,-13264.676511751111,-11104.211821452223,-7879.673964390852,-4492.027362966012,-2201.5407136857534,-1828.6303738272504,-2958.389515477351,-4062.6319876069538,-3764.654868015074,-2101.074865625642,-363.672304829475,319.81451924417007,16.966702054197867
