t1,t2,t3,t4,t5,t6,t7,t8
363.92,340.345,326.58000000000004,322.625,328.48,344.145,369.62,404.905
-3130.205315292583,-2196.176801113898,-1338.526196238373,-600.7395256471998,-25.248935133841968,351.8027115402067,514.6123427280879,498.42467499423844
-6374.951789586495,-4566.49135377618,-2906.3461629453145,-1477.9027600515608,-365.74707463179004,355.27064660723954,649.6342387305888,584.0943223639256
-9148.994714575032,-6620.500415542482,-4286.375436124468,-2263.1773092119874,-676.8579780207384,354.58634783728303,768.9491740721976,657.7832396892393
-11289.963467297102,-8245.63422329753,-5408.851742655328,-2920.190435028854,-945.1637908753837,350.07411921690795,868.0018906448192,716.2333806423418
-12710.295882697259,-9377.38239938363,-6230.920832965342,-3424.8853126464983,-1161.020893925673,342.2989848662991,943.7093313954618,757.2880238878831
-13400.340711824798,-10001.971813150793,-6738.6547663690335,-3766.7618891508064,-1319.1048766984322,331.985363814344,994.5749985286834,779.9811018055489
-13419.52065072724,-10151.56149902278,-6945.022573585484,-3948.344540128564,-1418.4349943180982,319.91521678441796,1020.6299345949747,784.4897274572222
-12878.711909121635,-9893.750738449773,-6884.652951300068,-3983.1702311594227,-1461.932153080698,306.82375075702987,1023.2288246050593,771.9734175177857
-11918.280815552247,-9318.024736520716,-6606.691190110235,-3892.8002327328254,-1455.6290691257066,293.30978782370664,1004.7467737801866,744.3374086123891
-10686.279687416445,-8521.87982702719,-6167.170439207296,-3703.4384239726305,-1407.6861048962678,279.7732647277807,968.2290737703645,703.9625824486587
-9320.35395430524,-7598.878056475988,-5622.12475872853,-3442.694592546612,-1327.3691338566978,266.38559531454894,917.0432462325348,653.4413981343492
-7935.399316711574,-6630.024213230614,-5022.275350574893,-3136.8957417802144,-1224.1217588049353,253.0917029410084,854.5723448518193,595.3501340420976
-6617.431137119036,-5678.922627275129,-4409.656600276768,-2809.1703628927216,-1106.8232584987923,239.6370572009291,783.9743840935158,532.0757221257185
-5422.8782912758925,-4790.391022164097,-3816.133811908484,-2478.3565990162797,-983.2771441037405,225.61000559790034,708.0182759567849,465.70345536713796
-4381.787251138907,-3991.7154965668965,-3263.474662957209,-2158.6489795445564,-859.933002968502,210.48926138385838,628.9944160384989,397.96203435865345
-3503.223702721992,-3295.5458222119446,-2764.4951758006155,-1859.815912771565,-741.8128090579706,193.68812212629916,548.6895224282799,330.2159110977001
-2781.3599706234436,-2703.4938588879163,-2324.790447875136,-1587.7909124843313,-632.5945698226466,174.59000727381937,468.4108116280368,263.4918180523785
-2201.1550032876194,-2209.7117224314325,-1944.6389829108525,-1345.4529345935734,-534.8001974479943,152.57331268736857,389.04355858858037,198.52616525347324
-1743.0017083968587,-1803.9925471001402,-1620.790516910275,-1133.448785762763,-450.03784533011424,127.0266515706158,311.1275324425527,135.82172713923362
-1386.1183625310205,-1474.182334705852,-1347.971995856754,-950.957539640129,-379.25783750552284,97.35783081430283,234.94061942914348,75.70476958961576
-1110.7420282696908,-1207.876715305108,-1120.0501380413984,-796.3413510376984,-322.9921991323703,63.001222735489684,160.58118215878,18.376703892475298
-899.3372253571598,-993.490908689469,-930.8612046463804,-667.6620527652971,-281.55803360532883,23.42855757393597,88.04368001781664,-36.04302181828204
-737.0868835461463,-820.8435178669097,-774.7592083270549,-563.0659609244517,-255.21308136021597,-21.832296205609538,17.28441208444639,-87.48403237558797
-611.9198560655657,-681.4025199490928,-646.9488120547605,-481.051053874274,-244.2572850654771,-73.16714171090044,-51.724175847803245,-135.90195502487748
-514.282611407149,-568.3232588980846,-543.6666313729731,-420.63351406022775,-249.07743383477708,-130.8321538134514,-118.95128538286775,-181.2641256534717
-436.806051412945,-476.3780458169523,-462.26200548978545,-381.42754604867366,-270.1338380199306,-194.89798546032907,-184.2779406255218,-223.5425953103418
-373.9657651574607,-401.8447161491863,-401.2112658668037,-363.6463881802338,-307.8895995668732,-265.1844047215043,-247.47972228052146,-262.71281293734273
-321.7913831976057,-342.392208847888,-360.0819865162747,-368.02617704814674,-362.6854704929305,-341.19141640189036,-308.22220035557416,-298.75637713524134
-277.648749693542,-296.97681097134176,-339.4481666018862,-395.67007190799427,-434.5673553686779,-422.03557218669886,-366.06904864965395,-331.6663427936309
-240.0954955445499,-265.74344229920865,-340.7455616154877,-447.80965257831156,-523.0795541121917,-506.40239666263216,-420.5024300282432,-361.453684347313
-208.79380430628646,-249.9121690001262,-366.04999019289085,-525.4853836056307,-627.0445240525302,-592.5269872138484,-470.9545658446516,-388.1536341961641
-184.45191343932916,-251.62136721748877,-417.7618657986218,-629.1583892273057,-744.3581322538297,-678.214292826226,-516.8484838124841,-411.8307346542045
-168.7576475264238,-273.69658135452227,-498.18859607800016,-758.2812056822141,-871.8361678218253,-760.9078751622988,-557.6448918062464,-432.5815834627943
-164.26380379678446,-319.3194843291443,-609.0331442115705,-910.8733119742707,-1005.1508718542084,-837.8109461002559,-592.891127661831,-450.5344435544143
-174.18814690188992,-391.58547335159204,-750.8206357572922,-1083.1641771263662,-1138.893006079065,-906.0564679561467,-622.267397173038,-465.8451540689663
-202.10181749376795,-492.96108512285826,-922.3218898837241,-1269.3771291659293,-1266.7838430625764,-962.9149530874965,-645.6252378196372,-478.6891384883138
-251.49980031273785,-624.6811835886191,-1120.0573060518727,-1461.726128645239,-1382.0422677775596,-1006.0206607409,-663.0134870139027,-489.24975520821954
-325.2743503210811,-786.1557259701602,-1337.9791936148615,-1650.6804152490188,-1477.8868856678273,-1033.5907942377073,-674.6880513251976,-497.7037480972062
-425.14285198617137,-974.4795444049934,-1567.4279951949466,-1825.5179716976704,-1548.125790648264,-1044.6096139097472,-681.1034078475011,-504.20507336122114
-551.1088619156757,-1184.1478253124587,-1797.4329460808626,-1975.1412503176614,-1587.763219335374,-1038.9511804190367,-682.8858361170935,-508.8688238808643
-701.0511196486834,-1407.0681178091206,-2015.380388707912,-2089.0758238245776,-1593.538793996971,-1017.4209674691841,-680.7905913934585,-511.7572506348391
-870.5330275700109,-1632.92415241626,-2208.0094558494466,-2158.52625332535,-1564.3161571603423,-981.7070465798956,-675.6472456420763,-512.8699076902546
-1052.9008601910934,-1849.8910395505625,-2362.6275171857005,-2177.3359507170685,-1501.2552692189367,-934.2442163199171,-668.2989100519609,-512.1396675652984
-1239.6946445666126,-2045.6356526077964,-2468.382707542218,-2142.6986650574327,-1407.7342986426024,-878.0069886009899,-659.5417606452652,-509.4357635212941
-1421.339273102875,-2208.475077652376,-2517.403476741487,-2055.501656442842,-1289.0269370504725,-816.2573522559189,-650.071098924079,-504.5741732427317
-1588.027690808994,-2328.5257792591374,-2505.625375066289,-1920.2397399848762,-1151.7807455870839,-752.2788165935208,-640.439135780089,-497.33468340276397
-1730.6670378005324,-2398.668571829524,-2433.17388692536,-1744.5128328076376,-1003.3731669831368,-689.1284659635505,-631.0279840008856,-487.48302729263264
-1841.743619636671,-2415.1835692354916,-2304.2493442132177,-1538.1907564482544,-851.2376023633651,-629.4338613593516,-622.0392863261659,-474.79573795295005
-1915.9781001671608,-2377.969141097078,-2126.547995819327,-1312.3815783136406,-702.249775680177,-575.2528860864145,-613.4998387985936,-459.0849485736777
-1950.6846107622312,-2290.335179006379,-1910.3313787352665,-1078.362550611948,-562.2462203415787,-528.0040052627767,-605.280811209916,-440.2203798836897
-1945.8055051638023,-2158.435073480937,-1667.3065781691394,-846.6226704076047,-435.71750959567123,-488.4640154027899,-597.1269478433969,-418.14617895082074
-1903.6524179653811,-1990.455518637853,-1409.493329166719,-626.1284692059294,-325.6861184178992,-456.821994491513,-588.6915605738261,-392.8910322148321
-1828.430109847164,-1795.707792978458,-1148.2311444707989,-423.8714809562558,-233.7496691409333,-432.7729435116992,-579.5731856791768,-364.5709234484939
-1725.643249171052,-1583.756735454611,-893.4308225378344,-244.7008412186159,-160.2499400239554,-415.63285148140864,-569.35034730763,-333.3848730946724
-1601.4858004630578,-1363.6909940934638,-653.1149944820689,-91.39970587005504,-104.51866470219653,-404.4582121893778,-557.6117761710452,-299.6048181678266
-1462.2927433186867,-1143.5923928641632,-433.2370808808026,35.063046999904856,-65.15219018289847,-398.15648281761787,-543.9804783028429,-263.56135362258834
-1314.1032927232677,-930.2165635535212,-237.72822781937847,135.18249581266383,-40.27575792689461,-395.57852457124426,-528.1310646590568,-225.62730047386913
-1162.35329321498,-728.8615194229905,-68.7021728900749,210.53773591254642,-27.770852434707706,-395.5887028875426,-509.8006126926031,-186.20100100424645
-1011.6894972117473,-543.3806441121045,73.25292433389976,263.43396477613703,-25.452225885611,-397.1123064296512,-488.793963789964,-145.69092769682192
-865.8836880502947,-376.2913754240204,188.75451258147896,296.59772695018114,-31.192299001819663,-399.1628563822767,-464.98474182945756,-104.5027225057483
-727.8199095628302,-228.9366572987775,279.3182492340942,312.93797716706126,-42.998345526631454,-400.8536162120995,-438.31352031361155,-63.02925778857505
-599.5306080253007,-101.66750451945798,347.0859211857463,315.3721074365533,-59.052018844983195,-401.3983008018695,-408.7845029816183,-21.643819442455737
-482.263512145159,5.973152903607758,394.59744851047185,306.7082423038894,-77.7219885224317,-400.10587099520677,-376.46186078021793,19.30387821871504
-376.5673236900773,95.07590612894516,424.60698142598017,289.5720524834943,-97.55969556113087,-396.37366283600204,-341.46653535462144,59.489392261527456
-282.388862845596,167.20444317940607,439.93892186305027,266.3664444109954,-117.28647976688836,-389.6821796760365,-303.97392469732404,98.6136265177183
-199.17675143067007,224.25143349920083,443.3784838398942,239.25411738765553,-135.7783243767496,-379.59383727788065,-264.2124581609812,136.40193339952071
-125.98758423768402,268.3119178255468,437.59149768395594,210.1549460348185,-152.05263359956183,-365.75688930776255,-222.4626921325121,172.60279077033948
-61.590780040618945,301.57488442096684,425.0684262177628,180.75182867409703,-165.25995359687178,-347.9147097662776,-179.05625795608225,206.98644793892225
-4.568705480924542,326.23290974257634,408.0875446136899,152.49991987352692,-174.682314631652,-325.9195826391223,-134.37380838004233,239.34376772339914
46.590439538711706,344.4085313726715,388.6920370226756,126.63521083963283,-179.73876906239954,-299.7491700511499,-88.84106657415172,269.48534540475356
93.40823417943837,358.0947462787119,368.6757510334093,104.17949562839007,-179.99758932499404,-269.5229577291068,-42.92219717583572,297.2408830104036
137.3402259326956,369.1062034421685,349.57288965041255,85.94005822776859,-175.19340860850645,-235.5153178695061,2.8900118699266386,322.4587480231459
179.7081352593407,379.037697041116,332.64818341458636,72.503980781639,-165.24638012575576,-198.16153067178914,48.087269406462056,345.00564483378315
221.63969792621901,389.22759450120543,318.8859869750691,64.22868894512717,-150.2793545883403,-158.0533207354741,92.1618338954915,364.76635925303395
264.0167599762042,400.7256556164629,308.97897105075396,61.23196974185424,-130.62836605224643,-115.9213064423135,134.62462819728788,381.64357903523063
307.4337219608411,414.26685471320747,303.3191826247099,63.3859063991176,-106.84163417245875,-72.60324717366383,175.02409940526107,395.5578248294743
352.1698719105134,430.2547175976945,301.9957529998567,70.31966720050357,-79.66304670417313,-28.998983127360702,212.96419264932615,406.4475314294439
398.17996697112585,448.7587636306046,304.80406293189594,81.43563846616993,-49.9977628707139,13.98478037807746,248.119690812896,414.26929536985597
445.1071475417623,469.530499655271,311.2705183060251,95.9419318059804,-18.860069011128274,55.49458998921313,280.24729336692315,418.99826087731657
492.3206681374541,492.04090862914717,320.6952674083366,112.90194378421683,12.693400715858388,94.78851536104492,309.19117254800653,420.6285696761544
538.9781075636902,515.5396808349948,332.2124616999571,131.2987294749803,43.63900721132592,131.2853407956797,334.88231779554695,419.17377058494355
584.1081145030176,539.1330091864463,344.86449927512587,150.10897206010011,73.06162334167925,164.59819483438724,357.33168351018304,414.66708537689544
626.7060546651078,561.8732858694228,357.6837083136219,168.37888608449265,100.2208450112247,194.5480979274477,376.61788502791933,407.1614592643717
665.8319771666273,582.851254657635,369.77277189620673,185.29305648534262,124.59895689481424,221.15578009849844,392.8708264454335,396.72937597215434
700.6988741680415,601.2797768994084,380.37440696107984,200.22740331642032,145.923968998946,244.61337090123172,406.2530868773524,383.46246853995933
730.7397798938192,616.5588088544569,388.9216948617335,212.77930547757848,164.16470960773313,265.2405534867877,416.9410683633529,367.4709871697281
755.6449510301977,628.3135515760631,395.0629930354475,222.77119548995057,179.49938374713776,283.43190951019085,425.10779794067787,348.8831821331654
775.3648290133582,636.4016941447898,398.6591495875032,230.22808873820404,192.26329726628353,299.6030602115448,430.90891088041803,327.8446239919408
790.079920714363,640.8905251336979,399.75510303532917,235.33373017109332,202.88469747836837,314.14271650968146,434.47279939649303,304.5174296183543
800.144094404524,642.0094978912546,398.5320194105494,238.3734579497159,211.81919240199244,327.37607592257126,435.8952954436895,279.0793131940704
806.0119866759344,640.0876351213666,395.2490654281571,239.67376669721904,219.49267475166113,339.54257506390195,435.23867473169594,251.72235836333863
808.1633903124405,635.4871756877401,390.18513022173113,239.54849811059444,226.2602626704066,350.7883712846021,432.53431002094777,222.65142403759705
807.037212008093,628.5447104889906,383.590053572446,238.25962224696408,232.38507667998664,361.1716140099715,427.788019198814,192.08215145225637
802.9849575121995,619.5288072760663,375.6523927270733,235.99715805164212,238.03657159256102,370.67696628601374,420.9870619204145,160.238620253512
796.2493323789316,608.6193184580304,366.48704329699046,232.87869275803195,243.30454492449175,379.2351354696035,412.1078161924796,127.35078467621386
786.9684045490869,595.9090483957341,356.1419421084315,228.96509601440798,248.2225747277468,386.743341190901,401.1233661648057,93.65188428958275
775.2009452299292,581.4241834909377,344.6194817894385,224.28618985390926,252.79387486757597,393.0834916792898,388.010495329528,59.376050173590386
760.9650000360998,565.1567030229733,331.90586101662404,218.86885420783835,257.0133624232159,398.13606451609087,372.75584639428246,24.75630959843786
744.2800613816462,547.1004421635812,318.0007775762003,212.76046129604117,260.88172431356537,401.7889888368617,355.3612312724703,-9.976866104737073
725.2035902157777,527.2827324670595,302.94067080020886,206.04239865592197,264.4098466093438,403.94194840007196,335.8482185998376,-44.596412747575194
703.8548038443782,505.78537302104075,286.81082064639185,198.8312245019248,267.6144853254898,404.507304779695,314.26217664244206,-78.878964799452
680.4220004342761,482.7515617086993,269.7444587487165,191.26802272879723,270.50798102132956,403.40921411334205,290.675908821546,-112.60472235765607
655.1534478233223,458.37865992187994,251.9099935041817,183.49913369778506,273.0858379106137,400.5825040310495,265.192905344888,-145.55710292329752
628.3352478637368,432.89959885289306,233.48990006920948,175.65313898582951,275.31603781304085,395.9725749825052,237.9500777596428,-177.52243120617018
600.2619819768403,406.557824815987,214.65634803085572,167.81952756299614,277.1331933489639,389.5371068725764,209.11968146450744,-208.28992748968093
571.2069940503978,379.5816162408388,195.54903671888903,160.03388463511243,278.4393564419754,381.24980379667994,178.91000443002105,-237.65222383784496
541.3988119727068,352.16333296523976,176.26002046511425,152.27296100716387,279.1118281438487,371.1058942973243,147.56434482286514,-265.4065697120627
511.00865156851665,324.4478548473736,156.8287688547294,144.46097806621492,279.0169699395606,359.12869053858407,115.35784203398573,-291.3567906839739
480.1515783954024,296.53246972085276,137.2486777563409,136.48642236241068,278.02801104185284,345.3762349509849,82.59187517423318,-315.3159466469889
448.90120875397844,268.47819652802224,117.4841224579325,128.22676138284646,276.0442852930982,329.9469388527738,49.58599127234874,-337.1095144101261
417.31529411841274,240.3303893218626,97.49528593632428,119.5772402879433,273.0092168361357,312.98313772408545,16.66764252707408,-356.5788124107841
385.4675564507759,212.14480183190193,77.2666756566403,110.47933654203857,268.92463351378944,294.67163603443134,-15.839649363899538,-373.58431229347013
353.48000012507237,184.01432814891712,56.83461798355731,100.94456406180649,263.85951212167674,275.2405717990531,-47.6287819089408,-388.00846068190674
321.5497446895852,156.09147262530053,36.30912872968085,91.07003606272298,257.9519385666663,254.95227867524423,-78.42108781527914,-399.75767537951504
289.9651812389953,128.60221909701727,15.886337554981338,81.04335635520842,251.40380722275063,234.0922419282382,-107.97669086958129,-408.76328361167043
259.1078088712745,101.84824163905414,-4.151048265255326,71.13582521723531,244.4685243714568,212.95470907867156,-136.10212287899546,-414.9813229810123
229.43821692473807,76.19612648676772,-23.446109702844424,61.684432901802616,237.43268111925937,191.8259900251085,-162.6543978045562,-418.3913033001295
201.467042572379,52.05421077267624,-41.59201350327869,53.06450543921588,230.59329225678468,170.96691253896762,-187.54114499145243,-418.99419555139906
175.7140244342154,29.839522652208956,-58.16567589412499,45.65602403196064,224.2327250737932,150.5962197555583,-210.71687780348796,-416.81003731192715
152.66017240709942,9.938872044546883,-72.76686656497645,39.80744878078622,218.5938179988783,130.87683233730158,-232.17593974799354,-411.875593173179
132.6993080346504,-7.330829343221652,-85.0579500695303,35.801255923605346,213.85785184244406,111.90678418570363,-251.9430505681982,-404.24246961435813
116.09560514566198,-21.757602942051676,-94.79919432698362,33.82529471601568,210.127924466401,93.71624132662035,-270.0626093953913,-393.97596151679596
102.95319570608075,-33.259801323323565,-101.87497428359629,33.95347759396185,207.41985090166241,76.27134201343702,-286.58796911118185,-381.15472669451094
93.20245170352905,-41.89802563504749,-106.30723471330596,36.138280463445035,205.66196534772877,59.48472474974836,-301.57177788099864,-365.87118466814957
86.60539634487222,-47.87144627562615,-108.25413097430491,40.216153305319395,204.70419674556945,43.231668179042565,-315.0582243116317,-348.2323609464543
82.78013812030868,-51.49847843001039,-107.99364016570783,45.925384980928555,204.3356430694178,27.36991652746663,-327.0776779817727,-328.36078716074996
81.24163336111522,-53.18387294107136,-105.89387081624638,52.93442974499984,204.30874401112828,11.760672207912506,-337.6438520225334,-306.3950440710721
81.45385402494237,-53.37612031711976,-102.373522103071,60.877397167476246,204.36722719328552,-3.711968439262108,-346.7532887187936,-282.4896013937938
82.88690249397067,-52.52035840893229,-97.85720569954222,69.39251874784728,204.27444005380826,-19.125622417978214,-354.3867267367975,-256.81374742292013
85.07199871368213,-51.012535871587936,-92.73096599457834,78.15906277789814,203.83858476597717,-34.510107333369334,-360.51177233692937,-229.5495790150892
87.64764320583916,-49.16034515754863,-87.30323840107623,86.92842151231059,202.9317755942105,-49.844702901301524,-365.0862684777702,-200.8891989435536
90.39155019525892,-47.1554582842061,-81.77570266485606,95.5458982773588,201.5006799726096,-65.06202284927348,-368.0618199646361,-171.0314069331674
