t1,t2,t3,t4,t5,t6,t7,t8,t9
447.305,413.92,390.345,376.58000000000004,372.625,378.48,394.145,419.62,454.905
-8588.613526703577,-6416.657749789606,-4394.696415434334,-2603.8800470391448,-1125.176038270153,-34.159313130090595,613.2433840803644,811.9592253126832,667.2620198859315
-16689.696502045474,-12590.401914048081,-8761.068076685007,-5352.293766444877,-2522.465958911951,-427.133494731697,812.0476529308512,1174.0175535318588,859.9418139562433
-23082.476131783096,-17555.673326387296,-12349.611920351967,-7663.113002716954,-3724.5217126083608,-775.8436622505185,979.1059983647231,1484.3393059911668,1020.0709701753694
-27289.289768653405,-20960.045283658295,-14921.342363879485,-9393.201207279248,-4662.001368869182,-1060.8695803916307,1106.5581790772758,1727.1450007869407,1138.4581956933298
-29181.45837967031,-22688.800303299045,-16382.82922834649,-10476.46513957477,-5297.723324306824,-1269.8350539990156,1190.72491620451,1893.6251241579355,1210.407757041487
-28953.74991775533,-22851.74370760915,-16781.4700203331,-10923.531041072978,-5627.673448768661,-1398.141559419726,1231.9977032191846,1982.1176613652624,1235.7573776084769
-27037.40737127112,-21728.590840137244,-16275.782856269976,-10808.485316977713,-5676.756475600897,-1448.5593023695374,1234.1419526564262,1997.2796288306613,1218.23564751773
-23983.09402307596,-19692.52248183624,-15091.350607195567,-10247.455562295456,-5490.880564470472,-1429.8870339877735,1203.2336318446455,1948.5449413098727,1164.3642280280014
-20346.96096521055,-17133.315868623158,-13474.54522349814,-9374.81058767746,-5127.4689957360915,-1355.03901315723,1146.4844084861465,1848.246487218881,1082.183397948926
-16604.541202030592,-14396.670313731554,-11653.978986138023,-8322.045451633017,-4646.393593601024,-1238.9639573289728,1071.1772726166935,1709.7658666251239,980.0561901079656
-13103.603793445774,-11748.053940959657,-9815.292452182905,-7202.582990635911,-4102.776636579039,-1096.752937773834,983.8577917790051,1545.98542882172,865.7297514101025
-10054.205501004237,-9361.134621859655,-8090.266019580317,-6103.574810996074,-3542.365491817792,-942.1814922907167,889.8368857226113,1368.193892259848,745.7357915717198
-7545.793166594733,-7325.129033186146,-6557.7667964410275,-5084.005661365152,-2999.4910839772765,-786.7964815042285,792.9856792034742,1185.4773092369521,625.1249432342179
-5578.400390228282,-5663.074246973484,-5252.332691108853,-4177.358886036426,-2497.136885589414,-639.5370353458502,695.7561938982021,1004.5374810936719,507.4708035798321
-4096.584576941752,-4353.56213220855,-4176.109083092843,-3396.813461940285,-2048.420546656731,-506.79442759864423,599.3454061497112,829.8302831720595,395.0531720153489
-3018.61241618838,-3350.6409079903024,-3310.8083009541206,-2741.2132876115984,-1658.789135451368,-392.7748399007015,503.92769795261296,663.9035612842159,289.1310797866283
-2257.5224821661313,-2599.1362447600413,-2627.6972499574376,-2200.595860967594,-1328.369201986027,-300.02563902732595,408.90149882688553,507.827503087887,190.23421363784095
-1733.8409008169376,-2044.7406267103825,-2094.837247972639,-1760.6469895035943,-1054.1075732325633,-230.00681633463807,313.12019102163026,361.63694562669775,98.42572093258939
-1381.505779038333,-1639.5281786327969,-1681.6540170281373,-1405.9113638577933,-831.52213260051,-183.62034818578607,215.09838228291756,224.7342958430176,13.512381361081353
-1149.1524256375033,-1344.1131830545305,-1361.3677296692392,-1121.8816981392872,-656.0178652398811,-161.64021783243916,113.19908680779292,96.22677099596903,-64.80438147169764
-998.7513229335331,-1127.7090179529732,-1111.9485011096626,-896.22401025827,-523.8022742620641,-165.00839085088268,5.814429196309078,-24.81052467277936,-136.83222868262916
-903.093683641515,-967.1116623011192,-916.205075687084,-719.4166699976798,-432.46279222588663,-194.9757448890652,-108.4471321893579,-139.14376593805318,-202.8366479127755
-843.0773392882425,-845.3199058139111,-761.4708379972676,-585.0331471700483,-381.2616050857496,-253.07420774730167,-230.5591680526423,-247.25542121208568,-263.0236055471158
-805.3071596099411,-750.222088087669,-639.1914429392239,-489.8199246098226,-371.17653438764427,-340.9118612527715,-360.86257456220443,-349.2780593488184,-317.54583751984603
-780.2302767350866,-673.5672215007705,-544.575885138316,-433.63570522108694,-404.6853084199411,-459.7919944887917,-498.85101227154234,-444.9809467284805,-366.5242029765636
-760.8581682341332,-610.2951013062672,-476.356696213493,-419.2401178042411,-485.2680357188426,-610.17469086585,-642.9822108805868,-533.8045113677533,-410.0772345963328
-742.0436342704505,-558.2055063411203,-436.612877989935,-451.85978550242555,-616.6005957120977,-791.0276741876188,-790.5513965030565,-614.9377293876832,-448.3533239040995
-720.2391479464029,-517.8790956723705,-430.5383241232489,-538.4273232694666,-801.4388835095015,-999.1498860998457,-937.6684381215478,-687.4318651137906,-481.5607821322479
-693.6326393628333,-492.7081312858732,-465.9920193456779,-686.3965799340031,-1040.253933188459,-1228.589512706651,-1079.3772187142356,-750.3408771155109,-509.9914337847987
-662.5206778016682,-488.8518165346767,-552.655179902823,-902.0959651322115,-1329.7652638553523,-1470.305869534104,-1209.941946921691,-802.8748408194921,-534.0336788980217
-629.7359658738632,-514.9091862164478,-700.6601717366606,-1188.6939345950514,-1661.6162773276694,-1712.2269923725999,-1323.3005334904271,-844.5489959795405,-554.1714146245046
-600.9091520350178,-581.1206286414845,-918.6584507708983,-1544.0037054323843,-2021.5106417324728,-1939.8191892159994,-1413.6527615274263,-875.3087585018482,-570.9661505843527
-584.3373504906443,-697.985418068767,-1211.4573314920497,-1958.513624559551,-2389.1449775135034,-2137.2062992300434,-1476.1170375226532,-895.6113946306265,-585.0213191416708
-590.2780166628993,-874.323128236906,-1577.551232510352,-2414.141334507336,-2739.198740217064,-2288.7632531109625,-1507.362528998625,-906.4487692895727,-596.9302334817995
-629.6007435670367,-1114.9941646233199,-2007.0484456873428,-2884.213390046098,-3043.4659160453903,-2380.9839447626437,-1506.1120705233768,-909.302670328033,-607.2121901644616
-711.9018692115962,-1418.6834519478693,-2480.5789153752244,-3335.0232556705996,-3273.958173960504,-2404.3215937065142,-1473.4212462843643,-906.0338450209507,-616.2443630389797
-843.3791791348281,-1776.2754595659885,-2969.698407235542,-3729.0181765941734,-3406.5355489777976,-2354.6560006045042,-1412.6712653175698,-898.7164484491651,-624.1996615195601
-1024.9150818885153,-2170.342878627914,-3439.054028789762,-4029.266556822273,-3424.4124066062673,-2234.0797716234224,-1329.2621203074832,-889.4390024665049,-631.0018078884053
-1250.8618663778295,-2576.100283256811,-3850.1818887638633,-4204.472403447017,-3320.8230936099044,-2050.8151686858782,-1230.0472645974437,-880.09912618007,-636.3078594199447
-1508.9222187577952,-2963.8580822415533,-4166.371326308845,-4233.5628324428935,-3100.2560061053537,-1818.248575288867,-1122.5984865458688,-872.2207311816268,-639.5250168543118
-1781.2807792147214,-3302.6317679055564,-4357.690847684975,-4108.879865645342,-2777.959244015297,-1553.2544012944727,-1014.4182132973568,-866.8186129314165,-639.863187358259
-2046.8312652088423,-3564.2363550476784,-4405.15437350224,-3837.284134823103,-2377.8071794915745,-1274.123318043002,-912.2196814578956,-864.3271586302367,-636.4184010923325
-2284.057340731483,-3727.0398199658034,-4303.170672380579,-3438.9556741342717,-1928.9812774781003,-998.472529410014,-821.3738036577638,-864.5990171512406,-628.2762333458261
-2473.9605106813715,-3778.6226041219593,-4059.823915124277,-2944.211181133529,-1462.1528460174925,-741.485720035808,-745.5821568956607,-866.968386235983,-614.6203168119937
-2602.4390770819155,-3716.8715716139827,-3695.051896463028,-2389.083208056033,-1005.8988159077026,-514.7235916450578,-686.7892584350911,-870.364341978222,-594.829896890102
-2661.697925531114,-3549.430495059384,-3237.2557583456796,-1810.6034275348813,-583.9393338040873,-325.5996749739634,-645.3054713088234,-873.4539874669202,-568.5525002164047
-2650.5404679884186,-3291.8049233771303,-2719.153897327565,-1242.6650148277129,-213.5218334046187,-177.47385373902483,-620.0829277388302,-874.7937554769198,-535.7426162210181
-2573.6656035600167,-2964.6654957435376,-2173.7240735025966,-713.0651742910561,95.01689025804075,-70.21263026081763,-609.0745189134026,-872.9695723491163,-496.663615756899
-2440.2819832635114,-2590.9581199932854,-1630.8935005939347,-241.96283396054142,337.71638375987703,-1.0175390192336522,-609.6092520037216,-866.7116389522843,-451.8564317026347
-2262.420188934461,-2193.3297779608088,-1115.3336380794183,158.34986257669755,515.8236076078442,34.67102138497546,-618.7316813948808,-854.9758521614763,-402.08343368064146
-2053.281027533911,-1792.1830069326925,-645.4080980548025,482.6864695194884,634.3472618564406,42.343982012500135,-633.4728391130736,-836.9900164149662,-348.2585781064577
-1825.8491711267445,-1404.4619284924038,-233.0942110659529,731.6225543334892,700.630100001317,27.757824630532696,-651.0397506740721,-812.2679995690447,-291.3751065801167
-1591.8781509646053,-1043.1100092800814,115.41358624892183,909.9429964426519,723.1304523925878,-3.534079617426073,-668.9265287826202,-780.5983695349062,-232.44020669423682
