t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
2011.9999999999998,1870.7049999999997,1739.2199999999998,1617.5449999999998,1505.6799999999998,1403.6249999999998,1311.3799999999999,1228.945,1156.32,1093.505,1040.5,997.3050000000001,963.9200000000001,940.345,926.58,922.625,928.48,944.145,969.62,1004.905
5625371.3377612475,5047595.292406073,4474967.734325536,3910486.0534107755,3357647.818672556,2820590.972192297,2304203.282127648,1814183.7412460146,1357032.9137629075,939943.4061586751,570556.510000801,256547.82580711183,5004.895744286729,-178434.52118176353,-290701.7200795024,-332669.09208480973,-310735.5491591679,-238538.72866782683,-138648.2484724682,-44026.44641207837
4547161.049484025,4230136.932938002,3902011.460761553,3558223.333328194,3195485.194958948,2812320.4574821237,2409649.6603787527,1991378.1224990764,1564895.468601821,1141352.596002405,735541.3331245155,365180.4108848778,49427.61706953779,-193485.92848339444,-349448.67082445364,-412198.3248350462,-386992.6835172968,-293312.09671036206,-165464.23283177186,-49974.95715200395
1144018.0032327939,1199676.6228262982,1243214.535060495,1268299.409661875,1268506.7301153133,1237664.786581377,1170498.4280467741,1063588.5389539562,916587.7889274822,733518.5210297438,523836.7369268361,302811.8222440986,90708.28238640197,-89651.75077346906,-217038.4839117821,-277182.22468356375,-268110.2958871209,-203542.27489884966,-112263.42603578042,-32129.149810629875
-15117.377813712064,41607.581386496495,97500.0326054992,151473.24703469308,201686.4594810051,245400.72514740805,278985.0048398688,298163.6508712422,298595.827644189,276834.016582765,231602.68141146895,165164.63658528755,84331.60948555026,508.9401360407295,-71824.4911614691,-118466.46981265621,-130214.98939419915,-107531.65172984735,-62900.48271802289,-18638.655728724432
127209.92679594147,109182.22868729354,91386.43874311748,74261.62084610082,58601.94326345778,45570.806886412436,36560.17303554803,32817.035891183565,34811.52343988656,41460.634257080004,49541.09632551612,53831.20208688702,48513.114449772394,29905.25017245186,-382.26512340009765,-33864.18388539356,-57410.83515687192,-59925.05732894347,-40662.01431819448,-13185.27257456027
179799.3076976334,164210.8683217274,145360.3098150449,122141.98341647966,94276.0963496911,62784.08891580399,30386.363164566184,1502.8258870835825,-18537.12485987481,-25300.59637309695,-17752.325708706285,-295.8504757948554,17407.82165361598,24137.237035749702,13533.625378715455,-10449.984840902534,-34052.06439555293,-42198.28629229224,-30338.301727274225,-9785.183209304389
88779.05125316585,92682.03838651361,92942.38839261649,87766.6765198204,75749.86103846913,56501.606225442876,31444.51652447706,4401.110357340127,-18663.836319553866,-31337.432543878287,-29829.16660307434,-16101.752076721641,1359.9285931598154,11131.669032195201,5957.802244748052,-11259.624193814998,-28327.364800900432,-32708.805283380378,-22067.045560630802,-6609.435791613604
24421.408464824133,33653.326746283405,40471.85641770209,43381.20052835753,40883.131796689966,32017.03852472895,17190.457619213532,-1040.3864709840398,-17912.596521582127,-27828.70611419123,-27187.996799286277,-17322.615173852802,-5061.379483269923,811.4701639858322,-4232.491051556816,-16382.881357116165,-25930.742831303072,-25204.941170200545,-15148.084406040269,-4145.901497488292
342.0057528799055,8367.09538029744,14804.217577287474,18503.6229447285,18198.48914731738,12977.635243261342,3055.992757343007,-9497.739631700351,-20760.79241182379,-26342.24888665333,-23988.7716588759,-15822.930069865233,-7905.427012817054,-6311.108567911988,-12232.67820861539,-20580.373362676088,-24076.555825512984,-19493.039332995104,-10165.777636741257,-2527.7265420675353
-9271.667744015496,-2356.30308851415,3249.8745312012793,6510.996793372798,6262.758707873458,1719.8975219343297,-6719.128276213633,-16807.541956492056,-24718.246020586612,-26817.375208707686,-22325.347036284882,-14750.57489173035,-10016.962862171558,-11877.040712388198,-18470.144764204906,-23703.002075005275,-22577.722516463593,-15378.702997914525,-6825.234760215421,-1556.9579249703702
-14781.863358239214,-8202.295809723126,-2928.5888958006694,-41.316271508364764,-729.2368169596883,-5656.172537726937,-14030.564272098598,-23022.815325981235,-28517.60314049659,-27568.46771561996,-21140.31907510842,-14335.682121784825,-12722.816480263302,-17417.258822614323,-23831.098125613797,-25780.89107256483,-20933.080403054108,-12252.778524957903,-4705.227706932923,-1099.3352243320878
-16984.733123487305,-11013.213808975619,-6485.862363341237,-4546.767792173043,-6333.509479580212,-12181.739211829912,-20632.0228766442,-28167.74598359503,-30743.477124384357,-26851.094866334002,-19624.792731097885,-15070.254450428725,-16951.412840902045,-23155.005676666795,-27607.83247193917,-25862.930599138443,-18563.929663836687,-9919.307174739917,-3754.203476264644,-1141.2111155805317
-16137.966056052202,-12074.08668513642,-9474.479576233773,-9329.788686469137,-12397.105161378438,-18401.623428014962,-25323.55785805727,-29779.20186681462,-29115.06901606704,-24008.691930151595,-18741.995358061296,-17801.4343984674,-21668.542162512742,-26351.042668789378,-27233.037464887948,-22988.821022233682,-15849.118918274908,-8992.402000255217,-4232.514846579306,-1702.2447588508896
-16914.504520532937,-15577.363093255459,-14914.866804697318,-15331.072695096449,-17053.344551360417,-19791.365984790482,-22544.24110712662,-23972.09014425763,-23364.36176517607,-21417.511563349966,-19811.805916787776,-19730.539708005832,-20811.692432501506,-21614.230329274444,-20927.75235285532,-18517.009942776855,-14874.1782178737,-10635.344568017405,-6343.329182618887,-2691.9839273471052
-28039.86656433273,-25574.092339532886,-21638.55988883738,-16197.79570285629,-10365.294674938928,-6538.844007854323,-7240.82298454919,-12684.831161717622,-19223.30479484149,-21462.245155381454,-17216.844527714577,-10040.10555453887,-5907.786035570863,-7640.7238762981615,-13064.933266800384,-17796.75062532767,-18767.70473153453,-15519.96718596754,-9604.422021119048,-3694.690774559025
