t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
712.1749999999998,683.6949999999998,660.1199999999999,641.4499999999999,627.685,618.825,614.87,615.82,621.675,632.435,648.1,668.67,694.145,724.525,759.81
431765.7950284236,370596.8250618508,310799.0529443155,253100.16321102832,198277.777948215,147169.0680643133,100671.93316405799,59732.67948496674,25313.331437371264,-1670.1274480905083,-20448.880195395617,-30552.987342498127,-32024.592652574516,-25701.294440521193,-13573.391917712413
606680.8836989829,528864.4507296275,451452.8549642342,374877.8601047256,299842.86129831657,227396.78315451942,158982.420918762,96439.78029460742,41938.76996259501,-2188.1143828501627,-33740.54485540381,-51088.45263850745,-53744.18142930957,-43017.95206421044,-22649.07619156142
492901.70612556353,443321.87276594224,391772.00194369064,337616.42895738455,280670.0745670271,221378.8824237772,160991.10127600038,101673.64188062686,46504.100513435296,-746.4760180390809,-36118.447016643106,-56288.86263531026,-59652.05330029444,-47441.836637647684,-24513.814721541752
257172.12771035993,246287.68922347113,232248.3876920528,213654.96759353275,189421.46396494593,159018.72120573546,122785.15789858371,82243.63060611849,40305.152020415146,1189.1070911121205,-30118.359264768893,-48963.6305844127,-52570.41500411186,-41602.81191731631,-21012.73731856994
71996.75697536525,82066.76687504952,89825.90953639889,93986.9382054483,93231.49118458614,86403.25568064374,72848.7154404788,52870.11817211663,28167.32251076472,2043.3352887147344,-20909.159378649987,-35846.76846293809,-39361.952481223845,-31275.234336706275,-15563.201549396214
-7183.267296006285,3914.8591459710715,14273.62352503675,23251.998279118747,29959.17934600403,33316.98147564189,32273.482556308623,26189.55411887115,15341.497989125863,1357.4859982137866,-12715.044620924597,-23019.4304566072,-26253.818895492102,-21379.081911923477,-10737.64275124005
-15995.825316126491,-11711.131337872708,-7238.349757671647,-2648.6332472137606,1786.5853044216346,5548.095412101157,7888.499338043547,7979.764953369553,5231.78555417784,-255.75159853417415,-7293.92716449447,-13591.613813095766,-16452.58636207942,-14166.087756936791,-7432.388969690652
-3992.5276184118607,-4906.140200976482,-5568.980106579284,-5829.3592521177325,-5541.616454889934,-4638.802871045574,-3251.237930413504,-1822.9346765925231,-1108.6463493638812,-1904.0129752641133,-4476.268481017474,-7972.597488301945,-10404.261377067254,-9692.361118325762,-5410.651327430986
4175.704720756366,1737.78304175431,-756.4912723267645,-3187.302157286789,-5275.968728701082,-6614.945544916814,-6825.560786064787,-5847.916067945934,-4219.769587947454,-3039.770678966798,-3361.971308465149,-5227.949449316812,-7176.370634035307,-7094.63921962228,-4130.9029624110735
5295.757342408736,3329.6226663726616,1063.6881499744245,-1480.5433563252602,-4055.793151188374,-6164.102218534027,-7193.97319370305,-6775.763017773001,-5211.709706732329,-3579.8748767332554,-3133.2616226539635,-4203.745597087958,-5610.816867594968,-5509.644702408656,-3200.735818236646
3192.1912361785808,1997.870811239154,443.8610891654377,-1503.5452694236074,-3658.2907801183305,-5563.8857778126685,-6608.427336831077,-6378.746700900719,-5098.8150116319075,-3718.9813754871343,-3301.1900433667306,-4025.3383675571604,-4839.157690459961,-4392.889575848883,-2445.780265097892
856.306961007673,86.85894166621046,-978.28754901607,-2366.509069617306,-3918.712264436635,-5252.970575459636,-5886.932096890956,-5561.978076349682,-4574.865666126773,-3715.459440246467,-3635.5648651335273,-4155.332318040853,-4348.00329130784,-3486.6551318337592,-1823.3200834808351
-790.9618452367313,-1456.8701533447354,-2309.2840171991575,-3330.819459174552,-4354.60341753378,-5073.396446626888,-5194.763396636047,-4712.068519970279,-4045.474545676238,-3765.747961264912,-4019.5203033804523,-4284.826714099089,-3877.3920914324067,-2701.1104420207807,-1338.723974656491
-1892.0976625924538,-2564.2255739224547,-3309.1122815325853,-4055.8466110332847,-4626.096927917809,-4802.168349624198,-4510.415147927587,-3995.4868003857205,-3724.495815643767,-3947.5443565465025,-4333.735426136639,-4220.736786900067,-3316.842407548217,-2027.0579385421786,-1004.9881061271958
-2764.7507568895758,-3365.113712379416,-3935.609935194827,-4371.865202107407,-4520.738693026105,-4293.930991920738,-3830.785097319785,-3516.9552724361756,-3682.3659254988142,-4180.387173506868,-4393.825236579211,-3828.7657001486423,-2649.010224845508,-1494.0265851015697,-830.9515699136883
-3495.5835936487333,-3820.116482261335,-4046.1848863740092,-4088.3761628017137,-3888.287820591254,-3518.6498525590077,-3238.547063229422,-3339.315196907643,-3808.694660262601,-4190.16435039745,-3952.961423559338,-3040.9286678050917,-1933.2260257850082,-1151.9676493585666,-818.2321804116186
-3778.6260685881343,-3579.0000175461287,-3302.4103081199078,-2967.0168350044446,-2674.2472210367496,-2599.373431972805,-2869.849225636546,-3373.7082696413036,-3720.8381529714898,-3527.3387090192064,-2791.47431931436,-1911.25630327667,-1301.8911890794866,-1055.2711857267432,-956.0016466289316
-2872.0369565492374,-2011.1213604852614,-1275.9059832300522,-876.396406859059,-1046.728178614846,-1807.96375192545,-2750.6367242887363,-3189.5133554771587,-2740.1222375638627,-1731.0714453591625,-895.5476043039905,-678.100888952866,-940.6866720062869,-1237.6288124853718,-1210.414816444268
218.5923168209333,1510.268164331394,2214.0548337149717,1919.7261386575904,505.4770316619083,-1403.4413084736095,-2518.5634471962203,-1922.5655736721183,-127.23507626870133,1313.914312772825,1344.5380167695116,231.2482343253988,-1032.734949283477,-1676.5413869394774,-1510.451306754865
6139.116007793649,7005.084793620838,6606.840359479642,4534.069041829131,1306.1576431734225,-1279.1170730801039,-1251.4566824904314,1415.9480726216348,4320.276635066354,4958.346522993245,3073.3977562536957,311.5191481596899,-1668.330837049012,-2256.5999800474256,-1736.6360259350654
14222.6767768325,13187.196691937237,10290.870781574535,5612.403522251259,956.4329655969855,-670.4050188799927,2183.938123092422,7073.1716505469485,9556.472397462125,7656.163784934717,3206.194372061871,-795.3993587382945,-2751.5091314462748,-2750.5482692000237,-1724.0745593523568
21773.23778233434,17296.157893503216,10982.003053278571,4050.3307564066918,-146.01214041040214,1565.1247088627938,8067.704148762261,13555.454028719754,13120.708349868659,7466.898009093013,955.3690375474474,-3056.8400802102806,-3957.064472314236,-2841.8294413567273,-1292.790599519365
