t1,t2,t3,t4,t5,t6,t7,t8
265.82000000000005,271.675,282.435,298.1,318.67,344.145,374.525,409.81
3245.6435372246387,2411.2810926889733,1652.7604524240487,1006.1043526124246,507.3123944369289,190.19196270687783,80.26069030664348,181.13406982166214
5971.589327547949,4378.681595145678,2919.2421710501426,1661.8641130214207,678.1005743596115,37.73532952246677,-204.86495538769793,-40.149974989440125
8229.825746111877,6028.8976640435785,3995.1907790182613,2223.376360731936,819.3443289378531,-107.61468053739907,-468.5015315088497,-243.6850729684993
9870.541103780453,7258.053338970068,4816.84764929425,2658.9578463425464,922.2038991764198,-241.0019836314271,-700.279049636066,-420.89686067432297
10823.778103067376,8013.939227985952,5349.536864580909,2950.1001375127275,981.4137583745357,-358.7281250362908,-892.6132360876037,-565.6763985101072
11100.724631588442,8297.562653920353,5589.037256662409,3092.3237277663447,995.5232432554008,-458.4856028869427,-1041.1494719058855,-674.7350829919246
10781.750695135368,8156.334122491974,5558.4166259452995,3094.0849867159977,966.6619760755757,-539.4027746825402,-1144.8153897671866,-747.6098037498068
9995.203305730174,7671.20623002755,5301.435651630155,2974.1390035599816,899.9143515426772,-601.9166244478922,-1205.5162381283062,-786.3547849441109
8892.342541845188,6940.9789845953865,4874.1344304658205,2757.9833668195997,802.4393057491556,-647.5165789583082,-1227.5578508398578,-795.0016665854737
7623.662605181368,6066.998916976048,4336.28873396748,2474.069745953632,682.4917599139795,-678.41688853102,-1216.9108368150683,-778.8935395076815
6320.502324272977,5140.763173305591,3744.123283473735,2150.38466149164,548.4914334613503,-697.2157785509064,-1180.4340876315437,-744.0001254130342
5083.905093723445,4235.821962273807,3145.141406913649,1811.8152192084663,408.25073793534693,-706.589117229311,-1125.1593624730554,-696.303816092048
3980.7714270932374,3404.2185537990263,2575.3481591478026,1478.4916634269468,268.4273912183027,-709.0493967835737,-1057.708886807766,-641.3170812726787
3045.9263230808137,2676.801011456557,2058.653411772373,1165.093117286592,134.22061714743532,-706.7825231498579,-983.883209038439,-583.7590432483732
2288.005368366875,2066.2276571728366,1607.927385402958,880.9539311069807,9.291190447857957,-701.5594159229624,-908.4245586492323,-527.3898054817314
1697.007773580637,1571.3701241078468,1227.0611657861016,630.7303771262102,-104.13990703560017,-694.709129003451,-834.9366705994407,-474.9798663542085
1251.7719541968752,1181.9956656362942,913.4246438446265,415.37540638009887,-205.0708942477887,-687.1356497100959,-765.9275486393037,-428.3802286443461
926.2496323794917,882.9458490832235,660.2534246827329,233.20451448387942,-293.4328679654763,-679.3608358960715,-702.9364562806089,-388.655829820934
694.0732484436553,657.3940891163285,458.6719441339741,80.89595337880628,-369.78541646461366,-671.579470814778,-646.708428902477,-356.248410780062
531.3944475538826,489.07186918606135,299.22399832865494,-45.66642305169603,-435.02943802265827,-663.717395569122,-597.3860237033526,-331.1421669098225
418.26885180039346,363.5622505388972,172.90650891146615,-150.74333950870238,-490.15974707753077,-655.4886650360852,-554.6962413215745,-313.0140015267671
338.98787088963945,268.8671245914158,71.77913790059688,-238.2788788771142,-536.0695014430943,-646.4516984251127,-518.1185615464041,-301.35812134262216
281.7589795585632,195.48241738679968,-10.743854164790946,-311.6005841225557,-573.4112291576212,-636.0669669012209,-487.02661963435327,-295.58105532305126
238.06605843638837,136.19203839996328,-79.81098853529694,-373.2456015065625,-602.51533532341,-623.7597383084253,-460.8007170900962,-295.0675998976075
201.94631902385055,85.74342007137452,-139.16871686181184,-424.8803389066111,-623.3656889729192,-608.9908577544228,-438.9111606735423,-299.22082443577517
169.32959826452893,40.51424291722665,-191.24870124623473,-467.29026434039747,-635.6320053768231,-591.3366731111424,-420.97373490788345,-307.4804937712463
137.5137801711207,-1.767692665030964,-237.26907335269254,-500.42813009047046,-638.7588331624113,-570.5762871786606,-406.77895982977213,-319.3245390784745
104.79992546383208,-42.22727311565717,-277.3365044460808,-523.5198812577672,-632.1096749589699,-546.7807041752086,-396.2966984201757,-334.257957330895
70.27907695687918,-80.97125687103504,-310.5562578123943,-535.235221628745,-615.161077937804,-520.3946519726821,-389.6576087699624,-351.793071452384
33.74396510806744,-117.16718675669902,-335.1718659503337,-533.9322167789958,-587.7349667393459,-492.2985883291053,-387.1132067808489,-371.4246561644979
-4.312405626528992,-149.10844480523883,-348.7635722078162,-517.980953377056,-550.2484253824953,-463.83646529092584,-388.9770841264928,-392.6031428123471
-42.65660818602889,-174.30893585979075,-348.5339125087406,-486.1595739291788,-503.94994297766226,-436.79508538240987,-395.5511194145166,-414.7089869969372
-79.28296307703695,-189.67124378647435,-331.69857927362557,-438.0977796932726,-451.10220055604725,-413.32402367831213,-407.0421787406199,-437.03127272098476
-111.44077447500558,-191.76415746869714,-295.9806252877715,-374.7208266033618,-395.06688382532434,-395.7913865624365,-423.47654301860086,-458.7536402492418
-135.76616118537598,-177.22773631092076,-240.17757509165926,-298.62588160023006,-340.24991603714847,-386.5797643775941,-444.6207501011247,-478.9505314300993
-148.5500843662424,-143.2965215080479,-164.7382495430474,-214.30875746386457,-291.87819580155804,-387.8374761737151,-469.91829597321237,-496.59640239833124
-146.15015018021546,-88.39671960942779,-72.25613866152459,-128.1593134412149,-255.60175908470137,-401.21075400044793,-498.45134389786443,-510.58983134466644
-125.52092034755184,-12.737175340912728,32.231852696465296,-48.1634437575526,-236.9459120731181,-427.59059902249743,-528.9350148820802,-519.793269610648
-84.80062636059805,81.21432278560998,141.24930628066633,16.710018499382052,-240.67107053921677,-466.9114520888748,-559.7489500549236,-523.0875529390973
-23.85956458467401,188.48822157522707,245.26431847956485,57.40222175885907,-270.1264210976303,-518.0360001306935,-589.0068638872194,-519.4383223642449
55.302930025012955,301.7067416847164,333.47312055051964,65.83864949301407,-326.6992454260773,-578.7510109166205,-614.6602102522259,-507.9694362030557
148.42119660634998,411.571265068432,394.925341686622,36.0320277846273,-409.45874160936444,-645.8841450499377,-634.6275158308767,-488.03662037645125
249.16134256395725,507.7310428352835,419.85209667370685,-34.969184807756804,-515.0692742871059,-715.5337139694778,-646.9371375158125,-459.29338537069316
349.6728386967795,579.9393876242498,400.99437500977547,-146.4635175736227,-638.0062131554132,-783.3857198798482,-649.8688573992445,-421.74098389102124
441.43996652449107,619.3304308044419,334.7023018563048,-293.9411941362682,-771.0558907269575,-845.0787428121259,-642.0793239294237,-375.75512014041976
516.3104936702847,619.6052305762464,221.5979038219294,-469.44284193663634,-906.0309168973688,-896.5701176085147,-622.6980447252755,-322.0842747710539
567.5314215407587,577.9156705436252,66.6647693276927,-662.3895345567763,-1034.5945411925495,-934.4577324795405,-591.3842238424863,-261.8176616066096
590.6100700192068,495.2823845595817,-121.26663536012738,-860.7531278425683,-1149.0713994433681,-956.2202979083488,-548.3396526063681,-196.32453856084445
583.8484386202566,376.4697025108801,-330.55391131346636,-1052.3750946779414,-1243.1299486424791,-960.3530919315749,-494.27830323736555,-127.17025884226149
548.4634915315032,229.34574574851982,-548.1168089858688,-1226.2229518005677,-1312.2512591082975,-946.3929420092591,-430.3583528916288,-56.017441330984525
488.2895142420183,63.85324921954743,-760.9138946522927,-1373.3986597796843,-1353.9417097861808,-914.8422388685611,-358.0862979429998,15.47756124908068
409.1396519582869,-109.2171947713705,-957.2829600269604,-1487.7741991126115,-1367.6931359252333,-867.014285028366,-279.20507455052723,85.76241035491563
317.9623460040132,-279.43919666290947,-1127.9539912767807,-1566.2087011906747,-1354.7331846345849,-804.8295240253406,-195.57849538109275,153.47145676330337
221.95219483627304,-437.7617055648019,-1266.625147344724,-1608.3791367100268,-1317.6340591897715,-730.5937394101725,-109.08300627276924,217.4864845842092
127.76181853448381,-577.1943978401358,-1370.0848605874187,-1616.3158039942368,-1259.8567404495986,-646.7858986050355,-21.515199772181745,276.9718489554284
40.91957468614452,-693.1202221844493,-1437.9442630186602,-1593.7650494225811,-1185.3015996969812,-555.876491021532,65.47971338139061,331.3836895624312
