t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
540.5,497.30499999999995,463.91999999999996,440.34499999999997,426.58,422.625,428.48,444.145,469.62,504.905
-29141.156307950037,-599.9763653251085,-2838.1129557399067,-3602.9796644146795,-3306.7134727503626,-2365.948565996675,-1186.8549555401994,-136.84884081980596,508.2779775702266,656.2621805339738
-53319.54215799532,-1728.7633333152555,-5756.296185973751,-7169.485191659179,-6635.084670507048,-4883.103114096982,-2662.4675918418534,-675.2451407121458,537.6843909571302,788.5531137447781
-68219.10715535397,-2799.0108339766484,-7947.370270696122,-9862.502962960385,-9220.497711318842,-6895.835816742132,-3871.7954466842675,-1125.9957885459871,557.3364274579575,891.4253332078532
-72766.26151698973,-3655.433738165743,-9216.074513222578,-11474.001461597076,-10878.4646385922,-8268.670526944004,-4736.6038266412115,-1459.971494377859,566.750333671522,958.0471860898608
-68441.39187104868,-4138.417826448123,-9542.252834278333,-12003.682503579312,-11594.148510721177,-8975.959079491544,-5234.480419929985,-1667.0401144161476,565.2188727081876,985.6612334079668
-58285.348740990325,-4158.259093589004,-9060.722602560174,-11620.630908553803,-11492.906039924092,-9085.924099687792,-5392.5354444705545,-1754.42318098322,551.9764563948554,975.4295891421885
-45655.29866762657,-3735.305364286768,-8006.033593610703,-10591.170639625541,-10783.852680923595,-8727.015377270862,-5271.893192251154,-1741.726135212859,526.6203509434489,931.7129758824649
-33269.23826388864,-2987.69889465741,-6644.625974691981,-9202.632869449106,-9699.580850279799,-8050.313126317787,-4949.329836579953,-1654.7402164784767,489.53175724664504,861.0125066252208
-22779.79148778583,-2082.498058640805,-5216.501793031279,-7705.370537585951,-8449.410445752581,-7198.815544122632,-4501.388118155933,-1519.8741927890867,442.0867626719989,770.8214497666261
-14817.573206369016,-1180.8766691321327,-3899.7170939589773,-6282.090261839686,-7193.377317628025,-6288.688228068279,-3993.7935436620264,-1360.281138768315,386.5817609139549,668.5961243898563
-9292.311240986393,-401.1510170065693,-2799.791750985429,-5042.039615167385,-6035.378636789026,-5402.278372584224,-3476.5135153912893,-1193.8979719347205,325.9309694724726,560.9828747271399
-5742.811489920173,193.0632390345014,-1957.8804408002757,-4031.5544465730677,-5029.291864057341,-4589.676912526172,-2983.231270136305,-1033.041677619566,263.26448260950923,453.3556622722218
-3610.1573924557183,585.4224291123172,-1368.4175258723392,-3251.729808281359,-4191.244513862398,-3874.8963587665007,-2533.482515665579,-884.9856728015202,201.55258984421067,349.6461190035308
-2396.6072608509194,790.835458513089,-998.0889805035843,-2676.332624726152,-3512.854026849026,-3263.4521715332176,-2135.897441962887,-752.9830658829496,143.33003534361455,252.39768825459856
-1727.64831829321,839.7876988233023,-801.195878682286,-2266.2707063752096,-2972.5085063693173,-2749.3405779559344,-1791.4871900151177,-637.3731635719789,90.52649791987594,162.95241392767701
-1353.7910721469407,767.6245096943912,-729.772902901879,-1979.5728022728126,-2543.617309214541,-2320.4856657150813,-1496.418923043458,-536.5984970556148,44.352705989080135,81.68098133095852
-1125.3406845563904,609.4571583275765,-739.1300936248053,-1777.4113563490062,-2199.888357980761,-1962.4529064505703,-1244.11219030917,-448.1211088698433,5.159240886039019,8.188074391423072
-961.7916339223232,398.89310765875985,-790.5265372504458,-1627.2633120883086,-1918.1511835388815,-1660.612750319729,-1026.7552532087448,-369.3448010617166,-27.81415377110506,-58.540076982658206
-826.3579371215687,167.89137427641856,-852.6092087525002,-1504.1326078897685,-1679.266677172663,-1401.1144749148687,-836.5273627145201,-298.7157283028143,-56.83533752399449,-120.03591153410213
-708.6179548851866,-54.415330964352435,-902.3361807711455,-1390.1834533133826,-1467.5048234462793,-1171.1458686866306,-666.9546586628652,-237.1556805718287,-86.15305277925671,-178.24272089513315
-614.1864809830726,-244.17951537855708,-924.7433311234471,-1272.5170826234753,-1268.6802015847468,-959.1205395816955,-514.8939450625329,-189.8173562459298,-122.30619231174835,-235.306389259323
-558.4918640637823,-384.13505407302245,-909.791668340851,-1138.5867266500486,-1067.5276308635102,-755.6618595498651,-383.50299161428643,-167.77572509414983,-173.83410444648663,-293.1690084014557
-561.1476328910258,-459.688096448617,-844.6822044866973,-969.3215307335184,-845.3757608921832,-556.3667556755352,-286.0182392591984,-188.71483260814222,-249.858289094166,-352.92205446118703
-637.9021561810197,-448.0753230756019,-702.3766557634989,-731.6328379131767,-579.9477529476609,-366.9433617242189,-249.1056816637444,-275.1910519324901,-357.2062214695414,-414.0095884751353
-789.2208164971627,-306.2454304781399,-431.37406208783636,-374.17399401760406,-249.4581344047972,-209.99290015626156,-313.2535033599657,-449.17878811052583,-496.3960278519976,-473.55338390793685
-988.3958742220938,28.666505303235084,44.35719283146135,168.37443929186574,157.8515086256004,-130.4785492577115,-527.0545899790488,-722.889143936317,-657.7892953897606,-526.2056052634609
-1176.193707147602,613.1109641887663,807.1427664878856,958.6177029130554,630.5333342788376,-194.8910987206614,-933.5911175726637,-1088.283674647298,-820.0195060480636,-564.8851860962643
-1269.8708916695434,1448.873455952607,1909.1719631655428,2028.8563954673439,1122.8467254583734,-479.41113488083647,-1551.0880511401583,-1510.1272204295349,-952.6273989387586,-582.4429324517214
-1188.6235951049603,2442.195269499496,3331.361040692637,3351.894485303749,1553.6923591228067,-1046.6934657692025,-2355.0662607146505,-1927.7794961886407,-1023.2328256337948,-573.8170201904077
-886.5283428956241,3410.4123803651905,4960.660996139421,4824.969281447565,1820.8789579354452,-1918.2184472270242,-3271.752463030692,-2267.766506850338,-1007.0951327638082,-537.8549219941542
-375.5202812736554,4151.920268692864,6604.956085064772,6279.166264041122,1828.3746649035834,-3054.812430935365,-4189.138069724208,-2463.500430839909,-895.0950402066511,-477.98431759919174
276.34755247248825,4546.1098114072975,8045.39114369257,7515.48175797392,1515.8870888614533,-4356.562581717317,-4983.383890037438,-2473.915437053164,-696.4943982466693,-401.39314935474107
971.8295967014648,4617.332227804176,9102.7967510972,8354.667844466298,877.5969720210061,-5684.076541910343,-5549.681043204704,-2292.8709024945883,-435.3911290457945,-317.07839493787185
1621.706090905536,4515.855018801701,9685.186636885432,8680.662565911569,-37.22221108321402,-6891.742414801189,-5824.563436322668,-1946.267172023272,-142.97230468327513,-233.6192785010044
2173.03630669767,4428.040996412761,9795.409138709161,8461.91067305602,-1138.996718103425,-7858.539368686984,-5792.540192941739,-1480.305980959054,150.62817282900198,-157.53591952580433
2617.6493055798273,4477.120805060161,9502.89998824474,7747.292836719317,-2318.9717699484286,-8506.129239837339,-5478.89895673341,-947.7037561503615,421.7440748098122,-92.66322428956323
2982.528538904457,4674.814951367566,8902.28572451932,6644.45779897889,-3468.474841576197,-8802.800135561822,-4935.973434225505,-397.3499339459886,654.9251164872642,-40.42448074208261
3311.023520148892,4940.348162025149,8082.2441880495,5291.857577824888,-4493.214222558568,-8758.04910096215,-4229.555557364796,130.9451541514245,842.0537246205058,-0.5564551535738929
3644.153525574003,5158.554184822501,7114.246056923783,3832.7607700959034,-5323.13627869365,-8413.106872754624,-3428.238828354498,608.0057324672334,980.5255983550483,28.166054014769202
