t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
878.9449999999999,806.3199999999999,743.505,690.5,647.305,613.92,590.345,576.5799999999999,572.625,578.48,594.145,619.62,654.905
-255303.8764816477,2431.5425701678614,-17762.846916733277,-29369.153883642422,-33842.59781152094,-32753.658534227216,-27744.331749699566,-20481.526031601894,-12592.450948455129,-5563.109294889913,-577.750486694868,1724.977173801751,1603.465137767383
-398957.13447068294,-70.91356243608548,-30619.848072037836,-49454.09741938439,-57536.51025237908,-56547.1372374676,-48697.8914436709,-36569.407755616274,-22932.381847282457,-10500.394268821723,-1556.742774238525,2591.006218619549,2342.113814025428
-395932.41141407785,-5071.8355593032875,-34268.792017199805,-54769.955704654036,-65264.63044340024,-65964.0570355266,-58344.310662377335,-44882.602964074584,-28765.463205144177,-13485.12997395706,-2219.9726668751364,3064.924395430829,2744.035336222074
-295565.62424428685,-7669.042864690693,-28992.264403839537,-47355.70617835634,-59092.50090791388,-62419.74272997763,-57376.68835288651,-45607.702549776266,-30053.622224285566,-14464.89436980764,-2582.26593462359,3094.676467363192,2783.424738506284
-174202.93019574872,-5433.546596823199,-18430.854287549748,-33338.11735734306,-45319.26217126286,-51140.97254788544,-49503.27551820305,-41010.33767978162,-27963.066347475873,-13908.980815530042,-2744.491310851997,2732.7185711604006,2525.491442575843
-82345.2891105572,-122.63162835404535,-7242.158917377806,-18892.365128671372,-30295.11365116132,-37676.8694638604,-38951.56635175121,-33888.26347125402,-24049.521279442542,-12468.54032890125,-2812.254143809464,2107.5376242391394,2086.148962217892
-31993.232487013316,5034.137533867146,1283.4300649645036,-7750.659157587504,-17962.004913555105,-25736.78777713879,-28795.84414592868,-26447.895700960595,-19624.66726214894,-10705.66836652953,-2846.1704985461397,1375.5944838528144,1585.2233541086737
-12311.34327587851,8108.714344621346,6098.060582294095,-933.4850155926338,-9618.256955276456,-16841.3374636272,-20547.837635516582,-19939.03367408987,-15509.495461141743,-8983.542645835798,-2858.9945090450965,674.8334206872335,1113.3692889104811
-8097.280553876168,8997.765374796043,7798.542468193903,2241.2419816185047,-4867.141935026983,-10995.521580991212,-14530.185168786129,-14808.566120260646,-12075.658790396228,-7479.1034191028275,-2837.9522737033426,96.94490153416743,720.3669570608624
-8886.496842810111,8520.386465063833,7558.023179032295,3015.6423988228753,-2666.0853468690225,-7516.827469254387,-10436.429846710509,-11020.493059720378,-9397.062599954063,-6243.027295732152,-2766.3612554440024,-317.00314822475457,420.6643246978434
-9917.310966128216,7501.058373843204,6381.667505788181,2493.4500297533914,-1983.7045940639657,-5600.881357608574,-7758.047121771239,-8330.56250524588,-7394.502699731187,-5256.609217688176,-2632.8603239729946,-564.3368584516529,206.69850238907856
-9950.116258302369,6382.987262415056,4866.577655259949,1418.299739325273,-2049.494775154955,-4582.185971105194,-6015.58826339383,-6455.024697416384,-5932.1493484745115,-4468.092575936728,-2429.775757707179,-663.1449865312479,61.534345772191635
-9146.723690259472,5256.394736894763,3287.3331239246677,228.25756377968787,-2363.8595666401384,-3998.343372260086,-4846.189303162843,-5148.862939177464,-4866.209173957232,-3809.391409715871,-2147.823246442165,-639.0127075517678,-33.7422902091757
-7909.566507899415,4059.6923330794107,1783.9113523037827,-814.3397548903997,-2630.2002590078255,-3571.30806271138,-4014.3867859352135,-4224.784830564659,-4058.064076075361,-3201.129698821677,-1775.9840685236413,-522.5048020497376,-98.7062064576683
-6479.603335739204,2790.634895039364,501.94018414033496,-1538.9169627104388,-2701.5066051332205,-3171.562932509906,-3386.590640696783,-3534.048055127321,-3365.4329170183764,-2559.396610402186,-1316.9747150547444,-360.02141613634,-156.43198276013425
-4923.605461467639,1612.5734829913306,-390.93527867184923,-1866.5512061478644,-2561.746214410365,-2776.6081453327542,-2875.2492319467992,-2918.941311697235,-2632.135855426943,-1826.8206545456019,-827.4798255599775,-233.53917072476634,-235.95612867147236
-3303.401490185365,779.1604973226788,-805.871051203172,-1855.2044625673227,-2301.101761168762,-2388.899448586578,-2337.512160071562,-2156.4747492553265,-1718.631453424284,-1054.3010572241935,-475.56832221802574,-270.02341359802193,-367.2947951116867
-1945.1567340964648,421.82478207532506,-854.6824279829636,-1699.5317366225618,-2006.6398933640608,-1862.032008754903,-1437.081482367259,-960.5675825639031,-633.331526810138,-525.822766446244,-563.7786787441489,-605.3955485870476,-563.1904318525363
-1654.331047507707,298.6828223804557,-918.3117341472737,-1623.847843625861,-1521.1543230617422,-652.6750569871305,420.7661353180439,837.5088708760528,231.63335936262217,-818.6926644591009,-1423.1066013865511,-1280.5914677883434,-792.8704269481411
-3504.417324088989,-608.5506872455255,-1749.1307611050047,-1734.3869551027467,-179.3100654418584,2292.995572642811,3857.732648292785,2892.7285301917395,-49.667130727958806,-2598.3579175437812,-3136.3825011540484,-2118.989802514463,-971.556808637265
-7902.711435955651,-4599.709481873418,-4620.00218839331,-1992.3569383730164,3146.571038776551,8155.073285261134,8898.166831972041,4027.801945784552,-2636.800771090703,-6082.525001647133,-5260.026808326318,-2720.1725725540186,-993.0146940732313
-13472.633441738086,-14562.52036320294,-10978.475647252304,-2348.3665528021197,9389.36309728645,17277.57963707976,14376.083374857662,2562.87760475581,-8075.519369572473,-10548.615637352477,-6885.409426088516,-2663.097131006328,-798.0229244566067
-17148.09382651156,-30766.224618988086,-21017.917762084864,-2802.4566856331344,18314.166578497465,28317.75758901926,18163.018597012426,-2585.2866867047237,-15544.475706691166,-14497.365608046643,-7153.4568541167,-1795.0297025664731,-423.1695664161284
-15983.60993963767,-47872.994457846835,-32117.832358237807,-3131.5302466451662,28194.639736470584,38500.40563916649,18346.088768375743,-10931.971501268075,-23076.281422802604,-16517.683412720493,-5807.349746663359,-333.21512645735527,21.221256407683768
-9053.95246625542,-57523.038393731586,-39434.3956644663,-2532.0879126632744,36682.996919431615,44967.727007798596,14330.05288865565,-20595.883027740503,-28658.164792797845,-16060.807369809105,-3256.201638914562,1317.0004690547248,424.21461210645714
2285.1641331820315,-55424.69287212472,-39066.7304963707,121.81601144438507,42064.65474880071,46055.293025027706,6929.109539111823,-29358.119565474743,-31145.324866286428,-13465.91906938176,-183.3034058801494,2817.0302946217266,727.1492721055857
15385.032155624453,-44572.43938114312,-30880.064816840913,5282.493170558569,43729.95533589457,41671.33186065172,-2243.7611805658435,-35538.31166126544,-30382.77616638247,-9498.143583282508,2825.0740960828625,3992.908905077183,920.0863382752563
27382.253867508643,-31147.046170777965,-18184.15565344382,11997.069654560144,41850.4064656923,33019.40368053563,-11366.87017309484,-38289.20530733748,-26907.77593099025,-4974.319260227442,5385.398985273203,4786.5756883072345,1011.3203675485266
36100.119801785775,-19201.228127353217,-5065.59413967567,18342.379339724703,37004.834972192606,22077.014650674602,-18853.84889520897,-37598.01214573623,-21650.577245656248,-598.2222390664087,7288.818766988119,5196.021211609783,1010.4153534115148
40652.011673812915,-9619.534156864715,5782.089710497423,22572.544564378197,30039.33459194508,10954.188887373572,-23722.783543986603,-34132.95537070341,-15651.091894350444,3133.530617981353,8475.206904092844,5256.445673576461,930.0318908686546
41414.91848905589,-1981.2324527625756,13409.430875906788,23893.628987149943,21973.93717719534,1320.4341308634048,-25746.284309999457,-28925.425580151317,-9794.280613877489,5975.217015530778,9003.05615752134,5032.231523396036,790.2738939030643
39501.846280860285,4041.8197510197365,17932.420652727218,22476.884198999993,13846.49286844874,-5880.463081193299,-25321.19777725851,-23020.61668573118,-4663.162567576356,7897.14904381695,8999.034792307066,4601.252888212127,616.8164088887852
36178.83214763278,8541.988010847866,19889.212504514227,19051.974366674804,6533.502864678629,-10419.85677514437,-23190.256831238872,-17240.470924055746,-526.9486453092275,9009.756249592496,8611.277738096434,4040.3933755083144,435.58754232139347
32477.63695732185,11634.023833819074,19912.83138567792,14482.379065138468,620.9930516683402,-12598.06373253703,-20157.794482494144,-12087.985689254183,2592.9349043502634,9491.659628725936,7981.0740069137,3417.882967917999,268.074155204992
29047.26216823381,13561.638556504837,18571.14566529089,9507.235354420423,-3620.976808922195,-13001.123869302157,-16886.072909436753,-7765.546945375929,4827.697035134628,9534.442729596805,7227.109158981261,2788.5100581392335,128.18501041707572
26194.805337687743,14643.416853353205,16275.4460633641,4670.063874936522,-6179.311712213013,-12294.901243477902,-13806.37984556258,-4260.314644485557,6371.775496554492,9307.221708021047,6436.946306855654,2188.718330778948,20.389187983974352
24010.534860586977,15153.094288473068,13254.29107412664,368.1869389150745,-7227.262255360241,-11095.791865715755,-11120.20055573959,-1440.8471788530514,7424.075205160005,8942.875190337467,5664.720109620843,1632.2145125825325,-60.77034052625474
22482.963286046623,15177.489747473232,9605.896323274568,-3067.2205914535457,-7087.5081346166,-9898.709875657209,-8844.35903513993,870.5858370767279,8163.389411237036,8538.920464873983,4931.190291303771,1106.7352907712234,-129.52174238545436
21566.079421693623,14510.948343807187,5437.5244032792,-5332.189677439596,-6221.085458806857,-9037.9245690836,-6871.247225192439,2857.87521882167,8744.741475286713,8159.441594710822,4219.248988256654,571.7981842456593,-205.84119658562173
21197.951406898173,12701.27704705591,1075.5593180615813,-6194.4667277085655,-5222.383647716198,-8678.381911006989,-5024.136005101073,4698.246553056332,9299.565892179633,7825.30300648458,3460.5106103147027,-40.249506260643805,-309.7363328140699
21275.215059785874,9395.614056517737,-2720.533247729101,-5653.211093265584,-4817.029773515898,-8821.849054726492,-3085.3942036336566,6562.380152150563,9922.680319320936,7484.897025278291,2518.7851104702045,-810.330667012249,-450.9666803605387
21589.6929988847,5102.432603500724,-4736.523148330281,-4262.495546223899,-5815.278292822125,-9273.528509110773,-800.058924218037,8598.977437975438,10631.408967716767,6971.227534453203,1196.3921748835237,-1789.4881336499607,-613.6983513706684
21763.046709878883,2012.0445512154688,-3951.188471549066,-3522.621438079411,-8841.283072594013,-9552.041550776417,2092.301523672538,10876.294968062984,11300.39427465743,5982.2931617522545,-692.3602280038041,-2922.569156819355,-743.6083414449876
21268.47716147612,3236.257659756551,-1136.6950595122994,-5711.002841849467,-13714.940366395878,-8886.135240303922,5735.241797877794,13289.444805268136,11614.789428817032,4151.021736320687,-3163.955038834567,-3982.8807903845486,-755.1853187040392
19623.896208476548,9039.316881994662,92.95683499592018,-12339.740169699897,-18926.063494560916,-6532.495968192104,9962.963381799125,15491.44647843568,11109.281567121869,1237.057020656954,-5905.264783380722,-4601.921690629653,-569.638397275226
