t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
1639.22,1517.545,1405.68,1303.625,1211.3799999999999,1128.945,1056.32,993.505,940.5,897.305,863.92,840.345,826.5799999999999,822.625,828.48,844.145,869.62,904.905
-3412617.3506554277,151891.44230155417,-80374.98778902997,-257550.6370446995,-381122.03695635404,-454591.44931047823,-483106.29472922866,-473140.1183702861,-432216.49099590397,-368652.2999283293,-291284.2527339488,-209132.69073813304,-130950.91603623598,-64607.5491013923,-16255.797921570424,10740.86164451213,17129.928820924586,9300.758566597517
-2920037.921715432,41164.59267467622,-106021.68845931618,-252067.44413379274,-380254.9210877375,-478046.8289256677,-537584.8090057618,-555666.9011696255,-533444.2123957429,-475986.41263869527,-391755.6700577594,-291925.874711492,-189411.08335813225,-97445.13925380944,-27603.428352556148,12706.88889695818,23037.956207556515,12434.808592407499
-959386.8569295123,-9809.534795971133,-19133.27115827758,-68935.62342749277,-143658.3400930906,-225612.86521919013,-298513.402499597,-349667.4733576227,-371068.04478874995,-359786.3271862683,-317972.55676144955,-252549.7442459948,-174449.42727499132,-97097.3767424628,-33906.70934590312,5160.8445393282755,17361.092569007844,10018.80463525359
-123364.0655226363,28661.272652116546,60267.78916739904,58895.24469053847,27165.309467489005,-25068.853782618167,-84974.25834283367,-140151.69941569603,-180721.18826213214,-200332.5588547045,-196588.14456864356,-171208.66034231056,-129931.73268343325,-81815.10318547937,-37519.75341539451,-6423.1495730644565,6919.196806424689,5608.71982812952
-97820.40125927319,23969.75127207003,56551.93970294063,71396.0547914097,64195.46871617368,38492.176535619416,2071.194322041713,-36541.953022943984,-70227.54295924395,-94037.21928315298,-105169.6684447836,-102804.74904584614,-88162.5589087869,-64723.427051078084,-38133.0912729551,-15143.440980206375,-1262.9350563243486,2285.844690146648
-137059.35431543298,-3793.6274757852375,23478.06596786319,41177.095168074666,43612.106702304554,32427.73145229153,13167.736228191705,-8333.230098074993,-27990.291699089557,-43742.17480268456,-54698.96659372022,-60076.833637385,-58777.88896717066,-50092.66701204996,-35202.33359549096,-18181.322314398047,-4876.480658375516,718.3550665440789
-99444.14617223735,-15168.521165466207,6640.97905794173,20915.9555636267,23086.46376178179,15489.195794905074,3489.3933080526854,-8250.191622034248,-17616.69589880988,-24903.88071582615,-31314.05616223006,-37084.29286221376,-40460.13984218131,-38544.17507863992,-29886.730708716,-16881.16571417271,-5240.762542924098,204.1033838810136
-53208.30788548218,-10788.573430565157,6930.341607897459,15756.0664135089,13605.548852925214,4566.93156905673,-5629.035441684049,-13041.565800987972,-16832.891542863057,-18743.100228546868,-21284.950030503744,-25489.467394877323,-29571.37357751891,-29880.716033469565,-24032.24138126726,-13752.759308943023,-4274.700583642599,63.93793871482687
-27756.69335043419,-706.4475244280208,12935.932491654768,15566.234750254847,8590.58975326885,-2276.4244234105763,-11556.851209299304,-16404.65525840297,-17082.302586257192,-16135.342611249205,-16557.670023509843,-19528.38322890791,-23148.629546454995,-23661.447008836098,-18794.524102453597,-10331.604974606083,-2948.930411830453,57.2619230510393
-16671.07015312414,9055.918809974437,16538.228859602386,12820.183158146256,2570.416608199367,-8181.117104321512,-15283.990397118294,-17407.24002864748,-15843.530366440806,-13584.336631212158,-13518.812151132892,-16275.445796763317,-19381.200790146395,-19133.46019495897,-14085.53949722641,-6739.898111157526,-1332.9094120955906,177.284636189962
-11072.582246184767,13554.921652187815,13735.246801088426,5696.071738363676,-4741.171164054527,-12863.734825932646,-16396.231142405093,-15498.17272329328,-12388.761033200524,-10289.064808651337,-11360.11303399349,-14749.253988929348,-16898.849117512458,-14680.919981050469,-8582.247733208824,-2373.3637501606295,581.3144627699362,317.4713017417197
-9402.633770438024,10338.678139722406,5949.949277437967,-2387.40258919008,-9856.159072840544,-13655.343853447375,-13248.886878506666,-10184.986335202839,-7453.8973546656,-7707.30363004786,-10928.530642460357,-13885.667789408237,-12878.597260712715,-7529.403653351274,-1328.797272704624,1905.9224650665335,1574.2433722712976,24.421126341913293
-14878.266222431086,5301.961971615235,889.8628764926784,-4347.698180236838,-7327.075161971206,-7218.05079095891,-5238.968914524951,-3839.972415478576,-4980.652605969438,-8137.186546106545,-10174.116513894054,-8224.643687650989,-2978.5293767997787,1712.2165586975468,2817.3609721898624,975.0817572127207,-899.5763742356112,-1088.6947982911156
-21377.29852813955,12311.17826013009,8795.409596676234,5923.264422108633,4242.532115004663,2431.7363203942914,-830.8403071949804,-4806.6727642334,-6346.330403232947,-2751.8847012776214,4275.080713151329,8801.17555842973,6303.157910299975,-1417.6260237288006,-8135.940481517799,-9402.76368283513,-5966.613047345957,-2002.1544428192994
-8512.002439047517,19111.723402831554,12410.854268685649,4407.528348058792,-6290.141880299041,-17932.19395534684,-23239.317380743785,-13246.405548674862,12076.550894212327,37132.20116137659,40973.95866238889,18211.329332673064,-14153.790135357141,-33621.20551146718,-32252.18020029106,-18662.389595523156,-5875.17373792736,-740.9065091333879
16952.541535031054,10412.015727649967,-13383.107947767458,-50770.35752012682,-91554.89575609047,-111252.6763660079,-81754.07819147229,-1002.0736510998622,86111.67710795396,115092.25806359941,64275.6367607081,-20763.545409046088,-75194.0618295122,-74943.81297712034,-42481.93431338829,-11037.20943290776,2968.427316190649,2242.153146091167
18250.50923924843,104325.9022423891,21309.92747210106,-96686.76205465269,-210355.59518156204,-245780.29186181544,-145700.93755517816,49311.363455021565,196551.97863852527,179431.5828129778,32687.669375796697,-103783.84066727533,-138024.09510838197,-89565.80083051174,-26330.265790938698,9036.377422110225,13786.548026287273,4729.885339116049
-8125.515328066391,218344.87722793664,103984.52299557894,-76010.70180099482,-261469.03978351114,-322379.78566753946,-164150.88915096188,120562.06917770053,283254.5731684894,184333.72611905026,-46619.1487908438,-187634.49664809785,-167928.6727028931,-72014.10393762783,4071.5364231943126,29953.17361255973,22286.38425855508,6402.538037530915
-21341.770481006224,130719.98311041237,47673.098220516935,-97387.64149571724,-252041.03063473848,-284291.4400214203,-96784.3369256084,191010.14405658012,297340.5221934794,116717.47085634904,-140356.94223790625,-234144.42211095744,-153458.10737257238,-31887.050315493696,37108.43688103901,46876.96502060309,28145.90307475647,7456.415876576432
