t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-20803.591632196796,-16220.942691030534,-11905.83551895234,-7999.921990937985,-4646.494196305307,-1985.4613252773281,-138.9104137312612,820.7517938675642,931.5103022382406,446.34150180547783
-39021.01885401299,-30588.903925190018,-22601.637049537327,-15309.692590104298,-8984.675978028225,-3910.3385025453263,-350.44504618137694,1522.681735292315,1759.1709463369405,843.1607783733941
-51826.662406280615,-40970.25547646095,-30572.355641900165,-20935.624255055434,-12430.905252031673,-5487.573873435373,-540.0698705829923,2095.072163889068,2436.557810253923,1160.3065781366422
-58137.60197472346,-46510.8655182025,-35185.75108495,-24451.43017640204,-14737.133795497135,-6608.675714636765,-693.7255943355493,2503.0914508712235,2920.7803098913464,1376.3085226521764
-58212.879582733556,-47316.13621246862,-36440.13499325331,-25801.65727556419,-15840.543619865637,-7232.7980694196995,-801.2361207848928,2735.0266969396303,3196.118984903703,1485.3231329572393
-53361.416348859704,-44263.74964106278,-34859.28403702693,-25252.46585070501,-15846.235932534177,-7383.779230059379,-857.6540733923888,2800.5678562729377,3272.4278432707342,1495.6585806985363
-45429.03191773413,-38655.959178475925,-31280.231143023168,-23278.607715390553,-14977.810770774773,-7135.366862612041,-863.7181736626831,2725.4477404211657,3179.1572367611225,1425.7255128186043
-36271.00278228403,-31849.653200784647,-26616.980209005495,-20430.032174358446,-13514.480186791436,-6590.140157896923,-825.3099567399781,2544.3316756991007,2957.1307997010103,1298.8997475660083
-27370.21397008801,-24975.779928069,-21670.771621696043,-17217.47274700325,-11732.946933012376,-5858.120013649283,-752.0830755399932,2293.8661147599096,2650.3004098176775,1138.7399334547913
-19666.16624596869,-18798.925002051852,-17023.244106007493,-14040.020164886813,-9866.178883020157,-5039.676098462781,-655.6565095642266,2007.257801842764,2299.1456930911454,965.5287638230922
-13570.810274440108,-13707.634577698209,-13012.470877541527,-11158.659752730988,-8083.122502387729,-4215.019899836202,-547.83299123598,1710.9892649349538,1936.5293670671876,794.4800820889153
-9097.588247959826,-9789.943842675759,-9767.869029259902,-8705.788246615974,-6486.699902744317,-3440.3200585790282,-439.22103508392604,1423.5917473924815,1586.0166956922503,635.4294432459199
-6024.830076815169,-6941.399775198294,-7272.695639555507,-6714.919761610522,-5123.860915765168,-2748.9596457870384,-338.46202759267766,1155.9722048125768,1262.1344077273932,493.53517288549756
-4037.879700948251,-4965.7137656098,-5428.250257873544,-5155.959578066895,-4000.990219701334,-2155.8668643064907,-252.07415371418543,912.6546275597157,971.8343400122753,370.46351318760935
-2825.226432606766,-3647.880517881203,-4104.767550270011,-3966.291248121021,-3099.5011858960447,-1663.00852131519,-184.78495459690964,693.3725742488971,716.4716297383084,265.6366318072746
-2128.0693023845347,-2796.2623186035335,-3174.2486946876606,-3073.317368141036,-2388.670433802319,-1264.6929489052357,-140.15780370602755,494.629846262959,493.78972880234426,177.28851361309904
-1755.2074766752073,-2259.706750669679,-2527.152641389268,-2408.1280963898826,-1834.7286076285436,-951.96167172591,-121.31357909436068,311.0373758636858,299.6185499789269,103.22728086976512
-1577.7758561675091,-1928.764425963194,-2077.685892564195,-1912.1255875548902,-1406.5005178069978,-715.8517743063776,-131.5789347090976,136.38299633606823,129.17049063353744,41.30768318676465
-1515.507778606867,-1729.0338352559913,-1762.5615042616473,-1539.055471471267,-1078.470777378745,-549.6067462975583,-174.92923131206163,-35.52089651205404,-22.06430159141817,-10.32963197176087
-1521.771440223743,-1612.0981349065514,-1536.9588210823135,-1254.6252566527453,-832.2307031059025,-450.0154347420086,-256.12192804015314,-210.1340623420018,-157.76478594378597,-53.18183611113206
-1570.8135397101946,-1547.0354392063007,-1370.0318943942104,-1035.273553804355,-657.0602967897629,-418.0222971936196,-380.43507379407805,-391.5611154483131,-280.4951367450966,-88.4087563335354
-1648.194826336676,-1513.7362743075105,-1241.1950499839509,-867.0193669305866,-550.0816075293847,-458.6438416287191,-552.94826413319,-581.9686654316037,-391.626958114208,-116.91324943542818
-1744.2074208336219,-1498.2945163897302,-1137.6782888706812,-744.7909606256189,-516.0839747465757,-580.1100921404586,-777.3492202821047,-781.0665464268335,-491.4222433245847,-139.44715282892676
-1849.710824260051,-1490.3311559813997,-1053.4097220822757,-672.2123967702784,-566.8229476058318,-792.0865239456906,-1054.3346769275388,-985.7253059210163,-579.2467880634306,-156.72401068817115
-1953.9038482846447,-1481.9968155720592,-989.0043059295037,-661.4803283285969,-719.3824261299385,-1102.8762246325703,-1379.803186365162,-1189.8416445492483,-653.8904041902285,-169.5257788165766
-2043.7605401865567,-1468.3630300064067,-952.4012366233815,-732.6880331807374,-993.1298192515014,-1515.692522615147,-1743.1904877553184,-1384.574698584606,-713.9670182478682,-178.7924983264151
-2105.003021683877,-1448.8186660932688,-959.4510513539582,-911.8007580600151,-1404.9646695335155,-2024.4274915944852,-2126.428527650523,-1559.0460653284442,-758.3565374963306,-185.68316520915963
-2124.452057522696,-1428.8915010360743,-1033.5522830740742,-1226.5636383498406,-1963.014018164042,-2609.753177458797,-2504.0498849685537,-1701.5207081069805,-786.63580618996,-191.59471385928165
-2093.3583842520484,-1421.6669124644866,-1203.40181900275,-1700.0448920635201,-2659.626660166312,-3236.7335617727663,-2844.845048831382,-1800.9738963619347,-799.4342611950777,-198.12631980630985
-2010.9416098568527,-1447.8149871716855,-1498.2095219508797,-2342.3162970504177,-3465.2847129137144,-3855.1989553435787,-3115.181767495041,-1848.827102719111,-798.6474647135121,-206.98010279542692
-1887.0162614249862,-1533.347293984659,-1940.4300457394572,-3141.8087916919253,-4325.563460206054,-4403.769329729785,-3283.6532747267875,-1840.5412989459958,-787.453424148107,-219.79807213457067
-1742.4945137211744,-1704.7413568156198,-2537.1034088469123,-4058.7972502662537,-5163.160580542255,-4817.569707157726,-3326.2542688690464,-1776.7278449297376,-770.1039803336957,-237.94865320532483
-1606.9135441236301,-1981.970681532023,-3271.9545834348805,-5023.774739888377,-5886.051728446469,-5038.534228205876,-3230.9594641024332,-1663.498640259595,-751.5033198044055,-262.29213410017667
-1512.9693252058732,-2371.006134951236,-4100.988016001057,-5942.7656930806825,-6401.112237730539,-5026.128230567632,-3000.5543878864446,-1511.9241066450284,-736.6298404970055,-292.96850549127606
-1489.126778693412,-2858.0700328356897,-4953.964368105234,-6709.850282821027,-6630.5882400164155,-4765.788789282872,-2652.906010187335,-1336.664579141209,-729.8950443848557,-329.2578740540581
-1552.2881006609723,-3407.888506422906,-5742.718439849577,-7224.8053991603965,-6527.38947617933,-4272.714487278145,-2218.487462218358,-1154.03123947542,-734.5527852571876,-369.5581086963617
-1702.7811343805358,-3967.2206508914164,-6375.132550389213,-7411.714860961556,-6085.017608769982,-3589.815790620402,-1735.687775809269,-979.8589764022755,-752.2668998995521,-411.5049480159815
-1923.3488422915584,-4473.298257361734,-6771.527387467001,-7233.606368747602,-5339.277551364062,-2780.2838993287683,-1244.998219496706,-827.598232546318,-782.9147080737462,-452.22956380512124
-2182.5445816453034,-4865.123987491745,-6879.175713215369,-6699.119354683353,-4361.324479978046,-1916.7391738963536,-783.3832902888954,-706.9531549392652,-824.6553981690731,-488.715316623278
-2441.4828990424708,-5094.575689605542,-6681.109381134766,-5859.609716719565,-3244.1496135472316,-1069.7260254030596,-379.96579457729234,-623.2404117296168,-874.2387275931532,-518.1892988083133
-2661.876268060929,-5134.3870971747,-6197.218128808337,-4797.994668515928,-2086.3143902666384,-298.1858761629544,-53.68101383379694,-577.4681988988517,-927.4847783717898,-538.4739792838452
-2813.0970803520627,-4981.2322281240295,-5478.050874034849,-3612.8770418403124,-977.0317455310432,356.3799869744475,187.02172472729666,-566.9893158599583,-979.8402591277558,-548.2335994703807
-2876.6246578779774,-4653.7812642217095,-4593.73785625031,-2402.2844354340746,14.356074766445367,871.6081081602033,342.8334012309326,-586.4991087604345,-1026.914959223661,-547.0760355284522
-2847.2963337922306,-4187.019688951999,-3621.3560891085267,-1250.6449166852751,843.230209235093,1242.4946047741776,421.26158197402543,-629.1364620527388,-1064.9203424970738,-535.5052383433002
-2731.7890384913994,-3624.8409918385273,-2633.7430706825894,-220.95947619439937,1489.3335403797823,1477.4430897930274,434.0178823138812,-687.4894834340283,-1090.962954541712,-514.7515387516152
-2545.3616190566877,-3012.8477974421603,-1691.6297279317432,647.6672223039501,1952.7640157630503,1593.53810098563,394.6530958839921,-754.3808159338683,-1103.178906032675,-486.52834262621684
-2308.0010949071893,-2392.681794057618,-839.6323222635342,1338.2718744401423,2248.2201706835363,1612.1429985095338,316.7471743160129,-823.3841597331266,-1100.7244228292889,-452.76995886668493
-2040.8721051137202,-1798.432949692466,-105.61386797518199,1851.7336392956795,2399.10781855602,1555.4539878590547,212.74426248275628,-889.0850631073026,-1083.6568536941948,-415.39767676544903
-1763.5846307192314,-1255.0543638376753,497.5946807333284,2201.5235451569065,2432.5359170937495,1444.206666499046,93.36998666028563,-947.1374566329624,-1052.7494838046628,-376.1447248301615
-1492.4442110768675,-778.3540093192008,969.1935105504498,2408.662159443995,2375.646402414209,1296.4348913805673,-32.50908578381472,-994.183702305967,-1009.2832794285534,-336.4517195980599
-1239.6103971062162,-376.0219959063378,1317.0189934933735,2497.5441182708505,2253.298306216151,1127.0393921630891,-157.7406897396492,-1027.7058993557087,-954.8516987304298,-297.4279893256303
