t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-94290.46751749839,-77112.56558753373,-60635.946553183945,-45228.15132447173,-31268.251780318034,-19143.538066226087,-9235.368377677425,-1885.7618628124287,2667.1323677841992,4400.150918831498,3681.497623694093,1533.155374327684
-164649.39220176532,-135709.16441380692,-107693.81920281642,-81153.42632504294,-56726.12084987847,-35142.904710208255,-17200.295075388778,-3680.6426516875026,4804.620573405039,8074.164553874195,6756.565314815364,2789.378965635681
-196023.7048145757,-163758.42870632763,-131978.98293766254,-101145.63356548594,-71956.15596497008,-45381.67068521577,-22639.224050726018,-5059.614911936562,6193.992334278335,10586.128242432282,8832.624391427835,3590.335130053504
-188839.56269743355,-160981.77357299527,-132725.85276391666,-104216.09548557848,-75998.86729841364,-49118.54431219963,-25123.017607952977,-5899.86265197589,6737.359631682705,11746.892863970428,9756.267369363457,3883.8377969485846
-155172.24615564168,-136152.79860735647,-115834.07290279334,-93956.69420741871,-70763.10363954303,-47175.87002424005,-24880.100924757036,-6177.374857792003,6527.818832006344,11658.022969601985,9629.307641385301,3739.834951976984
-111211.82773011131,-101613.49416297702,-90159.10050151494,-76246.9856714639,-59765.43767068799,-41354.953237213114,-22600.366425130964,-5960.1762317253515,5782.328824719129,10624.77860164546,8726.909661158445,3301.2993950939936
-70250.76655347756,-67962.550146355,-63732.00283095304,-56768.57849039349,-46659.03238193726,-33689.82075970065,-19151.082207137748,-5379.382992285617,4754.5564173693365,9032.695384370194,7385.185369748221,2724.489551935
-39343.80719560434,-41303.33977460121,-41605.50460743856,-39437.73375476051,-34203.78616932417,-25865.451158543416,-15326.425503708899,-4589.765327717822,3664.2394371703235,7238.956781574561,5905.573951527368,2134.600736087979
-19735.012456061613,-23280.388433936092,-25621.83572655799,-26047.208028685738,-23910.389133479013,-18950.276697639118,-11701.680087955794,-3733.690438426767,2660.9627574905417,5507.841755263451,4501.698318306672,1607.5330406935354
-9231.558515215092,-12686.702052441684,-15377.332391817306,-16749.23815736197,-16212.887082119289,-13410.329916645365,-8599.095303054797,-2918.2358639550143,1820.376895131109,3993.106316252851,3289.3151156612066,1173.6825664722137
-4615.474246313649,-7253.69101100596,-9451.613763111105,-10815.206930561904,-10872.688891656817,-9278.445451484149,-6130.083760991696,-2208.122031676265,1159.914910164565,2753.072603486807,2304.551942110793,832.7540656843869
-3123.0176780108823,-4845.833242868026,-6315.65193138914,-7268.353918338778,-7368.1027467385475,-6353.538028916778,-4268.0423248926,-1631.1099770792202,660.2085214984718,1779.939633566627,1532.6839071783047,569.5603307274671
-2946.401786840001,-3948.565470288047,-4773.366074543813,-5245.468662330121,-5154.056814733486,-4356.258188300506,-2917.762365216398,-1189.9632142517444,283.27863120724055,1029.2327073605302,934.7484380522768,365.43095646768336
-3143.233882788462,-3685.6731494455294,-4054.005361780522,-4123.636189580516,-3784.673214365333,-3020.5018968644367,-1965.6535174306757,-875.7186957073002,-15.744111092866945,442.35681167489884,466.3336321694808,204.2220015595592
-3343.740670318196,-3643.3238678027,-3733.079661848886,-3510.351558206217,-2941.585100635476,-2132.0412710066753,-1309.274665414312,-679.1579833569936,-282.7758885127756,-39.09861864890581,88.12776209541843,74.2658111064102
-3480.354127987771,-3677.7350631370905,-3611.327285772954,-3182.059264214399,-2415.864398704906,-1535.460605396376,-871.7329940979832,-599.3664187394468,-562.5661552360871,-465.6120463059032,-229.69050684098127,-31.89869461155783
-3611.74579597306,-3775.7667647028015,-3613.0502822482804,-3019.6482761420484,-2076.7788120053365,-1127.876058024809,-607.8029109437448,-649.2554917575021,-897.6366203302252,-876.0039366567606,-506.73452241766637,-118.6260413149758
-3832.0792284205963,-3973.473182213003,-3718.376511888253,-2959.3688839641736,-1844.4893736677234,-851.2709393944803,-506.75396005996635,-857.8249058620905,-1326.3032701291902,-1295.6183504073779,-753.4842094306879,-188.350957371849
-4232.212089741472,-4314.139640987409,-3923.2778096040483,-2961.668532507629,-1673.2131162311207,-689.1192317749247,-593.7871540404012,-1268.1752042978137,-1878.39099650432,-1735.2183051099807,-973.0919653515866,-242.59579925963698
-4883.149879304569,-4826.240928911159,-4217.201229214479,-2995.3323319481947,-1546.1341263997358,-668.138735276871,-928.6669350101904,-1929.5565846048298,-2568.2117359098297,-2190.3671129931085,-1163.4946106343648,-282.77671811515444
-5823.176238481522,-5508.709841341821,-4571.543693282539,-3034.502465899165,-1480.6418270279737,-861.7956247723976,-1597.3386261292228,-2881.935731017264,-3385.7329655475987,-2641.826748432227,-1319.74609561362,-310.85877188588745
-7040.850046939469,-6319.0281094157235,-4937.151702478946,-3067.133938854121,-1539.5764935479035,-1388.1724225541534,-2691.216371285432,-4133.494705642918,-4288.503840661256,-3057.8769574045923,-1436.559465754956,-329.88715631112086
-8455.233738364643,-7166.544764595019,-5252.414344861216,-3112.3077484458054,-1839.8782889278546,-2392.1724498663016,-4271.108084136495,-5635.34181006401,-5198.280347789212,-3399.304089286139,-1510.9345380306304,-344.3576170024664
-9902.354528717402,-7917.699210203655,-5463.314267079199,-3239.477071043368,-2545.7226117381206,-4003.6621846667035,-6319.609804607574,-7262.383628523772,-6006.469438604942,-3627.0898204287437,-1544.5465855157713,-360.3190499935029
