t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
1103.6249999999998,961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-591233.7049632453,-506628.3890771424,-424096.56853453047,-344741.1203571959,-269732.53533899813,-200319.116365501,-137821.52920453128,-83601.67710701388,-38992.23724026064,-5169.472573843361,17051.30634731737,27520.17730025446,27178.975793815905,18627.2981772622,6836.0907637931705
-871124.2742601099,-757173.60110717,-644251.0475957133,-533212.8098317169,-425305.4148964773,-322261.82385319116,-226349.04407102193,-140333.30647251167,-67319.19492445893,-10414.378484733139,27822.588640827078,46170.65969334665,45742.567487586595,31084.716987106876,11174.933346050128
-775882.1992850866,-693013.9450337653,-607827.7261979961,-519747.90568390215,-428920.9471095738,-336473.08486078016,-244723.70897036724,-157273.93779484398,-78857.30306948477,-14825.798476911385,29826.63703393282,51903.77607511945,51728.60976757287,34713.47562293685,12091.533013550648
-484152.96361428115,-453944.1491662555,-419078.4001797638,-377666.5361967526,-328474.9678909864,-271321.7097779841,-207522.6169018129,-140262.2629086713,-74679.54830007756,-17405.433417458582,24667.730083319573,46399.80427508529,46816.142161308155,31031.054734724636,10427.368262017611
-212155.73314868362,-218203.1401938783,-219949.44231656753,-215242.56995478205,-202139.12856870782,-179302.86585112882,-146591.56150638717,-105710.97792256274,-60667.554956965614,-17625.839693680682,16211.949582355934,34802.683826536464,36028.3105970808,23784.94442658544,7775.064223423951
-59350.19197556406,-75476.20874657745,-89264.53049146067,-99203.47762124696,-103556.91922409437,-100621.73889577082,-89246.09543938441,-69552.8165488781,-43638.2524637692,-15824.679234199912,8019.914148296878,22323.8576733584,24382.274607180705,16395.75007889703,5361.135390315084
-9557.89741600797,-20527.36074054264,-30883.442127860784,-39956.704983682794,-46728.35291724608,-49907.22333080873,-48216.90715055503,-40916.944926369455,-28452.082569191687,-12933.357226322281,1984.8562579726238,12170.316473263705,14889.19972647103,10643.101145281926,3643.749013575444
-8073.315751493716,-11497.695617254338,-14986.739935547736,-18412.10383593274,-21451.460840755644,-23556.432616636474,-23994.041138152283,-22018.263747739795,-17206.64950324395,-9908.357842356498,-1585.4429072238754,5332.23043712951,8406.554284222895,6800.890362253578,2542.6945505912436
-15924.8358728552,-15134.899463644388,-14305.789874367145,-13471.920105868214,-12713.526807223932,-12121.1306436871,-11688.656438970165,-11156.542927177286,-9937.79622650791,-7347.917180470073,-3229.130018051107,1398.944050857218,4484.595516786544,4395.900863110279,1815.3455401649521
