t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
1417.5449999999998,1255.6799999999998,1103.6249999999998,961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-1626719.6450699188,-1425193.4674150823,-1227111.0561641003,-1034346.7996084075,-848943.2784694788,-673149.519537166,-509438.23532218,-360489.8904228447,-229127.37345523658,-118180.92595589427,-30259.43864527159,32597.800260834247,69414.09646540918,80933.27622704775,70451.74744858693,44815.15353959886,15542.146542531033
-1998873.2209559851,-1788240.0811767404,-1576451.6828963878,-1363571.1852515186,-1150426.1010811978,-938849.8873749571,-731882.0683033484,-533880.7216217325,-350482.0374882279,-188326.4921839752,-54467.362596748346,44605.30378659856,104342.5692953671,123842.84157256274,107679.03748788654,67474.32918618876,22691.56378501723
-1272803.466696499,-1191593.668670772,-1103114.4464070057,-1004347.737519584,-893130.0304343249,-768603.7660451013,-631737.9764274143,-485836.0005388991,-336880.2512876569,-193499.15098184597,-66308.67957094268,33577.151690818566,96910.72154941632,119286.63527908245,104042.53934803604,63980.87583200335,20619.41385376658
-441979.7439026987,-460921.28119637095,-473097.61822218966,-475012.0093418013,-463249.0752546325,-434860.2324103575,-388003.29040399037,-322790.1088102289,-242175.57147814843,-152571.39110030222,-63743.99829536293,12445.653710873046,64665.60880931698,85764.40929458466,76359.48097119137,46626.81529345568,14550.704591454807
-56906.83447846892,-89777.51707051041,-120369.92046490473,-146994.23422447022,-167436.04828393416,-179050.29583356605,-179122.53053227378,-165548.5581237446,-137784.3099915278,-97844.6806768719,-50923.48805027159,-5078.994719090744,30451.72987559445,48246.381049551965,46108.41225348041,29224.191597319936,9297.090606145777
-10405.000821395923,-20275.019040238778,-30418.24215065472,-40702.389696174,-50660.39234162388,-59396.363272395545,-65561.59957946884,-67476.64399406445,-63482.64335300083,-52561.36972132564,-35135.271053564844,-13745.092998897679,6915.369771824371,21150.408771097547,24715.310263764866,17733.96430061057,6194.5176012818065
-46914.555356316894,-42159.07995381891,-37345.14202628408,-32622.40535627911,-28327.70578454551,-24966.516512459395,-23060.804197909554,-22820.96021767481,-23711.857940432154,-24180.666381800802,-21971.99104286939,-15314.62500337658,-4618.078329093581,6592.206117507791,13034.324584353213,11477.975455605509,4475.888799131486
-57421.045475990686,-52162.68453000752,-45782.63054528616,-38041.520012642075,-29171.121204878043,-20064.596976198674,-12271.4721689325,-7569.971842148192,-7033.017353081379,-9932.277039877607,-13351.6348935471,-13423.490677869951,-8063.409944340088,704.3507250661546,7493.568929785733,7939.169375675683,3266.4976253374484
-43907.155909876936,-42668.56748796661,-39874.52737781423,-34947.49808381755,-27751.336659129734,-18941.103367988675,-10170.573968437291,-3790.4122972160053,-1783.6456145550587,-4255.09189534803,-8596.665400794065,-10618.56998707828,-7593.448013985657,-901.3417698805617,4709.951507242705,5421.211096546728,2219.646233879786
