t1,t2,t3
44.145,19.62,4.905
41.785770382811215,18.769663660484063,4.886109360173534
39.404992911545584,17.891719437737724,4.8492920548531
37.01451358747556,16.989586352794397,4.7943962401140965
34.62607940535314,16.066760038894113,4.721378958610473
32.251223908581224,15.126783221056634,4.630305901591537
29.90115674165745,14.173216077850512,4.521350052245932
27.586658801117032,13.209606853312565,4.394789239140706
25.317984464088696,12.239463078837915,4.251002644623682
23.10477222276495,11.266223750560481,4.090466328139426
20.9559648776302,10.293232787654382,3.913747838184404
18.87974024681789,9.323714071611542,3.7214999988427016
16.883453138544738,8.36074833650518,3.5144539672882753
14.973589113529453,7.407252146243692,3.2934116671479643
13.155730340080837,6.465959157637826,3.059237709074935
11.434533621516117,5.539403828583274,2.812850914219067
9.813720458905832,4.629907689666071,2.555215558483434
8.296078806644474,3.739568255902731,2.287332455558725
6.883475988332104,2.8702506139874213,2.0102299948097757
5.576882069654759,2.0235816801547784,1.7249552462728093
4.376402836427092,1.200947085343361,1.432565239468232
3.2813214020400006,0.4034906084516243,1.134118515632365
2.2901473708165114,-0.3678839542807206,0.830667044538755
1.4006724130327526,-1.1125086248531377,0.5232485875487598
0.6100310636852129,-1.8299449502168432,0.2128795781479913
-0.08523446014172009,-2.5199757670483147,-0.09945141976154637
-0.6891066204864931,-3.182595227772122,-0.41278962688648335
-1.206023264128154,-3.817997302717667,-0.7262192994170062
-1.6408077859835926,-4.426562980468816,-1.0388682896362558
-1.9985997927418975,-5.008846391259919,-1.3499119011855036
-2.284787222729893,-5.565560076914432,-1.6585760344435077
-2.5049407790704805,-6.097559625623609,-1.9641396273554719
-2.6647514249355373,-6.60582788119534,-2.2659364061317677
-2.769971575226199,-7.0914589246949085,-2.5633559684238025
-2.8263605013445137,-7.555642012115571,-2.855844228797548
-2.839634347676909,-7.999645635348964,-3.1429032625158175
-2.815421042581187,-8.424801855776808,-3.4240905887854627
-2.7592202753507378,-8.832491040779301,-3.6990179387277538
-2.6763686058017226,-9.224127113843469,-3.9673495564136565
-2.572009676428297,-9.601143409225983,-4.228800083413805
-2.4510694097840275,-9.964979202718727,-4.483132078506779
-2.318235996818254,-10.317066971381443,-4.7301532245414855
-2.177944415934201,-10.658820417501824,-4.969713274044428
-2.0343651678409005,-10.991623275827173,-5.201700784090743
-1.8913968678601831,-11.316818908540066,-5.426039689314051
-1.75266230499322,-11.635700679728986,-5.642685759810439
-1.6215075552998215,-11.949503090382958,-5.851622988190865
-1.501003725381313,-12.259393646317452,-6.052859947245631
-1.3939508992230376,-12.566465424964171,-6.246426156689912
-1.302883867487334,-12.871730302629032,-6.43236849433998
-1.230079231628638,-13.176112801596986,-6.6107476838968156
-1.1775634949642022,-13.480444516247845,-6.781634888349101
-1.1471217781139478,-13.785459079022209,-6.945108434904201
-1.14030682606478,-14.09178763047709,-7.101250694356286
-1.1584480076029822,-14.399954762608507,-7.250145134938957
-1.2026600441270414,-14.710374910877167,-7.3918735680095615
-1.2738512430930289,-15.023349177713506,-7.526513600388835
-1.372731050818401,-15.339062578447228,-7.654136305840195
-1.4998167794063395,-15.657581709333114,-7.774804126017225
-1.6554394025524792,-15.97885284635288,-7.888569009229005
-1.8397483544254247,-16.3027004924798,-7.995470793559372
-2.0527153042011266,-16.628826399814628,-8.095535839210584
-2.2941369157642453,-16.956809101160296,-8.188775913405339
-2.5636366371995196,-17.28610399292695,-8.275187329751049
-2.8606655976564994,-17.616044017488928,-8.35475034262334
-3.184502719689604,-17.945840998012898,-8.427428795839155
-3.5342541829830956,-18.27458768211783,-8.493170023639522
-3.908852400219739,-18.601260552324906,-8.551905000768013
-4.307054687509586,-18.924723460942893,-8.60354873719311
-4.72744183003581,-19.243732144688487,-8.64800091176556
-5.168416758188869,-19.556939669874463,-8.685146737812602
-5.628203560238542,-19.86290285236867,-8.714858052341192
-6.1048470643472434,-20.160089687739198,-8.736994619147508
-6.596213225275626,-20.44688781610865,-8.751405634710178
-7.09999054931772,-20.721614033352296,-8.757931424285022
-7.613692784695511,-20.98252484554727,-8.756405314127848
-8.134663093749339,-21.227828047227337,-8.746655664263567
-8.660079907730639,-21.455695286281987,-8.728508044711246
-9.186964644844618,-21.664275559573017,-8.70178753658761
-9.712191447472843,-21.851709563880938,-8.66632113806961
-10.232499065376985,-22.01614480703639,-8.621940253827725
-10.74450497837477,-22.155751364461796,-8.568483245273443
-11.244721814809385,-22.26873814730118,-8.505798017827905
-11.729576081523975,-22.35336953031353,-8.433744620443271
-12.195429177520975,-22.407982171218322,-8.352197831824526
-12.638600617655538,-22.431001838670348,-8.261049707235253
-13.055393345298924,-22.420960053946573,-8.160212059453004
-13.442120964723713,-22.376510342156717,-8.049618847391445
-13.795136675903954,-22.296443882707766,-7.92922844614748
-14.110863647447859,-22.179704346165458,-7.799025772777325
-14.385826518507027,-22.025401705804697,-7.659024242966238
-14.616683678776901,-21.832824817189103,-7.5092675349378215
-14.800259938170779,-21.60145256814614,-7.349831138448984
-14.933579165448503,-21.330963414498772,-7.180823668529452
-15.0138964489937,-21.021243133771144,-7.002387925736938
-15.038729313971224,-20.6723906496063,-6.81470168709137
-15.005887519057817,-20.284721803523958,-6.617978214499233
-14.913500953492662,-19.85877097752689,-6.412466470351516
-14.760045161841765,-19.39529050046874,-6.198451033039765
-14.544364039929293,-18.895247802491614,-5.976251708344978
-14.26568927097107,-18.359820314631424,-5.746222835969066
-13.92365610593695,-17.79038814422976,-5.5087522938515585
-13.518315136231855,-17.188524590412946,-5.2642602062967025
-13.050139759339153,-16.555984596912914,-5.0131973652775095
-12.520029098313405,-15.894691271230078,-4.756043377534181
-11.929306202915967,-15.206720628914496,-4.493304553195173
-11.27971143253189,-14.49428474894528,-4.225511554572751
-10.573390997393883,-13.759713550255094,-3.9532168264769894
-9.812880713523375,-13.005435419878367,-3.6769918318118897
-9.00108510653509,-12.233956939586346,-3.3974241183283183
-8.141252078327526,-11.447841969890153,-3.11511424418025
-7.236943426966879,-10.649690357725692,-2.830672591337749
-6.292001582064069,-9.842116536870922,-2.5447160969336045
-5.310512984015283,-9.027728288182539,-2.257864933248015
-4.296768594121944,-8.209105920181537,-1.970739167262455
-3.2552220724788925,-7.388782119568662,-1.6839554305399254
-2.190446200484316,-6.569222706217797,-1.398123629623646
-1.1070881539728106,-5.752808508463801,-1.1138437262035727
-0.009824250662276768,-4.941818552535525,-0.8317026150010165
1.0966851985302477,-4.138414735307952,-0.5522711256923558
2.2078403107830065,-3.3446281227289845,-0.27610117326481265
3.3191447194731785,-2.562346987916192,-0.003723079006276553
4.426246752196013,-1.7933066736302998,0.2643569180833554
5.524978161140113,-1.039081334225893,0.5276589422680686
6.611389917011403,-0.301077582853833,0.7857315399803975
7.681784634659769,0.4194699587968378,1.0381535050221207
8.732745262336515,1.1215012380520073,1.2845354612998396
9.761159735579554,1.804131531229659,1.5245211972078683
10.76424136947557,2.4666504642336142,1.7577887486028763
11.739544837828053,3.1085193924538057,1.9840512300635553
12.684977662918701,3.729367256336804,2.203057416756264
13.598807213481198,4.328985043655497,2.414592081698937
14.479663279694009,4.907319001056637,2.618476095499603
15.326536361052122,5.46446274586609,2.8145662977163792
16.138771864658143,6.000648434419834,3.002755150820197
16.916060466730134,6.516237145466902,3.1829701893239903
17.658424938102588,7.0117086366168895,3.355173277959788
18.366203774560365,7.487650628589762,3.5193596938317837
19.04003200457297,7.944747766421148,3.675557048247362
19.680819570188945,8.383770399067316,3.823824064431901
20.289727691514678,8.805563309349429,3.9642492275748156
20.86814363155014,9.211034515201698,4.096949323645649
21.417654276572176,9.601144251073901,4.222067883175519
21.940018938294152,9.976894225416533,4.339773545740311
22.437141768371717,10.339317236769633,4.450258360229494
22.91104415425899,10.68946721739241,4.5537360351630864
23.363837438820376,11.028409759899153,4.650440152355269
23.797696275395264,11.357213169272102,4.7406223561445024
24.214832896147097,11.676940070141374,4.82455052924503
24.617472535455775,11.988639587561067,4.902506965052797
25.007830212762627,12.293340108845877,4.974786544988303
25.38808904153353,12.592042624503462,5.041694928208374
25.76038019369123,12.885714638014939,5.103546759794903
26.12676461272825,13.175284627253461,5.160663902357086
26.489216534404797,13.461637034735396,5.213373694887929
26.84960884202168,13.745607759681628,5.262007241717377
27.209700254196804,14.027980122016569,5.306897733522057
27.571124317220598,14.309481266906849,5.348378801601441
27.93538015167211,14.59077897817686,5.386782906025232
28.303824884196718,14.87247886984736,5.422439757806916
28.677667680235437,15.155121927021032,5.455674774970089
29.057965282020294,15.43918237026105,5.4868075722508
29.445618948204,15.725065821341044,5.516150484220077
29.841372686884284,16.01310775263486,5.544007121812704
30.245812672277577,16.30357220730791,5.570670962603462
30.659367736588223,16.596650782699374,5.596423975670385
31.08231083238023,16.892461874681214,5.621535282511866
31.514761366612554,17.191050186170575,5.646259856224092
31.956688315063214,17.49238650819007,5.670837261977284
32.40791403473855,17.796367786746693,5.695490442731414
32.8681187016414,18.1028174931769,5.7204245550796475
33.33684531155761,18.41148631933,5.74582586107422
33.813505191933764,18.722053221897777,5.771860682846755
34.297383983096225,19.034126842219877,5.79867442775393
34.78764805667183,19.347247328898014,5.826390692630531
35.28335134780755,19.66088859045014,5.8551104564853045
35.783442585392955,19.974461003969083,5.884911371602305
36.2867729107363,20.28731460327931,5.915847163483335
36.792103879863724,20.598742766404104,5.947947150360282
37.298115847665,20.90798641728212,5.981215893096525
37.80341673342511,21.21423875065758,6.015632986163709
38.30655116682476,21.516650481994365,6.051153000008588
38.80601001128905,21.814335616242136,6.087705584502078
39.30024025767767,22.10637772045282,6.125195742282705
39.78765527586361,22.39183667578012,6.16350427966764
40.26664540489804,22.669755874485126,6.202488441411102
40.73558885441124,22.93916981743631,6.2419827339519305
41.19286288089028,23.199112057465776,6.281799939926408
41.63685519277191,23.448623424072636,6.32173232465089
42.06597552818775,23.68676045560423,6.361553033029939
42.47866733900664,23.91260395645001,6.401017672952946
42.87341950485739,24.125267589203585,6.439866078744689
43.2487779914039,24.32390640541903,6.477824245675427
43.60335735860009,24.507725213729643,6.51460642396116
43.935852017273895,24.6759866808987,6.549917358143277
44.24504712645435,24.82801905999364,6.583454655280062
44.52982901961379,24.96322344043692,6.6149112630614635
44.789195045653365,25.08108041726664,6.643978036823635
45.02226271018575,25.181156081568545,6.67034637253944
45.22827800457571,25.263107240698588,6.693710881240576
45.406622814356965,25.326685785534345,6.713772079027011
45.55682130505582,25.371742132451292,6.730239065875187
45.67854519207431,25.398227679849853,6.742832165896827
45.771617812011364,25.406196232644714,6.751285501546228
45.83601692547176,25.395804362914177,6.755349474538999
45.871876195819816,25.367310690603837,6.754793126933883
45.879485304220594,25.32107408446511,6.74940635693711
45.85928867838208,25.25755079994877,6.739001965502759
45.811882830337616,25.177290587215097,6.723417511700543
45.73801231703609,25.080931818414864,6.702516957074149
45.63856435607372,24.96919569859663,6.676192081780823
45.514562147227075,24.84287963867679,6.644363658141098
45.367156968169034,24.70284988157236,6.606982370286227
45.19761912950791,24.550033483573362,6.564029471814302
45.007327889751586,24.385409762097993,6.515517176695746
44.79776044466357,24.210001327951762,6.461488782044562
44.570480117476656,24.024864824973275,6.402018524731794
44.32712388634592,23.83108150242404,6.337211177102932
44.06938939308088,23.629747745648416,6.267201390212659
43.79902158247934,23.421965688432927,6.19215279595539
43.51779912442752,23.208834026222604,6.112256882198417
43.22752077131979,22.991439143045056,6.027731657473236
42.929991801333735,22.770846656840135,5.93882012391318
42.62701069376109,22.548093478112808,5.84578857891232
42.320356176090215,22.32418046568126,5.748924767400936
42.011774774037285,22.1000657510547,5.648535907673169
41.702968985456344,21.876658789944184,5.544946614357655
41.395586187269984,21.654815185885948,5.43849674239558
41.091208371523756,21.43533231724127,5.329539175792487
40.7913427926658,21.218945785221077,5.218437584458382
40.49741359348304,21.006326687345783,5.10556417166937
40.21075446207946,20.798079708141575,4.991297433601801
39.93260235715043,20.594742007123493,4.87601995104222
39.664092323860885,20.396782873412196,4.760116231799317
39.4062534081327,20.20460410683748,4.643970620579207
39.16000566331915,20.018541077215676,4.5279652911739205
38.9261582302933,19.838864406732295,4.4124783337969005
38.70540846008128,19.665782215062215,4.297881948321952
38.49834203746392,19.499442863020782,4.184540752082269
38.30543405456549,19.339938128138094,4.072810208804417
38.12705097541216,19.187306744522573,3.9630351832230604
37.9634534258185,19.041538239645135,3.855548623979012
37.81479973775278,18.90257700212038,3.7506703755748845
37.681150173519285,18.770326517057292,3.648706118473461
37.56247175262663,18.644653708954586,3.549946434895216
37.458643603013535,18.525393336272113,3.4546659965188047
37.36946275827999,18.412352386558844,3.3631228691237833
37.29465032361319,18.30531442620098,3.2755579282463487
37.23385793507805,18.20404386431177,3.1921943791493033
37.1866744397279,18.108290095867538,3.1132373738371273
37.15263272744507,18.01779149476022,3.038873717472076
37.13121664939825,17.93227923285541,2.969271656360189
37.12186796237096,17.851480906302207,2.904580739668207
37.12399324283213,17.77512395513677,2.844931747190535
37.13697071936484,17.702938866573533,2.7904366757961334
37.16015697682162,17.634662156220763,2.7411887776324098
37.192893490232436,17.57003912474387,2.6972626437295757
37.23451295096237,17.508826390200973,2.6587143273170666
37.28434535182452,17.45079419837687,2.625581501913748
37.341723801740876,17.395728514948996,2.5978836500679003
37.4059900440638,17.343432904249227,2.575622279480891
37.47649965580028,17.29373019977217,2.558781164131962
37.55262690770648,17.24646397146932,2.547326608911294
37.63376926754758,17.201499794314174,2.5412077371461477
37.71935153076977,17.158726321693962,2.540356801253115
37.808829564438796,17.118056165951273,2.5446895175511157
37.90169365161154,17.07942658694417,2.5541054270088264
37.99747142437988,17.04279998790068,2.5684882843619885
38.09573037472805,17.008164216200313,2.587706478606549
38.19607993314566,16.97553266510894,2.6116134883405993
38.29817310572085,16.944944171011528,2.6400483757802427
38.401707661278465,16.916462699415032,2.6728363235030175
38.50642686110858,16.89017681200986,2.7097892180687815
38.61211972502884,16.866198906458656,2.7507062846268937
38.71862082901141,16.844664220390108,2.795374776435993
38.82580963144714,16.825729591370134,2.8435707228965557
38.93360932737068,16.809571965448264,2.8950597392283046
39.04198523267217,16.796386648265084,2.949597900316226
39.15094270350311,16.786385294675878,3.006932680507136
39.26052459975621,16.779793635398164,3.066803960270737
39.37080830565589,16.776848942313464,3.1289450996560717
39.48190232511425,16.777797237715593,3.193084077389975
39.59394247453921,16.782890256951084,3.2589446932937896
39.70708770116757,16.792382178477023,3.3262478304578726
39.8215155606471,16.80652614028478,3.3947127723301933
39.93741739341465,16.825570566809397,3.4640585685693304
40.05499324528412,16.849755335747766,3.534005442207818
40.17444658344549,16.879307819523856,3.6042762293950865
40.295978864633206,16.914438841328096,3.674597841768169
40.41978401739783,16.95533859057997,3.7447027403591315
40.54604290505284,17.002172547172286,3.8143304089196826
40.6749178398086,17.05507746780589,3.8832288136517445
40.80654722169403,17.114157490972097,3.9511558356032035
40.94104037796004,17.179480419553364,4.0178806614448845
41.07847267962185,17.25107424146674,4.083185118007801
41.218881011520764,17.328923949163944,4.146864935847555
41.362259670676124,17.41296871804081,4.20873092722842
41.508556764692756,17.503099501833017,4.268610064292677
41.657671177555024,17.599157099851563,4.326346443806255
41.80945016427603,17.700930746432427,4.381802125748112
41.96368762861454,17.808157267266807,4.434857834133327
42.12012312949585,17.92052084039874,4.485413509815789
42.278441651983485,18.037653391715644,4.533388706590024
42.43827416779163,18.159135645837317,4.578722823679988
42.599198998579276,18.284498843579552,4.621375169638842
42.76074398283305,18.413227126810206,4.661324854756422
42.9223894342616,18.54476058072778,4.698570511244367
43.08357186653859,18.678498912595575,4.733129842704864
43.24368844621423,18.813805734990073,4.765039006645966
43.402102122940455,18.95001341091076,4.794351836043323
43.55814737409461,19.086428407888917,4.821138908121502
43.71113648971152,19.222337098759816,4.845486470596465
43.86036631359276,19.3570119382468,4.867495237543911
44.005125347791406,19.489717937151724,4.887279068798577
44.144701120566936,19.619719349928715,4.904963548313276
44.27838771254183,19.746286486888078,4.920684478183786
44.40549333229725,19.868702559346872,4.934586306053053
44.52534783110398,19.9862704647865,4.946820504326067
44.637310046941536,20.098319419534114,4.957543920044154
44.740774870404536,20.204211348644336,4.966917114377534
44.83517992947816,20.303346946476136,4.975102710499578
44.92001179638908,20.395171326849585,4.982263768112355
44.9948116276599,20.479179188502183,4.988562202114584
45.05918015793879,20.554919429689868,4.994157261860014
45.11278197892727,20.621999155003238,4.999204086171125
45.15534904655085,20.680087027586875,5.003852347780017
45.1866833721464,20.728915930728164,5.008244999198501
45.20665886660722,20.768284913983003,5.012517130209363
45.21522231985106,20.798060410385418,5.0167949452590195
45.21239351137934,20.81817672260167,5.021194867057432
45.198264460811885,20.828635786905632,5.025822770694026
45.17299783985526,20.829506234349306,5.030773350596925
45.13682457896393,20.82092177828132,5.036129620733746
45.09004071277732,20.803078966250915,5.041962546610246
45.033003518089494,20.776234342178157,5.0483308058987175
44.966127006491035,20.740701071355254,5.055280672949019
44.88987684081498,20.69684508628532,5.062846021024001
44.804764750051376,20.64508081551223,5.071048434876391
44.711342521443164,20.585866560430333,5.0798974252595075
44.610195651046375,20.519699586600616,5.089390736148096
44.50193673517064,20.44711099638306,5.099514734842089
44.38719868488564,20.36866044879577,5.1102448747345655
44.26662784428505,20.2849307905247,5.121546220340631
44.14087709056167,20.196522659048647,5.1333740241974635
44.010598990309006,20.10404911504358,5.145674345444874
43.87643908197795,20.008130356732465,5.158384700265286
43.73902934924436,19.909388563800356,5.171434734883773
43.59898194434989,19.808442913054044,5.184746912483256
43.456883214429844,19.705904802323943,5.198237206155614
43.313288077595196,19.602373313329544,5.21181579086459
43.16871478924294,19.498430938500942,5.225387728318095
43.02364013286482,19.394639591193858,5.238853639613846
42.87849506363302,19.291536913472957,5.252110361511211
42.73366082736379,19.189632890765328,5.265051583172675
42.58946557218424,19.089406778289057,5.277568461190886
42.44618146541504,18.991304340304893,5.289550211653189
42.30402232388107,18.89573539997128,5.300884678878587
42.163141762091115,18.80307169493291,5.311458881276861
42.023631859497684,18.71364503175404,5.321159535513473
41.885522345339,18.627745730912885,5.3298735608055745
41.74878029734995,18.545621353283487,5.337488565714958
41.61331034885865,18.467475698808492,5.3438933202358125
