t1,t2,t3,t4,t5
122.625,78.48,44.145,19.62,4.905
32.59602844946486,26.597810969822355,22.69007198845753,17.210942226028287,8.093441715382165
-56.1236390028694,-24.791609869182512,1.2019819751436231,14.571535763744052,11.125004837425514
-141.89805797735912,-74.84140183250476,-20.010024183632567,11.733265391989798,13.957274090164233
-223.20274308437615,-122.75426110324143,-40.64872941255872,8.73126684770272,16.55303450262898
-298.6756475175578,-167.8069300321665,-60.43711887556327,5.603352045220826,18.88101082589089
-367.1594609663461,-209.3709724751965,-79.12561706733418,2.3889427876670997,20.916377764723045
-427.73327531467345,-246.92893688743507,-96.49810340131961,-0.872045307529894,22.641032328086318
-479.73241387369916,-280.0853138154008,-112.37649481857699,-4.140324415409596,24.043631663652995
-522.7560184716202,-308.57202571173815,-126.6237673496376,-7.3783174092021575,25.11941084287718
-556.6627714127379,-332.2485178232084,-139.14537552558858,-10.551160384554386,25.869804543008996
-581.5558334097601,-351.09682402856123,-149.8891129080177,-13.627587991302434,26.3019039408051
-597.7586528631391,-365.21223957804744,-158.8435332151257,-16.580671557449374,26.427785098003774
-605.7837108756027,-374.79042800457637,-166.03511499980573,-19.388388186108905,26.263747594016827
-606.2964927066579,-380.1119129916247,-171.5244003450224,-22.034007992624325,25.82950225092321
-600.0770205565993,-381.5249555397204,-175.40136782742383,-24.506295787514247,25.147344765146578
-587.9811612457845,-379.4277966031129,-177.7803117996444,-26.799532190490428,24.241348294824103
-570.9036647306677,-374.2511649839685,-178.79449495404597,-28.913366847583443,23.136603010859233
-549.7445328640647,-366.44182295607504,-178.59082137327115,-30.852522698786913,21.858524788417046
-525.3799032398846,-356.4477631973665,-177.32474586610044,-32.62637482908036,20.43224906331441
-498.63820031866703,-344.7054958910317,-175.15559580489003,-34.2484302025897,18.882119822745242
-470.28189069628127,-331.6296889858988,-172.2424375094001,-35.7357355448216,17.231278085145835
-440.99480957335487,-317.60526005490505,-168.7405738561202,-37.10823994708638,15.501349303930443
-411.37472083458346,-302.98187447505853,-164.79871619650967,-38.38813666930235,13.712225066110774
-381.93054439256434,-288.0706880197202,-160.55683421207934,-39.59920543341975,11.881931324057305
-353.083534093779,-273.14308542378615,-156.14465371112826,-40.76617258989864,10.026573195884142
-325.17161315034514,-258.43111019213757,-151.6807455856829,-41.91410227194034,8.160345036263287
-298.4560622644195,-244.12925267645767,-147.27212956586274,-43.067827374435744,6.295593911522342
