t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
540.5,497.305,463.92,440.345,426.58000000000004,422.625,428.48,444.145,469.62,504.905
-20753.594134677773,-16120.962710377535,-11755.903081430506,-7800.08212968315,-4396.806943810744,-1686.0017033776928,210.23157891482262,1219.4711967945725,1379.6872106883063,943.8410867380328
-38971.028863686515,-30488.983994562615,-22451.90723858752,-15110.332888640805,-8735.926185561953,-3612.4980682235123,-3.872868873483867,1917.567546644677,2201.893351971864,1333.1841264056563
-51776.68492710659,-40870.43560249433,-30422.963339083424,-20737.063965507517,-12183.715286610237,-5192.4256030120805,-197.7667170520795,2483.5959355958694,2870.238497621807,1637.9526422173317
-58087.642009409756,-46411.18566747075,-35036.83086778909,-24253.987270725862,-14492.122121481007,-6317.282885856665,-357.3697424273335,2882.7654709082894,3341.905325229912,1836.8000491191615
-58162.942132234675,-47216.63629548212,-36291.821014000474,-25605.64793635129,-15598.323251573609,-6946.210430971278,-472.4766893248934,3103.41991811322,3601.2761084043855,1924.0544420056906
-53311.50641187639,-44164.46949628881,-34711.709901815266,-25058.2039648516,-15607.412900493833,-7103.029219833668,-538.1029367226758,3155.321462179323,3658.3342370301957,1908.2416308256322
-45379.1544902132,-38556.938556387904,-31133.529791509885,-23086.40437144298,-14742.982605446196,-6861.465888323707,-554.9420587844638,3064.29024891357,3542.686044399234,1808.033788523906
-36221.16285691824,-31750.931747946644,-26471.283794615512,-20240.19516433996,-13284.23442355797,-6324.074953467141,-528.822761809113,2865.093483154651,3295.3364821184014,1647.109531357593
-27320.416535815802,-24877.39717126126,-21526.21139257343,-17030.306073519445,-11507.85964217866,-5600.849084476301,-469.3384473770037,2594.4933880198096,2960.442611806529,1449.3685493725566
-19616.416287475415,-18700.920332445385,-16879.950286783278,-13855.82355430002,-9646.813228495936,-4792.12626838653,-388.04071657051855,2285.8256288760267,2578.7114474171335,1235.4694099805597
-13521.112771658882,-13610.047235082899,-12870.572552022893,-10977.728175182081,-7870.027332662867,-3978.0829722361573,-296.6581266596022,1965.7139800219568,2183.2534561109314,1021.032903850216
-9047.94817557283,-9692.812899749042,-9627.494024147034,-8528.411443662773,-6280.408377680772,-3214.8496036341135,-205.71858395873397,1652.8423519104165,1797.9000056675122,816.3285362546346
