t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
1153.6249999999998,1061.3799999999999,978.9449999999999,906.3199999999999,843.505,790.5,747.3050000000001,713.9200000000001,690.345,676.58,672.625,678.48,694.145,719.62,754.905
-591183.7074657256,-506528.4090964889,-423946.6360970083,-344541.2804959409,-269482.84808650345,-200019.6567436013,-137472.38721188527,-83202.95770408699,-38544.06033181066,-4671.9729889108685,17597.978877911086,28115.8581688981,27823.48554358527,19320.442531878078,7577.660660057437
-871074.2842697861,-757073.6811765449,-644101.3177847654,-533013.450130255,-425056.6651040121,-321963.9834188702,-226002.4718937144,-139938.42066115933,-66876.47251882398,-9924.355136700608,28359.31902521158,46753.445350906986,46370.699233887266,31757.42869092343,11891.402442171206
-775832.221805911,-692914.1251597973,-607678.333895178,-519549.3453943532,-428673.7571441516,-336177.93659035617,-244381.4058168357,-156885.41402313675,-78423.62238211663,-14348.152412830657,30346.93089416773,52465.276095570654,52329.75243205054,35352.577896276154,12766.794886051757
-484103.00364896754,-453844.46931552386,-418929.479962603,-377469.0932910766,-328229.95621697046,-271030.3169492042,-207186.2610499048,-139882.58888863437,-74258.4232847391,-16944.941890991682,25165.291921579123,46931.93468394481,47380.14059426381,31624.02912458636,11046.242837208258
-212105.79569818464,-218103.6402768917,-219801.12833731456,-215046.56061556906,-201896.90820041572,-179016.2782126804,-146262.80207492714,-105342.58470138912,-60262.39783346491,-17187.108384632236,16680.75895575071,35297.78348668896,36545.63712920151,24320.176012572858,8323.639029655387
-59300.28203858132,-75376.9286018039,-89116.95635624928,-99009.2157353937,-103318.09619205401,-100340.98888554497,-88926.54430271446,-69198.06294297142,-43252.34607000942,-15412.096184072587,8454.29851556378,22774.798583248255,24844.190001197734,16862.75498114738,5827.078314191714
-9508.019988486993,-20428.340118454635,-30736.74077634756,-39764.50163973532,-46493.52475191761,-49633.322356520526,-47908.131035676895,-40578.10241787708,-28088.55376155356,-12551.048950616932,2379.559616592716,12570.60638947838,15287.900809773508,11032.731878073831,4016.585529275397
-8023.475826127747,-11398.974164416184,-14841.043521157653,-18222.2668259142,-21221.215077522174,-23290.36741220672,-23697.55394322147,-21697.501940284303,-16868.44382082659,-9560.148058564917,-1235.1964239792421,5676.106343906432,8735.30576845818,7105.515010916111,2814.043190104313
-15875.038438582811,-15036.516706836483,-14161.229645244395,-13284.753432384316,-12488.43951639017,-11863.859714514123,-11405.911810807225,-10855.915653917455,-9627.654024519115,-7037.288564552329,-2927.5783536642934,1681.4551308242808,4737.843777609548,4609.552574596261,1979.1063110120808
-19056.236061285756,-17318.49762743512,-15209.17866232679,-12705.40849483838,-10002.513014577022,-7544.509068668275,-5884.151797899191,-5314.761152651752,-5445.540675589668,-5172.644856457205,-3424.988903543853,-329.80645806979896,2426.0587270271426,2960.0794238473636,1326.0736783308425
-17238.331924253533,-16166.411322021439,-14489.836937689293,-12070.491612067044,-9051.768777157418,-5970.911404777786,-3660.1014790141326,-2794.28982104762,-3253.2764584696033,-3898.316536130977,-3328.03540744896,-1242.5072325108663,1018.1243435330973,1737.0118960277275,766.1877004332563
-13381.201503581015,-13256.238723588416,-12468.49850376573,-10790.655982945938,-8256.007572176748,-5335.253305525783,-2908.723123488439,-1827.5305578844147,-2201.118879223047,-3064.9639991535764,-3057.8378736557374,-1722.5339309923684,-22.178033720672918,712.8519214385404,273.77774084730424
-9555.432874739283,-10187.14699915078,-10221.054371900516,-9378.127767171758,-7570.951138779504,-5123.776548171029,-2830.0095466772464,-1593.8798595881588,-1733.38225234759,-2567.4898009202575,-2920.2986236292872,-2222.239266657468,-1006.8323024659367,-208.72076849867642,-151.3998162819604
-6539.83205954049,-7747.5289024813665,-8472.028938060464,-8394.155675428123,-7292.285892464505,-5305.489519053127,-3105.362927090951,-1660.9270933091632,-1556.9048437742965,-2423.40723026416,-3188.80686961146,-3041.799593777293,-2089.503314793625,-1053.070736921189,-504.4236254723939
-4488.700080385039,-6264.079384947235,-7655.513541685198,-8273.389010225985,-7721.484848377658,-5944.837743203267,-3575.255796810475,-1813.9487874255688,-1623.7752881911672,-2828.007175137532,-4155.897011280134,-4371.915790940694,-3315.2404516134743,-1810.5103889740544,-782.5018076418809
-3539.732569583105,-6039.210916186728,-8168.434993670622,-9389.388815076882,-9072.56165896989,-7029.702504944033,-4100.975211553198,-2023.5540579117173,-2173.039051557256,-4182.40875907503,-6122.302741769043,-6291.165438571346,-4644.339092618598,-2454.98589324741,-987.5114698600435
-4174.94131307885,-7610.758346637839,-10506.700627320102,-12060.195390190282,-11386.908759635528,-8391.863467865262,-4584.222161797199,-2551.263144275133,-3797.4538673777743,-7041.964389410254,-9298.748478378368,-8724.149609729608,-5964.411097377671,-2957.5075463178387,-1128.4301838030674
-7348.6613483013625,-11770.975233689738,-15175.413505988998,-16388.6374778844,-14404.503733053854,-9730.09469499865,-5153.809028469048,-4124.791375179019,-7409.558929509892,-11904.433977048517,-13624.894787898436,-11394.459084293057,-7110.704077880807,-3301.559378841417,-1224.745581298038
-14290.893111368505,-19260.054180820433,-22327.935114415373,-21966.685239708062,-17492.190129134102,-10822.8365600927,-6467.101762392822,-7981.264498108405,-13922.219115077054,-18809.900358353003,-18577.110754848924,-13826.45244146739,-7908.890527420705,-3501.147735300548,-1309.5752206516652
-25829.8952571169,-30093.381246942867,-31224.040790238392,-27642.405266809605,-19823.068725010067,-11937.370831949496,-9872.65897120035,-15466.247639665798,-23556.998741627547,-26892.272292220357,-23110.85897300944,-15443.64167955133,-8239.274153850152,-3616.08274058389,-1429.5591939918245
-41297.38579701789,-42753.8401416315,-39857.41042188816,-31682.174097758852,-20902.11067244783,-14160.653663209592,-16996.74812324395,-27030.012331218983,-35034.80259180191,-34220.779985027795,-25882.76761856095,-15764.018112113266,-8101.76423559684,-3754.912307728083,-1637.7829827972505
-57606.48030208473,-53875.953268936006,-45273.5801063215,-32524.778304889616,-21162.332440837166,-19111.309893537244,-28524.62200699419,-41032.115047561456,-45302.32435636044,-38272.890212357255,-25755.76257001176,-14619.29968984534,-7648.023763804078,-4056.04318996875,-1977.3760799584188
-69499.1448425001,-59113.315597771565,-44808.81580496101,-29804.63028895709,-21988.97283776432,-27731.151324208982,-42739.42475553488,-53392.57600535333,-50416.29657403836,-37016.1622807409,-22362.82429080498,-12277.945233530503,-7152.91651267195,-4644.546352671439,-2458.3242623166357
-71536.41097956256,-55179.1465503473,-37682.31051006302,-24810.624307573682,-24751.19173082894,-38779.5024315061,-55166.218334404875,-58972.97105493168,-47439.63315862095,-30030.64952737504,-16380.331081778579,-9382.409457590438,-6924.460645170124,-5575.573303442332,-3037.314450544146
-61028.560143169394,-41900.735892586585,-25748.34201512003,-19761.25512327173,-29379.857111414374,-48463.60567193626,-60304.688172270326,-54272.33083618083,-36201.1534850824,-18894.025901028766,-9299.145172865003,-6714.826352857157,-7186.638952754225,-6788.908618372671,-3614.9524897678866
-39906.85763211993,-22694.742488480766,-12632.276528605447,-16310.906482285583,-33808.678759417715,-52097.68939323417,-54702.17302771952,-39617.040968798865,-19595.82964505519,-6501.381765979162,-2809.6848547931195,-4909.909136103367,-7989.338562253665,-8102.214620326892,-4059.8833586159117
-13988.677643515188,-2921.604585806531,-1791.7201887973981,-14531.412747986209,-35056.02469460545,-46869.63672813056,-39122.60720693408,-19127.26155295612,-2148.657557513908,4237.282389504446,1834.745043579561,-4259.154551613228,-9188.449081223476,-9255.845059836514,-4254.268943125933
9922.536149426614,12729.198128640797,5052.797615146689,-13199.91389204695,-31180.961669910303,-33574.241640633845,-18113.671018914574,1499.091086835718,12111.467292391686,11489.966096699192,4145.771920628383,-4682.146410229297,-10502.496222062064,-9995.117965404932,-4139.126339282069
27038.13617866696,22027.77355234903,8139.030775773022,-10975.207078744625,-22498.07193793152,-16020.385976374422,2551.995667161944,17679.85961683738,21082.75358114538,14845.994007870448,4338.197679674383,-5839.31388608121,-11614.301191334363,-10153.863851129145,-3734.961371732328
35886.94214209489,25302.43100386028,8784.92027115195,-7359.30262622027,-11211.51048021188,1181.0803215223195,18550.334915779214,27409.450415318966,24731.10956528017,14968.462987897381,3031.4761197825833,-7299.466364196554,-12270.193523989254,-9701.795978075766,-3127.5372895273
37707.23717084329,24349.308333409546,8347.365052006156,-2805.654548246563,-36.79946255113956,14695.058291146453,28200.756676850408,31076.685231503066,24323.364532428408,12977.630232523494,929.8811008758231,-8680.150382088803,-12340.195577795752,-8738.589774103524,-2429.7192301899427
34950.93302453389,21194.07901051845,7679.599677945754,1803.7447805972013,9046.893299443273,23266.159019440034,32064.866917193416,30370.42373221747,21491.934468797026,9947.444791517375,-1385.3321271030832,-9722.371824766435,-11827.425704084753,-7444.948798748557,-1741.8389944913845
29993.28316565108,17365.7961315418,7122.368135946529,5730.026514386443,15259.606137773182,27323.086763175852,31815.090870877037,27190.307703286842,17615.099298866993,6660.185602818892,-3530.8419001495313,-10303.146440498007,-10836.990367813038,-6018.227927852501,-1128.399396668341
24510.411405586794,13736.768794495909,6728.225601981248,8639.363693675688,18787.980019144452,28103.494537166258,29229.076897195693,23025.42380292419,13596.952565630978,3573.7806829565698,-5306.442586625818,-10409.085370807816,-9525.190881481867,-4620.1397360292885,-615.3227642455079
19419.64388200185,10671.852674709187,6460.033584697921,10557.26390017275,20288.06578348598,26916.469448565073,25663.28176255886,18794.32992338423,9907.57869284029,895.2109204134092,-6642.346128604933,-10094.455529314275,-8049.642484495523,-3351.4368163600916,-200.8141950082276
15083.68901669457,8240.353519763356,6279.5560487766115,11690.215267944975,20469.775542668933,24767.03991471351,21944.306880403776,14942.680199242894,6719.780645687941,-1322.7822764672333,-7542.231812309579,-9439.667687910201,-6534.6240688780945,-2253.3385177533605,130.12987271996235
11548.307089851549,6373.279739543401,6157.136068548212,12265.517139452431,19883.691234111237,22280.33497193118,18475.132919161726,11613.474344730515,4043.173143968328,-3100.5536946508205,-8036.377721759563,-8519.585428848179,-5057.838389824646,-1325.680185778924,394.3915055962604
8715.292317648433,4950.634640678196,6056.585226308212,12447.734857771276,18874.696727255046,19776.551936451946,15392.471988932113,8793.84061468002,1821.2388622379945,-4474.620818604391,-8149.248622984198,-7387.5006439960725,-3657.1328743057775,-549.5328316355874,604.7632257932675
6442.1838046051635,3843.718177292058,5927.775976841201,12323.424143518667,17621.653338308985,17382.18137908506,12696.873649916022,6413.283372684592,-8.024977210591658,-5462.373207154532,-7884.382583464111,-6077.8062334470915,-2349.818636123498,94.80740093202905,768.4723540845451
4593.371067831203,2938.4950592851314,5715.3731764888125,11924.410272792018,16201.442024866463,15124.152875060194,10338.656280737523,4401.103399041517,-1478.1528677254803,-6047.007727172662,-7230.433711646188,-4625.297090376671,-1153.972535755415,618.5558539834014,888.3651529957659
3066.745165538557,2154.04726259621,5379.295351906333,11264.674922453472,14647.687271254892,12995.14172539682,8268.22878890066,2716.082018362452,-2581.536369357524,-6185.659865448068,-6189.15045373501,-3091.2207980362173,-101.47514548109677,1023.706071048339,965.1834273730192
1807.8528110998236,1457.9138519769876,4917.484697386508,10375.233413023343,12994.520750419644,10993.817886861749,6461.531469046335,1355.2754102781466,-3278.94766811535,-5842.788456815848,-4815.615098473531,-1579.6867983530083,763.0810556256729,1308.0444893375457,999.9262507789906
