t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
1153.6249999999998,1061.3799999999999,978.9449999999999,906.3199999999999,843.505,790.5,747.3050000000001,713.9200000000001,690.345,676.58,672.625,678.48,694.145,719.62,754.905
562402.9941094284,479667.28429816884,399057.87155628635,321692.5364236004,248754.19813577904,181499.57586355828,121251.6429088761,69365.76603622278,27155.846866506723,-4236.851896043885,-24052.621218561697,-32222.132241741798,-29796.60857259178,-19516.176014744316,-6523.182823945421
833548.0450455006,720401.9836075895,608489.8543968876,498757.1970968205,392532.98656238604,291619.680142553,198331.9771997293,115450.3025497581,46046.04746011639,-6868.108708365273,-40902.30942154951,-55082.76941960894,-50839.90699663594,-33080.492944655474,-11132.29143765311
753278.9713757474,667640.6304377547,580026.6089811061,490037.4031441203,398005.550605092,305243.6238682701,214237.1953155667,128701.18424185134,53388.29620916714,-6470.729040027274,-46180.3292665021,-63028.45051168399,-57966.455819977855,-37069.051921362785,-12084.266273362786
482960.0406567997,447277.0682810044,407186.5280313447,360974.60932819947,307643.73478928267,247306.2236250295,181604.8804408629,114028.19032019161,49909.446806903965,-4141.024906340301,-41560.9506448344,-57884.33014235526,-53073.89725326796,-33213.17385495383,-10327.891509339628
222282.13407150502,223155.05796759317,219681.2618257907,209772.51743136314,191660.1341807693,164313.82406002257,128019.78292107779,84977.55367431542,39634.23491157169,-1629.7366982061212,-31799.95567757396,-45523.08964644107,-41784.93272861578,-25664.186153431583,-7605.914904095991
67415.67271697271,80860.88283108851,91672.28990304864,98261.47187421283,98926.0904762566,92154.00925590353,77171.3471654044,54647.1799706808,27291.00680164525,-92.10030876587206,-21534.817655387764,-31945.82715222614,-29660.726109646977,-18133.953938057784,-5221.065305882714
8909.452192713361,19738.404458793535,29642.517479099144,37805.86905069743,43112.4606873244,44277.17496136565,40198.937391652544,30529.820947534976,16303.611939380702,276.3622747238221,-13464.529058345166,-20872.81022598952,-19970.79249988038,-12469.523191046754,-3618.285555739818
-450.469802646325,4035.3703814733376,8477.396575316794,12638.936238243004,16053.347648187857,18018.71177673205,17708.221010459252,14450.466008236333,8172.248045877297,-143.33234785543868,-8308.92835044627,-13487.833618419814,-13577.753874844477,-8865.415751650311,-2668.25043910263
3619.322239251155,3694.248187080676,3897.994120785115,4273.3731886478745,4810.917530083991,5379.545616660054,5641.741787674988,5029.661140164057,2919.4017980320327,-902.1008245893768,-5646.546815761812,-9376.568310108969,-9929.77371799454,-6745.164228602723,-2091.7748934500946
6648.763684389587,4862.311819122357,3089.5934072691234,1458.4482458807636,202.66285467840183,-422.6321070999039,-352.1537004696822,31.85249775576324,-140.16048947285748,-1740.626771941948,-4720.802632520418,-7554.4670123728,-8062.705994771077,-5462.610667013349,-1689.3275811031883
6525.145308643417,4292.952117387508,1955.6313674382448,-340.1223775544694,-2246.6563924478774,-3308.054613353916,-3256.981359610462,-2415.754482261232,-1815.8563068838887,-2599.668497261577,-4867.2822813959465,-7081.756258747793,-7150.590621148345,-4584.311066532699,-1373.549732502853
4710.958789679341,2478.566975829575,107.7143151747891,-2229.7672482718745,-4120.241528961743,-5031.596104655619,-4688.293542195589,-3534.0252980825576,-2770.6705456880454,-3530.2832758379427,-5623.6861748816555,-7273.504830322451,-6655.565544631551,-3895.099760218406,-1123.778369643154
2478.8582326999776,272.78471586859575,-2028.2798756145414,-4200.358657744095,-5772.481939811081,-6214.360739882409,-5394.994586594644,-4026.9485851889567,-3469.609476351101,-4605.328050750351,-6685.778146078912,-7687.845061109834,-6283.285818625586,-3316.646706768462,-943.245168337465
309.61156278537254,-1910.155764105331,-4132.433648101216,-6060.704207545874,-7174.712170369509,-7012.283105178621,-5702.929738255199,-4297.9469297853775,-4213.503388045804,-5854.092682340996,-7823.308505637094,-8047.685876422816,-5898.171787099537,-2838.421265959927,-838.830943618086
-1747.817829272636,-3950.210086503808,-6035.769820369904,-7634.452456180987,-8207.947372308681,-7437.415186312193,-5786.993509460425,-4606.19005435317,-5163.404737979033,-7206.467227178791,-8811.390073903885,-8178.639867584317,-5463.966199699726,-2481.3604220898633,-815.4939537540974
-3687.9576195638833,-5745.033039881061,-7564.367931610541,-8729.529667950388,-8745.004878329075,-7506.873513572825,-5808.082798502547,-5120.8284708671,-6310.940010747965,-8445.174625126641,-9408.5686648128,-7992.752548664268,-5017.369940634202,-2281.9219987745178,-874.9662855626248
-5296.480829202426,-7021.718279773148,-8433.183770912316,-9126.231355868771,-8717.317705578102,-7328.729655442537,-5938.6628629934485,-5861.466505536952,-7405.5953169969125,-9203.635509814776,-9406.817136285474,-7514.77097879418,-4657.639902473737,-2280.5951534447167,-1013.0532371041902
-6026.072995893175,-7289.755350281761,-8281.792587870948,-8679.234920800127,-8223.078666831294,-7125.637667216915,-6259.447918881813,-6554.949454093412,-7924.557803668198,-9079.278746957312,-8758.509360851627,-6921.736324300258,-4529.12956308781,-2504.8785086742405,-1213.7635624398367
-5076.466317774902,-6012.334783546717,-6905.427835390942,-7532.773197332049,-7613.712596730163,-7122.574250922224,-6539.97410010228,-6542.017112101639,-7234.9292385403105,-7904.843940486646,-7731.285846803077,-6546.737089225334,-4779.126359789551,-2943.981134671365,-1440.9915436210135
-1822.3131906511053,-3056.564265659187,-4642.2943942095435,-6318.002052526901,-7408.661428768587,-7265.712898971232,-6067.4245499312165,-4977.300944934227,-5049.968266243086,-6093.660463035203,-6974.2437272974275,-6799.4435375627045,-5488.356713835541,-3519.9179976968576,-1631.027347222523
3414.931220165658,715.6069543984464,-2674.71331332965,-6080.286822471693,-7940.909061754154,-6950.036380945014,-3858.1573897151075,-1489.9222559304842,-2030.41654270056,-4803.7879883019805,-7366.917730692506,-7996.014054399267,-6593.218925238583,-4067.255245973399,-1692.1820189889481
8663.275506646512,3174.5897152380376,-2843.3849934802824,-7761.545432058586,-8913.023235636667,-5166.515121940789,523.835062666953,2945.57714747253,-48.08665827393759,-5633.835361101342,-9630.84119260076,-10159.62951034181,-7837.551795784759,-4339.026051606407,-1519.3200833632452
10430.504825046828,1517.0604105813193,-6767.30692443397,-11455.390682674513,-9352.787067969899,-1343.5676531254385,5904.898315866552,5695.99063288527,-1602.034655689395,-9831.939210129452,-13877.359092101746,-12904.168154543479,-8793.398359733132,-4053.7222201711184,-1027.27630532072
5153.562795867958,-6240.3647761338125,-14677.259932330931,-16073.24549274194,-8324.835648327564,3541.824332173122,9205.75360216864,3429.0799721008116,-8445.221410690603,-17444.58942576494,-19385.683510111976,-15494.595154482242,-8965.877668174782,-2982.7406720257904,-195.76589067148154
-8612.2243299835,-19741.967342620683,-24886.072308293224,-19922.767465918267,-6014.494503493366,6677.9250891358615,6706.42073531331,-5913.378110002089,-20283.763744210508,-27029.89307036048,-24803.255895419075,-17082.950510849852,-7954.194413983631,-1051.9474308895633,895.8942801724965
-28815.20852393967,-35995.83143100363,-34513.98179378345,-21887.02219330552,-4154.577241570258,4682.774962688696,-3658.1378839013673,-21512.47887655793,-34590.712738518494,-36216.62959724744,-28680.75156391455,-17010.507527413156,-5603.54253577253,1590.000982031762,2070.7964946725506
-50567.61345951579,-50729.59388639708,-41039.52260573316,-22211.073548922166,-5157.970915701629,-4269.031674322234,-20702.937704514614,-39783.06551380498,-47766.787310579144,-42759.30857937479,-30028.094744023594,-15026.907151726873,-2078.221090431638,4580.579254846845,3104.547441943883
-68489.91096920651,-60473.223624580765,-43512.0193015619,-22218.05720790193,-10547.080499889556,-19136.367602739607,-40429.38033631912,-56165.935263409905,-56817.20396819988,-45406.97619727302,-28594.715588418665,-11333.803495349923,2177.991495945881,7439.359702313426,3804.853412285321
