t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
560.1199999999999,541.4499999999999,527.685,518.825,514.87,515.82,521.675,532.435,548.1,568.67,594.145,624.525,659.81
139648.4845963624,116454.11626520433,94001.67221656124,72676.32510600958,52881.12008795432,35038.31790647939,19584.593989787674,6955.836332434196,-2444.3890192119684,-8300.377005695298,-10473.042299405213,-9132.072423477823,-4941.504654107961
225679.73303462303,190081.7641525389,155198.52928055348,121488.86631634586,89528.3432300642,60031.268397808955,33851.24627523064,11947.136760985339,-4701.816772741488,-15248.695736482276,-19212.58619832184,-16795.105290684936,-9260.443978391899
236472.1357606979,202926.31706910793,169235.13322462997,135550.80188632663,102294.95379737222,70231.44586134446,40502.83772102021,14597.684805924686,-5791.725021556906,-19058.32709230707,-24130.01594547512,-21043.29189670585,-11523.772253732432
187990.96145522315,166349.68271175705,143490.68287454246,119080.79718132537,93149.18775869008,66231.73962584132,39487.18234586797,14720.948080544797,-5768.792501070984,-19603.284246927236,-25016.924174200027,-21729.836973997222,-11714.815444025471
116547.264730446,108510.76144382499,98668.04717808843,86308.42185441247,71035.0585917926,52970.73200002796,32977.38863369411,12795.181400075322,-5042.857648734709,-17668.630915330883,-22762.6797905456,-19690.955996086628,-10412.701628147392
54153.02540584131,55442.1656805819,55050.25564027905,52160.65913517612,46107.51543494999,36599.03736534417,24015.637935715706,9677.882014704806,-4106.617475387345,-14439.184582938304,-18774.375800066508,-16199.580037430755,-8411.612105829627
15175.119024738775,20055.103663358484,23831.431479436837,25827.934893083897,25341.858486245164,21830.423216331335,15220.778209157736,6257.6340672458755,-3312.6944589864797,-10992.011828600625,-14378.749618988328,-12419.111569079078,-6374.487066713347
-1958.8651676634533,2547.4468946578722,6567.276152618924,9675.452357712637,11315.100925558707,10912.635680696187,8128.221088366496,3197.7313733049295,-2799.760816570165,-8017.443433273958,-10469.91155956181,-9099.02650724024,-4673.526859296961
-5823.709912156203,-3154.7372150006217,-572.9317134641344,1726.8942961368675,3406.781463974772,4027.375982843482,3198.4942941321674,839.9499096836344,-2544.4153402968373,-5793.902027976062,-7448.633670528279,-6543.307876782972,-3412.1815212506635
-4458.393341142305,-3442.1189824050534,-2364.2480721604793,-1273.6115046552259,-312.52755854196056,274.81938729361786,193.77521090241964,-755.4169234671634,-2456.739605365305,-4311.125278956803,-5346.507619718682,-4741.711870335351,-2534.4731394086366
-2448.7038999054057,-2354.242405232374,-2204.874859272261,-1987.3880477099626,-1718.3075974395947,-1473.0214315187186,-1404.651490923296,-1703.9755950501576,-2453.4491641617055,-3420.716813108938,-3999.5387693726066,-3534.1928160698026,-1931.826777516295
-1362.6216608213342,-1568.693074663797,-1774.7334086179967,-1958.7735668895084,-2083.0391322343376,-2122.2555499745213,-2115.3385286581347,-2191.6210358200824,-2487.303633620626,-2944.4913541932565,-3185.569947596045,-2732.102442869429,-1506.5612048653265
-1211.155179909869,-1384.4268229382644,-1597.5472427977963,-1842.1400705213725,-2077.552211889921,-2248.3640983300993,-2335.8666423962895,-2402.588807443678,-2543.3270456553882,-2726.7259183808987,-2701.0798013026138,-2179.407718967112,-1193.404522506344
-1567.285256751481,-1594.7536927791841,-1669.4794636728088,-1800.9840428595658,-1975.520779953445,-2160.218100084072,-2329.128650512588,-2484.37601607902,-2620.590273008141,-2646.0945737792613,-2389.4321675799692,-1769.822586479251,-957.1353235687293
-2065.4183699674963,-1938.42572942601,-1842.3861301416066,-1804.0626810879878,-1852.006674150011,-2005.2346939106064,-2254.7701596970883,-2536.7070736316327,-2712.62179597467,-2608.604705604873,-2142.613161800218,-1442.0055405412659,-782.5700156352009
-2496.2764900104544,-2232.2878746430915,-1977.1974635498095,-1777.2849609412121,-1710.7473272420177,-1853.8094861518257,-2204.5289812302876,-2609.3111505666357,-2792.152102582221,-2537.34471843932,-1894.0393314923479,-1168.372164999561,-665.3156930662018
-2747.677496264701,-2361.410679228188,-1975.1184377925088,-1661.7273470339437,-1548.6491695766451,-1748.1248204986741,-2222.100663038613,-2698.5963849060026,-2802.7880020262837,-2368.016459143913,-1611.927329512673,-944.6328100325613,-605.5131455845897
-2731.105020485688,-2241.078573114343,-1772.164882336379,-1432.0764514227112,-1382.0506428654999,-1718.201871678825,-2302.4691147201493,-2741.8546034222677,-2661.256148614924,-2054.1677355132215,-1295.9699412054144,-781.4919872730968,-603.8885585638625
-2344.5625947931635,-1799.9442894935914,-1339.6124493279517,-1105.4122019272238,-1249.6954042159657,-1770.2683892417085,-2375.550774917626,-2617.123441999899,-2275.7138226462816,-1581.8611998200724,-975.679296610125,-697.4122157547667,-658.798389033834
-1483.4883017834472,-997.8358661518363,-701.4965138344825,-745.9611207950313,-1194.5334364574442,-1854.0382203633073,-2289.817916968066,-2164.420830985993,-1583.8728557622765,-988.7232093775172,-706.4970855080546,-710.9266577312055,-763.3163874404738
-98.87807882330799,126.6764451950242,40.25899746915324,-455.3686958828307,-1222.7571685382052,-1825.4219379717167,-1823.2000878352685,-1243.798602725399,-605.9569847534167,-377.1647738115431,-559.5786627867164,-831.7305204591787,-902.0788933593544
1711.8183218531115,1400.6728351970537,696.908649951049,-334.3737475156993,-1250.1280571822329,-1438.486720869395,-751.4962031024877,169.78446357158302,507.1996020880327,91.17778087406992,-603.231597260553,-1051.1151052044133,-1048.3614046556722
3620.715352555133,2492.7641055961603,1027.998574482085,-415.99214043478366,-1069.8955234580496,-410.04823297641826,1016.5874273662068,1886.1068088480233,1463.110559176633,229.11854001102108,-878.0955813327214,-1333.8233598319862,-1162.630252891674
5057.430267005015,2964.986976076963,831.27796835967,-601.143414074902,-394.526428536201,1422.543779925716,3279.625533616163,3456.8694829231677,1882.7803901306806,-116.70948265980957,-1372.9369606454811,-1614.5948984577308,-1194.3746208114003
5329.616828635816,2417.91798269791,57.766292080260925,-655.0088822902703,996.2706703476873,3896.8173885970496,5457.796550027181,4254.954147203686,1423.8209051078102,-999.2894423746399,-2010.9517740205956,-1802.8304658855177,-1088.9122840522505
3877.824962412261,684.8633080231975,-1118.6801405154804,-310.80756889016345,3041.9761940146623,6399.723657853318,6689.722592653031,3688.324181254554,-69.78389510383025,-2326.9116605512227,-2655.2663744085626,-1797.2614596132803,-799.5733225823485
568.0854953900055,-2028.9883859783815,-2347.2809564403306,541.7121008418754,5252.9941040631,7964.0563983153115,6138.851225724276,1471.5378613175387,-2463.935027680094,-3866.873820906654,-3136.131435874382,-1509.1307067170208,-303.147033819092
-4143.865622969648,-5167.344692984899,-3265.7358389388455,1695.8469401186817,6779.119045986614,7624.391232980378,3390.7093039581073,-2187.949718991906,-5340.082064677428,-5302.985720394561,-3293.23588794887,-888.1506189315379,386.3784560644241
-9306.998024506287,-8023.70073650775,-3694.2842294023108,2633.9998128491693,6735.207242585417,4883.389087348195,-1281.1506697549348,-6609.497268860269,-8120.361873178597,-6326.38544716156,-3019.065803693265,57.51549179846552,1212.1706451353584
