t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
1075.1449999999998,1027.0449999999996,983.8499999999998,945.5599999999998,912.1749999999998,883.6949999999998,860.1199999999999,841.4499999999999,827.685,818.825,814.87,815.82,821.675,832.435,848.1,868.67,894.145,924.525,959.81
2639096.7250589114,2358979.8196258834,2081501.067831929,1808184.611453387,1540797.0802650987,1281415.6734910198,1032481.5942912782,796830.6293292441,577689.9327781595,378627.2531836975,203436.33844676544,55940.64340465503,-60302.49364359848,-142412.4070540689,-188719.3068842218,-199420.01678299851,-177336.4509226157,-128735.21195169383,-64138.04528659571
2215640.865204553,2051052.7868987685,1881077.7514446585,1703534.8152546862,1516900.5249527777,1320582.676580095,1115217.469629764,902965.3754095936,687760.2887429136,475443.89191390626,273696.9811393696,91668.87467730936,-60785.35502247172,-174311.13986728212,-241676.733975253,-259662.58727539057,-230914.2254893516,-165296.7006936273,-80178.25753920482
551061.4711616322,578662.7634074187,599756.4755243422,610959.156111073,608858.0664259304,590204.4824495233,552268.3365001434,493362.87012868345,413506.06784982915,315122.8012378434,203613.89455985892,87544.84152904076,-21827.489479761076,-111920.2677374356,-171130.6559375734,-191804.99907235737,-173175.53192029693,-123200.45508744675,-58148.15273641682
-82474.13798559108,-47197.59026779718,-12282.370269605317,21673.352203607916,53598.03334464443,81852.33792649872,104228.75047477064,118105.62420353,120816.34029196692,110265.51886896107,85752.63378201131,48845.88009344649,4007.5789062538147,-41434.32703228585,-78352.30218631915,-98059.044569103,-95352.10948648019,-71348.56592029287,-34623.0068645481
13973.607050160545,4173.777355038663,-5007.368083217858,-13095.452607728195,-19458.988797812846,-23347.45863255355,-24030.821715875165,-21067.85144507952,-14686.497728818656,-6171.029100785084,1965.5265781074904,6323.79969357712,3701.6119154289017,-7190.963619587517,-24070.006881620135,-40677.380956827204,-48768.05878677884,-42452.221484782895,-22846.016570216714
76086.97395186053,65150.729352859016,52553.18019826549,37812.93818630941,20962.619942391197,2804.0198770062707,-14909.822345240987,-29549.587067535904,-38151.764408753486,-38518.40583593503,-30633.185361883923,-17681.64019475727,-5669.553598080378,-999.7045430815461,-6649.74219705273,-19252.241594087584,-29937.716483177443,-29836.88120130104,-17121.636730088096
32025.80801486937,34052.40316634001,33994.970022170826,30837.559066662667,23799.952371945004,12702.968577744827,-1568.3076229871722,-16727.921524357615,-29250.639549243493,-35379.412468359486,-32942.325669987214,-23198.9096726773,-11275.267456834896,-3998.2298256363856,-5618.6847289365105,-14215.009614163162,-22254.601449672446,-22086.6543941419,-12431.4246803809
-2979.9756773312724,2537.5314655595344,6821.898631231928,9073.968393996936,8458.702881379555,4389.740081324952,-3011.116923216652,-12451.5230890015,-21369.40951432046,-26612.283943033097,-25971.373396193216,-19885.216476648267,-11937.924772032318,-7070.918058705758,-8125.626966967088,-13322.789135294752,-17312.800560449137,-15541.71867454335,-8217.425081038169
-9983.583087152132,-6261.46878304979,-3229.1378958491005,-1397.3569052601806,-1337.4939037358831,-3471.266989201802,-7722.558750863858,-13180.811828897791,-18082.50494820195,-20412.62886436675,-19067.03587495181,-14882.368879901527,-10501.844815930393,-8682.629145153776,-10111.827636164844,-12694.386025272042,-13250.693067345534,-10239.780579615595,-4969.137096468636
-7800.293268952149,-5608.115526013592,-4046.437946318703,-3528.299681738142,-4441.406897611019,-6927.746900301894,-10594.366932389057,-14359.610573158436,-16722.166752330915,-16557.09013067174,-14036.669045005216,-10832.988197527799,-9061.173495005627,-9580.286925987535,-11199.34385404248,-11714.515606858442,-9865.008330574607,-6300.445077407798,-2746.4794689670584
-5360.6914931193805,-3776.5435244299106,-2941.7813035158206,-3281.3461144135567,-5094.112609700189,-8269.925488020619,-12016.042542994282,-14905.58300366843,-15527.847966978059,-13554.040309292903,-10351.676132394748,-8228.18840631661,-8551.051826108758,-10442.1264692885,-11542.46091550941,-10213.960795897103,-6919.487052233868,-3500.882761041343,-1388.0644433926655
-3185.642728327736,-2218.8923930148812,-2108.6538795134265,-3263.9568759658696,-5843.197923268618,-9429.063583099784,-12844.097046355382,-14504.324070812016,-13447.82012391579,-10396.678194107326,-7634.0775281087745,-7243.176033361875,-9137.596182096793,-11047.943268823943,-10692.714089701056,-7848.590111588817,-4234.500507406098,-1702.108301317345,-789.1612905140116
-972.2905770169239,-1295.5423672546567,-2395.615195985575,-4496.826566281424,-7439.355669050747,-10460.330349896627,-12308.257903064698,-11959.314502241303,-9633.80294596908,-7078.973918794741,-6326.0565350964625,-7770.700120574948,-9664.57187840602,-9809.242945080216,-7640.0928057213905,-4481.936453391565,-2047.2052893982345,-1022.5578837296543,-926.3497659404734
-659.2006168537462,-2603.3047246212086,-4725.36524309446,-6813.218905826715,-8353.141203428335,-8705.606904663277,-7608.508155124756,-5713.331232947661,-4451.529073083074,-4895.125161972326,-6547.860585884164,-7603.191677407161,-6703.769048022763,-4269.899932769752,-1927.4870048252615,-893.4803441589779,-1117.3632805173586,-1695.8515338214015,-1745.3403103412174
-5801.546402805106,-7404.4243084260515,-7813.8480126982995,-6430.668810432667,-3152.0748331567625,1002.4525827906848,3824.9829689003186,3226.094740694758,-588.2501230743019,-4433.58990075315,-4664.1850255274585,-771.8985327298581,4074.6444700712195,6199.807891371586,4566.337297948999,895.047812718355,-2355.0135194991444,-3690.893276438594,-2967.1880474405416
-15593.32502811771,-11011.447011397477,-3870.4540167396394,5704.687068168039,15424.520320206819,20925.231008601088,18425.09487987486,9059.973425670501,154.86039427145622,-330.06872355154815,8274.064825260415,18406.974253732624,21806.25086844211,16592.378701725975,7017.766753269698,-1473.7032961889531,-5909.166978758514,-6185.416180320452,-3855.2338558282745
-16618.634204302834,637.9579627668595,19232.50079443953,36104.69275552039,45112.383693415635,40542.86898335175,23863.78686881107,6981.798427103085,4317.452199494704,18553.088434998786,36840.128482178145,43525.06407524777,34249.035742806096,16524.08577977224,449.12302233919786,-8490.871083195838,-10141.68511185963,-7204.833065418054,-3138.903213569576
10734.170217221936,37863.44291142677,60156.48199456943,70723.33299928192,62760.56874666145,37675.78844621223,10948.855007739658,3933.5960546611227,23351.15009877133,51668.27383738334,63740.97492676842,50641.02552937418,23412.108837013457,-1525.3012446904336,-15064.33364582111,-16957.28882458687,-11510.03195169065,-4039.0659360291743,534.302485192561
62213.14788232926,81289.3745537214,87029.32922263646,72498.66464896468,38757.64302693817,2397.766800788258,-10492.719614104448,11942.124382060643,50102.02831148884,69348.01594389991,53988.81421668107,17713.38352409235,-15693.458967271756,-32452.35183514508,-32120.873818881748,-20942.3606484501,-6252.439574086255,5136.8834285371895,7477.326003134864
93770.64140273022,84660.5927388395,59365.12670040368,17860.228245197835,-25409.329080328123,-44165.56198991718,-22265.27332253004,22808.600787835636,50209.05095031294,35951.54234461375,-6444.711878629432,-46358.90846748376,-64518.18799518458,-59867.314023215324,-40582.669963595064,-15743.815571020226,6715.990086200947,19180.391324922486,15915.463156274167
63234.68448323612,25293.194234149203,-21277.013796771924,-66725.28616558402,-89426.89993307165,-71775.22984278027,-25152.36775645511,9852.117659533882,1406.5405910789364,-41848.33647186103,-85478.0327728661,-104382.67115942552,-95807.64793063763,-69332.19845330653,-35294.618276604655,-1620.1666559741795,24073.654504489296,33462.54463987535,22404.258608484106
-15971.135513158759,-62289.85765933684,-104398.0339897448,-127722.67543925092,-116573.46086397853,-74630.20251821239,-34819.95958932188,-33134.64391206408,-70641.83224652022,-114861.32135061771,-135611.83933619238,-126507.94671639321,-97241.38593417958,-59030.32270840397,-19230.383456710068,16264.321553861088,39560.94974351512,42237.96606785563,24031.389349527984
-90024.89443561347,-123782.3555113376,-144191.31581364048,-139385.8120336185,-106865.70465415448,-67133.52631114489,-53762.089676455995,-79238.20492405088,-120272.69327333992,-144476.95012634943,-139604.07235496066,-113141.37395892844,-76759.2151760515,-37681.73231176221,143.0321180235136,31467.709666922077,47754.14241093527,42352.47865576878,20549.723380066902
-124246.1936628518,-139005.4623650141,-138329.88793362962,-116668.14773789661,-82282.48842059878,-59829.16751484133,-69478.27033483007,-102554.22017488592,-130139.67733169462,-133296.53189523253,-114112.68238329032,-83572.64045372662,-49600.208872593736,-15409.842914926638,16405.32284451667,39951.81179765307,46993.80853160958,35030.37682972495,14308.77653872454
-123947.39936768159,-124238.41955531048,-111432.12467603892,-85570.3114654919,-59745.21007955571,-54177.774120914524,-74548.76568271645,-102330.07636743167,-114660.23832187061,-105407.19579463272,-82472.21423952338,-54672.35780688099,-26010.160752220192,2140.618516095335,26745.846430441215,41187.77153704408,39442.420435663465,24398.778009083548,8241.480362816426
-109594.66640051095,-101568.57429777461,-83943.24831776775,-60370.37459352893,-44637.74781696991,-50125.879725681254,-72469.73055828175,-91600.74623683073,-93176.02681643867,-78735.17054169044,-56750.6047219456,-32917.429981353765,-8965.45841309793,13825.288441995264,31292.15565384872,37058.203642940876,29022.352248857682,14544.795227468421,4041.0999746775296
-93993.33074047246,-81525.59944696055,-62824.727633050126,-43680.34695889623,-36614.583134992856,-48414.773772070366,-68743.46315729734,-79838.74469386191,-74697.82569781969,-58575.198980607434,-38584.31408226862,-17970.52200428403,2449.307511241444,20636.48087591075,31502.548844123277,30254.97766880249,19206.7146791923,7608.204465455159,1850.5090756014183
-80216.83632092505,-65527.047292969444,-47739.68637824843,-33798.15168862024,-33865.24047336504,-48824.015633951865,-65276.61163540152,-69500.89739381318,-60170.910047461395,-43879.28319705975,-25857.560597890577,-7677.898463379344,9949.700070046998,23987.69743136057,29119.15996267406,23161.793592441147,11879.223554088227,3714.8273904767375,1002.6877733408091
-67755.14474730405,-52508.39960288792,-37079.8381425695,-28705.668366471273,-34394.623875238954,-50037.50335188399,-61574.91994443155,-60120.52517210446,-48362.666588423206,-32721.72290163526,-16522.59574951824,-293.6647595663134,14907.472149992318,25159.166634334262,25724.886031802285,17300.754423841576,7329.801656708772,1945.3689603162115,791.3979991585246
-56203.511602267834,-41804.883574430656,-29787.133565755143,-26874.257626268827,-36485.46664197534,-50790.60567674389,-57062.43650132184,-51258.203230730534,-38433.97152459442,-23909.837366042102,-9336.463964610844,5294.274866070166,18330.911927909547,25247.214007273204,22489.99714638306,13194.89226797864,4893.931732236539,1296.396924548817,807.3529086433452
-45732.81464017018,-33230.2490766231,-25167.233288337822,-27105.307440406512,-38885.98583545588,-50444.07051542564,-51759.058453502825,-42965.57079554497,-30037.980918015848,-16768.86542338091,-3506.028444468811,9889.100528543315,21031.419129940085,25078.701356981976,19970.07411019817,10595.820368946795,3713.905492507392,1165.3549755551346,933.1501825352818
-36516.950957598056,-26531.0639525881,-22459.561313070142,-28282.223767864336,-40667.9990272964,-48755.29233549698,-45889.94789763809,-35319.11876746288,-22849.62574993613,-10702.665295833613,1662.0397323177554,14169.548237733796,23587.30535094935,25032.51397493574,18138.149519256007,9003.1675142037,3271.744720783855,1400.58845130107,1215.453478147003
-28311.870324786116,-21087.640412653225,-20654.31232945086,-29225.391014243905,-40972.21972555488,-45451.120909999554,-39416.80129024267,-28051.209263231085,-16304.41497194202,-5019.070793645244,6822.08552204257,18606.34612649268,26190.69674114067,25066.284958271663,16805.534705837854,8210.019400897241,3535.0677792545657,2116.0286103695953,1730.5260991362027
-20483.600433910622,-16025.234606914437,-18653.467742111618,-28812.878823255545,-38995.41044936977,-40115.56440840454,-31968.002299988886,-20581.841784408065,-9691.74544721286,936.0373530503548,12412.945906180714,23317.696598256098,28738.4615046406,25167.43131785029,16166.902363320414,8482.850038821205,4734.185880049346,3429.075743619764,2468.7589721204945
-12463.324521587727,-10691.154994300901,-15760.760964684676,-26442.202194798287,-34387.885468944085,-32561.656230751712,-23244.31484116263,-12435.05653564466,-2525.515902480342,7486.766841735445,18510.526720668386,28211.83935877242,31316.46448899902,25846.303416618674,16854.90141348429,10197.797110993017,6953.636263281325,5226.231351713944,3253.3923054700954
-4323.165443405842,-5181.584695947879,-12183.089820463807,-22530.545952794426,-27773.150890455763,-23390.822575965492,-13592.097056560455,-3739.0710762654717,5109.160829637576,14497.629010171251,24988.979782348113,33408.56821083234,34516.87153668918,27893.765513757844,19269.925641400147,13245.046244629595,9817.48650380286,7051.157591718573,3739.8967034734715
3069.635606415531,-387.94248646208814,-8991.879464188136,-18456.32548910116,-20752.79651305788,-14101.824453581667,-4161.665639407095,4677.260581567484,12607.06741447837,21603.30034648944,31837.456455659198,39300.44829466081,38858.6411248848,31389.681901768505,22856.778336349056,16777.51398868766,12486.720600331835,8194.701582210591,3541.978665451557
8588.39470779319,2636.0006205884056,-7368.592108336362,-15724.382376205931,-15103.160220386482,-6413.443361243181,3648.7919713920137,11779.842418270913,19297.815072711444,28530.36009026736,39086.32929516288,45842.685769964424,43762.96719553738,35142.145268538145,26208.50983070756,19555.334526681203,13974.594770874295,7981.0616700656155,2450.4084370061573
11628.261922517626,3455.8292168834982,-7747.373629832472,-14996.18668340546,-11755.289582491741,-1306.817280658304,9017.75399428315,16981.19080290591,24845.343286467054,35087.255746329334,46289.79714817694,51896.68866154697,47517.08891792128,37415.79449141494,27940.603638253244,20565.696940522354,13569.498663069424,6107.286902871676,602.287389518599
12407.791370119525,2458.0335117602767,-9645.861707010445,-15861.406137537777,-10471.502086756638,1345.779093991604,12039.092166165383,20356.51563481689,29244.692766901913,40919.689383410834,52342.949699776225,55732.31813372847,48530.75317276577,37181.73434823057,27443.80312620072,19414.745917459324,11104.82437256893,2824.0395884614177,-1547.7500519208952
11633.375941611823,411.29440664638275,-12206.147620216025,-17419.057521835934,-10376.714419263799,2351.503402160949,13389.478612129027,22368.97098258291,32600.972572808,45511.30483767883,56091.605234953146,56284.881770357926,46469.9694442309,34585.89621894164,24930.467956128927,16300.113966512072,6957.22368331399,-1162.523752175081,-3455.2360708318265
10002.059680637456,-2047.1589445564996,-14782.729291111298,-18957.763350776502,-10675.344512053447,2536.5811193450277,13797.228023543597,23511.900479973843,35023.22731293356,48494.770490122784,57082.00691165387,53766.97691413676,42167.97444050757,30455.66084238266,20997.68897656035,11739.916186597431,1844.030132940385,-4999.183644671866,-4747.435818867829
7965.804494958214,-4585.445824530873,-17113.354085886862,-20190.754948437727,-10965.922700286254,2407.3969776913304,13758.754766896847,24148.115618626412,36648.28829159105,49861.60864296641,55662.82261207767,49200.47816034517,36775.70919925573,25608.228742918123,16211.481381727945,6317.18708011507,-3429.173772414578,-8013.576394986909,-5343.80137004807
5757.323127691621,-7080.846349906834,-19173.281165134315,-21116.55916954533,-11160.108606257714,2170.311245573042,13529.909852448362,24502.883630895605,37633.52502919443,49852.60717592526,52531.25411195848,43633.21219704864,31115.689635614955,20523.786112437243,10946.200580596482,558.7155661746183,-8165.2988593004175,-9898.50495340007,-5399.406606115937
3488.831840538588,-9488.319865711464,-21000.535781220275,-21819.242424409622,-11298.060011812267,1872.5666478222033,13213.41093054724,24688.31117588813,38087.64992333221,48723.6772553605,48296.774805254856,37737.21998683591,25555.47967004899,15373.454706104647,5422.196925579736,-5078.900878788212,-11889.3775682428,-10709.514653112821,-5163.820373426504
1222.569409069226,-11772.893665325399,-22614.413937727375,-22365.004944117987,-11433.813805193382,1507.2947601994406,12832.850534746674,24726.104448446247,38025.48307561196,46626.45893580403,43345.40972583382,31822.58078077422,20167.79936618939,10175.306769717701,-189.71740468858445,-10192.668382604026,-14392.298444341028,-10738.076095418935,-4861.60530486098
-982.8115718374054,-13881.190156669005,-23996.3150950734,-22776.805746489994,-11593.394069722495,1067.8777697841101,12385.61691304254,24587.030152490388,37396.60053786637,43639.764114719605,37911.496541501256,26004.03286041463,14919.38895166574,4933.869369921135,-5682.459353676945,-14443.030166178753,-15722.318671222805,-10355.156639123186,-4636.628485396599
-3031.0068615946893,-15720.147413252436,-25086.650117491772,-23034.035054300268,-11759.890430720026,582.2504124210179,11891.445604255949,24250.999566860042,36164.12195213145,39863.211163091335,32189.90246425854,20345.502554875056,9794.689190468089,-277.1057495632077,-10786.613056431033,-17608.712066153876,-16134.995358028926,-9889.129975113505,-4544.704810442527
-4764.376341434052,-17152.005165561295,-25794.810837615205,-23081.304048391725,-11867.34922288644,136.87623815184065,11432.775817276117,23765.564253196964,34382.67180478032,35492.03115893457,26407.74810423205,14939.464406989799,4849.3425154912375,-5298.290617787035,-15224.256679437634,-19663.519826623222,-16004.890282538337,-9553.762703326733,-4564.189044943142
-5992.330469234263,-18036.326470491123,-26042.354969565542,-22857.704078652674,-11814.816921642796,-126.6532712100888,11161.59688395724,23267.120032425108,32229.702337097064,30832.65521888509,20836.95391791804,9920.900290870111,195.4122940931536,-9944.401606608313,-18826.905528520267,-20809.770447592477,-15703.245169546828,-9415.41740142998,-4608.472214778248
-6589.491103774911,-18326.60549855143,-25839.40846171366,-22349.85675141551,-11513.008945474554,-61.84271494152006,11248.009076114799,22935.364890859553,29961.52093639234,26245.158288448558,15745.825075916177,5418.228459466751,-4076.703635621575,-14116.785677497797,-21632.829046285988,-21395.5494368312,-15466.469593304977,-9390.853841305721,-4543.094554923312
-6619.436248046206,-18167.50667056798,-25345.64673577868,-21638.98747193765,-10947.524677863485,397.84379470541336,11781.037816057924,22889.136820168012,27803.607703182824,22030.322806891258,11309.326865008175,1468.180007180349,-7991.903344451142,-17876.02731187393,-23843.074434014,-21718.880701629565,-15310.441445472468,-9278.938460221323,-4218.174394241915
