t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
1305.68,1203.625,1111.3799999999999,1028.945,956.3199999999999,893.505,840.5,797.305,763.92,740.345,726.5799999999999,722.625,728.48,744.145,769.62,804.905
-1367558.5183918069,46647.439130495986,-54358.91427053523,-125001.63337264606,-167959.9296657295,-186679.0540885753,-185190.64829955413,-167963.35261488383,-139765.26206149583,-105512.36726237647,-70070.956189154,-37977.653087424755,-13039.269831214391,2222.7167913713074,7309.769395006872,4676.446918617982
-1598164.5524297007,24406.78919221097,-79080.49630127817,-163143.18695969728,-222682.12354370247,-255574.75262540535,-262365.6970277396,-245892.73602175977,-210906.52231402992,-163672.77333781996,-111488.41343941435,-62008.4790124693,-22279.18787996587,2584.267235382105,11039.453879950224,6889.17046504286
-955485.6766950195,-6899.177748482507,-54920.10499615316,-111136.41546202375,-163735.83426812588,-203357.04912884027,-223973.08902012953,-223114.6432198731,-201740.10470147763,-163920.43559803627,-116329.7909308625,-67389.57156024787,-25866.826498648756,1169.8344759719307,10855.629694364725,6893.696071944471
-325002.25389294897,926.4074009888715,-5756.0651805937805,-33113.64116652058,-71208.11398992418,-109378.16394384268,-138641.73913864914,-152960.5774285395,-149734.38230703908,-129890.86232252061,-97701.5034769602,-60171.18905994881,-25697.454262563897,-1816.2690248146698,7688.79502157032,5343.178056053526
-64671.04328992605,19535.928678435866,28089.550531709712,17564.32738332884,-7044.191203382497,-37716.62903346234,-66362.62846719316,-86605.20009442922,-94578.60166019255,-89217.93563685751,-72342.2245142865,-48462.05745444245,-23956.048183806874,-5295.225663389899,3521.841201759677,3357.582795003421
-34887.11242105246,22185.52199401832,34298.26127427638,32270.726194151623,17893.423053841336,-3440.1117379292655,-25663.400343627833,-43810.35968255047,-54638.68086913771,-56677.01002280087,-50206.52080347522,-37311.45940796368,-21728.489722205588,-8035.012323979078,46.593392440784214,1746.333935708958
-53031.71610555873,13816.898693386822,25920.407321581155,27492.665859693952,19330.63860010974,5534.41712567125,-9417.79018550172,-22257.224355761726,-31151.62898640534,-35251.23605933402,-34267.165731486515,-28506.17570298286,-19318.764011540025,-9385.426733518474,-2022.4785869162,756.0081336012804
-54780.13609677864,6249.919252222896,16827.79417666751,18687.355423265697,13048.46147075692,3757.8364961619523,-5677.039977145593,-13403.401383207392,-19022.186957357728,-22628.03562361166,-23923.539125067095,-22118.170393501943,-16847.72209760807,-9405.9052773003,-2800.088737976798,265.0955765541055
-43088.51173729686,3734.4898866413423,11830.791418643943,11966.72937235733,6512.213350647733,-548.3797299003106,-6416.631458051828,-10361.257952490689,-13123.598418001591,-15592.527629326481,-17583.704604584953,-17660.7989086559,-14451.032461179379,-8521.002377597115,-2727.465026635426,66.25266963505106
-30278.523412371986,4926.214605719741,9767.085971724706,7355.1952967315565,1321.334935755066,-4422.666410046508,-7879.6643041613215,-9261.278031578748,-10089.53638659839,-11684.617097132012,-13808.31952418173,-14584.486590511236,-12209.282806205063,-7126.973158603093,-2181.6131869138317,17.13203297527442
-21354.58116054142,6960.1260171429885,8036.831871108812,3345.6957243804472,-2794.2733097108076,-7119.846302944425,-8628.796701770305,-8324.477120155065,-8156.179569480376,-9448.49792747346,-11604.143958777104,-12377.971100791316,-10023.658806679501,-5380.682045002682,-1349.6369457317035,49.476214158054205
-16270.622493166755,7333.129291831309,5053.472502346826,-643.1964040068806,-5789.650865419078,-8281.81843084001,-8136.134920633477,-6930.057263634111,-6671.9603682966645,-8220.85533094083,-10295.984052997926,-10439.557148868878,-7537.53547548609,-3237.180009082074,-341.9648323495348,101.50334874211552
-13625.077621296263,5261.731603804847,1302.6919214211068,-3693.1957013549777,-6935.935792497592,-7567.692156109411,-6407.819175761026,-5273.202878281016,-5735.700379809313,-7677.688039221314,-9075.972037630821,-7882.638807075292,-4332.339070630242,-854.0512090417129,507.319928984537,38.157814612227185
-11702.5947413136,2742.4088172952097,-860.6992034165927,-4108.591801939619,-5523.312770249909,-5190.987279316959,-4284.9603649783085,-4223.694118079476,-5466.3459177289715,-6825.806500720207,-6459.315384602043,-3932.956976416578,-907.0947828708375,628.7147026480866,396.0611646805367,-331.40214278353847
-8241.72606645836,3848.956455645445,1201.4908935779195,-1029.3648141455144,-2268.948122183054,-2873.4044478580945,-3386.6642971545957,-3892.306687975899,-3863.765081574326,-2814.2918626647174,-1157.550012808732,-61.87788285629871,-216.21846247917563,-1046.4101755322574,-1424.2621049404256,-1002.2153850076656
-2547.151197098845,9078.623823899981,5155.159582786932,1199.751533588537,-2228.2215495473583,-4246.47133638972,-3489.5643317211825,437.9255353215818,5273.100291892284,6999.662720114363,3626.016172915198,-2419.7992885779963,-6645.53784962068,-6775.928111828533,-4092.3211237657647,-1467.9622225998812
-523.3034450997278,1057.520855185771,-6544.505618591297,-13628.072256541753,-17015.979396549978,-12207.110967212,2338.92469445408,19843.563178659857,27274.744386410388,17325.55564989708,-2642.6150347397647,-17615.683256688175,-19668.90639470785,-12617.391058843954,-4735.905466363973,-1021.427703071898
-11346.672566564832,-42170.36536217313,-54575.532294832075,-63530.69112454422,-56510.12852461232,-24156.095495515096,24905.210945453124,60417.16151744301,54616.14414697369,13384.1027561485,-27939.02704558361,-41762.144121212805,-30297.693061939102,-12294.852336334967,-1466.3339141203717,350.2215654755463
-32557.94438032206,-86183.46063681213,-115915.01550632974,-134482.35694440448,-111141.65444901239,-32939.13069715653,64165.53006623144,109544.80313902255,68867.13257946186,-13119.587292673546,-64438.957680681866,-60976.702408866695,-30099.661677966837,-4627.389257640437,4129.826711013253,1870.5651931118587
-47576.21633799637,-78528.73448324022,-138424.68787713978,-180154.08408415577,-150284.82025411335,-31094.659772336727,105662.49722941882,144558.38989320537,59033.152839425304,-53578.05191734039,-95655.1036791891,-66002.09317346865,-19687.643769433074,6200.172689284166,9398.017081635846,2968.634903582062
-38604.37675375607,-58856.46528609845,-124998.31257777273,-176670.4285061977,-146984.3111182152,-11591.446642672166,134847.10884959804,150173.68108987526,27450.426252960922,-92875.09733145923,-110751.295815118,-56926.09586317493,-4177.80378632032,16481.075942111314,13316.246274297544,3645.4592908170976
1174.826886344867,-79723.69592904119,-117903.44924016614,-143451.79955679583,-102058.1371798638,24736.21924667324,143563.65703640075,123617.30765235746,-15395.011476304115,-118265.50226445819,-106410.84101796754,-38010.91683892612,11882.893324912926,24404.60910899973,15728.539125456202,3951.4043021988205
59608.202427641554,-111698.08755933627,-121231.55675469937,-104568.48391707978,-39968.37185628611,63220.171184159386,129329.16078190501,75097.62693756004,-54564.02205079257,-122788.18582349221,-86016.70692250408,-15569.129354815792,24773.339896897094,28911.945682377285,16457.51926718774,3817.331584470361
113426.56651815902,-118184.04153198063,-113216.3651501072,-66449.91452394577,14678.415144889033,86645.26642895798,96977.96887539304,22598.534080638638,-78137.98860790583,-108371.97765555032,-57996.80346993247,4233.520485200629,32416.457131030973,29850.378331512748,15572.901816299793,3255.879873756365
145543.77898383647,-102241.82074781606,-88809.4549297652,-29972.704698680627,50416.04790985444,88432.56991910908,56881.80885707955,-18706.127441950364,-83187.90690573343,-83328.37593387914,-30834.246153173164,18051.14736538889,34909.63701350486,27972.95421749975,13478.381475166561,2407.863788119266
152842.56559539444,-77882.21576620982,-57855.60050434425,1007.1724434227901,66656.16784137914,73156.93903333548,19516.650494357113,-42539.545600184545,-74333.85917042107,-56461.52130999596,-9431.925974365096,25642.127325318954,33679.777072489735,24391.4361478945,10718.852294989661,1470.5721382633915
141887.40074543015,-53156.485833728744,-29622.785226810287,22856.5912078331,67804.35735631887,49626.973664044315,-8561.986566719948,-50355.88307778677,-58692.60727158374,-33373.052661570335,5064.315191204281,28451.999113737136,30357.870607114222,20092.642340585462,7807.677561575331,631.4867198889019
