t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
1467.545,1355.68,1253.625,1161.3799999999999,1078.945,1006.3199999999999,943.505,890.5,847.305,813.92,790.345,776.5799999999999,772.625,778.48,794.145,819.62,854.905
-2200460.0885178098,87845.25570845795,-68718.6304180545,-183336.1953131207,-258503.8675489578,-297993.7050778794,-306587.1761397244,-289852.4868411537,-253949.59839537772,-205436.58072688716,-151042.23570213054,-97363.53945912454,-50443.31782988551,-15185.036600754478,5430.568921076809,11346.028420829582,6637.082211539612
-2232916.0057190405,35511.68430388454,-94695.4097377053,-210641.28098493235,-302129.66321467346,-362787.69422309427,-389987.3030207035,-384530.84501988674,-350243.2744986248,-293524.38551260706,-222828.71492926267,-147974.19418710817,-79148.63852052359,-25500.824628499577,6715.7502430392415,16325.5015556252,9401.925592604088
-1026453.3063386469,-9377.447346665127,-44924.478138116196,-103841.84899164409,-171062.78412020672,-232465.378886769,-276939.7444895875,-297392.1734499877,-291052.0791676012,-259398.57537876838,-207844.2264467207,-145104.46152909534,-82032.48861557865,-29691.042170938046,3375.0972765900838,14295.001408420905,8545.09135922879
-222299.04520723346,13278.927076486656,24406.812850975974,6397.403961242655,-32882.57420968362,-81811.26646028673,-128565.01407572799,-163442.72423889185,-180061.89474207893,-175854.3099680004,-152210.18960826786,-114324.62493642193,-70496.66216891752,-30512.343646195437,-2960.4135235164695,8076.980125433985,5727.712040166423
-48824.26808826015,28435.15210470611,49315.294099335966,49693.54455184681,30616.22348541737,-1300.7641317995717,-37431.658763917025,-69796.51899960604,-92430.46640196536,-101858.78289095013,-97225.90666978831,-80371.18720861258,-55742.94719781875,-29739.21392278795,-9077.259311615311,1739.1030902778716,2963.0938549177126
-79080.71045138424,16047.296270880597,36633.40016966495,44126.20522106692,36893.93392341135,18830.56886027776,-4066.8045103462946,-26327.34825332144,-44119.90854371823,-55223.11331460906,-58589.6374879939,-54123.1421620266,-42913.2945305478,-27670.286657299468,-12647.049467661167,-2309.169140627678,1210.860525810735
-87273.38980171127,1174.953866135917,19123.977558804443,27469.439289974944,24594.167554130418,13915.19477452507,269.1450071795506,-12676.702341694549,-23206.282775665204,-30949.792641243566,-35737.26366402535,-36811.188519452066,-33089.80005016983,-24500.84780684601,-13329.218215271569,-3866.7100624302743,399.8343106630939
-63777.3209871276,-3571.7861740900175,11062.996011130306,16778.141362259004,13401.763595521881,5024.799964019485,-3885.216606166176,-10835.644552654392,-15690.459167989182,-19618.030855757497,-23417.333721808805,-26262.295446287902,-25936.145576401737,-20802.964337877074,-12069.54104692781,-3831.303582666539,109.88450457854215
-39053.992207056246,-444.45617202766465,10472.168008442177,12035.04569067236,6272.327380482846,-1895.4104461746017,-8417.762214850867,-11818.287109810011,-13086.464506346583,-14351.8428985588,-16964.459403057044,-20047.512241834855,-20848.92784175128,-17167.20359981125,-9936.95487261959,-3067.265788433479,38.876904782706326
-23842.328034884715,5365.058271529912,11609.59011783069,8711.743084135653,858.7980969761963,-6881.067450961352,-11410.0014698687,-12349.26126809785,-11504.379208152619,-11433.555349410328,-13482.815958035424,-16430.4901724616,-17225.574276267973,-13803.038552104512,-7460.036653492162,-1968.8914531155226,77.6965197588405
-16193.899300007217,9474.18665815864,10297.60932345163,4002.7662673521872,-4231.635139743223,-10270.31809327277,-12417.66741884435,-11375.020680157522,-9505.885971346352,-9338.688836065028,-11611.449004590177,-14332.656782137692,-14316.964325532083,-10323.278145174834,-4564.0698415563165,-603.3064624151828,182.37001572949302
-12908.66486139378,9016.495518582797,5605.593122761476,-1597.356719221747,-8077.734768431973,-11299.742404584938,-10972.470321467476,-8696.387664664522,-7080.908951159205,-8008.238371310935,-10861.583018460908,-12667.822704337848,-10822.519734735266,-5887.676884554328,-1147.800616906446,753.5831826195274,197.6035129706711
-12665.757166524509,5108.650254914937,535.7196273298142,-4955.502824245327,-8397.958119226418,-8830.103660754254,-7111.159327426782,-5342.695248558471,-5553.3279371514345,-7893.52060543386,-10043.271367793906,-9220.3078877915,-5181.318052329853,-670.9225964219451,1453.0922175418327,966.0970120559925,-199.8550052034047
-13339.78213431012,4341.116413123291,995.120268463543,-2049.512271634239,-3403.3660560071817,-3365.4734718848767,-3207.6919275845407,-4049.0960937658233,-5679.647028640388,-6442.767802250677,-4882.159676534672,-1653.6375834203704,838.6902906221168,985.3681949901729,-421.3374908379199,-1395.6362363569826,-1103.2431667022126
-8867.138284551093,12875.399525655093,8981.99914183933,5169.127257566501,1509.0800610254946,-2175.627077170029,-4876.80483264856,-4458.83289427785,64.45997438861806,6059.829780920024,8416.515030488721,4451.540736236257,-2978.2278890661937,-8293.532814151344,-8498.788084628653,-5073.590097249381,-1701.960520188563
1644.9457179298645,10006.309431407333,1207.7930633723872,-8883.536497178071,-18500.12130835242,-22313.746218071436,-13584.659173432367,8070.219863797544,30484.925316925466,35804.40661839669,18016.065670313154,-9353.002497552381,-26691.509160982863,-26434.576148900793,-15590.193260906542,-5132.04446534184,-816.9349815623867
2498.2145787862833,-27564.74017292623,-49273.81048398866,-75510.41464160384,-90810.592436362,-74157.91971597397,-17356.180428960968,54201.63288172328,90615.60065237012,63447.31266467877,-1683.3394849093456,-51760.83361105097,-59191.282742805684,-36869.59662755333,-11765.395657176396,774.9367091431862,1306.0360243827977
-17258.72329554278,-25316.76061048963,-87904.36298321144,-157786.73976292138,-190475.56397565993,-138372.46082372087,-4471.944186177291,126429.9370729664,151291.90939871132,59749.484705003786,-54445.6258058935,-101811.07220533096,-77057.10897567787,-29405.487570155314,1718.3822337050565,8823.65879270994,3269.525709187249
-41625.295142459625,36319.07315154389,-66036.34987411601,-185516.98892306414,-248017.4658428393,-172550.6197623842,25200.96381351387,191432.08054376664,178011.28393947973,19756.813600608777,-116623.00629903589,-134189.7699989139,-72247.04199654305,-9801.808703433948,17159.363424321724,15454.995301512768,4562.68838718344
-39271.38079993914,21179.392779750873,-63737.35323938988,-173763.73578242795,-231530.6753280037,-143212.25906746736,70134.25924487643,221105.78688095714,154844.4683854447,-42029.492222097266,-163134.10890203956,-137836.4816455572,-49350.52614313897,13741.849166957121,30373.83592246733,20124.10182925694,5369.9790799852435
8961.602540372092,-65324.96291359856,-117597.2615145858,-169193.43514796413,-168178.47875720015,-60278.978204894556,117345.78071150334,202257.46355575306,88827.70283166826,-101149.11462196114,-176517.58016515066,-113235.30901826466,-17351.432349744868,34475.93478255505,39024.094339147356,22402.003212302752,5554.546519894459
86815.59260069358,-119050.93561530048,-159457.67400350812,-161412.6557087556,-93793.89091481955,30409.766436675076,142217.01089395894,143241.95421629542,9687.731936912269,-133966.20289376655,-155237.42938279294,-72736.42515808574,12317.134365224016,47227.196795252356,41806.920065577695,21931.20543051589,4976.7590108029
157836.59014862526,-129125.00781123053,-155614.75077210518,-128923.19901714557,-26179.294030719462,91144.21436946164,132435.69718859548,69521.40242438577,-51517.64165350716,-133982.45309084386,-113868.5547625994,-32324.49666348537,32253.36946855895,51052.90640423717,39491.223422110685,19188.076104897158,3802.090131559545
197214.415406616,-119154.28029116313,-124036.1564434139,-79817.23115553192,25893.446592950248,112738.65119457537,96404.39728815627,5624.6278990180845,-81617.8630592138,-111114.26738976462,-69905.21328376974,-1683.5958336408212,41625.85023871441,48353.71164334359,34012.71771457042,15114.710953160813,2363.0168361895544
202058.9652554242,-98339.33324015865,-85025.43429897769,-32412.50622753866,57686.66489625942,104555.01843654133,51407.60297371493,-36126.90271050942,-84584.58236379153,-79726.03232407593,-34010.87790787439,17247.46032850983,43284.958815860606,42213.78210880227,27212.04248911224,10649.178497394627,1009.4866214573556
182996.1669730408,-72074.95192085514,-49201.061875938976,2737.6041362428755,70182.60027893042,80505.08114591357,11445.48129815776,-55004.318730685634,-71524.99444173521,-50350.64612809901,-9263.480715098145,26734.749921306244,40543.86818691366,34900.26860943696,20353.508417714023,6525.012542858288,4.645662281386137
153436.46757063727,-46037.87318175518,-21510.98324270446,23853.15471228168,68854.71369218217,51737.50119672594,-16760.572929888047,-56584.57943720342,-52998.9932774236,-27827.459747814504,5757.286893728985,30071.620042466082,35856.23568036548,27727.462774358264,14214.680049182673,3235.063237268252,-539.3219602633642
123169.55663165971,-24476.064841495085,-3421.853424757051,34162.26570331184,59879.54955300744,24608.511640637487,-32118.323608259376,-48083.38893470624,-35880.63850610681,-12646.485919529976,14032.57308843452,30039.567813891208,30721.407765967204,21382.666897971027,9240.15818915889,996.5034957468387,-673.6229270985126
96892.61465403816,-9983.182130713998,6565.835991392018,38519.906939287444,47031.5061198976,1878.8777099771482,-36241.30784480312,-35845.515623761865,-23110.07688541597,-3031.1351445503115,18373.846311900048,28545.734469155323,26016.987797692404,16241.943775250154,5595.964257105528,-300.7844732191778,-580.4712333115049
75597.97145359482,-3045.0281158035814,12645.839904571923,40287.56612720719,31082.874416919352,-14851.75659843747,-31822.00551092359,-24364.131228043694,-14714.067643863758,3307.711569097217,20831.961214200146,26871.774072556145,22345.59891501904,12468.124845335633,3051.150449930278,-1147.575904472633,-514.5447292343899
58778.50913994745,192.28770705894527,20040.31285815065,38850.250127718915,11778.457397128972,-23735.516853221314,-22245.478915935397,-16152.537318583196,-9294.281786500642,8359.419259528984,23022.144487316742,26146.577917968094,20153.136528728795,9721.952601867708,654.7586227612654,-2400.6982957851174,-707.2122050105205
46185.157108981795,9010.889667153677,29864.090954487096,28975.4552472582,-8529.813975152241,-22818.3197478837,-12230.090541147947,-12553.824115839903,-4807.976998001567,14325.631675395332,26878.9159290112,27553.144402643826,19230.38554509432,6374.517952450169,-3481.5718134940635,-4899.245095355969,-1178.0429196183334
39211.82448584014,24711.198005962713,30902.548544559126,9183.205637932655,-19812.51869686481,-15176.957681265852,-10336.741715595816,-13289.515957494823,2607.353147761875,24582.439372156987,34705.62757534527,31315.463928156627,17042.146491335454,-1310.642669364769,-11295.494480731602,-8318.322680112808,-1459.7923297515408
40873.16250619274,24444.28108504999,22991.43493240807,3314.579444631014,-16791.166499294362,-20812.122788171328,-24661.59906465948,-12239.15255221926,18864.46101483507,42111.45182086269,46524.268340057286,33327.39106584341,6799.269315709946,-17276.651833588872,-21165.687034097147,-9537.598950361395,-520.8464952905429
50472.325590751156,40594.78380362667,56489.32876041059,25758.38886939188,-31617.62481097931,-60596.51943420244,-45843.42810440323,1055.271167823761,45521.78856791528,63728.10766560875,55053.7849161764,23164.3529036741,-17714.2139445936,-37078.6155720842,-24126.797008259688,-4030.531896035654,2182.1847538459147
58073.74746484031,129737.9478497026,117136.81652867199,18126.324606510043,-91335.69180688633,-110979.85409386794,-49709.4746815848,28012.68456547651,73611.04874424986,78252.83999544912,48327.3414089991,-5448.6857898092985,-48171.91415579077,-44452.79246684893,-12317.847135962455,6782.180936038579,5050.116399395527
54581.391168439164,176285.26199953453,106900.69223794728,-41480.85773159397,-148895.58759431867,-127032.56318857828,-29393.775020291134,56199.935800848245,90477.47174016808,76310.47101182501,23357.3636293218,-41556.22439380121,-63998.366517606366,-30105.661495430635,7363.014480119233,14614.513084510889,5769.929852120127
43168.12298330631,137746.9864579358,55214.595942663706,-83488.95276000412,-155926.0495126668,-105431.95043046077,-2056.397345417344,72368.27159781016,90877.603774708,59352.61722215313,-8428.508391420013,-65197.66544177023,-55263.53924056743,-4986.325307209012,20418.179823012,14367.986990962074,4101.431039838706
33301.53075899415,111262.43272510692,30906.328995666296,-85081.76945094437,-131164.48750321133,-74473.54558564028,17313.358343539465,75393.35204899684,80952.60021816772,38775.13228076398,-31540.47132568151,-68408.6805724967,-33937.08623668305,13074.730647051947,21647.308792163578,9323.582115560399,1910.5827951262268
27760.689210391592,99813.63836320955,20537.470460035933,-79948.877259862,-111165.21024490225,-54734.47712912641,25259.246814321352,70385.42871799802,67763.07166006062,20843.341839509736,-44840.774662240394,-61304.238698106565,-14266.838567041097,21898.055352432,18558.60717126056,5589.076687285596,971.2239249946454
23585.12184833843,79286.23641002488,5344.692864389074,-80167.39528377239,-99845.33449092455,-44750.29154431091,24737.0017449062,59347.8224183326,51085.960822535104,3344.589971721529,-51915.44110640532,-47766.22950468847,3766.177459845348,25907.635133569536,14180.920302690727,2940.4106597332343,730.4623147512981
20030.060254428452,56785.61310877285,-8651.178291561564,-77004.91108808471,-86265.19368219175,-34536.88369640585,23256.89689360195,47639.000871366225,35076.14294935761,-9693.548298466798,-50238.453482123194,-30107.95532365058,15788.080626416897,23190.08166137559,7950.619395880244,216.37274689704992,349.7648251679455
17710.887884751584,43612.74148085925,-14478.735851700018,-70134.74761734523,-72595.48343726307,-24858.611089455615,22279.834690140062,37860.719118062705,22138.244287673657,-18003.335764653933,-44284.53255263577,-14944.306322859262,21226.062027825028,18437.024967459525,3722.2300296566627,-942.2706022255318,187.4891246900492
15219.39793789191,34148.79880217816,-17211.23782330459,-62699.202038364136,-60998.53669996841,-18342.121777561995,19043.51727237282,27710.971836136414,10891.033818895787,-22654.57487535529,-35378.491071910554,-1279.5984052795748,23613.38532649504,13260.024817427797,441.16359934672226,-1476.3595996578983,189.67699200595894
9554.231005225585,21518.24559349852,-20728.101307732006,-54899.176687908846,-49202.08455255266,-12213.474206943074,16129.822952913502,20107.61797089011,4653.593272144763,-22118.959091834316,-24709.890942533835,8453.344578979324,20736.32170505427,6032.644104121696,-3364.1916469569233,-2407.1307594094797,46.96218566538809
4455.584160157822,12752.016426338925,-22361.98762943277,-48306.79453163551,-39508.20402473999,-7028.729795431135,14562.277838466682,16055.618863876496,1992.2763694929438,-20635.34608348711,-16165.472124246016,13116.790264691299,15397.589594823658,485.65984641754596,-5290.4629378442005,-2664.659602913446,-37.94353253599493
1942.2338691209927,7646.243826429718,-22823.523810121264,-43485.73285144378,-33210.2880327127,-4878.938343651278,11887.750179495079,12557.42009241367,-308.30831062218124,-19221.427237499793,-8196.003015149914,16013.775906125415,10919.876101810747,-2532.929144355718,-5388.7521599181455,-1983.4771397667166,133.10642426376245
-3575.025839691792,-850.209377976636,-24635.987997433163,-39077.79289638481,-27886.11842888602,-3948.4285398567986,9597.36567276656,11396.083108835335,-585.4586408354496,-16464.91441357599,-222.33223558189326,16715.39198475343,5407.025429957899,-5893.548135661019,-5756.889339386444,-1224.0183290650625,420.8129017204642
-11522.511178480594,-7657.763956248127,-24357.492580807626,-33139.97873260588,-21228.91586307947,-619.9179702957889,11718.641455158882,14024.46199828388,-1211.625547094127,-13878.775794304856,6517.9673183979585,13909.90226556057,-1364.1654826421652,-9465.082616312453,-6374.903055265487,-590.2224043108471,672.0191678663916
-14904.01009871771,-4102.162839659334,-17220.829275109383,-23393.98233759666,-12010.319686069273,5690.260285413561,16132.577824492699,14321.98474250618,-5418.95622903288,-9447.775711914412,12165.344466440067,9298.017318641507,-6658.029214974265,-11112.207411232324,-5647.483931956836,651.3315546012152,964.3281578287794
-12681.124711927136,58.208120614722105,-9336.035860873359,-13132.981378934866,-3464.790221719814,10146.701309516317,16333.47081127346,8705.544119990673,-9124.753578449907,-275.1206271177505,17359.873310851268,5001.17565296992,-9921.025043460582,-10566.319551123335,-2542.627351085627,3268.494111129886,1450.9142714756094
-7633.942511077953,-7916.281204693357,-10435.846580684089,-10435.966888976005,-2101.5856839572116,7343.995570777749,8603.112325396743,-1633.594496871164,-7548.537494533291,14823.834643694752,21721.021929377028,-224.94001931865512,-12974.332367621115,-8411.879006341085,2961.893849851369,6788.936891125538,1860.500682787002
-1932.9024430990348,-4460.048973709728,-10270.42636924856,-17499.492728732675,-14454.45954780955,-7548.80138290251,-6454.486623635764,-8549.374356673388,5379.841290271081,30215.675079990855,18868.00821226653,-8058.717741150131,-15318.224264359878,-4715.374501355503,8328.149663250657,8343.255706069267,1432.4507043786361
-1214.701765493683,25676.91164001106,21710.24889546934,3360.3611100578114,-8509.564695279569,-8104.190011716087,-3497.591145405574,4202.132811230261,21283.848812716267,28957.93078782654,5323.7852694092635,-16085.19194002716,-16262.969286067468,-2324.9702725468533,9302.828456625142,6574.985465479598,478.75507355038064
3523.803800088717,-9236.960491176264,24721.108120176148,37442.63250170997,27385.110387185166,19398.841760512496,20687.929447252372,24090.08586043797,25853.47592286595,14531.251081393077,-10535.29382426454,-23405.127384624695,-17958.29393566316,-1024.5765764683892,10081.900382669864,5889.167215013062,300.6050681653944
24597.846527098518,-53999.60031743472,-5224.372863378985,41509.891603986594,47013.14219312682,37392.460404948375,36234.225872076546,37856.14347027941,31355.919112630814,6722.213394142192,-21144.799508674754,-28636.83109064106,-14832.11556478239,8912.667224668423,16034.459203297232,5828.058560402756,-105.35300489666838
26443.41668782452,-22922.31781171039,-7170.2790630618865,24658.71554488319,35833.11956504719,32729.07997199399,36023.913935734075,43232.10580293871,36640.314632593894,4219.67250482199,-24754.834689168,-25819.766392659316,-2111.4056791387147,21819.438275344342,15817.440499283804,757.1043528772125,-1865.417878135498
