t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-45876.456196851694,-36721.42340134616,-28011.81291531501,-19981.468262166083,-12869.394398882565,-6915.262546236496,-2344.924600404584,662.2288488708476,2035.6677815684818,1921.0743789682629,851.0851059609876
-83237.88855574896,-67053.88496627532,-51540.96293933798,-37085.039316151895,-24117.857976269996,-13112.40546376706,-4551.283723195505,1149.7120674782825,3784.73852880883,3590.300426810112,1582.8972868303429
-105314.85704825913,-85745.18236435147,-66725.3589991996,-48661.54162145133,-32094.57808927991,-17705.67236835952,-6268.522273774465,1484.1355266107912,5111.784239285929,4851.828824423241,2115.724771870703
-110520.10379829162,-91389.92277574648,-72383.56844786144,-53793.688193601796,-36166.47683057859,-20334.14368482742,-7362.270355868958,1643.892062432318,5920.874224560811,5612.529392165986,2409.612758949613
-101588.9715732873,-85808.3287460365,-69583.98122193056,-53002.76046058208,-36515.658923950985,-21016.290441468995,-7806.72560148307,1642.2961044500832,6207.326471652107,5869.161890748319,2471.6314931903125
-83840.71341186919,-72843.87108995889,-60888.2059051703,-47825.93303668106,-33938.695789318284,-20076.886892723873,-7672.410218403528,1517.5401793862227,6042.228897746325,5692.818436806452,2345.1048659663234
-62993.176794690145,-56793.07564070781,-49310.27274266358,-40193.51650179294,-29522.568514468014,-18012.191407858838,-7094.523317128333,1318.1630546321242,5542.715419767097,5199.166870148888,2091.7983391865127
-43497.09116579879,-41154.57920961303,-37440.75280462145,-31870.096709690442,-24331.68545671951,-15347.91746448203,-6234.289615829348,1089.7435453803269,4839.43597426421,4516.04601930315,1774.2696524568023
-27839.47230660548,-28044.22286079442,-26985.168755127652,-24122.27846082627,-19198.489226295165,-12532.29691890447,-5244.928600863565,866.4804601584648,4050.439054035572,3757.7086416639086,1443.5192998660466
-16708.07726472161,-18235.271176144175,-18720.601044659004,-17637.710989578813,-14644.087555486954,-9882.062285565276,-4249.342989239467,668.4296779843403,3265.9128116329866,3010.1503422309484,1133.6587448096786
-9609.628358192604,-11557.825370664363,-12717.748297681095,-12621.927770276861,-10902.31249889199,-7576.511652586644,-3331.118783406047,502.98416803999885,2543.589272581554,2327.2354977280534,862.4404311513088
-5536.985429520159,-7372.19567147084,-8645.58170990604,-8969.549023811163,-7998.170467604922,-5682.33478399999,-2536.270341428927,368.3625808796512,1911.7822050773684,1734.451250741282,635.136332716213
-3450.864006531553,-4936.434948532566,-6030.867989940418,-6428.421314902227,-5836.244329793244,-4190.29844418197,-1881.3414910308597,257.1965022815099,1376.2882869579769,1236.385666063134,449.32767852672026
-2523.2405597195825,-3612.9515017708386,-4421.794146181117,-4716.340489038431,-4272.321031494414,-3050.091326251838,-1363.695299791754,159.1505234837619,928.0834873416958,824.7703850341202,299.01865914830046
-2197.7634117833104,-2940.4996649568343,-3461.2040280201154,-3584.5686103883945,-3159.415445071958,-2196.648343961829,-971.1500622699018,62.32233403642911,550.0016917940675,485.23247717349574,177.4379476998703
-2151.457248683132,-2625.8213405518827,-2899.2625388767,-2840.7134119744264,-2370.9172886168008,-1566.8441108055201,-689.6153362400065,-46.3082551865607,221.73308996351693,202.08345968543827,78.55983264182466
-2224.5884792188167,-2502.6359003719726,-2576.175740532336,-2347.865619734023,-1808.2053567545802,-1108.4914910940868,-508.4791957202573,-180.88714659976335,-76.76602359526342,-38.76353607135894,-2.316834260845151
-2355.4934609204656,-2487.074039461661,-2396.1553266625247,-2013.6681037649705,-1400.0875003013311,-784.4728993178808,-424.0191658897561,-356.6182328306874,-363.0191103646089,-248.32070228981837,-68.55245580604824
-2533.1614778783264,-2541.9567202083704,-2303.560052933959,-1777.7732147043437,-1099.4687058708414,-574.4220670149125,-441.13425392823603,-589.1358092058866,-650.4604356524259,-434.02699035308603,-122.42144183882364
-2767.1550394697038,-2652.172321372527,-2265.0741072105757,-1601.8444329228735,-880.4194203148453,-475.38919628067976,-573.4148790226251,-892.9319688709224,-947.2208053740989,-599.8581801589132,-165.4605456901846
-3069.7348676714873,-2809.1274887691975,-2258.246531484921,-1463.6094102638726,-736.9654141582927,-501.78907378438225,-841.2046313448143,-1278.6320523251566,-1255.1558987779608,-746.8180214642814,-198.82386575678927
