t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-182594.9891015572,-152041.07631364922,-122538.598703594,-94639.85412140994,-68919.53202967881,-45973.72327026132,-26406.911076092565,-10798.155377921297,365.7933487075088,6806.320269410089,8636.785505277641,6635.472434087813,2628.5275764177068
-304529.93796721887,-256011.7276653305,-208641.99270206274,-163140.36673181818,-120381.48140884622,-81417.16995930075,-47460.54362325485,-19808.302017041617,327.78389100759983,12110.349263477881,15509.454068285188,11880.45818859845,4648.366912725759
-336007.9434006745,-287316.92100771586,-238733.7429773595,-190643.59608248033,-143810.6997191043,-99464.91819086831,-59319.263814973034,-25464.453636914717,-77.94474195559508,15103.950388068783,19556.2928481692,14890.586957389387,5708.306502471925
-290138.4294056567,-254773.38388228594,-218011.38490040618,-179602.7432553108,-139855.85401806078,-99825.46720154908,-61424.99663526072,-27358.88961006603,-749.4076391746263,15638.1445272216,20549.38267978128,15527.412135534709,5797.282680002977
-205684.0413628316,-188015.30682417747,-167868.02913896646,-144397.2135324304,-117325.25937096239,-87237.04253059221,-55838.27435560566,-26014.078596892465,-1472.1968393203417,14202.01913231298,19037.691466656448,14275.225244094958,5176.079107441782
-121401.39471450332,-118017.240266062,-111944.81969536979,-102030.13990099277,-87517.99935859622,-68414.22648888938,-45889.42280708813,-22517.38493078742,-2040.6565999204786,11606.779271418085,15984.533914758678,11923.154231905592,4206.655296111763
-59496.33556924385,-63813.78285062041,-65961.2456539825,-64806.57458019228,-59368.652597878645,-49178.81803202773,-34768.07005182014,-18065.84478903475,-2343.8134373828334,8650.731601891943,12368.402080706779,9232.76754041358,3196.4520988177105
-24052.340964204486,-30366.7568103812,-35311.04232289674,-37993.79003789558,-37466.623291065625,-33022.273309643846,-24672.43764112256,-13623.271287776193,-2380.6521034843645,5908.4030022918105,8918.411632206986,6735.273894720326,2324.6803234456816
-8563.403618265356,-13727.957156854081,-18213.270267191423,-21432.550492517785,-22639.458756555385,-21131.944372578833,-16640.591396452848,-9775.472247508245,-2222.3986066275766,3675.786496573958,6031.7540069337365,4687.7744861284555,1648.934810218333
-4164.52773072892,-7299.944002745909,-10168.56274101913,-12440.059038547519,-13625.731907221858,-13193.379138070059,-10825.74586959982,-6754.3859544006855,-1961.3746183911028,2022.2836556042557,3823.823115235041,3135.0104547387814,1151.7104663006119
