t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
1961.9999999999998,1770.7049999999997,1589.2199999999998,1417.5449999999998,1255.6799999999998,1103.6249999999998,961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-5778476.970533033,-5196124.929659439,-4618669.734568269,-4048996.517892583,-3490495.96471766,-2947207.6989184725,-2423934.058003233,-1926307.1319238627,-1460786.1677101045,-1034556.4767128277,-655295.655145374,-330769.42077192053,-68219.24401815694,126490.85407543465,249988.24548945786,302763.78777882596,290765.25776095904,227128.33743888143,133902.17878966767,43558.23558794989
-4594991.656571374,-4290413.052285755,-3974199.15720938,-3641496.4150531553,-3288688.562815459,-2913930.7316259267,-2517741.9189344076,-2103610.2886108183,-1678524.218292308,-1253295.850829277,-842501.362274974,-463837.01257355936,-136701.561419965,120113.72446451182,291596.4203650073,370277.4982848144,360013.2761143998,278885.4532925482,160081.09172691117,49600.275844476615
-1102509.827083803,-1171132.622809193,-1227883.5057372216,-1266475.506274294,-1280420.9569092912,-1263340.2455302437,-1209575.58675643,-1115135.7601265914,-978924.7019489498,-804093.5813329401,-599211.4236121335,-378805.997998495,-162746.56376347365,25990.69543134048,165329.96878622702,239457.94834913316,244359.7020526744,191639.6358712615,108486.52879642905,32272.84928095218
4338.623090184501,-51785.787031990185,-107505.66779665108,-161959.41039449602,-213520.100078935,-259626.30652066713,-296746.75220415107,-320571.0641355627,-326524.8003189646,-310672.9743355779,-270980.5239788611,-208731.19054177855,-129690.70443201321,-44410.03789030415,32970.7173630356,87784.93093267542,109463.75457880236,96438.69923689713,59133.0500077261,18659.87177175451
-170885.91758852586,-152236.76974893163,-133459.8664814912,-114845.51605328817,-97083.93122459971,-81321.34978382075,-69072.19263239777,-61892.13157452387,-60754.41440471133,-65201.23966241695,-72570.7350734074,-77850.83298229681,-74785.11606099353,-58483.219608146246,-28835.342768249906,7187.493080999567,36818.13982059334,47566.65700767175,35926.78830420078,12885.716860306526
-198669.35659082097,-189107.97650049592,-175896.66295218532,-157599.58038180342,-133473.86547326698,-103985.33938471947,-71333.95118569168,-39677.99691999819,-14619.35182249724,-1598.9001859883413,-3330.289515303098,-17262.224922622772,-34868.4903287749,-44447.7287312672,-37318.601022706964,-14248.888831099339,13078.54241850132,28843.365160391877,25048.73552618675,9313.308057809316
-87884.52081087283,-98008.93695024092,-104860.90406675702,-106600.38523905266,-101477.28302169638,-88390.88057117583,-67732.55470554589,-42216.740092839515,-17100.78106410453,919.0403841601458,6412.252971613121,-1346.612037019558,-16406.92349430255,-28063.90186346091,-26998.993374933234,-12154.497252059728,7451.6832688988,19050.174110502336,16558.39811706926,5979.322229701105
-28389.352636323027,-39244.66694076476,-48575.93955659781,-55211.27910980238,-57725.71507666759,-54794.048216932766,-45871.12158005289,-32024.790296995536,-16428.63650492806,-3824.971827157899,1422.9442586724172,-1940.4972952549124,-10391.508957980199,-16984.60432320989,-15799.165280341982,-6519.71051169687,4962.5699948754645,11184.317488519957,9307.657238030535,3276.2503140694616
-18969.792967352816,-24356.91598404528,-29014.281758132336,-32320.68100106337,-33494.140491314196,-31811.56019307551,-27021.54821781894,-19812.156445621677,-12000.75318768686,-6060.670071255194,-3916.7108533259116,-5604.777568828176,-8881.668066270504,-10475.837267200648,-8350.567439711414,-3224.4254747489676,2014.1375718715803,4567.733314628764,3774.7458497028597,1366.4338070997144
