t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
427.68499999999995,418.825,414.87,415.82000000000005,421.675,432.435,448.1,468.67,494.145,524.525,559.81
37284.85084975344,29904.344854560113,22864.323158528037,16337.775077697517,10502.675317665155,5540.524286686363,1630.1071321679306,-1067.3560778002975,-2437.135358668426,-2461.1815176056352,-1298.332988175277
65835.47447048593,53081.784288963456,40810.633751499205,29297.20539457075,18854.89415008408,9836.489791487647,2620.5688304679443,-2426.0423894573287,-5020.918061210111,-5085.156747866761,-2916.8242927737247
80756.85081683705,65824.08220275884,51234.13665520159,37253.609213306,24256.272377854224,12735.953910792994,3288.3909756954613,-3456.7508260485147,-6973.059823654666,-7054.961558817921,-4104.733994310686
81215.82933324524,67309.70943980641,53380.888716652466,39582.30047775625,26259.691167242596,13989.46439208278,3567.6771137116734,-4086.288504670011,-8145.581904589005,-8219.271785604857,-4770.878687865987
70400.87509169866,59744.992156921806,48630.07912074492,37034.276872626564,25197.370289643823,13696.917560131817,3464.0612829003007,-4324.877801538159,-8540.596722628678,-8581.94003007921,-4930.820187687487
53601.4417511836,47018.23860357415,39632.18627251053,31244.428059667174,21942.17446856062,12220.15648491849,3043.3939803413928,-4247.29185408305,-8282.924938910059,-8273.418722348955,-4683.005325206459
35990.95674563733,33086.30380027402,29222.87943411818,24071.24844168515,17560.694601157084,10042.068616898767,2408.3986370636985,-3960.4564823323303,-7567.6045572049115,-7496.271954044468,-4167.809385733857
21119.531129050934,20818.140069526242,19593.359337697784,17054.64950440924,13004.830960661693,7629.573358307628,1671.6087349344457,-3571.365462522704,-6603.649086941926,-6466.842711197431,-3526.477517710737
10490.468290589804,11597.571305086245,11944.991558418164,11146.966789473348,8932.547896071417,5341.185924956745,932.3477109580438,-3165.2036863289186,-5570.969963097766,-5370.605915280101,-2872.4084240654943
3983.1039435131906,5555.65847670077,6577.459384954563,6712.503962349715,5671.039018216264,3391.961388751962,262.5318631013397,-2796.771979835039,-4597.907699056972,-4338.984457974395,-2279.096189254475
616.2303206678675,2092.3817963526344,3206.205297827531,3690.668041492263,3279.747675909883,1865.1744484242613,-297.70928614879205,-2492.6185310397245,-3757.8460219109256,-3446.1112234030684,-1782.0171727777338
-775.6243170816202,377.4096582853398,1303.05571619167,1801.287432819074,1653.3478988497332,749.2547496916242,-736.6149701476622,-2258.7470519904464,-3078.2969395365103,-2718.6936013084555,-1388.3616592639387
-1146.5393691694533,-328.5483170394575,339.505521013603,710.1721945188208,617.5479387213466,-20.34713555202029,-1062.9997513401083,-2089.1734555497073,-2555.039449588861,-2151.2309622291446,-1088.676396765289
-1113.6412766859023,-545.2168576677775,-94.28985345884576,125.65348082656283,-5.236802772637532,-527.1016528735167,-1297.349803009112,-1972.501367751919,-2165.823005650656,-1720.7860174123007,-866.6015482134225
-996.7259150424724,-574.327374815557,-265.108547736501,-165.8087137181727,-362.73713491733423,-851.6183809420112,-1463.9896129423037,-1895.6592955961655,-1880.875217005489,-1398.3261318437724,-705.2572274789463
-917.1675720631027,-558.0182682427624,-321.907217020864,-301.99558696638013,-563.7000981089318,-1060.9288912496668,-1585.2289948962232,-1845.237335657361,-1669.6754693745484,-1155.9638981782255,-590.4800044638488
-890.8724726908982,-543.8344342633162,-335.3593038930327,-363.5179376823322,-681.8925659771209,-1205.1621745211091,-1677.4579492599605,-1807.3969831144097,-1504.712369862023,-970.742570921707,-511.83078467982114
-891.214223199156,-533.9446263426983,-332.71862232549006,-394.5551447832561,-764.610969720277,-1317.8213999920686,-1748.73986971173,-1767.3658725279186,-1363.347423976685,-826.0443993032881,-462.34759182192875
-882.7942193701064,-515.0786954376267,-321.96314391711286,-419.2241677314549,-840.5178481118576,-1416.9109211105792,-1797.5184891283811,-1709.3597109649093,-1228.781927723553,-711.5956291975211,-437.756443727463
-835.9857095493934,-473.98438789398335,-305.96963344352594,-451.86261810019766,-924.4724574874682,-1505.5296772924407,-1812.4344160111978,-1617.5521042574708,-1090.7598917000598,-622.7272435486287,-435.54260989306107
-732.1504659336855,-404.50581906854234,-289.4997304844754,-501.65185297773957,-1018.8893146579401,-1571.8651463625438,-1773.7236145701559,-1478.446675312547,-946.2209699878908,-559.2342856444368,-454.0489868001993
-565.9982965401924,-310.6014886491532,-281.3387473984726,-572.6016610400188,-1112.3902233706403,-1589.668708663285,-1656.9852065493665,-1284.6226486033047,-799.7438099397934,-523.95549657708,-491.6363283123027
-347.9013749383154,-207.20994659154803,-292.82494789253553,-660.1072225494123,-1177.558706310486,-1521.1306137977488,-1439.9767979203118,-1039.2738525677935,-663.3580764643017,-521.0935535986048,-545.8944002544899
