t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
633.6949999999998,610.1199999999999,591.4499999999999,577.685,568.825,564.87,565.82,571.675,582.435,598.1,618.67,644.145,674.525,709.81
250841.17275269452,212432.85606760066,175054.02037963457,139244.7383947674,105575.67295203243,74652.56791121046,47113.57609276367,23614.81903246061,4797.855273323371,-8769.040269100615,-16685.43657766665,-18859.728926839,-15706.898045783752,-8411.342540715488
380795.96169661835,326556.2126171001,272995.027282171,220609.1588636655,170079.09461295945,122312.13910413264,78461.12160837627,39902.65974459577,8154.60668247068,-15289.510508607667,-29227.890842334138,-33126.71319600431,-27588.837975536262,-14861.796329413046
356722.97639781237,313369.8830739407,269159.1322297761,223959.17117121772,178006.65280319078,132028.94172133322,87337.79452453747,45853.722959743354,10006.079050550288,-17550.164519443424,-34442.06280729965,-39299.89749175942,-32588.666657826197,-17323.4562883059
237512.31063429656,217765.95512922332,195826.90609230794,170867.37047655787,142446.0121224382,110713.30056014078,76627.28127301234,42110.08036636971,10035.197531971842,-16084.149874270519,-32802.151942986944,-37820.46365593907,-31206.07489376507,-16258.50948159011
110208.13744028288,109900.49983470925,107254.62671640866,101163.27376519915,90711.15038497737,75407.87548282511,55505.46550828052,32321.514262204888,8411.388258776187,-12624.251142366194,-26881.48178154065,-31445.93737320391,-25887.923138001977,-13221.645641075671
27491.98364045682,35184.834576114285,41378.32461404097,45169.418796823156,45593.73621561745,41804.968314801095,33398.09630046679,20825.464499973463,5748.761201130164,-8934.53099038695,-19660.99790139475,-23440.21285620291,-19401.506408745612,-9802.406401810409
-5863.44325901003,1041.2497072587842,7440.327837300696,12854.66649567269,16607.342010634333,17901.0415812975,16040.222736753327,10799.396873230813,2838.8986657270466,-6063.175488118519,-13266.63172590443,-16188.203035004097,-13656.819145388112,-6958.589625055829
-9980.190082600682,-6826.443424812471,-3605.814360350455,-437.9625105483709,2384.806627602165,4384.096689607513,4968.74680567468,3641.162571316028,330.70016531121456,-4268.514210681335,-8614.261362496745,-10768.856355441681,-9416.872232834372,-4954.465523049719
-4848.950559577954,-4616.959827111683,-4211.28273598929,-3572.960090640951,-2701.857338086779,-1712.5867597930871,-886.3703162605175,-657.4018194127937,-1450.166880243131,-3342.519385876689,-5713.653627012901,-7249.516955325055,-6627.12476277227,-3645.985541144521
