t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
883.8499999999998,845.5599999999998,812.1749999999998,783.6949999999998,760.1199999999999,741.4499999999999,727.685,718.825,714.87,715.82,721.675,732.435,748.1,768.67,794.145,824.525,859.81
1141094.9286263578,1001569.5563960334,864174.1005899399,730073.5995371981,600550.9011287614,477035.7928410319,361122.57984932663,254569.72004576123,159273.0275524233,77201.81909684911,10285.54097414965,-39762.63930835346,-71698.4250811662,-85085.74072627639,-80727.7467128141,-61184.770867547326,-31360.027405791305
1301797.1413923097,1169459.361140089,1035752.2752630373,900390.9623586672,763579.9480760669,626178.8975043057,489852.7707058308,357180.9346409941,231687.3402080115,117742.92521284086,20285.99288376226,-55687.878255143085,-105891.16700521465,-127742.20537643449,-121498.64581857347,-91334.13289880098,-46064.85024751516
697549.3876075704,662612.6398202209,622727.9642548662,575698.7380105613,519749.9352807448,453795.26899884106,377775.43432472,293030.83208616974,202629.84293910532,111527.369237557,26392.90003568271,-45052.81141922763,-95288.15169199233,-118768.81108452934,-113930.59928624265,-84831.52610706622,-41641.89050031469
139045.7916904205,162115.66902179725,181748.89346514558,196004.3856543392,202796.8277918098,200052.0668469011,186030.0319252483,159820.48436755626,121956.54870023871,75000.82483805812,23858.843228528764,-24487.487086273508,-62085.93443780886,-81992.2985182991,-80737.91151103747,-60411.93764277187,-29183.830439252022
-39410.88050601828,-21436.618420564544,-3721.568550429153,13275.064098299023,28730.38323488205,41411.04219373181,49734.56551602598,51998.72940868932,46820.24708495089,33759.289001989935,13988.840181555492,-9276.618271741067,-30974.064643579077,-45315.595316056766,-47810.64250859811,-37568.44035582531,-18687.148861240705
-11830.294390219527,-13092.267514866851,-13783.672392478937,-13607.441981400341,-12295.872534012487,-9698.40585872545,-5924.852521770742,-1516.923552091649,2435.7566310447496,4381.099362735031,2748.603961911139,-3214.334907328542,-12484.631097862084,-21833.33847676455,-26691.885822559452,-23532.43667162406,-12715.947307281202
23882.747249888023,16934.607446650203,9651.826943427803,2133.0227158241255,-5200.032093272582,-11551.389670203116,-15846.894959462381,-17071.446738823066,-14850.82600271694,-10066.135867300725,-5033.074345152671,-2734.5233641410064,-5064.371461185054,-11002.140270229958,-16388.70981895713,-16393.283238733387,-9518.575492115215
23746.98123632349,20085.121778486864,15375.324381364922,9330.318605832663,2047.9883224794908,-5786.988846031089,-12823.801625703636,-17298.4165133748,-17762.419739051653,-14119.514331871229,-8320.123598842856,-3831.5696046283456,-3586.174421101175,-7533.931547690014,-12036.364326453388,-12450.99880382338,-7272.941763071363
11343.324822480094,10943.70115802172,9466.379592177464,6480.649919415476,1839.129235255512,-4063.484287111415,-10098.151756366155,-14535.313686785834,-15728.225497971798,-13215.605762605417,-8526.810367171349,-4702.7793880890395,-4281.170250692983,-7080.035864023375,-9995.628676365917,-9593.072439506721,-5322.442730174455
3084.4052065367805,3598.868280213769,3276.4425373759564,1742.369461156102,-1172.3389675075487,-5190.903832218665,-9406.931960939943,-12412.846054518346,-12937.650724749958,-10799.57698448002,-7429.566832010389,-5159.679177197885,-5426.925965019375,-7397.461394798451,-8589.186169861352,-7171.6950167989935,-3655.467932985654
268.54580287363876,428.32897159402984,-62.89899349006694,-1468.4545198696674,-3842.52606352698,-6834.353070986197,-9599.444128013689,-11047.518212744322,-10500.316391099092,-8384.488704489371,-6218.985969508448,-5531.729330885522,-6478.617617238296,-7613.483736129109,-7259.673518372083,-5111.54688914355,-2361.3067231666323
-109.3802089336838,-556.9209084308762,-1566.18738947995,-3294.1272737422023,-5634.451307040542,-8073.990631706743,-9748.247959040824,-9875.064935859236,-8433.02109381695,-6478.956721558644,-5496.249889143942,-6076.192551288827,-7253.088413349373,-7404.562308717757,-5858.038349364021,-3438.4652644525995,-1470.9312507294803
-188.28831801371848,-1151.4747295615696,-2597.853243344185,-4575.485966404514,-6817.228826894339,-8674.379969387803,-9343.615150395506,-8455.700667875712,-6634.368520517501,-5293.295393999301,-5470.37222900985,-6729.68054895312,-7485.160952761802,-6579.993463211641,-4372.316300252596,-2189.99962260572,-978.5350579420476
-991.3722313408764,-2243.8575022967116,-3815.4286621364204,-5633.477009739193,-7327.668322960959,-8281.098127155135,-7993.942445035892,-6638.971523601303,-5239.932443089543,-4953.519117782499,-5910.320786329113,-6938.125394879075,-6702.226906678277,-5026.8642372856475,-2914.2451022925466,-1439.8744446501464,-872.3727882743477
-2944.3733405332055,-3935.654309784257,-4956.768627298258,-5859.804961587659,-6368.3268752328895,-6228.886629335579,-5500.787152248957,-4718.259080942175,-4564.164338324192,-5170.252270775545,-5827.9880392907135,-5636.93423933902,-4429.755934851706,-2881.3171075017303,-1765.22238704224,-1293.554508424993,-1128.3060005274485
-5532.59133182852,-5144.652381369511,-4497.772699420968,-3589.1352644814074,-2630.31303161038,-2067.1097101883443,-2335.9025205737394,-3387.118629063211,-4446.783904560426,-4526.554069062983,-3366.843436565134,-1747.6087926053747,-736.7784143006945,-743.5007597167855,-1345.3915308231594,-1815.565568737879,-1668.5938288335615
-6210.584438290283,-2999.438316459775,337.80113271046605,3204.8724666678377,4510.611385844016,3338.3938669812137,125.18231512545378,-2875.6989070543664,-3119.5241069612607,-279.4786979387592,3226.9282516969074,4603.821773760729,3158.051655149675,324.5290693907623,-2028.4376622002492,-2896.3122911868404,-2299.247645498352
-133.7454023738223,6392.35757413298,11861.142566970455,14639.72371377993,13033.290147227503,7207.204484998043,690.9600901524052,-1373.5935221178597,2942.5931926235075,9805.05631735085,13244.689255498048,10831.486874669512,4884.630979039353,-762.5641081689902,-3822.430034690205,-4107.3551428817955,-2657.1101492167763
16783.479883611362,24198.827018811673,28098.82854186549,26088.44952254793,17574.098279888916,6485.2671665468615,588.5842519608659,5018.280689836739,15961.89654817741,23533.300168587637,21535.68933135187,12229.293806814056,2072.950510452467,-4326.1203316965575,-6080.581966692692,-4648.549568596821,-2229.8032852923557
41434.83437366259,43827.429326326564,40045.25718703655,28550.01492836121,12601.588663349286,1356.818469590558,3706.063246825667,18082.91919260521,31503.731940883237,32132.34241668272,20203.593851768735,4856.578830798349,-5780.404307641681,-9309.69791826781,-7503.747432289443,-3518.574064762688,-521.5795497160724
59958.01189466334,51062.86058938305,35489.82115416329,14979.749430603837,-1908.3531034238517,-3751.535227668354,11892.79988341271,31605.742523722518,37457.98264761867,24922.18010281842,4622.509776087538,-10804.10121008225,-16261.04643494698,-13467.528072635916,-6606.402985141721,39.40380748981033,2635.656087008525
55082.752709541826,33853.324651374576,9429.975149485153,-11947.21272282195,-18884.389309147497,-4963.341594945988,19487.118960134918,32591.2991449755,22713.017666474156,-960.1018025635167,-21295.369054749717,-29040.409095310297,-25054.528876603366,-14458.632965176563,-2502.531815268313,5984.342461310811,6790.359599988146
