t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-336007.46653263975,-284113.5244695489,-233727.65568490577,-185646.02402311194,-140704.84811564453,-99783.58251805766,-63794.494138016475,-33649.32323067563,-10190.186305072673,5931.764812155399,14449.617154808699,15767.55725242533,11362.615535014615,4318.565338236076
-529947.5913777279,-453373.7036862335,-378036.71926426707,-304784.19737825036,-234717.66114598577,-169243.9320670577,-110082.35223142988,-59199.638224142,-18637.09119377563,9807.407895841348,25072.898027468418,27511.887014776712,19713.785653943454,7371.535989806723
-531679.371000895,-464725.04700461024,-396997.6578133761,-328572.7313880796,-260075.72426699064,-192843.43150572074,-129020.19214733926,-71521.06974399199,-23775.720462387075,10831.161414323426,29865.061906664694,33035.03619499079,23454.576596064737,8546.79789359172
-398767.6993025121,-361112.42280047544,-320567.74953071465,-276188.7985578581,-227697.86530906265,-175782.41430080432,-122362.50442181948,-70704.37168667193,-25206.128732594472,9322.073288549496,28965.89425735577,32449.62160268461,22799.302647182645,8048.381556521678
-231610.0683701737,-222384.91652094727,-209496.8027279875,-191380.85335113065,-166954.68294087634,-136005.42086124353,-99643.21796135188,-60656.70421136553,-23499.496332554885,6399.14462962484,24166.184632788605,27630.075119460776,19258.669917721745,6588.862750498886
-102967.27318559647,-109677.08101771658,-113415.45822324051,-112627.692765535,-105888.32838338126,-92274.75150160349,-71916.21068840385,-46559.01211668118,-19823.196089759174,3268.0307979598874,17759.90570310599,21002.017290535812,14648.368581617768,4908.5189613730245
-33380.99353880916,-43653.51670550355,-52261.31804438087,-58085.361210538445,-59845.351122219225,-56367.49540483583,-47083.706988697035,-32657.10507060288,-15434.590094407293,723.2359440250494,11587.23766446456,14522.41847088301,10319.892159487537,3467.395414068542
-8353.11667457371,-15700.892151075193,-22453.10019479418,-28008.58973944932,-31506.117987241458,-31956.008599136036,-28577.652281257055,-21309.848867262783,-11293.526916427074,-958.0106136994173,6645.886837454609,9257.78112112194,6910.533712053035,2408.450572695683
-5159.814019413303,-8460.147787746597,-11670.246383354133,-14561.471200929935,-16715.568936573112,-17553.362851962767,-16480.62637001371,-13170.452129372812,-7915.685454055284,-1857.7036451133588,3187.05022616724,5480.8856902797215,4493.933029379661,1680.3128531907164
-7981.924586313482,-8598.838655918196,-9181.620292205605,-9676.15307788451,-9981.820138318626,-9938.613293944447,-9321.062706610539,-7871.129994365203,-5431.384716952485,-2203.931217934287,1014.7315386111701,2990.635339182578,2861.6458356334124,1172.9091122770049
-10040.55985435337,-9597.362362892736,-8976.820207855357,-8153.853095661268,-7188.042032301322,-6223.166532236281,-5397.261280218418,-4671.756291246463,-3736.843005318576,-2228.0469170560223,-237.2785608388125,1412.2283570223015,1745.816723227905,794.2143835974
-10073.75933344415,-9594.846497473558,-8779.664802767875,-7559.995299402909,-6032.857427764931,-4503.919295583397,-3376.829762448698,-2850.960734807074,-2640.212590891442,-2112.165901144113,-938.7070099560642,380.0427258403208,929.4482619366128,490.11338183227195
-8814.11690769125,-8728.6119633869,-8206.138863461934,-7113.016034513325,-5509.446571462217,-3749.809849269822,-2397.458222947849,-1858.0102885519693,-1960.0276618170042,-1995.105881050273,-1397.0647906579343,-388.65671305070254,272.6953608323237,236.21114050588542
-7178.843172080726,-7583.747297044436,-7508.64037088228,-6751.105202174966,-5295.512325820157,-3477.863962986168,-1957.921586123107,-1329.1124664726985,-1578.7507434364913,-2001.1013220143427,-1850.0890586342948,-1083.8010319230834,-299.5557893796108,24.300195531190422
-5769.57095734917,-6648.623839266476,-7028.677598183776,-6632.605299378184,-5349.113186853882,-3477.764256526864,-1779.6871085247794,-1060.6097068651463,-1471.6824029224513,-2268.386893577382,-2477.4862413304018,-1816.136823375063,-818.4171085902692,-147.3553600789948
-4938.653434143217,-6267.322973900801,-7057.456064457592,-6938.782189146555,-5699.225958036771,-3641.3749485715566,-1713.739886885187,-992.997070820446,-1726.9125181604522,-2963.5518329423803,-3407.4670374308475,-2632.006903691125,-1287.8449119038244,-279.2334626460259
-4974.027889165964,-6729.621125142205,-7837.376804780278,-7805.549224707913,-6345.440588675214,-3881.3136238003594,-1713.0283076738824,-1224.5407683434798,-2554.959243975196,-4268.908673476568,-4706.9318203499415,-3522.483494958041,-1696.3466344300753,-373.2301416954274
-6227.721860713148,-8331.919824687846,-9559.437764555416,-9277.0095430729,-7208.631194600563,-4122.834478890456,-1869.4195477010292,-2041.3013313844876,-4265.619346640932,-6330.954475534286,-6356.011154992419,-4429.66693396469,-2026.166419475117,-434.51052445887666
-9127.586560057882,-11343.068951849662,-12298.371869527502,-11245.53530782332,-8124.234111695132,-4368.156410027593,-2491.2201468848025,-3915.2742366093926,-7176.435126866474,-9168.669255788394,-8219.685491903087,-5257.122404229352,-2262.4377381121226,-473.2666830002638
-14037.688117961749,-15854.450251143213,-15887.195658870622,-13403.320503881108,-8905.021210812882,-4820.9504048398785,-4153.142867446359,-7395.0958274817485,-11431.63387311796,-12566.715203616553,-10039.285337495696,-5890.734349130735,-2402.987526568789,-506.20257604545844
-20964.479520316254,-21547.521731665438,-19794.63831438312,-15272.575739439217,-9491.997868527553,-6001.472658858687,-7602.578842410304,-12831.738024079496,-16768.07197583734,-16011.967118205035,-11467.719849206678,-6231.1295651838245,-2467.2470154099005,-556.8461177025277
-29199.458373485963,-27498.370022614065,-23123.80015213377,-16374.799995580817,-10139.853718226155,-8707.491715253938,-13419.843816360579,-19983.45890257777,-22349.108693713373,-18745.137051014382,-12157.152438761159,-6230.896362680525,-2500.8858776319416,-653.3584702156639
-37121.2686442117,-32210.01679178429,-24840.744082054236,-16510.027497358813,-11478.919616833502,-13676.345994293177,-21476.411656271142,-27706.11220348157,-26831.437647905543,-19962.18767527291,-11878.28285586345,-5922.9076425066805,-2572.2178661373937,-822.7133067675123
-42430.10934892452,-34016.430377453406,-24213.429382024213,-15976.064549580204,-14272.366645845881,-20978.41095933591,-30480.928931614733,-34026.639539033036,-28752.48823454136,-19112.75918050254,-10622.156813311749,-5424.954662084878,-2758.0104071715464,-1081.3866269252658
-42913.85428308493,-31780.893418155185,-21240.86520665427,-15498.704957310985,-18863.04818810181,-29476.05919502531,-38041.73117950565,-36758.82594443556,-27124.221534917902,-16156.82105398729,-8630.797839659217,-4913.317863185397,-3120.319054323909,-1425.0135063674518
