t1,t2,t3,t4,t5,t6
176.58,122.625,78.48,44.145,19.62,4.905
-184.66416470180621,-108.62036675557971,-42.15358513332285,5.19064629604968,25.426056723138224,17.288269715748402
-535.6296264783974,-334.29012146083375,-160.6756152683089,-33.685103216405935,30.56258278119403,29.18118727115398
-865.702649821831,-548.1796316067658,-274.18146226205226,-71.62570979383237,34.93138123199252,40.33091376061672
-1165.4886692811701,-744.732508642725,-380.0247905869616,-107.8237386367056,38.46287654905493,50.51597550141755
-1427.3016094753684,-919.3106335748679,-475.934801516843,-141.55346069263427,41.11758290992404,59.55357585339669
-1645.5103651638365,-1068.3916228306182,-560.1060987736288,-172.1980629736798,42.88576299965804,67.30454253833413
-1816.720778673034,-1189.6818054630826,-631.2560053729875,-199.26996683665766,43.78538128138635,73.67575855260552
-1939.7890973782655,-1282.1414207616995,-688.6472574513275,-222.42334722175312,43.85859152645787,78.62012256441056
-2015.679730677191,-1345.9271337194662,-732.0770977797773,-241.4585862326985,43.16710296570561,82.1342617892538
-2047.1940635296148,-1382.264101696921,-761.8365402608857,-256.31901489657196,41.78683360979859,84.25436112034511
-2038.6066338448638,-1393.2649652750429,-778.6457011304823,-267.0808375669553,39.8022796586838,85.05056684589051
-1995.2494318660185,-1381.7158818774783,-783.5724222408971,-273.9375481392943,37.301008676723555,84.62046801360293
-1923.0845174333406,-1350.8500407313177,-777.9418936563923,-277.1804081768062,34.36862830091295,83.08215575178116
-1828.3003430517765,-1304.1272849388936,-763.2446743886896,-277.1766560861204,31.084501896993338,80.56731778675548
-1716.959350469466,-1245.035049416272,-741.0495567695666,-274.34706393216584,27.518389512222935,77.21475236379928
-1594.7150157578383,-1176.9214536708612,-712.9263222316924,-269.14427942632676,23.728098195322232,73.1645945517213
-1466.6069488593494,-1102.8667265453278,-680.3818143040194,-262.0331198500852,19.758140094415037,68.55345002174715
-1336.934063540442,-1025.5947613154956,-644.8111158433046,-253.4736610970489,15.639326887625412,63.510536830102595
-1209.1990170417296,-947.4229301003878,-607.4641320187301,-243.90762644908645,11.38917914357922,58.15485211505896
-1086.1124712014807,-870.2455758887038,-569.426666667762,-233.74825872488037,7.013000210220856,52.59331282981912
-969.6432786499118,-795.5449261570135,-531.614199729111,-223.3735806809269,2.5054546606290273,46.91976990673134
-861.1001954349432,-724.4224689202655,-494.77603848699835,-213.122727527844,-2.1475022415471603,41.214763556280964
-761.2317332886349,-657.6439354090799,-459.50729539565367,-203.294878795933,-6.966479688470059,35.545872023018276
-670.3327853787029,-595.6917257752508,-426.26618302419587,-194.15022361334692,-11.976402220140741,29.968504260973432
-588.3491978265631,-538.8196666617192,-395.3943413943658,-185.91235719209953,-17.204241002900677,24.52699538287724
-514.9740999803165,-487.1061945561108,-367.1382524430667,-178.77151696188093,-22.676785500310896,19.25587910584283
-449.732241802174,-440.50325010134225,-341.6701858801687,-172.88811300911817,-28.41849560337631,14.18123081911404
-392.05062438518473,-398.87922919319465,-319.1075088981262,-168.39607829963123,-34.44946076130832,9.321995924330853
-341.3152612019757,-362.05519906894995,-299.5295432492398,-165.4056502039641,-40.78348616629464,4.6912389352462505
-296.91496685093085,-329.8342262620137,-282.99144689953954,-164.00528897055335,-47.42632624942574,0.2972682441847334
-258.27368650545907,-302.02408510507644,-269.5348271962773,-164.26253626123543,-54.37409149772351,-3.855391259398554
-224.87313416705237,-278.4538488431524,-259.19496239909813,-166.22371503596318,-61.61186416759321,-7.765190732940291
-196.2674937940535,-258.9849507940254,-252.00463016118698,-169.91246979960454,-69.11256972488854,-11.432915843308765
-172.09174435230176,-243.51728517995699,-247.9946310369657,-175.32724304266077,-76.8361614809934,-14.861202083386223
-152.06487669087687,-231.99084008332667,-247.1911696696839,-182.43787898246566,-84.72918362851269,-18.054190313268307
-135.9889411409945,-224.3832579353958,-249.6103322141303,-191.18163782750045,-92.72478062699835,-21.017300385304733
-123.7445492637753,-220.70363528888882,-255.2499888207682,-201.45898953516186,-100.74321695697171,-23.757097070121556
-115.28318740892112,-220.98282939816335,-264.07956277127613,-213.129630281063,-108.69295951994069,-26.281220576284795
-110.61650890468869,-225.2605525640566,-276.02824496999307,-226.00922060550852,-116.47235499573064,-28.5983536290951
-109.80267198840403,-233.56961612219285,-290.97238866608353,-239.8673730722486,-123.97190668373739,-30.71819824267475
-112.92979033708313,-245.91783509927836,-308.72298177028875,-254.42741044809856,-131.07712104168448,-32.6514378827158
-120.09666286626698,-262.2683128701993,-329.0142432626588,-269.3683649616461,-137.67185545003136,-34.40966455337464
-131.39114152888993,-282.5190733361229,-351.49450083622315,-284.3295896776747,-143.6420585881094,-36.00525528999477
-146.86676292658706,-306.48326698489825,-375.72055109358087,-298.9182031062044,-148.87975668254242,-37.45118838486881
-166.51858417921454,-333.8714089629972,-401.15665410739604,-312.719392068625,-153.2871065163338,-38.76079613867874
-190.25948812895845,-364.277268720911,-427.17914904129947,-325.30936622276636,-156.78031310298687,-39.9474576739709
-217.89851161125372,-397.16907772851926,-453.08738495215704,-336.2705076802798,-159.29319946367045,-41.02424197005268
-249.12295243500475,-431.88761523881624,-478.12124349076294,-345.20801360332246,-160.78022022588382,-42.003517340542246
-283.48607592265665,-467.6524453447211,-501.4850082343555,-351.76711490267877,-161.21873078386878,-42.896548618672554
-320.40212842818795,-503.5771039159578,-522.3767476594448,-355.64979716800315,-160.61035906201994,-43.7131069024567
-359.15004716274683,-538.6933882219648,-540.0217808506062,-356.62987478145766,-158.98137551571148,-44.46111846241584
-398.8867301176177,-571.9841291340913,-553.7082541827593,-354.565293169083,-156.3820154867633,-45.14637905394113
-438.67002245429813,-602.4229956833872,-562.8224444155868,-349.4066647935752,-152.88477187219627,-45.77235727856711
-477.4907418885188,-629.0190844592443,-566.8811837139231,-341.201277193712,-148.58174004403048,-46.340105862685085
-514.3121874793525,-650.8633817295167,-565.5588231451593,-330.09212890448714,-143.58115570366562,-46.84829303397028
-548.1147544472085,-667.1737502905169,-558.7064352517243,-316.31192286015806,-138.0033149194336,-47.29335804604174
-577.9426185650376,-677.3349630672175,-546.3614931157322,-300.1723400027801,-131.9760999889431,-47.66978598043759
-602.9490539787101,-680.9305256694151,-528.7470087233952,-282.04928759280193,-125.63035237438797,-47.97048801706246
-622.4368791753798,-677.7636017372546,-506.25999291347017,-262.3651278968718,-119.09533379572267,-48.18726523434543
-635.8908195483718,-667.8652321656078,-479.45001684653556,-241.5691109245499,-112.49449933850413,-48.311327462057456
-642.9992169665392,-651.489132657229,-448.98950627872136,-220.11733810146586,-105.94177439247633,-48.33383441370631
-643.6634444069485,-629.0935410862317,-415.6380867209491,-198.4535643285978,-99.5384838701315,-48.246424708812484
-637.9944935325232,-601.3117282894976,-380.2037420584617,-176.99201036417566,-93.3710317472944,-48.04169962577589
-626.2973645851315,-568.9137484856005,-343.5037053307065,-156.10312554671836,-87.50937611131927,-47.71363237904326
-609.0449624892857,-532.7626776529968,-306.3278599415117,-136.10294215980787,-82.00629400676986,-47.257879988508975
-586.8440643652781,-493.7688989087047,-269.40702242874517,-117.24633238335517,-76.89738524284625,-46.67198277668723
-560.3964763704116,-452.8459217877813,-233.38786618018614,-99.72415265419002,-72.20172787094309,-45.955445413738175
-530.4586907540101,-410.8707969519521,-198.81551302838915,-83.66397041012559,-67.9230720698663,-45.10970240010548
-497.8031861034105,-368.6514832707308,-166.12405897652346,-69.13383924187794,-64.05144438379617,-44.137979138705774
-463.1840315397461,-326.9026455341732,-135.63459897051916,-56.148435453124456,-60.56503029988881,-43.045066632540916
-427.30874357543325,-286.23042717650605,-107.55974472941328,-44.67679672857999,-57.43220882403645,-41.837032860857384
-390.8175097999833,-247.1258679091082,-82.01323586577992,-34.650907417894516,-54.61362618483747,-40.520896763809766
-354.27004928354813,-209.96591558401974,-59.02304678900423,-25.974442768699205,-52.0642148680612,-39.10429144637736
-318.13962714839045,-175.02047828309867,-38.54638248872975,-18.531099328558646,-49.73508653404542,-37.595141837467295
-282.8131573741197,-142.46370370618175,-20.485105829863272,-12.192081660943648,-47.57525076407406,-36.00137890571128
-248.59595853605285,-112.38765044857689,-4.700403635433438,-6.822467962196978,-45.53313403636919,-34.33070804041507
-215.71958253968302,-84.81669282973914,8.974171434075835,-2.28632312012704,-43.5578932280141,-32.59044380842607
-184.35119640453536,-59.721321340409105,20.721799942705942,1.5494449640365122,-41.600534078707405,-30.787417455856342
-154.60321837874488,-37.03039986883278,30.733830710331294,4.812389164480006,-39.61485667875441,-28.927957668604712
-126.54223524760265,-16.641355871620405,39.20347942539668,7.622819598902479,-37.55825682556346,-27.01793961511172
-100.19659739395384,1.5718421582355888,46.32152230636669,10.092884366871507,-35.39241408775201,-25.062892481220373
-75.56244721988752,17.752761704202495,52.27359622977918,12.326212030219668,-33.08389502171584,-23.068151815107
-52.60824209681492,32.05827024054287,57.23866760989099,14.41790127958232,-30.604693885525567,-21.039040210171116
-31.278057606453107,44.65550809773593,61.388241931937195,16.454667688879937,-27.932724300117165,-18.98105828616618
-11.494088977131298,55.71957060766462,64.88593829414768,18.514992758040854,-25.052264696054944,-16.900067648322604
6.841188989624854,65.43144936294526,67.88713188667289,20.669161484936726,-21.95434923711028,-14.80244851917368
23.84277706336245,73.97587968569272,70.53845681376806,22.97911728957712,-18.637085444597076,-12.695216996032265
39.64048530249862,81.53886311369038,72.97704983683853,25.498104072001027,-15.10587113080333,-10.58609026828754
54.37563218381923,88.30475923177364,75.32949396568912,28.27010235485166,-11.37347753138095,-8.483492436549124
68.1970310012919,94.45295464261011,77.71048453995901,31.329098519383695,-7.459963537345251,-6.396498533121777
81.25631390089427,100.15420805630475,80.22128790138439,34.698252382390656,-3.3923882023959857,-4.3347195952404585
93.70275266492861,105.56683462733392,82.94809471646381,38.38904844436678,0.7957045933958486,-2.3081367693009476
105.67781641655297,110.83292959913712,85.96038866987173,42.400529877129024,5.065044558934514,-0.3268969684252001
117.30975672396268,116.07484410005694,89.30945937003808,46.71872150499404,9.371637345680151,1.5989138886895775
128.70853093530116,121.39211943586287,93.02718847513111,51.31634835543861,13.667994921980574,3.4595019664931295
139.9613683321028,126.85906577663282,97.12523217285805,56.15294940126406,17.904560298266084,5.245582513897723
151.12925550887098,132.52314150212752,101.59471223062945,61.175471472430566,22.031275842932132,6.948565916518884
162.24457216203064,138.40425420066381,106.40651197461384,66.31940574159945,25.999229694797723,8.56069930703813
173.3100506128404,144.49506552584302,111.51225219352008,71.51049884511245,29.762303972635955,10.075155145271388
184.2991654961835,150.76234063309974,116.84599426357053,76.66703339548212,33.27874287627705,11.486064130114155
195.15798694849352,157.1493387304492,122.32668313700019,81.70263002196918,36.512559179989104,12.788496144562965
205.80845369134616,163.5791941351471,127.861301305556,86.52947774603841,39.43470428079273,13.978398907317786
216.1529439991203,169.95918728062892,133.34865761045825,91.06185498413672,42.02393950842191,15.052508851520528
226.07994548585754,176.18575345098378,138.68368430308993,95.21976401349434,44.26736386428345,16.00825181584823
235.47055256015395,182.15002597349317,143.76206585855633,98.93247191007033,46.16057427434643,16.843651959426197
244.20545776400562,187.74366380353547,148.4849785492571,102.1417351355771,47.70745702046713,17.557265722694012
252.17205518765925,192.8646755342056,152.76368608419247,104.80448663982637,48.91963132478605,18.148153794281647
259.271246070817,197.42292795624934,156.5237189485243,106.89478561952863,49.81558624649935,18.61589836679817
265.4235333577003,201.34502218403227,159.7083677347404,108.4048710223573,50.419568525102406,18.960666191033614
270.574016810793,204.57823771823772,162.28124633864275,109.34521832090041,50.7602906113301,19.183310952463167
274.69595461344073,207.09328639956016,164.2277296911271,109.74357055455226,50.86953423071402,19.285502221149216
277.7926397942401,208.8856833127356,165.55514036182083,109.64299277713172,50.78072533872152,19.269863499278372
279.8974458925516,209.975626898682,166.2916439333149,109.09907622672559,50.52755167591355,19.14009933095292
281.07201881495985,210.40637980684212,166.4839073099117,108.17648677470497,50.14268516050057,18.90109136881331
281.40272127548207,210.24124728002826,166.19366841060761,106.94510420514187,49.65665919866152,18.55894569458861
280.9955616621827,209.55935179135693,165.49345082225443,105.47602896175094,49.09693693154151,18.120978221608063
279.96994951480957,208.45049175577176,164.46172437828972,103.83773793704907,48.487191761342096,17.59563105661752
278.45170496151695,207.00943987288684,163.17785536263608,102.09265029951295,47.8468073858717,16.992319488401094
276.5658015862689,205.33007644963686,161.71720371459588,100.29432081101486,47.190592000430925,16.321215974492066
274.4293365428179,203.49976107926483,160.14670787720928,98.48541669087656,46.52869102301818,15.592983354835281
272.1451972145257,201.59432168389733,158.52125263010979,96.69656180014542,45.86667511216398,14.81847393796916
269.79683300881845,199.67398575164174,156.88104615047536,94.94605663232437,45.20577555304544,14.008413716257888
267.44445003127737,197.78050007491476,155.25014673636497,93.240412085243,44.543237216500046,13.17309166131989
265.1228341222464,195.9355900698735,153.63618562586808,91.5755759865153,43.87275996712059,12.322072957478392
262.8408844162267,194.1408067530959,152.0312391051393,89.93868879835021,43.18500216592652,11.463952469242727
260.5828160595254,192.37870787678668,150.4137190072867,88.31018154932974,42.4681242182731,10.606161149785525
258.3108772290668,190.6152280990539,148.75108272745146,86.66602519484596,41.708355328043254,9.754833967342673
255.96933077182373,188.80301841306684,147.00311692895124,84.97995450430349,40.890572082694106,8.914743714928012
253.48938094819715,186.885482318702,145.12552570497374,83.22551771332097,39.99888258230588,8.089301152175558
250.7946845029141,184.80120794702592,143.07355415943763,81.37784095840283,39.0172139778707,7.280618565108833
247.80707337744167,182.48849168722134,140.8054000279602,79.41503887894365,37.92990404321372,6.489631149548371
244.45213198791765,179.88966778318385,138.28520513990986,77.31924485208714,36.722298452679986,5.716268636699149
240.6643111357955,176.9549960739071,135.48547007973704,75.07727193303973,35.38135461797711,4.959668202109829
236.39131776104858,173.64591155365008,132.38879361531835,72.68094556372056,33.89625027688716,4.218418791616118
231.59758849211067,169.93749912541185,128.98889763099916,70.12716956945309,32.25899073350783,3.4908264022506943
226.26672870920927,165.82011919199633,125.29095330667421,67.41779721590935,30.465003112185073,2.7751894329299454
220.40287145577645,161.30016943568117,121.3112709699803,64.55937960544324,28.51369975229775,2.070072876125468
214.03097675061545,156.40002102322597,117.07645150396817,61.56285582845996,26.408986612118674,1.3745698288164419
207.19614766076333,151.1572104222471,112.62211985850831,58.443235074914526,24.159687022352024,0.6885385991545088
199.96208230524755,145.62299917615036,107.99137086001404,55.219302739774704,21.779847114085495,0.012803677303830696
192.40880963972833,139.8604327620906,103.23305509774494,51.91336290245841,19.288887481509494,-0.6506908270679184
184.62987163747027,133.94203659177444,98.4000201003836,48.55101075868256,16.711566753827068,-1.298785834151267
176.72911669076007,127.94728378462703,93.54740188964081,45.16091263875836,14.077727184196892,-1.9270790719646755
168.81726092768946,121.95995769876681,88.73103725566423,41.77455970185744,11.421800302854336,-2.5299707293952833
161.00835843259964,116.0655148897511,84.00604074554325,38.42595525299289,8.78206200346533,-3.1007866071223527
153.41630104941217,110.3485338297661,79.42556517593977,35.15119532073011,6.199640668931362,-3.6319784862938036
146.15144641843702,104.89031385976283,75.03974281411493,31.987907536975836,3.717298278942849,-4.115396908687657
139.31745167779277,99.76666959934421,70.89478795189486,28.974523852028128,1.378021742235056,-4.542626676578098
133.00837182405544,95.0459500204601,67.03223145852459,26.149377155798987,-0.7765214205676312,-4.9053704938710245
127.30606736357488,90.78729960827674,63.48825435320545,23.549629103225087,-2.70759397463965,-5.1958617073973565
122.27795615125102,87.03917185864621,60.293090119214156,21.210054807505824,-4.38098590005907,-5.407283520594858
117.97513904917417,83.8381025697249,57.470473438314414,19.161727949369933,-5.7685101507945244,-5.534169771211293
114.43092745933554,81.20775123529477,55.037124858919015,17.430665689121316,-6.84930926426574,-5.572761745519509
111.65980162325351,79.15822220923039,53.00227493917552,16.0365051632833,-7.610890525083148,-5.521296774674925
109.65683025959153,77.68568181169873,51.367245822809714,14.991291164726924,-8.049819551069458,-5.38020759016736
108.39758294100038,76.77229172973672,50.125121250497976,14.298457045665476,-8.172020222656522,-5.152216481320041
107.83856499433787,76.38648153671025,49.26054611038814,13.952077531461136,-7.992651629790107,-4.842314881894783
107.91819931851882,76.48358273206867,48.749702524338666,13.936462978935175,-7.535558468664718,-4.457626624803259
108.55836945527606,77.00684252248709,48.560510286822016,14.226150045660928,-6.832318035824896,-4.007161121662833
109.66652316741963,77.88882717485365,48.6530948143988,14.786324521003358,-5.920932439561023,-3.501470454205034
111.13831593197052,79.05321217993317,48.980555703010175,15.57368929916785,-4.844236752812833,-2.9522311152591896
112.86075001150675,80.41694015974471,49.49005408457847,16.53776550991212,-3.6481107405630007,-2.3717762928186055
114.71573855825625,81.89270837183734,50.12421822111858,17.622589214661847,-2.3795921701472147,-1.7726076818176928
116.58399741655961,83.39172713844587,50.822845543040124,18.768741475594553,-1.0849928425433628,-1.166916563881395
118.3491420967965,84.826670171873,51.5248572699653,19.91562766282679,0.19188565775038535,-0.5661422740401725
119.90184606716187,86.11471934228821,52.17044063491571,21.003904120022266,1.4113502603414538,0.01940763320637995
121.14390119062473,87.18059169204727,52.703295354350246,21.97793807905078,2.5391586817191327,0.5808567971764438
121.99201361683747,87.95942701144168,53.07288698086967,22.78818098767805,3.547555510254357,1.1109671353072956
122.38116997229096,88.39941127922414,53.23660147097356,23.39333675683129,4.415973716740089,1.6042490656317465
122.26741983198248,88.46401547863398,53.16169359004037,23.76221492397905,5.131394941468203,2.0569775900202103
121.6299409802746,88.13374088918802,52.826927024260584,23.875173927775613,5.688381872534693,2.467123462949677
120.47228287293159,87.40728047312047,52.22381606384628,23.725080655706044,6.088812813299388,2.83421389842336
118.82271928635983,86.3020303799488,51.35739669100464,23.317737781504473,6.3413611701975166,3.1591408581753253
116.7336811193776,84.85391433973184,50.24647758632697,22.671758441589503,6.460770592121827,3.443936737062302
114.28028208741958,83.11651490483891,48.923347325407775,21.817896609592708,6.466979853395001,3.6915372211416435
111.5579909056245,81.15953705513559,47.4329410302106,20.797869189102055,6.384150706448315,3.905549411806308
108.67954092567601,79.0666595460518,45.83149608992574,19.662730570024316,6.2396475730939045,4.0900402896853505
105.77119986755955,76.93285570431799,44.184750537011126,18.470880684841063,6.06301103692971,4.249356627557066
102.96854660832197,74.86128667875748,42.56575780954671,17.285802363708402,5.884958672641583,4.387982985797887
100.41191794247452,72.95988542562803,41.052406905982274,16.173632405103273,5.73643780561661,4.510439865963508
98.24169548689775,71.33775847140133,39.72474676018534,15.200673134064251,5.647746228497214,4.621219844628576
96.59360179384058,70.10153479702701,38.662217921440984,14.430947667829171,5.647729424199951,4.7247558773090885
95.59416614387045,69.35178754015064,37.940893634156254,13.923893406655036,5.763056959387747,4.825413181993054
95.35650572081168,69.17964549686127,37.63082684467105,13.732275475979764,6.01757669876909,4.9274943235580295
95.97654848347932,69.66369874661456,37.79359043211245,13.900386208890781,6.431743419455518,5.035246377653596
97.52980169396123,70.86728735558788,38.48008610896076,14.462579580365201,7.022118163143864,5.152859333019263
100.06874632344389,72.83624524689061,39.72868402031245,15.442172038782239,7.800935990728462,5.284446110296779
