t1,t2,t3,t4,t5,t6,t7
240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-965.4111962402163,-653.4267204791927,-374.53915896394716,-150.2074512600354,-0.4656924568594327,61.27801984432294,42.117264489033
-2114.709800197034,-1448.5360987784645,-853.8416030740796,-372.62074176576033,-45.172071734099035,100.63658770972174,77.70323160222992
-3154.040026253215,-2174.696271079247,-1296.761899987815,-581.0322201522766,-88.49632089932582,136.5655449300585,110.5280253504638
-4039.476598051094,-2803.5213940909,-1687.546328594313,-768.6888400017588,-129.054223438842,168.13591579112617,139.63092761185794
-4739.954388806206,-3314.2916193700057,-2014.2375180761671,-930.2167910374765,-165.6347869141548,194.66165582855314,164.27327202078095
-5238.966525143957,-3695.05798891778,-2269.2902438130054,-1061.8886675488288,-197.26473240552002,215.7201554145717,183.96620033286356
-5534.5947506773355,-3942.7882279301116,-2449.735209175408,-1161.735617021376,-223.25289003128592,231.15125770092922,198.47736063792155
-5638.032639778643,-4062.628738950525,-2556.9147308147994,-1229.5066539995687,-243.2118495881016,241.03692732095607,207.81801634312183
-5570.961401455476,-4066.471347534624,-2595.8667080289188,-1266.4949852772622,-257.05672031854317,245.66556923753268,212.213981793499
-5362.253493621956,-3971.0832046738983,-2574.4683108482363,-1275.2642589282916,-264.983202565905,245.48613504156475,212.06507721486201
-5044.501328504851,-3796.0782305303596,-2502.4649080592985,-1259.3146888705446,-267.429060744287,241.05750148437767,207.89831403376328
-4650.807708904893,-3561.9828338718376,-2390.503707068273,-1222.7298036101859,-265.0243013528758,232.998234469423,200.31982781467642
-4212.1567578982085,-3288.589705262487,-2249.269761938855,-1169.839987944344,-258.53581392747384,221.9409347740136,189.96982030394423
-3755.5409087845474,-2993.7176214552596,-2088.7908344796733,-1104.9306371846978,-248.8119626647352,208.4941266233109,177.4836631915752
-3302.8811668865264,-2692.4185751676746,-1917.9438528789176,-1032.0125450349199,-236.7317592120563,193.21332786822302,163.46107387729896
-2870.666713459389,-2396.6088428124835,-1744.1651646570083,-954.661922866474,-223.1620036544698,176.58172544435973,148.44408885501986
-2470.1677674420885,-2115.055287892015,-1573.3432924617562,-875.9286249303234,-208.92437218397404,158.9999056102026,132.90357085942668
-2108.043933432623,-1853.624355782788,-1409.858181640348,-798.3046003738565,-194.77305847023442,140.78342038053228,117.23326667872932
-1787.1727591489014,-1615.696600488134,-1256.7247777736527,-723.7406100038414,-181.38239649904588,122.16661309419369,101.75000065501224
-1507.5493629426314,-1402.6592897774397,-1115.7996477401518,-653.6976641347626,-169.34300009469342,103.31103480089375,86.69841712582101
-1267.1463438085598,-1214.4078251694393,-988.0150421760982,-589.2199754169969,-159.1643826628534,84.31689018599477,72.25871903234604
-1062.663919644309,-1049.8079965905624,-873.612994628926,-531.0178518533946,-151.28175469831245,65.23617984292837,58.55602467556492
-890.1364369683628,-907.0913568888933,-772.360809459726,-479.55125633607804,-146.0646886679576,46.08648352662904,45.670217623581806
-745.38931747184,-784.1727100220396,-683.7372110750406,-435.10720755512995,-143.82552903772284,26.86460013372006,33.6454442691957
-624.3591170215643,-678.8907741188573,-607.0847129206024,-397.86642371093984,-144.82574867710585,7.559486939525286,22.49868214977199
-523.2995029799325,-589.1805229598245,-541.7281326426834,-367.95640908001855,-149.27886261458067,-11.835895708841374,12.22703705596905
-438.8994304154178,-513.1892189665734,-487.0617212721795,-345.4894931339177,-157.34897358160225,-31.314130017466425,2.813617697341787
-368.3387177870391,-449.3487155953701,-442.60840657728585,-330.58520305366244,-169.14452407899566,-50.84453021358121,-5.768018142711973
-309.30249298471415,-396.41523515909944,-408.054593066838,-323.37690678939276,-184.70736033142256,-70.3662248733043,-13.550748170045264
-259.97107731169837,-353.4853889576563,-383.263248277273,-324.0030656562424,-203.99777026749433,-89.78339216724295,-20.571933485301656
-218.99679719476683,-319.9943715777202,-368.2670378698304,-332.58384773973955,-226.87672960366928,-108.96291189257317,-26.872419548918568
-185.47454989024104,-295.6995120019672,-363.2423955223597,-349.18441777069967,-253.08715138628162,-127.73467444681195,-32.49625691741555
-158.90899691556146,-280.650035217461,-368.4649082359579,-373.76702975268665,-282.2364391269776,-145.8947204537133,-37.49090014523875
-139.17814502212153,-275.1422155996746,-384.2464740093315,-406.1351310813653,-313.7830257116018,-163.21126755545086,-41.90764618057518
-126.49085707891588,-279.6582616355157,-410.85547551123636,-445.8739820772766,-347.0297585201126,-179.43351359173954,-45.80208598057598
-121.33456389954885,-294.7873852826397,-448.42273693280504,-492.2936512627005,-381.1268818169351,-194.30289798824995,-49.23436443372451
-124.40918476914064,-321.1286407165199,-496.8381908104516,-544.381426357441,-415.0869013234057,-207.56627459798028,-52.26907430524986
-136.54406659730958,-359.17723251704086,-555.6457279831445,-600.7713838580262,-447.81275904704137,-218.9902256632863,-54.97465034099173
-158.59662695955436,-409.19891990220606,-623.9462350114047,-659.7387699414148,-478.13951963386165,-228.3755584504859,-57.42218001864322
-191.3342336522801,-471.10053552272296,-700.3208107411406,-719.2256945832455,-504.88826134118483,-235.5709040798484,-59.68360689498234
-235.30440795683046,-544.3079679635341,-782.7870076582509,-776.9022852563876,-526.9292337273353,-240.4843081654821,-61.82936877442883
-290.702242616938,-627.6655560067205,-868.8001192869745,-830.2639365264378,-543.2498059224419,-243.0917818235473,-63.92558197316941
-357.247342911122,-719.3719859826377,-955.3086649633779,-876.7609172165448,-553.0215280819389,-243.44197302009445,-66.03094898215085
-434.0848895575584,-816.9668331219515,-1038.868253045142,-913.9518888292523,-555.6599961330344,-241.6564105229995,-68.19362269826966
-519.7258692226329,-917.3784580779757,-1115.8112900866588,-939.6685645594882,-550.87131912577,-237.92513933824733,-70.44829841156334
-612.0395971232824,-1017.038083323025,-1182.4623420567586,-952.1755870773533,-538.6799113745944,-232.49796870529173,-72.81381784244171
-708.30720157844,-1112.057059851677,-1235.3815030251967,-950.3084327980966,-519.4340120788514,-225.67194562721556,-75.29155262060767
-805.3380700533332,-1198.4556244820017,-1271.6122272687055,-933.5732213005394,-493.78758547884536,-217.77600209604992,-77.8647858433569
-899.6432009867897,-1272.4232475790814,-1288.9069906096531,-902.1958008428038,-462.65977868764776,-209.15396264580107,-80.4992320843337
-987.6512171334634,-1330.5845109878328,-1285.9047504097205,-857.113029834151,-427.175555215607,-200.1472131706398,-83.14473526860294
-1065.9459323543354,-1370.2416691149542,-1262.2387357201596,-799.9060021983206,-388.59312508190567,-191.07831128314825,-85.73807100255792
-1131.5001893271299,-1389.5664440257444,-1218.5611367201557,-732.6820116660083,-348.2250694675009,-182.23667006255542,-88.20666875480374
-1181.880154875668,-1387.7192424292093,-1156.4815837643455,-657.9181769768893,-307.3604406912204,-173.86719443911053,-90.47297398261027
-1215.3976666459253,-1364.8830801592412,-1078.4272215124865,-578.2838692442409,-267.1945862487323,-166.1624284132125,-92.45910364315304
-1231.1950942508952,-1322.2105677728464,-987.4418475446809,-496.46076006803827,-228.77212435151836,-159.258423750203,-94.09141964714334
-1229.256336265288,-1261.69344511796,-886.9483873263466,-414.978285855386,-192.94662961456456,-153.23420834351717,-95.30465763092973
-1210.3473930777584,-1185.9734419565275,-780.5018830075442,-336.0789318567773,-160.35847855643513,-148.1144505275915,-96.0453009773885
-1175.8987071150493,-1098.1191788692568,-671.5589243678445,-261.62270674225124,-131.43026919056302,-143.8747092044447,-96.27397479307083
-1127.847696871899,-1001.3956148102533,-563.2845822963968,-193.03445601415535,-106.37753323617306,-140.44854108926577,-95.96673978979297
-1068.4627582667517,-899.0502478465506,-458.41058266702845,-131.2922172545391,-85.23128276128824,-137.73570556532098,-95.11527770520594
-1000.169322187705,-794.1347104602446,-359.1501777281689,-76.95044720480735,-67.8683506068979,-135.61075395671202,-93.72606401928775
-925.3948927098513,-689.3729254343159,-267.1674196003502,-30.18914465894642,-54.04547093949319,-133.93139557900076,-91.81870838541202
-846.4444040347806,-587.0791440061499,-183.59249213817444,9.12119884040747,-43.433499447465984,-132.54617618263654,-89.42370017963702
-765.4110027473789,-489.12235703344334,-109.0710874966044,41.348434932893724,-35.648941751067994,-131.3011636200032,-86.5798221472199
-684.1216814876893,-396.928713283701,-43.8346429101275,67.02938936656386,-30.280879712903882,-130.04549146393373,-83.33149002903428
-604.1129369219777,-311.5111080842742,12.22077369150481,86.80803701072233,-26.912309757795583,-128.63574875831014,-79.7262447828765
-526.6292278866752,-233.51489884166594,59.456688295617184,101.38454841501195,-25.13572079636474,-126.9393128302654,-75.81257366876912
-452.63644613737995,-163.2702385134013,98.4221586734214,111.47634703122847,-24.563371042113832,-124.83679666016153,-71.6381753801696
-382.8435062941321,-100.8440641059298,129.79487609400067,117.79061455927663,-24.83314476878613,-122.22382138791686,-67.24872088467274
-317.72694127745274,-46.08759582422877,154.33424947182013,121.00657083581862,-25.611088836726356,-119.01233016199623,-62.68710296557687
-257.5554533283546,1.3222994735868963,172.84545375109127,121.7653123377857,-26.59177544847276,-115.1316362085841,-57.99311922091649
-202.41322249459944,41.84771134486536,186.15242870465002,120.66491310017093,-27.497554885522128,-110.52935192830066,-53.203499084222855
-152.22210205693906,76.05907110006551,195.0775347979575,118.25872753316442,-28.07759449764979,-105.17228434687463,-48.352166886638756
-106.7635231410113,104.60783852868532,200.4257907119161,115.05523960290915,-28.107387008712696,-99.04731331515103,-43.47062986813704
-65.7010475878134,128.2012252556096,202.97209460962873,111.51825668861666,-27.389181863884986,-92.16220062596139,-38.58839061445569
-28.604215930016633,147.57817157426257,203.45036675043127,108.06666808088437,-25.753567158205712,-84.54621857532814,-33.73330468230906
5.026157911001612,163.48631963036937,202.54400995196818,105.07333702265626,-23.062217140420255,-76.2504425325896,-28.931832346873563
35.73160498887753,176.66014345588758,200.87740518990702,102.8629642303839,-19.21162606357528,-67.34752950282599,-24.209164131108672
64.06928972006594,187.80063503130896,199.00834212671535,101.7089644816806,-14.137475728079647,-57.93080718495371,-19.58922863765731
90.58594767346001,197.557007851281,197.4213678171148,101.82955976019674,-7.819135051244048,-48.112526864079655,-15.094614163108858
115.79350196318926,206.51081727013835,196.52207567524545,103.3834344309707,-0.2836725745435906,-38.021187004075045,-10.746449479420804
140.14730920024516,215.16278238947461,196.63239984206893,106.46543218959481,8.39131135826123,-27.797908120905376,-6.564292236867376
164.02784109258315,223.9224935255419,197.98705665220146,111.10289973497247,18.076741717549055,-17.59192633720818,-2.5660656366138337
187.726451497422,233.1011439164073,200.73138870246103,117.25338329754419,28.593665337982074,-7.555363943634422,1.2319328141193564
211.4357440602786,242.90744299431012,204.92099758958636,124.80443619236232,39.7178911344712,2.1624796443702543,4.814948952468298
235.24494706772097,253.44692868357743,210.5236610580235,133.57626936788563,51.187941231483634,11.42100375072435,8.169637522594973
259.1405989104528,264.724953332337,217.42407482154505,143.3278472617405,62.71626145345479,20.093991110193784,11.283915805314223
283.012713600337,276.65361976363414,225.43189960819385,153.76678489499443,74.00326450431378,28.074728442141257,14.14685534598311
306.6663942207058,289.0628456790162,234.29340687916888,164.5630445145887,84.75338942773281,35.28020857434713,16.74866019602698
329.838569621398,301.71551203804086,243.70670280524826,175.36598929418113,94.69201065581318,41.65411140805236,19.080766648040782
352.2191472729867,314.326309044613,253.3400972338126,185.8238779143792,103.58177788521776,47.16834192805589,21.136076481910763
373.4754338707877,326.583468464919,262.8527256559816,195.60444455262194,111.23686712102956,51.82300671339986,22.909307788124508
393.2782335896646,338.1721266684049,271.9160989261529,204.4148784192048,117.53370928005434,55.64482662931702,24.39742034462759
411.3276689451667,348.7976790002171,280.23492583528804,212.0193641857515,122.41704469805404,58.68410170180868,25.600052157628834
427.3765621651045,358.207244596179,287.56539857962224,218.25241846711586,125.90060649820724,61.010453298515856,26.519894653423528
441.2492339417516,366.20732879819957,293.72920051603796,223.02657526949545,128.0623084116552,62.70765813755713,27.162938236840684
452.8538603901788,372.67598607913715,298.62180665669945,226.33351347310182,129.0344247469247,63.867949729438166,27.538536719118
462.187076117915,377.5682488711692,302.21417868143493,228.23842124756686,128.9898124173865,64.58618999419227,27.659264983444263
469.3302743336572,380.9142536042958,304.54764815267885,228.8681632011242,128.12565318658176,64.95430504589584,27.540573899319323
474.43794552571666,382.81028358620404,305.7225438382068,228.39454570338998,126.64642547035126,65.05633655304841,27.200274080220908
477.71929732191256,383.40375231947183,305.8818444981836,227.0145546503776,124.74781869418477,64.96438949020104,26.657900587053014
479.41518254117796,382.8738552030445,305.1917208094115,224.92977857576565,122.60308669561802,64.73566732278013,25.934020997066877
479.7729144289879,381.4101180147919,303.82118171478515,222.32727553830173,120.35294267023455,64.4106873271104,25.049548711015287
479.0217834848614,379.1912917471823,301.92310781111024,219.36388803436975,118.09959540974552,64.01267275372534,24.025113635568644
477.3519714681771,376.366951813929,299.61872713993125,216.15549734256763,115.90499603167162,63.54803460859102,22.880526829120914
474.89910063802836,373.0437694214142,296.9871016258058,212.77201841648096,113.7928841474924,63.00779122683453,21.634358429166653
471.7359260918485,369.27779278423225,294.0605188734599,209.2381753910261,111.75385452736903,62.36973259811881,20.303632961707624
467.8717813608934,365.0732988823704,290.8259234887157,205.5393792673565,109.75244709372082,61.60111919100557,18.9036355981813
463.25944865381024,360.3879639043873,287.23178304047497,201.63145410684382,107.73520394292872,60.66170934429492,17.447818121284474
