t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
1011.3799999999999,928.9449999999999,856.3199999999999,793.505,740.5,697.3050000000001,663.9200000000001,640.345,626.58,622.625,628.48,644.145,669.62,704.905
317677.133901583,267095.09317642124,218061.04264870478,171380.05558298875,127895.34771461271,88490.14788572499,54075.43309182907,25554.138951223897,3748.9782296794083,-10722.558380079028,-17645.524582069014,-17498.463143828616,-11858.698330875768,-3938.4144797995505
502830.6190392364,427302.97384884243,353155.381423638,281293.03018308943,212868.24343638922,149326.65363268388,92407.19298487395,44067.72198539856,6301.701350940955,-19190.100141295476,-31500.43844208905,-31192.55551420957,-21112.05944969166,-7224.60257738638
510145.3700013222,442124.7480174398,373605.9003963699,304796.04603473144,236450.90400800575,170025.47037928592,107751.84673211431,52576.422517443265,7872.915558161398,-23146.073293877846,-38349.70099761143,-37868.64209905973,-25297.054015053902,-8483.687605736412
390485.4174559796,349389.3415475994,305698.3866312692,258640.7064372209,208141.80381671534,155110.73511366,101676.31450732626,51247.83685582185,8231.075580163651,-22761.645520917285,-38259.22623167332,-37643.80458409811,-24676.77765033308,-7956.85095068286
234804.64910402338,221133.07808632596,203939.7019808242,181798.65343185916,153846.95573344032,120170.18202599892,82221.91201270954,43102.047288915295,7424.846066506078,-19503.824191679178,-33308.163362749794,-32653.273802039756,-20960.38844250403,-6441.142766362598
110559.39999921087,113583.77808792714,113539.4021123844,108913.79584043722,98441.56326191571,81499.45022225216,58639.21731451329,32073.97919684123,5781.857522886169,-15164.554284395766,-26231.81361407137,-25656.794664022556,-16172.151504508975,-4746.58679008271
38760.53454960684,47101.83754726027,53507.49377444709,56794.88762890401,55733.85185678611,49361.66642165324,37503.33731822345,21351.619757886343,3772.8037740213676,-11102.573053762027,-19265.48326592199,-18864.072532998918,-11784.028184913073,-3356.6783084884523
8429.437338375179,15533.128877844734,21751.57703349576,26357.32400994911,28427.31280272063,27035.346015355863,21652.242914329177,12675.176967682808,1824.8677262711788,-7992.4835826461285,-13658.242761567471,-13457.944697605499,-8451.803813634617,-2399.9911280986194
138.5112266650608,4179.773841136768,7966.381126923953,11145.479493340552,13164.77039710736,13351.509410967223,11147.776899585075,6491.299867908646,196.2940595319543,-5962.269772070928,-9770.70830958615,-9719.747486313281,-6207.847738038116,-1798.412231957241
-344.0269092617192,1218.7564870763426,2782.006349744909,4225.686535266832,5300.140346656337,5625.526458129054,4774.271600752292,2480.5394269455383,-1043.5830439844956,-4856.082222791314,-7424.711040927884,-7407.046777128119,-4791.703294911105,-1421.6091602824338
283.4621487319048,452.75758481110813,681.7221207864065,971.4003433138446,1269.2933736213122,1419.3921594206251,1130.151845607344,50.0263494729239,-1960.1193601018588,-4441.423041082462,-6232.990479525814,-6099.463620098213,-3900.303616994263,-1168.9166261626829
