t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
491.44999999999993,477.68499999999995,468.825,464.87,465.82000000000005,471.675,482.435,498.1,518.67,544.145,574.525,609.81
74108.35553583116,60700.2357461704,47805.330574707936,35687.34213226435,24619.802789942136,14885.59325268244,6771.102503174403,551.0257723915865,-3541.8532980135133,-5369.27720783406,-4971.455053196271,-2692.252576397881
125902.10943863702,103912.64152067754,82546.6170832831,62176.782567692324,43245.208053997914,26272.037071192986,11846.231791960758,587.4884517503908,-6933.897328167742,-10332.734735582237,-9609.909807042874,-5417.994896838466
144125.44617639648,120678.28265732524,97452.002695458,74710.62650793491,52896.547237807565,32666.779972568824,14893.472581196007,603.5113863413335,-9170.96041078535,-13652.339357960998,-12685.095534087632,-7162.634116074268
130947.63455854946,112143.78325905175,92869.03509311008,73117.8050194775,53168.602406307225,33668.1385401868,15668.992014024288,569.9835669930148,-10098.443027970849,-15081.324894658055,-13972.089808416436,-7811.4261886606855
98685.6767840953,87430.41676201958,75093.49861655192,61368.31405963498,46272.50472056532,30290.432825484273,14478.43585379914,447.4609003738234,-9880.91565910769,-14813.841083797382,-13667.18731427882,-7521.993940778112
62060.38875101189,57933.766839258446,52458.41618986209,45116.44066561912,35664.71060822442,24326.49876069633,11978.127960398368,212.11209266924732,-8882.423988712999,-13336.72244784347,-12241.345514317856,-6614.106763391101
31703.333583105854,32328.21374549159,31712.658948009095,29272.46237590959,24585.720617064202,17605.563696718713,8913.108030917894,-126.60839929515748,-7513.001423028774,-11228.062158882229,-10244.45137348038,-5434.194812209569
11820.824410301631,14525.98390021131,16327.372425323452,16701.913597013106,15166.266360737685,11475.70278456998,5904.309572347414,-527.4441590195772,-6109.696311222496,-8990.199598878826,-8145.88640160298,-4255.074440967233
1542.4822001402588,4421.432480295716,6771.470740987922,8199.400795750244,8263.45154089434,6631.474061958381,3343.1368728879856,-934.5433524944569,-4883.301811346619,-6962.658016749371,-6254.632255752135,-3236.1109354678133
-2294.5402600407992,-130.53974806444495,1789.6200412851024,3210.872206644611,3792.1558797809394,3214.009552917753,1389.5009647453455,-1298.4619413256771,-3923.3126671404016,-5312.862467009445,-4715.09436102985,-2434.1450461024783
-2872.5906103239645,-1557.4760766162226,-328.35307847418403,667.7867059390146,1202.6013164032881,1029.7343953642876,32.25598085617207,-1590.2305211893574,-3233.89771848397,-4074.698697963931,-3548.0801339217546,-1839.1441830392507
-2347.778885134508,-1655.4741603446819,-993.4286673439905,-442.8821513388773,-140.19496292142375,-241.96231573181515,-833.767975686901,-1804.5125325355195,-2774.47024092056,-3201.649329098088,-2703.98263302998,-1411.0009010995623
-1781.963584925089,-1419.609762064865,-1088.2560422430843,-840.486143494108,-755.2241969498903,-913.5500350221728,-1344.3992146063185,-1954.085064327966,-2489.779936332042,-2612.475328191805,-2106.9821816488516,-1105.1900940183466
