t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
795.5599999999998,762.1749999999998,733.6949999999998,710.1199999999999,691.4499999999999,677.685,668.825,664.87,665.82,671.675,682.435,698.1,718.67,744.145,774.525,809.81
714494.2350687197,620558.3796256724,528372.0316050365,438876.20145736984,353089.9960743643,272128.1079043411,197208.3909436344,129643.8624410356,70811.55520924742,22088.692190903726,-15255.02312158389,-40221.16174636141,-52314.16799754052,-51850.18482245065,-40347.1888661861,-20991.495724520497
913913.021842276,808974.180888865,703801.9734490594,598592.7560863771,493919.5551748978,390847.18006900436,291024.05841643934,196727.97882912087,110834.03851318006,36666.39047005793,-22305.48280227003,-62955.49452916748,-83178.63145497578,-82716.06006710445,-64020.35070761546,-32974.044739167155
619657.6814238637,571542.27950529,520015.26776686974,463723.0683765818,401793.1661499332,334068.68904462014,261367.761615138,185722.16642152524,110516.13893102936,40415.71153567168,-19032.70335880258,-62227.36872152916,-84762.33088838527,-84944.45738436189,-65201.3052709636,-32803.839879077255
226649.0898502762,231355.661130809,232356.4659462882,227799.36291996585,215957.1649429482,195459.5666506822,165652.88445544787,127052.88440547045,81788.70762412318,33856.8705264464,-11054.125602311267,-46391.609508103815,-66290.23634683475,-67604.11116945525,-51762.203083154614,-25468.993712109666
12191.181449726899,30324.434817088862,46921.87891730522,60914.75030686999,70969.50686341374,75572.13765783494,73276.45455834955,63137.93135920565,45287.47260449892,21489.370830869106,-4594.73402341638,-27773.133689178234,-42549.20911165887,-45076.499149300544,-35177.42267845185,-17310.65677171076
-26852.72194929251,-18905.63795170193,-10763.506262983563,-2549.2192849090106,5352.485032659898,12234.2024266577,17076.936551298673,18695.791577994638,16073.880350476753,8876.968788172693,-1985.5865449134321,-14050.295761989626,-23629.009441122635,-27029.560191179782,-22438.472376177288,-11543.57378746511
-3903.3804825175453,-5856.819875128437,-7455.425749030768,-8469.562925173002,-8648.891445141515,-7798.027575385686,-5919.629910546453,-3396.6428419685362,-1110.9096438574168,-321.1575698080471,-2142.052022645223,-6687.578560345832,-12355.765852724722,-16045.767496893579,-14799.940807721763,-8216.705091513139
12292.348134561467,7961.07203215462,3405.686100101566,-1269.4091396511672,-5702.625104808125,-9258.56092015204,-11162.837881819307,-10853.590407029213,-8481.199410341893,-5253.400586034394,-3162.341806797787,-3854.837933551883,-7155.214567978927,-10540.689172694587,-10658.88657893775,-6244.0875287118215
12484.714917380565,9701.579081035272,6281.852673089076,2121.300464483308,-2563.721487318161,-7120.958754163189,-10509.717135849416,-11664.548854393319,-10172.18461903387,-6903.396325538476,-3935.4147578066495,-3341.8825731354295,-5436.100623382184,-8075.091263221001,-8224.550397966479,-4803.380833183338
6995.656132130153,5839.857312007695,3994.2705885360474,1264.3779986230588,-2262.2970482709816,-6058.81513610893,-9148.910161776399,-10436.534211080627,-9395.474939266162,-6726.013496439191,-4258.677950812719,-3737.7193334582594,-5250.191547156672,-6901.543673092874,-6468.248017183303,-3586.178557140632
2604.939655096644,2054.364242686878,939.1509451504583,-909.1100581879823,-3421.1945907674067,-6149.617841447114,-8277.24608744893,-8948.903145820543,-7890.19081683735,-5867.62398058689,-4362.4494066597435,-4399.821672756426,-5521.148390851568,-6116.809209287764,-4998.29373233239,-2560.4274591332874
414.6793072334865,-215.9435004354761,-1266.8927253403758,-2825.058956609697,-4753.846781009225,-6607.2343319685315,-7722.61985293522,-7598.405720573189,-6388.494427817688,-5014.649735222843,-4519.899198124466,-5079.171784051928,-5737.431280794396,-5343.9253414813265,-3723.44221227606,-1760.1893797020043
-589.7339190295946,-1498.33792067332,-2704.190513176905,-4198.652374262309,-5748.365197656187,-6887.139966540757,-7123.696389018997,-6357.539370872243,-5169.865266186001,-4516.6843776783,-4861.985509067351,-5610.99388563352,-5639.703631517457,-4454.499004182665,-2652.9671553874223,-1209.388666610431
-1421.4698375839507,-2507.4853461481885,-3765.1831384695583,-5098.209477779705,-6206.469373709879,-6667.6107001194905,-6235.573084211941,-5203.104217086693,-4388.975458370078,-4484.374991054336,-5280.222878374164,-5745.949077445784,-5061.038715733263,-3443.4019516515104,-1832.2516838274678,-916.2135285247548
-2573.9813541502654,-3530.407044074213,-4511.752017639435,-5374.124025109475,-5851.989834819258,-5706.147817470437,-5002.270406914244,-4260.850036789213,-4133.739775046455,-4729.169807864535,-5347.715343572014,-5124.772007177054,-3921.1723476213765,-2407.723223636972,-1330.9408460312106,-878.6475698335071
-3905.4176365006765,-4220.588156361724,-4437.7570537391275,-4473.296872643966,-4271.423858265402,-3906.4379647863307,-3635.3071236680953,-3743.2233096975287,-4212.127401770525,-4585.928933963398,-4340.855779225702,-3427.70185317024,-2326.387330629386,-1554.1643411223863,-1226.5974806344668,-1078.0346089011248
-4393.6888052664835,-3452.319440214229,-2470.6178012161436,-1620.6415714742664,-1226.0125835300025,-1578.2134550326723,-2586.277631775944,-3594.348586299512,-3772.2812594054762,-2880.146194974049,-1554.1145745582849,-699.7195866610159,-683.3511189998345,-1169.348286229506,-1561.070988289031,-1457.6821118136645
-2005.9561882190314,494.5829085134589,2543.8263898682376,3508.3779892307066,2760.6142934538143,413.78981162104094,-2134.0947530310536,-2907.518064570186,-1191.768567267582,1535.4788366974003,3006.1666845425493,2302.90907545708,307.90226987362456,-1513.3858139585918,-2270.8236630979313,-1892.4259545360685
5555.913334285898,8865.641771138953,10625.59061847978,9772.009981420251,6025.791003218365,1096.4352154815192,-1596.9170683496009,254.28870858973002,5057.906549980871,8520.263024393087,7889.584938051784,4083.7712949244415,-106.64376562707986,-2646.6252400045364,-3114.721862709046,-2164.8819671166416
18706.983258588658,20466.595818734833,19225.016461977637,14080.568831409846,6386.186653818723,491.06513645378584,979.6875913702714,7623.3696424115315,14429.453235613644,15425.490545192588,10229.794253541984,2989.2352167367435,-2297.565163223091,-4266.576471936991,-3646.0221191078376,-1976.5929200614246
33451.94699642226,30254.421715708268,23167.729999429055,12644.60794659065,2874.7659402464037,285.55060007315967,7378.980714415129,18098.832974303255,22698.27481412452,17493.027643491794,7118.962331947451,-1744.8318378014505,-5858.459772572172,-5676.611263024404,-3285.1056040573894,-1024.9278428403175
41367.947590900265,30854.606605320572,17355.494247394403,3841.5427865919414,-2896.3073083257655,2530.4614401675353,16304.51590631568,26135.159894811226,23243.949110718688,10647.975748856308,-2263.6603894816326,-9188.529521944609,-9578.804596706268,-5975.727628369049,-1519.4437491253466,851.0760410095023
34183.32204116963,17458.85169978945,979.4483136126555,-9717.626745249147,-7745.35409196129,6804.925922137975,22113.440643716574,24242.083575901703,11644.552455368032,-5049.787936894469,-15491.802399344439,-16904.050028523136,-11912.164299137698,-4433.950286231787,1823.8476223118823,3514.4312114989657
10426.13113470441,-7528.7664854813465,-20664.185341864926,-22523.0487991198,-9889.96049074799,9126.050835040043,18133.02193682099,8902.732739003959,-10050.383825439854,-24540.77173112004,-27966.87814591177,-22149.179969551737,-11703.519432867344,-869.6685815460473,6378.426697324885,6476.032664477968
-22093.774520844338,-34981.45733693729,-39245.03620266728,-30116.466968049623,-10612.934174090493,4924.127170393433,2495.2074645027255,-15586.550619723399,-33864.393030421634,-40721.37342324139,-35536.78350227021,-23263.858633859,-8719.489199926933,4201.378883021128,11269.87749760647,9030.423064277966
-51116.06604913017,-54938.95396525594,-48865.10933449025,-31800.882830907452,-12564.58060843186,-6549.730084825924,-19544.33976773267,-39701.841416598894,-51163.340999478874,-48738.53745376537,-36585.009294776675,-20285.714118404703,-3667.125970771919,9751.757544183709,15415.450547845428,10545.584393649082
-67820.68129749937,-62598.76993116967,-48976.65447791124,-29829.31284703738,-16840.203021967533,-21285.07012266687,-39460.90265650365,-55286.8165972031,-57789.73653850902,-48085.60219781056,-32204.10210992285,-14546.117850954362,2237.5119042665865,14654.94868943089,17947.495414085748,10739.584419235185
-70860.85933075102,-59539.08749544166,-42965.13632490169,-26807.832680984528,-22210.964759659022,-33867.27242694951,-51374.73159023716,-59926.579218357925,-55028.51180609498,-41513.93768141529,-24855.824785097124,-7761.053971941308,7818.2984994743765,18086.810102976888,18524.133136701348,9769.746026997205
-64469.274073011184,-50615.951710768466,-34904.49845025285,-24153.200163204267,-26752.44900457985,-41233.11248986744,-54571.803473938075,-56261.19997643606,-46979.66402243583,-32560.656839879437,-16864.20331795728,-1288.6579523479054,12297.608464330135,19725.94441571409,17373.354021791143,8096.8805549853
-54108.54068935276,-40336.43070169645,-27489.135885868316,-22237.360504928474,-29512.838564719492,-43542.379803194315,-51810.82318402062,-48587.40683924058,-37515.68682983074,-23785.16130251051,-9650.267713618927,4143.551220586396,15373.346873748193,19719.55710296826,15095.804853782618,6241.4787725528995
-43578.02488200811,-31244.033014411816,-21806.969876382558,-21064.933996124953,-30725.282698613366,-42631.63489228413,-46391.083374799484,-40203.443979772186,-28875.735738299372,-16355.20848989367,-3732.5215487771666,8342.68362109354,17107.77379291995,18506.350774340444,12377.78282122648,4588.703605714365
-34534.65887995451,-24150.92324306129,-17968.22201200515,-20598.306767934933,-31072.29214325271,-40278.77212235365,-40488.16220572384,-32702.32592249591,-21795.47849406984,-10451.302873674013,929.2909933396122,11426.39578528685,17763.779663219877,16613.796398011717,9766.69167972029,3321.074509756352
-27270.353548360505,-18964.250297489914,-15686.130040675405,-20745.703635467602,-31050.24192900113,-37491.81981687059,-35020.87464577449,-26462.961077533135,-16187.350634464421,-5803.105574706449,4603.36217325034,13634.441871774374,17669.285097554894,14505.314365488386,7578.034408779782,2457.6832737890472
-21538.111453773807,-15301.241467011849,-14567.930784715314,-21312.239879501758,-30814.274187778625,-34624.4353012136,-30167.229069685636,-21324.41078393783,-11691.026343091571,-2035.0773711013626,7593.017678388362,15218.268399913371,17128.017914730397,12502.435866813477,5917.50538214067,1933.838936670378
-16993.277482651363,-12757.571221917733,-14217.485664558908,-22028.878195654754,-30306.372021752726,-31713.6774423289,-25829.276192487036,-16995.935647208924,-7937.502504224025,1189.5652081892117,10156.402586553542,16385.297500898927,16369.199005215252,10775.977145070496,4760.822860480548,1668.1689778056752
-13328.112874558343,-10972.996408627114,-14266.466097836254,-22614.877049146096,-29405.992993211115,-28706.990763525737,-21857.363570149286,-13208.3962151258,-4624.415676386639,4131.813495423999,12476.898438884831,17269.50328388322,15531.790173928981,9385.772892313063,4036.5141845242283,1597.3960719115448
-10279.857680198624,-9632.53508653569,-14388.327590720357,-22823.442623037678,-28006.012359148666,-25545.518979853514,-18112.12265231431,-9741.423045864023,-1522.2722272830372,6968.629398538891,14646.418721423855,17922.635759944496,14684.93990629146,8341.087409472897,3679.8057528644254,1682.4738665226869
-7623.72421868999,-8470.59022455018,-14316.249412843512,-22467.824490669584,-26035.940707087586,-22180.78085417752,-14473.543282498606,-6424.5252867823665,1523.5202179852756,9782.680561997464,16660.451994142364,18338.50556496275,13877.696369454228,7651.255781794687,3649.1083352747914,1897.4376283563065
-5188.344028093811,-7296.442537759734,-13874.296971556605,-21447.66280505425,-23478.484752948836,-18588.68866101693,-10855.237227654932,-3149.0575892745173,4581.525871115368,12558.602192937184,18446.12268181408,18514.7690223757,13190.068903677431,7342.405041211881,3912.148023763438,2211.3378112607984
-2887.900765761793,-6031.281770023442,-13016.218775557954,-19783.115731547558,-20398.971702203646,-14799.911485177658,-7232.15744019487,113.96879814911222,7631.91727346511,15211.55693627011,19933.986760582262,18522.0495502962,12744.844281724987,7433.849942686424,4416.808946706805,2571.463846544462
-743.3275406065022,-4728.233993988428,-11846.393200716178,-17637.44402491456,-16971.76406229326,-10928.845464899325,-3660.6843986321546,3314.1626895659933,10596.749302534634,17656.91005847318,21140.04030644642,18520.35874992287,12658.1003954352,7891.393490469941,5064.522539129646,2895.3338282163786
1137.001505174329,-3544.283485459131,-10590.054283973657,-15294.226617644345,-13469.847925557635,-7169.607488501908,-265.05710902716265,6357.395275582393,13402.461062190865,19883.526152814535,22185.483843698625,18683.800272919434,12953.667192075856,8590.718312822846,5702.188263837502,3077.8750001107846
2622.948644403156,-2658.5663607292136,-9503.465308461025,-13073.976815594568,-10199.144390023857,-3744.085266494403,2814.435793263329,9164.143974452758,16033.96420451515,21961.353806210624,23208.69545573545,19071.764187861245,13505.084937663722,9319.998103201611,6141.350821730123,3015.7495841612235
3641.7858084001837,-2175.4095738566693,-8761.80765351132,-11221.146689336409,-7401.377943337489,-824.7410997183702,5482.494973584375,11708.9017523957,18526.882735221632,23952.02364428843,24221.98259190936,19549.983407970984,14056.933509908247,9827.368191451013,6201.310445104306,2642.2010465245653
4218.386493433737,-2074.026648879772,-8392.431681792314,-9826.946168275588,-5182.657775894245,1519.1031852896053,7716.628851488969,14006.494285709316,20891.71412638242,25787.65209184592,25040.943552967725,19838.06640577641,14319.358469193325,9891.531236748424,5760.427356188238,1957.2249815644846
4450.036181307594,-2237.9612532939036,-8295.84624829689,-8835.678317960343,-3512.186063511154,3317.9296846542597,9545.653449754305,16058.69584318931,23036.0471418367,27236.521825986547,25365.688907480926,19654.416668690952,14076.408919003732,9381.392213793135,4794.087993314356,1036.3414304373155
4442.122520848443,-2535.561771534362,-8331.181101754755,-8120.921304550611,-2282.9057810490835,4653.6474614789495,11005.7453893452,17814.91963099496,24765.530070255376,28005.56739233954,24955.13961146453,18850.717102648843,13246.209004415681,8280.13255259508,3383.0844240205774,10.505759559207775
4258.337995385868,-2887.3034560028923,-8398.515192276074,-7570.181726158901,-1383.4542482156978,5609.074005401568,12115.22458666719,19186.27892522822,25872.92330715131,27901.30812327813,23755.99064510916,17451.43165938095,11873.343615506981,6671.07721151456,1689.9095045641802,-974.8623051815822
3915.9926493823623,-3279.072928882675,-8467.623830369865,-7125.582961904576,-736.6344950543335,6246.731455973003,12882.410759270608,20098.15522036851,26242.753971884253,26923.467048521095,21904.594714997776,15600.1444501091,10078.097769421713,4700.806968013438,-85.71092812505589,-1802.6586372293036
3413.7613704582036,-3731.5402597241655,-8555.337734031555,-6775.084252031132,-298.293072579732,6614.791639104231,13327.264019743954,20533.430804063053,25894.02112565937,25239.602331409737,19633.586467900135,13473.62139892341,8001.207502639656,2539.501422312471,-1754.4727399842645,-2410.475206587216
2760.029652205475,-4262.5095260703765,-8687.155807168265,-6523.102298571912,-38.98719991230769,6759.316654137676,13491.746297525953,20536.116345053604,24947.3135139559,23088.610156870553,17168.30635296743,11219.230697213137,5768.879435437023,351.4399016390618,-3173.552233076238,-2793.40018885683
1983.201677705439,-4867.746541247655,-8872.668518876168,-6368.321942635852,70.00602174229869,6728.481082772477,13432.325821551514,20183.51652251799,23559.084308719033,20690.60798333444,14669.49159507142,8933.273676461838,3482.040610782223,-1721.6037711136778,-4264.065387441005,-2988.4836853598304
1126.7063857869175,-5521.364334649168,-9100.659364777419,-6296.822883285898,60.51874192689155,6569.177705144406,13205.06735831827,19553.971943027478,21870.115050391134,18204.036538766395,12226.60643118844,6668.953389865222,1221.3565890745904,-3567.8667350181913,-5010.586419503982,-3052.2546911220757
240.53858596820507,-6184.062245222455,-9344.671123855402,-6284.377558027671,-33.73960653836315,6323.233879632038,12855.809060471312,18709.59103944913,19986.460685605616,15725.99287430105,9878.941903999092,4455.912500546781,-942.7517986062057,-5109.123940360589,-5448.071141802771,-3041.1766580960702
-622.6182763983827,-6809.509345198657,-9569.337160724817,-6299.9678409425305,-177.60042429224907,6028.130929588285,12420.317655914876,17696.888260209955,17985.544658325944,13313.252177080263,7642.182646496841,2318.7378429181185,-2943.156539461632,-6303.410705577342,-5642.825084536607,-2999.5468197856203
-1406.555514104259,-7346.977860204421,-9734.243786649495,-6307.46485603094,-332.5476967265089,5721.777003444446,11931.561293434224,16557.60545932669,15931.73561223028,11004.922179077977,5528.547938830508,288.2558875176064,-4716.630315998289,-7147.163755800811,-5672.964585965279,-2954.495789473234
-2051.415868695497,-7744.333518702878,-9797.7724169995,-6267.305656018051,-455.1581995015264,5447.121132823346,11427.589895103376,15339.775373369223,13889.100156376024,8837.154885003867,3556.4810206451166,-1596.9876154364629,-6212.881302561108,-7674.41611667158,-5611.578427633458,-2915.5533041618455
-2500.6387153665814,-7956.677571297362,-9724.896790145907,-6141.71687967548,-499.9237123881633,5251.600465234079,10953.74217918147,14101.683315392122,11925.133212869872,6846.988369056638,1749.3561808617612,-3299.32933913685,-7408.416400785424,-7949.508786649986,-5513.937853730786,-2876.4584599530726
-2717.5656523893654,-7962.254372959992,-9500.093460069053,-5905.1446333572485,-428.8006385106691,5178.467058565389,10555.689485594423,12905.506547724119,10104.11705022043,5065.920470739669,124.90889274037465,-4797.20133384137,-8316.873696382861,-8051.208652446072,-5409.380965990888,-2818.1929585060825
