t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
977.0449999999997,933.8499999999998,895.5599999999998,862.1749999999998,833.6949999999998,810.1199999999999,791.4499999999999,777.685,768.825,764.87,765.82,771.675,782.435,798.1,818.67,844.145,874.525,909.81
1762656.9650081538,1561916.8090475472,1363631.4597603593,1169173.9784325946,980089.1456081906,798139.0667358394,625335.575605955,463952.18701139215,316505.9874806631,185697.43644307248,74293.95108254085,-15058.10897122595,-80108.16322838399,-119375.27969601653,-132627.61835806273,-121463.53659931823,-89974.97303411644,-45452.72922350603
1750893.0579404642,1596222.6950367591,1438464.094611354,1276546.6270055142,1109991.3673118718,939132.3340574774,765337.3274842022,591201.8575663677,420673.1643595369,259044.94820669395,112751.52687495296,-11110.765026826042,-105588.80168465973,-165012.43432321222,-186397.50177371028,-170929.91970861956,-125220.42001349614,-61905.28675335521
684458.8342440062,675825.5594420054,661038.8961108543,637133.2364479537,601391.057946085,551600.8579479016,486436.55405158695,405940.47033132485,312045.9554498151,209016.73312854554,103620.11403745097,4814.208639931324,-77249.36897244713,-132987.8918348756,-155758.97146732567,-144351.71874163963,-104771.51432355752,-50322.82889278618
17956.598137858033,54149.28962672263,88142.94388365821,118438.9700588452,143148.02272302794,160018.90220089338,166627.2574712831,160768.29270129892,141062.47959112056,107710.04831647054,63220.55127514714,12824.436324075199,-35796.28543245501,-73756.50062980568,-93219.48255921826,-90191.40326365441,-66850.44021373331,-32096.480344409796
-44560.892792265695,-37521.41703839054,-29727.456696913276,-20953.196699832977,-11184.981386226083,-733.5405843402416,9650.630433927505,18704.74825790835,24701.39825814031,25712.681822019113,20163.57249523923,7645.023347395905,-10237.87499700944,-29443.321344247714,-44076.992821009706,-48339.28783719878,-39472.51237078125,-20318.319554425423
33892.333754296895,23599.883279902086,13160.790989892797,2779.8394492644056,-7015.995726478,-15338.328213362753,-21030.435648460272,-22972.14945075258,-20617.686638618343,-14634.432720436074,-7291.520092499183,-2103.7672749909857,-2409.1097972357798,-9213.121742466426,-19562.05279227962,-27145.64729476461,-25859.698303259884,-14629.169596317815
43050.20356813559,37448.01054899296,30383.342097654022,21396.641148968087,10470.416852698165,-1715.6842533401789,-13610.501513801872,-22912.974869274298,-27210.08839424452,-25147.072294578673,-17690.891642456532,-8558.599596137607,-2883.6305712428193,-4178.720747853005,-11358.852128125824,-18569.26923570763,-19117.000857654817,-11119.405020143557
17546.056431388144,18499.823232087765,17937.000141153785,15148.713048007465,9673.034799780125,1621.2095362818088,-7965.4821423345875,-16987.403527219147,-22733.00861624681,-23067.911945669162,-17971.50208984494,-10333.031217300975,-4830.3588187348,-4901.50597661883,-9816.774340406539,-14713.340950721537,-14414.41771912423,-8051.366763429129
1140.733605637199,3668.837505834657,5149.394923887937,4991.520612900038,2702.9424502788465,-1822.5027894484163,-7946.743445972147,-14102.653207394533,-18130.692294043187,-18305.781280834322,-14645.458154752085,-9450.846882966056,-6132.188824694694,-6692.615014565924,-9888.591286901763,-12083.915002903996,-10423.521773703658,-5383.003641634709
