t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
2012.0,1870.705,1739.22,1617.545,1505.68,1403.625,1311.3799999999999,1228.945,1156.32,1093.505,1040.5,997.305,963.92,940.345,926.5799999999999,922.625,928.48,944.145,969.62,1004.905
-7398859.227063766,369840.3842570017,-80224.63534948729,-450419.18188191945,-735727.2412599038,-935432.1105069087,-1052561.0196460595,-1093343.6609829457,-1066714.5832028694,-983861.2847562183,-857794.311965324,-702893.9937871483,-534371.9103598918,-367575.3830158589,-217062.25395991118,-95383.55427648287,-11536.205146697264,30910.612562855415,35951.4901383398,17400.219552065202
-4032792.776108818,11213.861737258436,-103895.84047392049,-271427.40514428786,-462307.49195036234,-648580.876897016,-806462.9341671158,-918101.3545311905,-972355.6705936857,-964940.8558842118,-898204.8972625593,-780670.5824356329,-626315.5380908534,-453433.4481600499,-282851.7548609574,-135312.4393154599,-27980.47673410298,29662.257416457516,39879.90512444605,19621.67234221968
-492207.3613601293,11449.516076413194,80652.98812308005,87980.56859767516,36688.71890814274,-58506.43061860861,-176918.31652465262,-296809.2281106835,-398924.6141908786,-468612.28025049466,-496909.95313097467,-481041.21010520606,-424568.35100164224,-337150.2350161318,-233584.81334691116,-131715.79506572755,-48964.33728945548,2241.5242049979142,19108.802054045114,11432.282954495637
-198200.8013629895,22953.883713730003,88456.20677981623,133230.7160998046,143509.88594258623,117697.33329021427,63524.88628907661,-6555.903806602746,-79463.40248668686,-144037.48807628185,-192088.44344452373,-218527.37912139573,-221244.46405302166,-201169.33986600785,-162549.5357064912,-113051.80778054481,-62997.6452238745,-23112.4119807193,-792.4112170071305,3967.9445054725647
-287498.08162577864,-40486.95846932351,2152.567906601187,44069.62948263524,69450.35076659059,72175.52980807303,55034.948875636044,25563.486327283972,-8277.73035124444,-40727.423818053925,-68760.05185225491,-91066.04536223545,-106462.12632862029,-112846.6133899031,-107594.07474059076,-89543.93402220217,-61514.289155213,-31184.586073558654,-8377.078650154686,984.8668582061214
-150048.1971914184,-48451.4598553131,-21361.376306352962,8578.376757060287,27421.681033129356,30002.17355836306,19428.47128440998,2721.7289949873752,-13713.829568374304,-26747.172229786178,-36817.34169575283,-46269.664165791015,-56678.60185465194,-66610.42082166193,-71459.46798618739,-66164.85277995806,-49562.95065069106,-27021.210213519073,-8111.994228021551,306.2981533202271
-57612.93044247495,-29342.182489654908,-6369.622141276597,15708.383855572,25205.015728210514,20042.02128244687,5468.176961862827,-10921.561405650762,-23307.639757792298,-29667.73170781968,-31745.762186329193,-33339.16038599338,-37528.93744654413,-44123.61134350715,-49110.722359215135,-47203.566185654556,-36264.74188649779,-20055.166135674637,-6160.324691929898,34.73302544968402
-35555.84785841046,-11973.375119937014,12103.737844512327,28080.913077605157,28717.3623789715,16543.15263246861,-1199.1186897700109,-17411.280363903134,-27752.260003874766,-31356.6796012706,-30377.967223182986,-28589.89091940077,-29178.483940182214,-32540.695843934336,-35666.976476098665,-34211.892016340455,-26226.83015183158,-14426.644138896185,-4440.853708951689,-111.00221668505301
-29783.609221641687,5438.48454223648,26010.879882281046,32001.748877499474,23552.9956814224,7218.49295202935,-9840.143917062069,-22713.69645739121,-29277.991423609907,-29901.154164529853,-26969.448622888107,-23931.559227018875,-23526.244395859052,-25855.587302680797,-27970.029595691645,-26051.15184232318,-18877.874530203528,-9360.113377486225,-2242.920549614116,93.00616366195104
-18075.617267831316,19791.08649094449,28972.77075463383,23805.993094249927,9894.101745106074,-5858.280033274367,-18562.511383942656,-25781.743072133697,-27127.44425494027,-24098.06999568222,-19809.531834626596,-17705.566019150767,-19270.77404358598,-22488.876323401335,-23118.98935642859,-18429.010314268227,-9973.034454298537,-2353.127975586786,955.4691464920711,452.89120899857204
