t1,t2,t3,t4,t5,t6,t7,t8
363.91999999999996,340.34499999999997,326.58,322.625,328.48,344.145,369.62,404.905
-4426.893991331581,-39.98603324095333,-332.9724477487822,-316.7436562497785,-119.46814201299043,135.28110369365177,340.9050532914515,434.50706230174154
-8793.115132554762,-418.8796669210938,-964.6698518389651,-928.7467305273522,-550.7469638079934,-68.22482646120886,310.15890062416855,459.71083539501296
-12374.094245900313,-779.0339538022707,-1533.7570718233676,-1481.8706343008544,-944.961172933559,-257.2410070674224,278.9797738284483,479.4931598267241
-14929.904332659984,-1102.1905155223626,-2012.0219613617423,-1950.8725481868469,-1285.4512476568193,-424.0638990984354,248.84323080416934,493.0763648728607
-16366.653476470974,-1371.208902239833,-2380.5221880317135,-2319.025952627245,-1560.6770047815794,-563.0383963600764,220.95398476893382,499.9599178067557
-16731.75522873928,-1572.5510712842176,-2630.8866579077394,-2579.0299110013534,-1764.8334211861147,-670.8837526584744,196.14517020487702,499.9262302677298
-16184.364836908348,-1698.4411599719185,-2765.083424021741,-2732.577933832478,-1897.688750452724,-746.7090228095112,174.83622133004945,493.024578443681
-14951.56973913738,-1748.0570824484369,-2793.857182400272,-2788.8413785323387,-1963.7793106947743,-791.7580674578951,157.04834833286324,479.5387940639154
-13282.302948412871,-1727.442344033165,-2734.26976518052,-2762.284286139289,-1971.1879386580754,-808.96353950805,142.46644728606907,459.9447737238205
-11408.74015032365,-1648.2323213653333,-2606.8759623097712,-2670.2676414744587,-1930.160970612732,-802.4056270393988,130.53021577165137,434.86328974319395
-9520.698893776407,-1525.6030316174558,-2433.0316458701577,-2530.8370108446666,-1851.789194190019,-776.7658689317494,120.5358294735475,405.01251992088646
-7754.094753330253,-1375.9798113020138,-2232.6982952816743,-2360.9593822414095,-1746.912380703837,-736.8455382361974,111.73201285672447,371.1635344134264
-6191.164017099813,-1214.9890645839473,-2022.9331083359125,-2175.3298233858986,-1625.3292752724128,-687.1904146745941,103.39918158433292,334.1009211885772
-4868.484946808487,-1055.9645136651716,-1817.0889493176187,-1985.7436333343967,-1495.3254068865995,-631.8368896287326,94.90586863641616,294.58987600895193
-3788.67231848135,-909.1159213231346,-1624.627517386033,-1800.9451913049245,-1363.481401809146,-574.1733110556986,85.74152782877059,253.3504033665968
-2932.449113002236,-781.3008620223094,-1451.3845475728344,-1626.8242167513542,-1234.6976617881005,-516.8973348940373,75.52826349073874,211.0387111445631
-2269.0174504637907,-676.2420991171805,-1300.1121852824758,-1466.8257558108526,-1112.364157672094,-462.0444525160195,64.01585687464464,168.23539307198982
-1763.8049837806766,-595.0056963695205,-1171.1456811647956,-1322.459047027139,-998.610574533464,-411.06306590230065,51.06486195866005,125.43958073740549
-1383.5134483902984,-536.579560073155,-1063.0816115043312,-1193.8197950885285,-894.5857159270853,-364.91530432730855,36.621967061399474,83.06795000942655
-1098.8875626355273,-498.4434469696667,-973.3978686864016,-1080.070621094299,-800.7308233592387,-324.18825440347507,20.690771690250273,41.45734053646777
-885.8126401485705,-477.0767027179022,-898.9813850088818,-979.8497744779058,-717.0260432843071,-289.2059474151409,3.3000859643818856,0.8698385820504768
-725.339294120388,-468.39248793251556,-836.5526631152351,-891.5962860614675,-643.201133750059,-260.1373542784335,-15.528773657655849,-38.500499468149876
-603.1211717836882,-468.10720726432055,-782.9857273048619,-813.7908721524751,-578.9102955369056,-237.09915928327837,-35.81412616356099,-76.5195708882521
-508.6088938958806,-472.04806246497134,-735.5206211528567,-745.1178882492944,-523.8769735765494,-220.25373900589284,-57.64291844975414,-113.10343057923518
-434.213053928407,-476.37413146246314,-691.8584312481813,-684.5569859780063,-478.01786802519314,-209.9020963666582,-81.19202684895039,-148.20579018305048
