t1,t2,t3,t4,t5,t6,t7,t8,t9
397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-8631.635917284695,-6511.350821957219,-4540.9133525048555,-2801.397316583489,-1373.6912684972253,-333.2934181854957,263.93195126537245,412.9340656593673,218.92005498404177
-16727.915021788252,-12681.283304437846,-8904.349905227475,-5547.557413234975,-2769.113965426192,-724.3757023585829,465.17800664863796,778.5855376097419,416.92970121102604
-23119.602907232103,-17645.348774694405,-12491.540515550618,-7856.779981336406,-3969.1230118096696,-1070.2275485275236,636.4423182033485,1095.1396216788962,586.0433306220292
-27329.5016813691,-21051.504683445186,-15063.792799487137,-9586.126049825847,-4904.486051686358,-1351.472069394031,769.8544826597472,1346.8007533072043,717.0099430437234
-29228.272469251337,-22784.642957475502,-16527.488557737444,-10669.44117658218,-5538.0219715549165,-1555.7548661931132,861.703105914836,1524.7036826923486,805.0304821399887
-29009.199454844296,-22953.58850072122,-16929.453380705603,-11117.072741466352,-5865.619815230578,-1678.4779702325875,912.3280158527082,1627.0936838808393,849.7984780945596
-27101.72364858894,-21836.81475908935,-16427.437310867193,-11002.700962586077,-5912.023080746832,-1722.396234861602,925.4280534647589,1658.5049256266184,854.8630878305158
-24054.90069849593,-19806.344706206088,-15246.266832125486,-10442.026705400225,-5722.956805018399,-1696.2856788166937,907.0031383835385,1628.227255576005,826.5382474156013
-20423.824691417845,-17251.136354310456,-13631.73338721169,-9569.062894986942,-5355.679145278463,-1613.0397838614924,864.1842435307275,1548.4370569001912,772.6348980394824
-16683.64889470369,-14516.517529731595,-11812.129060049687,-8515.075004209077,-4869.942986233869,-1487.5963925057872,804.1723343224479,1432.353929180402,701.2704052069248
-13182.358372454686,-11868.002458186378,-9973.036454973631,-7393.396871851316,-4320.810451865369,-1335.0507112224204,733.43114837456,1292.6969813911373,619.9333529890653
-10130.614406291492,-9479.600956270966,-8246.382214107174,-6291.212481516552,-3754.025691726133,-1169.1992119768922,657.1899620316633,1140.5920262340724,534.885751171352
-7618.620090226411,-7441.014783092363,-6711.298795536973,-5267.622083004155,-3203.961477400653,-1001.6253410667416,579.2374676976092,984.9620546483538,450.89804432564546
-5647.123485204121,-5775.775019266585,-5402.626061420661,-4356.265162506476,-2693.6717872142976,-841.3173054378314,501.9411362065209,832.3439811864241,371.2533744042412
-4161.238442815471,-4462.887319484186,-4322.786513394948,-3570.4815312190667,-2236.357228604511,-694.7238603754306,426.41006469702245,687.0249709677767,297.9311881458902
-3079.590464913027,-3456.6935872163526,-3453.710453365016,-2909.2563924759475,-1837.5472737258797,-566.1130065290406,352.72659011172317,551.3786410008021,231.88114463570193
-2315.39511840944,-2702.192047643352,-2766.813227929139,-2362.7368835074603,-1497.4416790300606,-458.09486801757174,280.19250802120547,426.29438922691185,173.31605669698072
-1789.2182778932477,-2145.1485450490522,-2230.2409027774247,-1916.6841212196075,-1213.0467589436553,-372.1907321060012,207.5598644849352,311.6194151062258,121.97681139156936
-1434.9517734906428,-1737.6417156369548,-1813.4540762776344,-1555.6869123437211,-979.9247822795901,-309.3611029858995,133.23725251098972,206.56204476197593,77.3451154811633
-1201.142878488482,-1440.2502937396803,-1489.6732955743553,-1265.2564740753037,-793.5106359829831,-270.4354807917044,55.47698214960394,110.02992502660115,38.7973704785371
-1049.664013222279,-1222.1342459414054,-1236.8475611182637,-1033.057377307737,-650.0289709183264,-256.4091053358813,-27.44438111033692,20.894450253489303,5.703943414358584
-953.2173378967135,-1060.03255997752,-1037.752003664467,-849.5511230781036,-547.0740000450162,-268.5856409905928,-117.03914872198817,-61.816778638410234,-22.51655866289368
-892.6294457903911,-936.8906250434117,-879.6787585035486,-708.2820668756627,-483.9073680331275,-308.5520499835473,-214.40734846069748,-138.79314576560952,-46.376990275453316
-854.4534129329018,-840.5486719949973,-754.0261403041718,-605.957696252916,-461.5030919975419,-377.9773517119711,-320.0224359351834,-210.37284483680463,-66.32512758952292
-829.1010564182436,-762.7108839932117,-655.9492405065923,-542.390447259118,-482.3374125974847,-478.23602545572714,-433.5168010016323,-276.52735427576954,-82.76234837579683
-809.559263351238,-698.2714076172401,-584.1192240558544,-520.2905917144659,-549.8987556589948,-609.8741264036092,-553.4924368928354,-336.89366377822586,-96.07069579710091
-790.6596483396853,-644.9789261946017,-540.5467081257002,-544.8393558879056,-667.8904498534547,-771.9639568368777,-677.3926715202814,-390.8493585221018,-106.64279436672757
-768.8290486406847,-603.3540474935872,-530.3537910148764,-622.9386891016726,-839.1252769389919,-961.42953579867,-801.4762987342311,-437.62408472218453,-114.90989141507204
-742.2181443063884,-576.7194340775261,-561.3325592135424,-762.040881058518,-1064.1700022483096,-1172.463191741609,-920.9325719362901,-476.4378455311609,-121.36371555962828
-711.0698092622858,-571.1592386495148,-643.1159552798755,-968.518255703338,-1339.884378871301,-1396.181489445957,-1030.1620525453338,-506.6526467784758,-126.56811901263663
