t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
756.3199999999999,693.505,640.5,597.3050000000001,563.9200000000001,540.345,526.58,522.625,528.48,544.145,569.62,604.905
-94214.60133287316,-76991.30759670897,-60469.16763386996,-45015.64724549294,-31009.732207923316,-18838.615443030176,-8883.55117304613,-1486.459488821451,3114.5821135677593,4896.417032208169,4227.135237005995,2128.4090396696934
-164568.16434261252,-135582.64344384166,-107522.19319615193,-80936.91343326613,-56464.898435575684,-34837.02774670969,-16849.620347189553,-3284.7844606376293,5246.2685794253985,8562.302950071746,7291.72859924416,3371.5454085950023
-195963.9532110043,-163647.99468908474,-131818.78840223543,-100936.93339744241,-71700.38395773734,-45080.244382317076,-22293.337496109292,-4670.074008595367,6626.813482045458,11062.129005829804,9351.582968226026,4151.367557491492
-188817.25720833972,-160901.00138329115,-132588.2535784353,-104024.0110140866,-75755.16614665765,-48826.35782461471,-24785.409451195046,-5519.510529749798,7158.335365817325,12206.808996204396,10253.423344674435,4415.941853061587
-155184.49160755496,-136100.9064833603,-115719.95005626592,-93783.20974008787,-70534.0135869982,-46895.60932411709,-24553.428106947602,-5808.943879323755,6933.7813145036225,12097.723589534293,10099.017838731581,4235.472537344676
-111241.49156146875,-101578.17635833356,-90060.45488911502,-76087.68978964277,-59549.30645877916,-41086.91275897065,-22286.214184252694,-5606.159068064279,6169.942856937773,11039.89170689762,9163.480540249268,3753.283749563525
-70277.70998919696,-67928.15866337053,-63637.46722600699,-56616.01940051271,-46451.79174069081,-33432.66060363448,-18850.165914418736,-5041.997681714806,5120.425591212925,9418.738291100995,7783.032181691101,3126.15298568425
-39354.224039708075,-41258.204058421805,-41505.751033073546,-39285.105663437236,-34001.19977901194,-25617.356907713664,-15039.027163533998,-4270.983733167563,4005.066675616037,7591.567009329344,6259.45881156025,2479.979455120441
-19724.50722305993,-23219.74824379791,-25512.19531575913,-25890.48696227193,-23709.594114554213,-18709.89735453232,-11428.073717431744,-3435.301947160082,2973.6936056071613,5823.005204978629,4806.951803683875,1891.5188184047372
-9202.92999025572,-12611.581942180006,-15257.51005037521,-16587.42327607702,-16012.850976693462,-13177.20588489699,-8339.807645207962,-2641.910527814756,2102.2881712808066,4267.317009617003,3541.9849288912624,1392.1205047271042
-4574.604896395949,-7168.033915469376,-9323.90582573663,-10649.392801482398,-10673.865231262822,-9052.978993070135,-5885.963309647941,-1955.447674197199,1408.648944685862,2983.409207108353,2501.4709217811987,982.4930268838898
-3075.596340507389,-4753.958739817297,-6183.117136055452,-7100.550761764451,-7171.7846440416115,-6136.721558684263,-4040.1934491255147,-1403.595458005676,873.7737312935827,1964.0785008387384,1671.480243508711,648.4740507012823
-2896.4007157224705,-3853.802921427009,-4638.678365694659,-5077.731736782442,-4961.80305252346,-4149.36426687458,-2707.4223562347943,-989.0139330435627,460.03891146261054,1165.4274856729025,1013.8277107537994,372.4251739590335
-3092.767133634364,-3590.0408549361855,-3919.033733513009,-3957.639977338235,-3597.956496302081,-2824.84729629504,-1774.0696787329407,-702.5957922956927,122.92284075255904,529.408411502665,484.85413838790134,139.23478754693815
-3293.558615180309,-3547.767798199322,-3598.926166634532,-3347.2999998243795,-2761.6493671643993,-1948.8499519981046,-1137.606214979755,-534.9313659411067,-183.14389566939292,-1.8696428625733432,45.97881110761866,-61.738459476734405
-3430.4199112950364,-3582.5145875881644,-3478.544218840399,-3022.7683903363595,-2243.7138680533476,-1365.8010371527726,-720.9778402020247,-484.868413616271,-502.5614953650691,-478.3885038277578,-331.9063144639063,-236.94428985125907
-3561.653392991545,-3680.7791301748534,-3481.869184125215,-2864.6800922592065,-1913.2220709720016,-972.6335322904479,-478.73830564046546,-565.0407115071777,-877.5042181515972,-938.4934958632896,-667.7178831087328,-389.75237992848037
-3781.28942397873,-3878.4695264316492,-3588.888546993138,-2809.1539942877985,-1690.1845550852536,-711.1199965990946,-399.8815007847059,-804.1448112070802,-1345.9562520447887,-1407.077584152595,-971.2577145735222,-521.6521337464706
-4180.174846206598,-4218.863475793409,-3795.5641815942327,-2816.5925799512675,-1528.6806027764583,-564.4743957992606,-509.28404730426763,-1244.9819924510555,-1937.4488775908262,-1894.4811721913911,-1245.0224572729028,-633.2733232633739
-4829.39572093026,-4730.536939637394,-4091.4276486468334,-2855.7737812117775,-1411.7171609698587,-559.0815248672923,-866.3641187563545,-1936.5565446624908,-2666.0649735380157,-2395.8758015062126,-1486.3194605566293,-725.2048315414268
-5767.438187493302,-5412.634352791422,-4448.021538421345,-2900.8079351998226,-1356.4112128594113,-768.0046364874044,-1556.7664694263528,-2918.710086787573,-3521.6275710610616,-2891.6585971843333,-1689.6026635556777,-798.6613581272726
-6983.239332796225,-6222.959355381211,-4816.347290214508,-2939.519149778946,-1425.2047132410933,-1308.91899259187,-2671.7676509133685,-4199.688390532997,-4461.6252867289,-3349.758607365882,-1849.01715107964,-856.0253181443625
-8396.440311259097,-7071.252305967035,-5134.874101169826,-2990.6941602569104,-1734.5543416058003,-2326.47113238272,-4272.347241278417,-5730.884642275474,-5407.802379076319,-3730.6050890521387,-1961.030026552087,-901.2273432152128
-9843.784932518138,-7824.304035829918,-5349.486597607542,-3123.3240680230338,-2448.224663081117,-3950.6515849722896,-6341.693244206568,-7387.66359418748,-6251.5296216917895,-3994.7937906484663,-2026.824790546177,-939.8588627203351
-11085.106393447551,-8329.332867307652,-5442.027806705178,-3465.003949892382,-3742.023558456125,-6231.614310428949,-8740.127803833651,-8967.955134932263,-6870.228026301786,-4112.380462795263,-2053.9519695381578,-978.8659540881245
-11840.333185959196,-8455.758964862785,-5456.264503431584,-4183.787746458063,-5735.462220696956,-9067.235588125459,-11185.082828472665,-10217.939690353589,-7153.201743472265,-4071.6470834863585,-2056.6677083568416,-1025.6918311344239
-11857.930593740126,-8144.376410079246,-5504.120719808639,-5434.123559985633,-8404.60178253238,-12155.8641769498,-13278.287961706956,-10885.105277867124,-7030.542931708655,-3884.674075713877,-2054.5407380780707,-1086.849025492609
-10997.5678518007,-7442.726097009419,-5737.7557883452955,-7275.4591785269295,-11512.015313306007,-15010.920614646575,-14587.558644906925,-10785.804752504915,-6495.658625646239,-3587.5319648073514,-2069.292092087555,-1166.1143222593973
-9294.639255745964,-6504.64842680028,-6288.038062294483,-9595.048137789414,-14599.102449788812,-17056.05642442782,-14764.717593105306,-9863.884924398826,-5612.62685171087,-3234.3917502137438,-2120.37667861752,-1262.7929408279515
-6973.378929403923,-5545.486229399134,-7191.7532617900315,-12078.916435189685,-17069.06798451403,-17782.01600650597,-13657.480918052255,-8216.285231448055,-4504.478485293822,-2886.842857931026,-2220.3398421043194,-1370.6724427297268
-4394.252509600697,-4767.434930111003,-8344.381614476242,-14262.370313459382,-18346.97674951599,-16908.435273445128,-11367.84825916004,-6073.219846571952,-3325.655319763361,-2601.3703982220463,-2371.250597675968,-1478.242522826523
-1952.2973711021139,-4288.100500553372,-9509.050737560914,-15654.302704467213,-18058.333349152603,-14481.317606077184,-8229.708461578013,-3739.479277203781,-2227.835464264019,-2418.536314861059,-2563.348708552963,-1570.4263101356107
32.198290549660584,-4105.749964381565,-10384.960880995943,-15888.22864346429,-16149.868954639973,-10862.421027129358,-4714.45433464307,-1519.3075192441713,-1330.1332906169177,-2356.680169284775,-2776.438798262303,-1631.5337479882883
1386.8128532988794,-4115.252940187724,-10706.314414915578,-14835.08509750246,-12900.822205459019,-6617.296697692664,-1304.535045840576,348.23718046313013,-701.7950158954949,-2411.277824475642,-2983.7246002937472,-1648.6360074617726
2100.89700309462,-4162.011718080276,-10326.960077305386,-12631.546421290483,-8826.023765161499,-2353.6589990762222,1616.299705361419,1724.710274021449,-359.8544435674712,-2559.243243664834,-3157.0312336107613,-1614.334152272375
2286.9870655230643,-4104.547569180744,-9256.281512015925,-9620.43698759007,-4520.272256946759,1424.327453095427,3822.775133874889,2574.438783818543,-278.7992205994102,-2766.174192180537,-3272.0059333664212,-1528.0918947069556
2116.856139971987,-3858.325399183492,-7639.285605712798,-6238.920773406181,-509.78596231501854,4400.175763457621,5251.623379672836,2942.0530677785337,-406.3658037226221,-2994.18678223017,-3312.0263364647526,-1395.8366884417705
1761.676613658171,-3408.729076544981,-5699.488640576228,-2904.2102556746804,2841.703892099849,6457.633186390767,5964.826702642326,2919.5233926511896,-679.6082678722792,-3208.4466266854483,-3270.0686153046304,-1228.1459880084565
1354.23634773268,-2797.733363887818,-3673.4761958204626,65.79138864074419,5358.931927690854,7640.790131310007,6096.923328582367,2615.105711572096,-1037.3690012277975,-3381.3821979897516,-3148.4492493441285,-1037.748039451383
976.27860255302,-2097.706430151149,-1760.3033341981711,2483.9851268301586,7028.289251443221,8091.870418598901,5806.561835934806,2131.1216000543945,-1427.7355915187927,-3494.4324646762607,-2956.908689707882,-837.136312036281
664.0526308157879,-1385.533441344776,-95.6578076936986,4285.545240804114,7945.048822945308,7991.925677431792,5242.717242444244,1552.032659644685,-1810.92020936524,-3537.7765367119055,-2709.8073773701685,-636.8678979980682
422.27628435598405,-724.8330173087213,1251.1131265647664,5496.677220760685,8258.405798624666,7517.882112700441,4527.103155885133,940.8814429710742,-2158.888847097895,-3508.7628215458776,-2423.2328465615506,-444.7556489379333
238.74254461220943,-158.08269904278472,2265.1658598436943,6197.379009311736,8128.356938146015,6818.673568468414,3749.2782431592764,341.0415126367631,-2453.183904872149,-3409.775844747359,-2112.6379170167697,-265.84657758687985
95.5036508266974,293.4345048260068,2968.380258501619,6489.284528849839,7698.911248228235,6006.948070238179,2969.5450472726434,-219.46865375631077,-2682.1055338723777,-3246.161054428109,-1791.3470461459906,-102.9047980191367
