t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
878.9449999999999,806.3199999999999,743.505,690.5,647.3050000000001,613.9200000000001,590.345,576.58,572.625,578.48,594.145,619.62,654.905
-182523.51523862805,-151923.0856643493,-122374.02909313355,-94428.60396737941,-68661.45135198702,-45668.60372537475,-26054.477444759617,-10398.062333484828,813.9536044814857,7302.991959746256,9182.395503083837,7230.338522461358,3272.7195024350867
-304459.18272895814,-255893.4611443044,-208476.47533262058,-162927.943784142,-120122.53101015546,-81112.03982101727,-47109.4851139056,-19411.415801088842,770.570410977286,12599.248373848297,16044.705641700673,12462.130356916505,5276.0927269537315
-335962.9117482276,-287218.8811389666,-238583.53666371768,-190442.41480469867,-143559.99271638657,-99166.26585397871,-58974.22611082413,-25074.419442407914,355.97326043596536,15580.918519475745,20075.610338927192,15451.394990752044,6309.25848710558
-290127.09708546364,-254703.21056686214,-217883.60719669182,-179419.19346509848,-139618.90111605273,-99537.89767404905,-61089.82741142192,-26979.136224385373,-327.8728512959429,16098.9640532471,21047.188293640185,16059.809480959322,6361.504377781699
-205693.94158862426,-187964.3477949987,-167757.40340899507,-144228.8019447924,-117101.68600102894,-86961.66538878741,-55515.07011722858,-25647.416882036123,-1066.563985913126,14642.226159081187,19508.185710205842,14771.679895299398,5694.052551557199
-121411.59938593414,-117969.177534183,-111839.39166761306,-101868.88611215478,-87303.27080052572,-68149.32828391864,-45578.65525871696,-22165.935022410802,-1654.35692958084,12021.72899673255,16421.77159941271,12376.287307976912,4669.502930024108
-59491.42757779427,-63755.54738511524,-65850.4550981878,-64644.570364234714,-59157.555909754534,-48921.7681714688,-34469.421288149744,-17731.239928475487,-1980.0827659316603,9035.834745460052,12766.579833932523,9635.652278271964,3596.1891888789028
-24028.075371152907,-30293.633034529725,-35190.11914087291,-37826.73690272786,-37255.860919917875,-32771.19548790863,-24385.681996980486,-13306.955973733042,-2042.4631396413954,6259.382578824902,9272.192946514484,7081.739790252923,2654.4341531910063
-8523.899109943715,-13642.130091161238,-18082.85359370931,-21260.087433334764,-22428.309671420528,-20886.394727499774,-16366.085895439941,-9478.927602464451,-1912.446635911915,3988.850035291212,6336.501103276122,4972.611563783842,1903.089492775481
-4116.582119592453,-7206.370937680363,-10031.966939337652,-12264.181754818972,-13415.323085125554,-12954.149459173004,-10564.47787916282,-6479.214259744115,-1682.0926641828385,2294.190873882487,4075.7008136975396,3354.05743561344,1325.9854960522377
-4134.822296880519,-5548.60770091134,-6851.601884463107,-7878.936102110087,-8371.884221339928,-8032.557806204426,-6653.49395304884,-4296.0815513158195,-1429.230507382538,1107.7358009501322,2427.8534110391497,2154.084465031201,879.1250748958859
-5030.112897443294,-5468.373357967377,-5787.752772161923,-5900.28621580373,-5708.490577697912,-5135.138151306212,-4151.138798280053,-2794.4006016298254,-1205.945199409618,301.87413862136793,1250.556943973823,1261.499617249996,520.0484291827415
-5520.836240579067,-5575.390420242021,-5435.657004838779,-5028.753932044427,-4347.85504459879,-3487.7325193872466,-2607.0759910723436,-1806.1704874501015,-1044.624519568459,-262.34109221246723,387.164916442528,572.2646131942053,218.99010547737453
-5470.232173562041,-5504.024694823782,-5257.078329192989,-4635.315011350401,-3667.6254422581887,-2569.8541949897226,-1673.5488424550326,-1183.6425830352505,-971.8209060846266,-713.0687441781017,-298.982462031109,8.183080650285518,-40.91195104339306
-5132.883061552253,-5318.296292371147,-5144.767893946176,-4477.933440342699,-3348.71904237652,-2062.1044719537317,-1111.891771557271,-825.0242999814092,-1022.7739399637626,-1161.684352584179,-912.0779964446311,-480.82055644446734,-267.4256919829438
-4809.6635532206465,-5200.276444553784,-5157.282691815065,-4496.128797274419,-3238.2505501093756,-1776.807108702739,-777.0962719794134,-686.3275035992756,-1252.5012335563897,-1702.5681153031737,-1522.1140792602555,-921.288471342466,-463.205962965765
-4752.061869359009,-5332.6839342434105,-5392.230581575892,-4691.974385330726,-3257.2370888827786,-1606.3611855697002,-605.4452252672265,-788.5004394941855,-1740.2162544873568,-2411.134542146796,-2166.420862484281,-1322.3073823444531,-628.7125051462685
-5167.36157390553,-5870.165867914082,-5932.7974166891545,-5067.699296196254,-3349.928877674657,-1499.874023003096,-615.0603194385101,-1221.1050294688844,-2582.7659973262826,-3335.9050481772556,-2851.2002324268237,-1681.133427103308,-764.1392199343838
-6236.617940054128,-6929.6094672673835,-6818.8178879238085,-5593.295977884442,-3466.7859603179845,-1468.4729530648408,-916.7364157317967,-2135.139558532884,-3872.035200100788,-4484.159933326553,-3553.1312689020488,-1988.2904439285594,-870.7727537754229
-8103.457214741718,-8565.461567053282,-8019.552222113254,-6193.636355933241,-3577.807036025201,-1612.53345342211,-1719.9919051869908,-3711.2456309191607,-5653.943159185308,-5805.151984434342,-4223.136842696765,-2232.6358875914943,-952.0866085275828
-10819.26538485409,-10722.712340675082,-9408.538383391004,-6759.24427753929,-3713.4171160914752,-2151.9301144655024,-3307.901444512663,-6090.86471617048,-7875.0597393795415,-7179.328560907119,-4794.830529443336,-2406.6443599966806,-1014.6234349449894
