t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
1011.3799999999999,928.9449999999999,856.3199999999999,793.505,740.5,697.3050000000001,663.9200000000001,640.345,626.58,622.625,628.48,644.145,669.62,704.905
-335943.2859956159,-284001.44423041504,-233567.6656607804,-185438.10382931618,-140448.9612417689,-99479.66952798728,-63442.46601022145,-33249.0565612197,-9741.52285151778,6429.010928950564,14995.640502925002,16362.525871761869,12006.615243690003,5011.521004979994
-529888.0091049722,-453264.8461774737,-377878.8394428455,-304577.6496226856,-234462.8717583736,-168941.36168134393,-109732.45354419567,-58802.81522848626,-18193.669431250386,10297.187632374349,25608.84935196442,28093.801753304037,20341.314316876626,8044.049417764402
-531641.628337166,-464634.00649626175,-396853.9467353703,-328377.2645878018,-259829.6663408338,-192548.1386909543,-128677.13384198587,-71131.73716140533,-23341.54051851798,11308.878653342177,30385.11067981823,33596.21889953032,24055.54290811772,9185.899272040102
-398750.9883184556,-361039.617799779,-320439.64727753896,-276006.6143648493,-227463.23837203332,-175497.38723236468,-122029.46296169596,-70325.94153321012,-24785.04646355758,9783.074789549983,29464.133007990557,32982.41257038306,23363.83323801897,8641.64148733176
-231599.03779946046,-222318.56534733198,-209375.86606936148,-191206.5113455282,-166728.63295672572,-135729.93762607014,-99321.17295969016,-60291.5211226579,-23095.04032103079,6838.712997275584,24636.53441228513,28126.764556107977,19777.16259624112,7124.608057694877
-102946.96759225184,-109604.70678057657,-113291.73965272457,-112453.79991920991,-105665.97442384003,-92006.30704278336,-71604.80774908265,-46208.60052864042,-19438.520309161708,3681.54236622064,18196.31601744269,21455.08695627256,15111.781812259771,5376.137959937622
-33346.32460372193,-43569.97289595598,-52129.90879852514,-57907.62640852207,-59623.41408734313,-56104.15678560674,-46782.57420944017,-32322.727594113647,-15072.547448779082,1106.3547526275197,11984.008372807315,14924.912679042673,10720.105488268906,3857.6357122473555
-8307.541362332728,-15608.095382602249,-22314.669269120805,-27826.852189692847,-31284.111613485078,-31697.49295181366,-28287.187245012232,-20992.93904758464,-10956.781013555761,-609.2112032333505,6997.923386424843,9603.605275872795,7240.617569847056,2713.637757321619
-5109.288473851386,-8362.632481583954,-11528.039384213595,-14377.91141218847,-16494.93196223123,-17300.77469752247,-16202.043713032326,-12872.74287224688,-7606.781847200598,-1546.7073688459607,3489.9814863144547,5764.953584032538,4748.282457713879,1894.4865531474877
-7930.689812820009,-8500.249876029358,-9038.682978333816,-9493.2481514936,-9764.556835435074,-9693.664852985727,-9056.040185915652,-7594.553489621715,-5152.754309151328,-1933.789063640123,1264.9254390346614,3208.900374361803,3036.0232522873316,1291.9084242503009
-9990.311601367224,-9499.460562327573,-8834.93621203294,-7973.366089674981,-6975.872507474566,-5987.559360137634,-5147.565782495255,-4418.271711877582,-3490.7564557175924,-2001.3864120356784,-42.736605604967224,1561.6679864858293,1837.3633454415722,815.7373408549386
-10024.588872767767,-9498.029230973056,-8639.525649037188,-7382.88946265516,-5826.988247076101,-4279.079201805457,-3144.0966559522994,-2622.414795665383,-2428.7181158343933,-1931.1813038716732,-802.0302427060047,458.6425440254285,936.6946289790877,413.7548735347757
-8765.564013163725,-8632.690342563112,-8067.858176416049,-6939.737363024257,-5310.671567805165,-3536.869597791191,-2183.119296317481,-1656.0586328699897,-1784.8932950196252,-1861.531585797527,-1319.7642646495328,-381.9063315579498,195.57235851266506,63.47260043587252
-7130.449792898096,-7488.4183537936415,-7372.131934079677,-6581.856499292286,-5104.382970867635,-3277.7421917157135,-1763.2135017286369,-1155.1840535332153,-1441.4154409957732,-1916.1778383248586,-1832.9629089757016,-1148.902694150534,-459.71586144188836,-241.4357111519129
-5721.008675656453,-6553.623100276966,-6893.818659241688,-6467.502354930656,-5166.06867904592,-3291.251157845305,-1605.6802089615462,-915.8839415194269,-1373.2111592963697,-2232.829637273311,-2520.612321320063,-1952.0899741016312,-1058.8987573234715,-500.8876757602346
-4889.6514591545065,-6172.407816588663,-6924.119822476079,-6777.9226465439315,-5524.675001999984,-3469.193179356555,-1561.3495315254522,-878.3684870649497,-1667.953165881562,-2977.535267742837,-3510.2116008444996,-2836.825931504754,-1604.590947304609,-713.6426019726777
-4924.258299526437,-6634.513357014178,-7705.431095875899,-7649.055417820525,-6179.817354880706,-3724.1433395738886,-1582.9845377596876,-1140.561087651221,-2535.7130472623776,-4332.0831719068365,-4867.98251048548,-3793.232056841089,-2084.022500088224,-880.0115989432538
-6176.727277709405,-8236.290000907202,-9428.779788183188,-9125.08892056128,-7052.433754477471,-3981.2851469274715,-1762.1835893721461,-1988.117581056783,-4285.859497012776,-6442.514129483497,-6573.43360973102,-4762.50454314617,-2478.2447265811747,-1003.7393135686503
-9074.81786886066,-11246.62201821868,-12169.037663747424,-11098.56363684353,-7978.020423523688,-4242.663561725182,-2406.8705608128685,-3892.6257357393165,-7235.621212606237,-9327.474506700719,-8490.989152549997,-5647.355515188921,-2771.300146590037,-1093.789105132973
