t1,t2,t3,t4,t5,t6,t7
290.345,276.58000000000004,272.625,278.48,294.145,319.62,354.905
-915.3543335124374,-553.405790593191,-224.5821015994151,49.643853121371905,249.22399352081771,360.7359299458738,391.2579413980191
-2064.6095245483543,-1348.5395126421993,-704.0652197836289,-173.23898844456934,203.58289682737865,398.47453379751084,424.274023450848
-3103.9171951932403,-2074.7740218808544,-1147.3063411804067,-382.44120316245017,158.7016527277528,431.7116348083195,452.8311132418924
-3989.3571831040954,-2703.7268179082566,-1538.553373389205,-571.2093243078037,115.96818598469292,459.5280548888692,475.98951657207283
-4689.866550800414,-3214.679624660813,-1865.8495756889865,-734.1682880782512,76.59878817791531,481.2513201821033,493.03975986380533
-5188.937558410102,-3595.6831775824153,-2121.649279778165,-867.5885646181168,41.57362752506859,496.47611468999753,503.53020057555204
-5484.648382119114,-3843.7031905466133,-2302.9817318192936,-969.4983175836966,11.592342052752372,505.0632408409591,507.27354608524297
-5588.187061901407,-3963.8827519665724,-2411.1869520657838,-1039.642772250788,-12.947633251059756,507.1192224052356,504.3337498584258
-5521.228250816504,-3968.109609771547,-2451.299954136568,-1079.3106271256247,-31.949858629578927,502.9605476201119,494.9967002247147
-5312.637800330002,-3873.1466468955596,-2431.1947121491903,-1091.060406910991,-45.59700233223981,493.06768813330564,479.72939380184073
-4995.002299248265,-3698.6038373690353,-2360.613352260036,-1078.3866932668275,-54.31236132646083,478.0343770276429,459.13280420976685
-4601.420094925102,-3465.0043489724058,-2250.2000054873474,-1045.3669687939305,-58.71009140434447,458.5172580775675,433.89346340640566
-4162.872513053098,-3192.138556523226,-2110.636957371974,-996.3252336744052,-59.539902457582,435.1901020320816,404.73801789252735
-3706.3508575038895,-2897.823903302932,-1951.9495737568432,-935.540209872246,-57.631704965949154,408.70555119773417,372.393913866042
-3253.776461352741,-2597.1119515899527,-1783.0127545744094,-867.0157538748201,-53.84483710139975,379.666031776745,337.55812373332094
-2821.639941990653,-2301.9192773400473,-1611.2611286054535,-794.3208791448,-49.02525903537193,348.60425874902967,300.8746422349152
-2421.21366068991,-2021.0135534297622,-1442.5817178932366,-720.4979684883995,-43.97269307753436,315.97278414627783,262.92049133177704
-2059.15968570527,-1760.2623188566693,-1281.3530805419646,-648.0312037318988,-39.418317256808905,282.1413715630332,224.19925395661062
-1738.3580302470748,-1523.0473053578612,-1130.588786420325,-578.863256854385,-36.01244097696491,247.40062122817426,185.14072491681108
-1458.806049635973,-1310.7568859243213,-992.1439506178551,-514.4467040131368,-34.32069892744647,211.97017858509048,146.10509543724208
-1218.4782129621085,-1123.2873878511602,-866.9492285177936,-455.8169599641725,-34.82672770124459,176.0099662135871,107.39012171869501
-1014.0761832731287,-959.5052872548965,-755.2448692575113,-403.6751601876971,-37.93902342412464,139.63310687696395,69.23990254029341
-841.6353299765657,-817.6425617377247,-656.7961778772859,-358.4717178808679,-43.99967054866549,102.91948319564797,31.85414385692195
-696.9817173507855,-695.6141841830137,-571.0796551710508,-320.4837305967941,-53.292819881907675,65.92915050089448,-4.602932243057012
-576.0522254124679,-591.2588082383347,-497.43536954305205,-289.8816373727956,-66.05111713404582,28.715046191253634,-39.99460830214975
-475.1005939529992,-502.5111401778557,-435.1854835101344,-266.78232561861796,-82.45869277423935,-8.665397395799765,-74.2049611907039
-390.8156602471673,-427.51800392432153,-383.72139985920836,-251.2871967096268,-102.64978720567038,-46.14003151626842,-107.13356923682213
-320.37698556649093,-364.7106734674498,-342.56302590236226,-243.5045704820992,-126.70258532568742,-83.61341357965212,-138.6916401524465
-261.46933966054115,-312.8446774043281,-311.39359770437,-243.55636520388308,-154.6283649177725,-120.96012181731561,-168.79945928894622
