t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
540.5,497.305,463.92,440.345,426.58000000000004,422.625,428.48,444.145,469.62,504.905
19433.438848249436,14986.249478468171,10828.34845385609,7102.124624417477,3950.8211785167346,1512.6219507947592,-95.18625366827285,-810.0691183159192,-687.6013244357717,-9.334632974348096
35642.04378656582,27523.40438825055,19882.710851338576,12975.764713225348,7076.816941624555,2467.2020166776115,-600.2049749412662,-1976.7850654118574,-1753.9655169920838,-478.9089724822427
47148.168887333355,36625.47037187596,26619.583713924025,17449.355251852412,9495.874677878859,3187.751959347066,-1059.1599333156983,-2972.2971238089413,-2645.626638873977,-861.6134689728524
53009.81822472805,41563.57632967102,30514.044857869776,20184.101369945103,11027.30687125503,3614.8557173152976,-1451.865183613822,-3738.901911601909,-3306.3049392268044,-1131.1832299751604
53436.100146371486,42426.65719634842,31572.965212302828,21147.947294001573,11636.912270923229,3734.3885353722467,-1767.5393313583277,-4250.998079935992,-3713.3536442474833,-1280.1741256161647
49535.49879057562,39959.40885814333,30243.299653004626,20571.75964863721,11420.609385821555,3573.609711684482,-2004.8097243385698,-4514.4337660163765,-3876.6380716461836,-1318.4214859389606
42876.85714182621,35265.08628711564,27231.11259604477,18853.423359487726,10563.12078125922,3189.6683204741785,-2169.9544512948924,-4560.26406881172,-3831.5282899013873,-1268.1465502816068
35040.23300525389,29491.606561711793,23302.29519757722,16446.674177418176,9287.141546150337,2654.5876844591185,-2274.212826560894,-4435.328356966909,-3628.632348812487,-1157.5647210999173
27293.545345527386,23595.445420506177,19124.450908740862,13767.403412431398,7807.646140490661,2040.8756712480913,-2331.0377210897977,-4192.335561789982,-3323.1795314367946,-1014.8705212600119
20448.964640583625,18225.15425207869,15179.660204929067,11135.938302010762,6300.674212402484,1410.7364900616958,-2353.9075878987846,-3881.5841327495946,-2966.339884034044,-863.8956193852566
14876.936382999687,13715.049769113593,11746.898326567694,8757.700520891596,4889.233517762205,810.1425370539765,-2354.9459622974396,-3545.4476595420383,-2599.6729994767124,-721.9188092451059
10614.456859776861,10149.577493932811,8932.991488976035,6733.168946703527,3643.618322705839,267.470110100512,-2344.283247717281,-3215.769266023869,-2252.814015325796,-599.3997934711653
7500.932382207829,7453.6568096011915,6725.477201097226,5083.632236723436,2590.784637142083,-204.55806102743367,-2329.927605349901,-2913.6227585396714,-1943.7513516189701,-501.00856927775646
5295.423928527983,5475.864923398743,5045.840766183109,3780.596993851398,1727.3047895723673,-605.1651851757065,-2317.8864459847064,-2650.604722723068,-1680.7295454328273,-427.24584863491316
3755.388312497447,4048.2075658050576,3791.0216041227154,2771.028796555777,1031.857287345423,-941.3689289205821,-2312.342898976061,-2430.8480554015323,-1464.8463522891789,-376.09459832534026
2677.1125812231567,3020.1439095005862,2859.7073238464986,1995.164780835889,475.0942626656066,-1224.2468279735415,-2315.7817668122,-2253.1533250497732,-1292.6513445243975,-344.3730836009616
1908.062540064018,2272.274061708593,2165.360217236659,1396.9247791874147,26.31311390587797,-1466.007887883925,-2329.0374462893237,-2112.88777991721,-1158.3448443290956,-328.6711392160754
1343.179798009404,1717.3123124880224,1640.0699992116452,928.6140853690459,-342.66066497483155,-1677.9107042052374,-2351.2892991472054,-2003.5177274346436,-1055.423599095489,-325.89302974106437
914.5810165049525,1294.905791654511,1233.2743313672117,552.012578713753,-655.564633813672,-1868.8821463345773,-2380.0623788148623,-1917.7834854297912,-977.7828988070119,-333.49712867527444
580.3765128368358,964.6469294908817,908.3532577175504,237.64655272568268,-930.9341964802063,-2044.6474355780433,-2411.3119982503213,-1848.5966715678112,-920.3651334111053,-349.5344358467754
315.21770183221554,699.5738017934787,638.9346618961634,-36.4968168795788,-1181.8397746881733,-2207.2380496872315,-2439.683110455621,-1789.7526723816459,-879.4639842772601,-372.57013131811084
103.24601903760379,481.05435892171755,405.843834229647,-286.06723277123564,-1415.7489496294768,-2354.850881036068,-2459.035025826151,-1736.5254006105029,-852.7778985529595,-401.5452922868337
-66.79098485978349,295.21048513836007,195.06654276652353,-520.9234882758082,-1634.4074825644436,-2482.1460299437545,-2463.296813018147,-1686.1637554291647,-839.2783232641484,-435.61163659804
