t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
643.505,590.5,547.3050000000001,513.9200000000001,490.345,476.58000000000004,472.625,478.48,494.145,519.62,554.905
42731.108605351335,33863.17493635447,25464.4545325695,17770.44578061251,11020.891701848619,5454.340991066867,1292.202722039546,-1295.9639954041957,-2257.5762756741406,-1767.7405354491384,-403.84978822616984
76733.11381828885,61064.069191227165,46111.430677355806,32271.982947718418,19984.862351778673,9724.159156741789,1963.324728436415,-2906.265133809048,-4723.992261074396,-3797.2819617599616,-1241.4620972531502
97181.9606967811,78018.17604008563,59493.77061232317,42046.14235941276,26240.18768648375,12767.521553045242,2389.721289209388,-4205.456347532365,-6664.41448557524,-5356.365531450086,-1859.1655756955474
102628.92324850628,83476.51590960256,64593.31125875956,46332.78295428091,29293.200596361887,14337.774564508618,2524.1280885280294,-5109.753926490606,-7942.087631663307,-6329.725843839441,-2210.2681508405303
95410.54602008993,78997.58029668467,62331.98925172305,45593.486061893826,29322.37961518421,14477.955102340486,2372.328658174625,-5606.766117907064,-8537.993550407076,-6710.749822466516,-2303.6107784495534
80133.47676328478,67900.04864383166,54913.26747780991,41144.069801716614,27004.377487865237,13458.254463094567,1984.0296692794182,-5744.571853713517,-8534.236663403395,-6583.83823125042,-2190.871746708615
61775.41780081091,53902.128579538476,44924.251782039995,34621.59084732645,23241.396068487426,11668.26147477897,1435.1424672462808,-5608.785479929847,-8077.403069382752,-6088.367688063868,-1945.0335188202603
44241.23986333673,40042.83169089481,34586.1205289994,27511.92743633386,18902.942949869797,9507.238777581912,807.8486610713283,-5297.173499609693,-7336.5331884214165,-5378.673110111939,-1638.9674878676083
29758.854936501615,28180.688247894715,25364.03688163521,20874.19933721257,14657.593190452128,7304.654778872291,174.0919495644189,-4899.486212296805,-6468.165311118811,-4592.008549199676,-1330.6226857320562
19015.61998875742,19029.105447968202,17935.018179023387,15279.085030890063,10913.943349350197,5283.184185712342,-414.2974498847506,-4485.993835610962,-5594.974961030338,-3830.3773770399494,-1056.987335645583
11681.394760566038,12496.303472116491,12379.439255682642,10895.421249137085,7846.0373861769285,3558.6897613481665,-928.4386500974402,-4104.26496258354,-4798.382180687435,-3156.0079278046014,-835.3068388449575
6971.510857180571,8085.265699285486,8439.180728885462,7636.177950954013,5461.195121973371,2162.6014856856245,-1359.8363912484438,-3781.485114255165,-4121.5143755930085,-2596.443720968796,-668.3082886327791
4052.1192619658186,5202.293124285113,5735.013829032995,5295.585219697901,3673.4301108809677,1071.700135461348,-1714.8816006602021,-3529.2293419288358,-3577.6659564138454,-2154.212856620287,-550.3207103511439
2245.6246387787182,3329.7886135835724,3902.210706163514,3644.8930152780904,2361.2168721599965,234.98015353114678,-2008.6425745827694,-3348.3799108083663,-3160.1395986606376,-1817.0074927034825,-472.3246703925364
1084.2964840780273,2087.0703223210585,2650.64251188645,2483.326527163126,1403.3728745360986,-407.00649401936084,-2259.3734784957683,-3232.988377317005,-2850.931966224172,-1566.0257736377082,-425.2169432341474
282.86219873526227,1225.283633554617,1775.16881804154,1655.6198238173697,696.0959360793344,-910.6162106417205,-2484.3071770793135,-3172.7886626032027,-2627.2422802345477,-1381.6875850762765,-401.4285413292166
-314.8290573403721,595.9580930614673,1141.9500545087935,1050.4780706495044,157.59421948118248,-1323.4740099257065,-2696.6930377707126,-3154.6083891993476,-2465.8131282716004,-1246.9270876956662,-395.3959602109993
-785.3556488206693,116.80494824312751,667.9576910773571,591.1965490521069,-273.5652137654375,-1682.2859960477022,-2903.7878766058056,-3163.1619465744398,-2345.613044964884,-1148.6837473421378,-403.39875011364666
-1161.4677833781748,-255.49724563174817,302.3105038737166,225.1585793567092,-642.0216060133945,-2012.0850194910342,-3105.56802575549,-3181.7632990506404,-2249.473435020679,-1078.2408995607418,-423.13177228880215
