t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
1820.7049999999997,1689.2199999999998,1567.5449999999998,1455.6799999999998,1353.6249999999998,1261.3799999999999,1178.945,1106.32,1043.505,990.5,947.3050000000001,913.9200000000001,890.345,876.58,872.625,878.48,894.145,919.62,954.905
3790429.1575143957,3373165.0427948325,2960756.1672876813,2555934.055598973,2161788.169917215,1781860.593683187,1420212.577812366,1081447.477191205,770669.665044344,493354.0069413058,255096.18344483466,61211.66655868856,-83848.07824533286,-177287.8101556238,-218982.01164741765,-212700.7468711322,-167506.54471150023,-99237.16775803285,-31934.749108617296
3623254.565600042,3321104.8385622953,3012320.7585455007,2694514.861806784,2366465.233757496,2028556.4054996483,1683222.59382676,1335340.4614349834,992485.2572367135,664930.9820624357,365250.88498846546,107372.21453183307,-95024.72010629167,-230781.49268616166,-294070.2485197215,-287373.4757908677,-224014.45872687353,-129388.02780975953,-39938.515101130244
1373030.35295122,1363365.3006000156,1341970.4135693917,1303145.7511828707,1241608.0435088705,1152963.5968520523,1034414.2531235593,885664.9967913865,709915.6168752116,514708.0766189342,312287.9071958996,119066.87102232434,-46188.453277810244,-165599.9430124379,-226571.54800670955,-226431.6893717679,-175796.0758117522,-98806.9338795885,-28785.69963273344
117894.19592969683,180090.02738138236,238438.3452198631,290325.56936820043,332462.4004462521,360929.9620516026,371495.9772156628,360273.9761249246,324739.55549112795,264996.5149759365,185005.96229295668,93296.845250039,2563.1293677362314,-72343.0221966598,-118072.96165628968,-127375.64243699134,-103023.54196042773,-58966.557686012166,-17049.891432656932
13330.344562792507,21309.060800179966,30098.676352437767,39929.12039533766,50784.58574709026,62264.76442736431,73427.51371621435,82660.0530840001,87672.48081059135,85752.3061651568,74422.28546274372,52543.91577053004,21651.277900894966,-13089.504915128045,-43225.80647016334,-59481.43190673044,-56211.04502969057,-36028.14875018074,-11287.263657774225
113954.83397705223,97292.04647823643,79728.52302962476,61285.30277096928,42574.0694229106,24941.695120855304,10418.662883042862,1300.4275676433278,-740.3027389020847,4135.326744693624,12952.86133434567,20081.414696274183,19284.53861782932,7393.318951838136,-12358.664968729066,-30396.87530842194,-36077.95377611722,-25945.654705320416,-8528.570255546756
103107.34314169156,95115.60644511755,84385.47808557373,69963.22955303385,51617.405172349885,30305.820718187268,8536.631410132428,-9754.577843473162,-20221.873496908745,-20102.31669347606,-10486.719728137992,2716.6887319706093,10796.279027423894,7290.936873671426,-6782.045667862753,-22213.105420759955,-27826.18392900662,-19894.21809700514,-6264.244421745333
53967.95827083111,55394.4411828371,54063.74542436203,48696.60683491183,38468.98421327589,23593.65591306123,5943.174951492252,-10752.029246882967,-21736.401017400858,-23358.127255531257,-15748.717298648691,-4113.744151310436,3374.212235210222,917.4046002555785,-9957.622545896753,-20747.181835113668,-22734.70071445707,-14750.825317083843,-4247.40279252883
22363.263626715394,26593.559192378718,28633.839076110933,27304.81206721964,21687.192766206776,11703.769904068042,-1197.77235975022,-13768.241279065724,-21761.939357182455,-22072.86591138788,-15260.546749763018,-6328.783519636022,-2032.4871922528232,-5790.569638085852,-14417.85505664006,-20428.518059358714,-18580.950714525447,-10506.234092850773,-2728.461946502123
7925.6679677687225,12171.578484043948,14571.009164828425,14064.490769264778,9813.32682907652,1800.4843773571552,-8490.728639434361,-17911.43307219877,-22696.690471055754,-20763.59825244501,-13868.100805518687,-7321.79588056216,-6350.463263607919,-11596.286519504678,-18196.894531514,-20021.20276238868,-15188.549512958729,-7345.792951949647,-1730.1347453024982
1057.3182246557717,4938.006315434161,7037.927040622506,6328.768567401707,2061.300085360701,-5556.576460522691,-14685.87421981679,-21936.70713007179,-23901.921191976893,-19741.31815753154,-12740.27651734036,-8549.698552832097,-10591.087868721475,-16734.241190638575,-21051.64131122949,-19283.16013133747,-12440.416987375997,-5157.491023943756,-1168.2340601356439
-2591.7205249141716,759.379450618429,2260.46890552142,889.2058212460132,-3963.945372202028,-11719.215599000438,-20002.362724802217,-25150.042014811683,-24376.30972453379,-18461.77037317714,-12180.26793162353,-10816.597434030507,-15317.955006311991,-21169.0465471399,-22629.9866797409,-17939.199186555932,-10195.045815414345,-3840.3627251321036,-993.7510537453657
-4644.965458885691,-2346.3951091687795,-1911.3043225401373,-4255.074423879052,-9695.619670541313,-17166.369044326922,-23871.164296653093,-26374.416809396495,-23198.707921652516,-16908.53242267639,-12821.545909208438,-14418.15803117205,-19867.454378126306,-23740.512862946336,-22174.2167637683,-15899.687915642682,-8620.4975489262,-3471.2769592749814,-1203.89809271853
-7354.778626775832,-6385.945110943814,-6933.653880138448,-9617.088609104365,-14404.40540487178,-20032.7846841601,-24052.810777095227,-24196.249553954527,-20525.81616863972,-16161.659124776683,-14920.78348916416,-17677.9378603057,-21472.305018465013,-22477.707677584516,-19397.332678607472,-13859.968452572912,-8325.646687022134,-4227.923601184637,-1783.6132218847374
-13900.525224865993,-12627.822606258003,-11945.967827928947,-12232.881842966563,-13701.646697450213,-16059.312590199208,-18339.122625334778,-19324.39713191268,-18507.361158419513,-16699.689253684744,-15419.631081452615,-15504.148067181643,-16416.903619621804,-16887.816956142608,-15989.546896563306,-13583.34980093004,-10080.08306204325,-6121.178750130058,-2601.2415273525703
-23477.718166459068,-16894.95594364333,-10091.340250065627,-4174.919763071863,-1222.1278326222773,-3159.815430898349,-9582.930871208404,-16472.405422083786,-18445.5750766687,-13716.502390093396,-6405.817933326848,-2753.137181404895,-5275.835283170438,-11279.465681483127,-16187.995576360288,-17162.234583888687,-14069.378496171852,-8590.532277422592,-3274.460651308908
-23693.35640512607,-6134.357125457929,9989.609562733649,20882.55167693633,21492.60617368048,9773.616334711493,-8228.3380480949,-19378.691489430123,-14066.452573641513,3110.4975754827115,16689.13433498241,15402.401257457479,1386.471550911215,-14853.9822299125,-24532.193568883245,-25146.50818798607,-18969.374846685078,-10159.62207608294,-3108.368568332661
4890.880442112551,30618.31017284261,48425.81208569525,51064.680694042734,33796.217794878205,2733.541985264747,-22328.287950927992,-21083.278335331473,5934.904883516414,34206.61177209528,38843.00783259421,17404.90365907875,-13115.313823450437,-35010.76843442575,-41369.14056627179,-34772.40464792098,-21609.00937976883,-8598.976339624563,-1316.5746112064944
61261.733593362405,77075.50492141933,75823.45836828611,50676.73434720485,6127.2154748422145,-35068.04105880297,-42872.90192378911,-9371.65737621393,35842.7467414379,51763.74132692109,25970.390867775437,-19555.311169119235,-55639.18935730056,-68446.8442777693,-60288.390433331864,-40300.13008885949,-18069.915140108675,-2023.0628400987353,2367.7109991466596
102729.16522133016,85462.97625322602,47452.35555042395,-9853.371794969877,-65766.82145263172,-85829.75010232713,-52129.25220456691,7964.033650377643,39871.717176304766,15841.636412879861,-42013.85056505506,-92363.0542128556,-111625.01481437837,-100559.31932065706,-71198.96967296039,-36125.04827906326,-6142.423922513285,9397.78182993682,7068.60028786697
75545.65890350219,19609.763772961665,-48485.74136570524,-114255.10771210174,-146205.27568278796,-119357.27680364194,-51322.04865127062,-1493.7575918741381,-15208.067425914132,-78639.14392154024,-141455.79672734393,-167824.9929084613,-154463.4594692675,-115731.75136217667,-67073.1225143523,-20603.0363191064,12479.243425558045,22530.73592073418,10918.050588819624
-26274.0906659813,-100347.4002376007,-168766.7175823681,-208277.21089380016,-192903.99426035798,-126958.8195956642,-62230.37969157626,-57271.326305505834,-115836.22878500953,-187158.7029599253,-222563.2868721561,-210747.32043806912,-166557.96391117846,-108159.42009230398,-48285.16836121909,2562.8056920975573,32329.011434790074,32550.52076703484,12230.749143976409
-151835.26249734283,-214134.5052106609,-254172.320653665,-250164.48449444625,-195441.3332255937,-124193.44146576617,-96554.08370691839,-138223.0663950837,-210994.24007045387,-257345.1644508902,-253350.35368148377,-210486.88822100492,-149185.11992024063,-83259.18342351123,-21298.5144549342,26439.00804310622,46969.7000370694,35844.26519528407,10731.279991503157
-243839.46930874622,-276356.2688996923,-278999.3631021261,-239650.77705543686,-172664.41755508137,-125911.84618331664,-141245.14261840153,-204904.53229178343,-261183.91553961486,-271297.4292815068,-237291.52186218867,-179945.5551541605,-115378.78036235092,-51253.187142267096,5910.841739889906,44567.45467820919,52438.761105871585,32165.2711759927,7610.255840204807
-280948.4256422333,-282916.926668889,-256707.1961666303,-201955.82691112536,-146315.91041918044,-133347.7731235988,-176124.418836833,-235728.12761614134,-263164.29067825165,-244701.579169742,-196769.84335154982,-138267.6789707293,-78306.88873631289,-20687.628036825714,27569.6714437697,53606.61215740696,48872.64094372548,24286.498857418188,4463.284054583282
-274854.6154874968,-254988.96222599712,-213956.88683796203,-160748.79113851328,-126793.02253190032,-141199.27032198964,-192282.82251951707,-234214.95581288688,-235812.97658027854,-201848.27338925708,-151829.65522300793,-98468.82117133816,-45581.65862389048,3950.344205205746,41258.38011224186,53811.39119298845,39588.00348053378,15819.903394063753,2264.0777689204715
-246449.38424476772,-214578.97780151817,-170078.3321584525,-127559.12962275825,-115389.93027955096,-145978.56095038578,-192384.37121798698,-214213.5559654989,-198358.74166361915,-158950.13797653877,-112456.30722354483,-65633.46270531004,-19661.59952907858,21510.390966104424,47292.74609897209,47912.9957651759,28801.267846921488,9218.34268123988,1144.2482489258596
-210799.53217688826,-174387.95699997756,-133398.27469887384,-104759.35892168724,-110086.74950212974,-147100.23486448947,-182581.27245620405,-187204.15619624587,-161580.31237700913,-122355.43994677186,-81013.06768424298,-40103.55203773256,-244.48365615539313,32707.581995693898,47611.95987599348,39464.01743235077,19654.462301156458,5184.6658763322175,770.9382635442275
-175276.87021878196,-139299.8196330829,-105584.45603543612,-90869.1849940733,-108466.61751328394,-144973.3011146938,-167575.97924822144,-159280.25744489397,-129314.70451831965,-92857.76913909413,-56555.8611319914,-20512.467154077232,13954.624994801745,39103.44848694875,44779.260939127154,31437.00010504948,13451.201643598177,3238.647603548301,768.0735574633752
-142748.0491129925,-110417.0492862143,-85776.11204463073,-83546.29047004052,-108501.68156291626,-140005.74231764654,-150081.39640620688,-132967.3018891636,-102119.96370645134,-69353.38684489568,-37392.380771610144,-5237.185279381996,24456.000752696014,42566.46330958141,41165.8570071122,25469.14514020359,10004.426769365253,2566.4690762315004,910.7155559196309
-114225.58669697445,-87524.59845247885,-72508.26970213666,-80615.63457659124,-108707.59427775626,-132604.3256493494,-131695.1592354971,-109196.50581002094,-79493.00447448665,-50449.21509495116,-21930.354224508235,7241.138364550296,32801.93357096877,44862.83211705345,38335.59787477739,21841.892233217437,8475.554073851383,2567.14231164645,1130.2101236911203
-89955.77842139869,-69940.01781317014,-64235.603529766115,-80234.71831108125,-108083.30417167013,-123239.91404791281,-113435.4009737631,-88196.63267445703,-60631.025798931776,-34824.35194706746,-8741.124613754944,18332.195715867656,40374.832803704325,47216.69742137596,36801.808004997205,20030.301276866725,8114.945982561285,2999.2143667161254,1445.398076070001
-69650.04976013897,-56657.09369987177,-59362.895988791985,-80789.98820372706,-105901.58201443641,-112286.49406700979,-95806.54641238642,-69706.39140275156,-44552.34423508681,-21196.972338903368,3496.7748100395543,29242.559473647663,48082.193924218154,50034.467843111546,36320.126366338256,19441.372994952035,8601.416242046424,3871.672852115055,1884.673588358915
-52561.452200344786,-46415.707972457,-56278.25997659753,-80839.32316091369,-101543.03558453446,-99864.40390459451,-78794.13779112553,-53064.1958512933,-30150.57823280893,-8351.790153909882,15887.93197816326,40724.22429270639,56134.294424706146,53102.13313533339,36548.23932252069,19881.050431841722,9961.495797873704,5234.111353360248,2417.064145111759
-37755.024986256096,-37975.183937806454,-53604.13226599522,-79291.48716800728,-94595.1197289603,-85961.99665563468,-62094.06912372246,-37473.452929719395,-16416.357669085493,4655.938981209843,29091.976168625908,52918.60690349129,64232.01070888255,56169.71104095601,37517.248990697306,21484.64682693296,12238.13532131653,6972.175727445932,2907.198960425348
-24561.17774232979,-30541.296449390094,-50594.28044769709,-75761.91197876645,-85187.63897696267,-70824.46930040515,-45562.98182143225,-22416.57088376728,-2752.5804444541054,18280.412472160235,43231.92765098001,65529.16953732884,72037.13886055347,59311.655264038636,39475.60082907717,24265.071983885944,15160.74622118726,8692.525034353997,3125.925330446248
