t1,t2
24.525000000000002,9.81
24.093100458816693,5.742718210867243
23.65061429918627,1.6682381205925374
23.197315815472933,-2.4117578152955463
22.73300121647844,-6.495570104576892
22.257489749139346,-10.581483140449846
21.770624730784785,-14.667766188977257
21.272274483849817,-18.752674439770573
20.762333167566485,-22.834450117451983
20.24072150182639,-26.911323651088868
19.707387379117495,-30.98151489846886
19.16230636117899,-35.043234421779836
18.605482057783682,-39.09468481097904
18.0369463858411,-43.13406205088173
17.456759707808782,-47.159556927773664
16.865010849197336,-51.1693564711551
16.26181699574931,-55.16164542605783
15.647323471655865,-59.13460775124158
15.021703400941131,-63.08642813847382
14.385157254886675,-67.01529354802597
13.737912289079677,-70.91939475548084
13.080221874343474,-74.79692790494008
12.4123647264422,-78.6460960637455
11.734644040037079,-82.46511077388392
11.047386532906476,-86.2521935953307
10.350941406921079,-90.00557763670095
9.64567923268599,-93.7235090687177
8.93199076512104,-97.4042486161716
8.21028569754701,-101.0460730242359
7.480991362077482,-104.64727649520917
6.744551384282859,-108.20617209198784
6.001424300195334,-111.72109310481478
5.252082143761585,-115.19039437811055
4.497009012824588,-118.61245359446448
3.73669962163007,-121.98567251314456
2.971657847708137,-125.30847816077221
2.202395280780255,-128.57932397210155
1.429429781088544,-131.79669087913703
0.653284054243052,-134.95908834711932
-0.12551575066369125,-138.06505535620204
-0.906441413311665,-141.1131613279314
-1.6889639788365542,-144.10200699592286
-2.4725550534523,-147.03022522040592
-3.2566880540025416,-149.89648174657165
-4.040839406929599,-152.69947590691422
-4.824489692664738,-155.43794126799818
-5.607124731969275,-158.11064622231365
-6.388236611288267,-160.7163945260945
-7.167324644711661,-163.25402578417456
-7.94389627066821,-165.72241588313867
-8.717467881999966,-168.12047737419317
-9.487565588576409,-170.44715980732857
-10.253725912102976,-172.70145001848098
-11.015496413255649,-174.88237237151375
-11.772436251728394,-176.9889889569392
-12.524116680209922,-179.02039974938435
-13.27012147370919,-180.97574272586695
-14.010047296022071,-182.8541939470021
-14.743504005473483,-184.65496760329202
-15.470114902378109,-186.37731602867242
-16.18951692093838,-188.02052968349682
-16.901360768537963,-189.58393710913205
-17.60531101559528,-191.06690485632151
-18.301046139310515,-192.46883738944166
-18.988258524774825,-193.78917696873862
-19.66665442701,-195.02740351258115
-20.335953897572814,-196.18303444171028
-20.995890679390495,-197.25562450739926
-21.64621207349402,-198.24476560536675
-22.286678781285485,-199.15008657720855
-22.917064725915484,-199.9712530010314
-23.537156856258882,-200.70796697288628
-24.146754936862997,-201.35996688050923
-24.74567132710458,-201.92702717078768
-25.333730752631293,-202.40895811227554
-25.91077007198286,-202.80560555398773
-26.4766380410885,-203.11685068160975
-27.03119507812255,-203.342609772164
-27.574313030971602,-203.48283394808203
-28.105874949326793,-203.53750893153747
-28.625774863165137,-203.50665479980623
-29.13391756912743,-203.39032574232996
-29.630218426038653,-203.18860982007283
