t1,t2,t3
44.145,24.525000000000002,9.81
45.394264669776994,20.72286457959213,-4.223479224783185
46.58035316821369,16.870841839279127,-18.27863510844995
47.691170763464456,12.968046318624328,-32.34151301043602
48.715130933435816,9.013883957704032,-46.397990798977
49.641279585985856,5.008072825885847,-60.43380468561309
50.459410812119614,0.9506605759382403,-74.4345767836757
51.1601724028322,-3.1579615947955766,-88.3858441675837
51.735159562750866,-7.317048639249421,-102.27308918793868
52.17699548761982,-11.525495117006834,-116.08177077988694
52.47939773190751,-15.781832458893657,-129.7973564893275
52.63722957074309,-20.084230027716004,-143.4053549334857
52.646535849965055,-24.43049990552407,-156.89134840923558
52.504563112084355,-28.818105282616827,-170.24102536430854
52.20976407726916,-33.24417227178961,-183.44021245303662
51.76178684016124,-37.70550492403251,-196.47490590929718
51.161449409010366,-42.19860317984923,-209.33130198451911
50.410700457482136,-46.719683454278304,-221.99582621754394
49.51256737655996,-51.26470152409787,-234.4551613253221
48.4710929001435,-55.829377362949465,-246.6962735283053
47.29126173014268,-60.409221554430644,-258.7064371513828
45.97891870301737,-64.99956290461574,-270.4732573696861
44.540680118805206,-69.5955768738444,-281.98469099793084
42.98383989571204,-74.19231445269787,-293.2290652515638
41.31627221928599,-78.78473111845514,-304.195094437253
39.54633232690111,-83.36771552545996,-314.8718945586426
37.682757008367915,-87.93611760511182,-325.24899585029823
35.734566315234126,-92.4847757779183,-335.3163532779449
33.710967858528264,-97.00854301045294,-345.06435506607977
31.62126494147914,-101.50231148336196,-354.4838293345119
29.474769624498578,-105.96103567194503,-363.5660489431242
27.280721658898607,-110.37975367750138,-372.30273465900194
25.04821405784331,-114.75360668480428,-380.6860567719525
22.786125902154406,-119.07785645800786,-388.7086352933395
20.5030628087688,-123.34790082331837,-396.3635388791253
18.207305324506795,-127.55928712125638,-403.6442826211654
15.90676535053601,-131.7077236437552,-410.54482485129853
13.608950556230496,-135.78908910121703,-417.05956310082644
11.3209366072402,-139.79944019159902,-423.1833293538236
9.049346913208002,-143.7350173673301,-428.91138472662107
6.800339496895724,-147.59224891614684,-434.23941369806397
4.57960049922173,-151.3677534886498,-439.1635180060363
2.3923437641282845,-155.05834121845848,-443.68021031557754
0.2433158931391155,-158.66101359029184,-447.786407752984
-1.86319387857003,-162.17296221719553,-451.4794253888587
-3.9233396555960844,-165.59156669060275,-454.7569697414302
-5.933701384915128,-168.91439166613014,-457.61713235983365
-7.89126456313074,-172.13918334419054,-460.0583835356687
-9.793397808067768,-175.26386549789945,-462.0795661802096
-11.637828928586968,-178.28653519164047,-463.6798898943075
-13.422620092083847,-181.2054583223343,-464.8589252484486
