t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
1820.705,1689.22,1567.545,1455.68,1353.625,1261.3799999999999,1178.945,1106.32,1043.505,990.5,947.305,913.92,890.345,876.5799999999999,872.625,878.48,894.145,919.62,954.905
-5112552.119080505,244508.24861145826,-85730.64412892364,-347553.39103729266,-540091.2683178596,-665507.642178615,-728519.9453539626,-735967.1555744915,-696428.8062739195,-619880.5428613831,-517352.9302006152,-400545.4173849878,-281337.0980019326,-171131.60653072264,-79977.1031128629,-15416.198380493119,18952.571473957734,25178.201603704994,12843.74839445018
-3552035.9561794824,34208.09689023656,-109973.47976248658,-275758.76880698255,-439505.0374169485,-581022.9160726953,-685127.3098617098,-742283.2899511377,-748663.0595071713,-705875.4815133144,-620515.8368241243,-503550.1558271921,-369429.48290514614,-234754.90557221946,-116312.34722218078,-28391.737407282977,20487.660721204244,31014.8111685822,15894.607037585076
-750783.4480883154,-3280.5776749628385,24803.448387876233,-1992.5260052468402,-72000.71180128731,-166969.39918822498,-266929.3858247524,-353814.7227655076,-413685.56703883444,-437862.60769538564,-423395.73215536826,-373149.17609741417,-295521.08055263694,-203559.23314657493,-113112.13186935846,-39773.39806815548,5203.867099039815,19177.780713991884,11028.165085947638
-100858.8906268327,36767.54311800281,87673.97265838538,108449.66141335982,93992.20290337817,49498.845717725795,-13630.40754489206,-82056.83216645454,-143585.74448430422,-188833.5611798629,-211894.58489380873,-210567.1448199511,-186487.4826576545,-145146.8581296563,-95420.7876190339,-48102.923733831674,-13171.39204892663,3821.9227299234676,4941.920457393244
-196973.25489719489,-1135.8866660514238,39740.79453285454,69834.2454420677,78878.3865982895,66030.47524334297,37073.43318718507,271.03392059976034,-36822.492237145474,-68792.25321041749,-92320.53533072466,-105454.39950164355,-107010.96806996707,-96693.90309526198,-75977.8314335404,-49110.49191095085,-23007.324689237987,-4965.706518708291,1532.2647143542667
-166759.32452394709,-29851.60015516086,-134.430380369628,25617.421399649793,37419.57289794719,33909.63590298314,19797.50423867307,1508.9300404817009,-16141.452279694291,-31175.590422339654,-43758.54312301357,-54403.62405072907,-62228.70101453733,-64502.565428104805,-58212.39051982105,-43022.243765673134,-23350.801840528555,-6941.813663078317,414.7127286554626
-81545.06598706443,-26451.310538217436,-3341.227756799821,15160.813242286948,21094.248052835257,15042.54077947012,2703.020891526229,-9724.461596176627,-18640.966665307827,-23939.71607533455,-27961.24637065183,-33186.35810264689,-39808.300122681525,-44784.567114286765,-43583.5558762664,-34003.43585161727,-19096.917856635177,-5891.735186826066,130.01687928457775
-36781.05623298419,-12441.732276833422,8045.376259610713,19835.83403030592,18468.477533166424,7529.291245962909,-6202.210486556988,-17010.38801613702,-22385.61061437522,-23277.30763003243,-22900.334784661067,-24467.82641229737,-28732.236190127234,-32965.92704261394,-32725.624410206037,-25672.715697266147,-14271.217988938415,-4316.152028494624,15.898306931671755
-22148.917575278418,2433.5305418295075,19181.593491217463,23099.139026723617,14915.894666314944,863.2727595976992,-12492.888599593583,-20987.04796913806,-23576.0799907819,-22012.942457874542,-19717.318475472177,-19778.159428600848,-22754.58098042887,-25930.149994112984,-25283.20383871944,-19096.94181789635,-9928.345489937277,-2613.63004558787,64.36968384560672
