t1,t2,t3,t4,t5,t6,t7,t8,t9
447.30499999999995,413.91999999999996,390.34499999999997,376.58,372.625,378.48,394.145,419.62,454.905
-192.2393482190854,379.0229735624066,311.557093662165,289.70803518725245,301.0580678656632,333.4841292535565,375.7583020742071,418.8709088582192,458.59247862392664
-831.586164181697,344.0586942445517,232.73577692632074,202.8169231244445,229.4762395795725,288.4736916208321,357.3569581742079,418.10810574066755,462.26780946814256
-1470.5175912115894,309.030440795675,153.8985383922325,115.92528658798105,157.89350437684595,243.45670636820591,338.944082660023,417.3318259410913,465.930444297276
-2108.816031847628,273.9415440907495,75.06288076349514,29.05175014756503,86.32385169252052,198.4411945584799,320.52279307239166,416.5423079538256,469.5798367173477
-2746.2642796049354,238.7953898131898,-3.7536861975641784,-57.785067709437186,14.781265567333321,153.43517607728035,302.09620903177955,415.73979334086494,473.21544231801937
-3382.6456503826057,203.59542106847476,-82.53365272879341,-144.566562451981,-56.72028094358811,108.44666666014996,283.6674511362705,414.92452659726405,476.8367188137506
-4017.744113400187,168.3451409227681,-161.2595161367555,-231.2741513724236,-128.166831355508,63.48367492214453,265.2396398589873,414.09675501497765,480.44312618380815
-4651.344421545582,133.0481148607218,-239.91378787066796,-317.8892814414493,-199.54445132873863,18.554199391745783,246.8158944456934,413.2567285452396,484.03412681108136
-5283.232241017888,97.70797315681301,-318.4790005975203,-404.3934371456175,-270.83923422957633,-26.333774449104908,228.39933181320956,412.40469965958823,487.6091856196473
-5913.194280149458,62.328413154663636,-396.93771527411536,-490.76814830228784,-342.0373066739252,-71.17227711704777,209.99306544930545,411.5409232096433,491.1677702110394
-6541.018417292462,26.913201448980914,-475.2725282117847,-576.994997846751,-413.12483405006424,-115.95335806963573,191.60020431469033,410.6656562857382,494.7093509991679
-7166.493827656432,-8.533824035097567,-553.4660781294988,-663.0556295863512,-484.0880260169805,-160.66908863615572,173.22385174776005,409.7791580745203,498.2334013438469
-7789.411108984534,-44.00875207029473,-631.5010531911254,-748.9317559164792,-554.9131419747746,-205.3115649351837,154.86710437272978,408.8816897156206,501.7393976828775
-8409.56240595765,-79.50759626798884,-709.3601980225494,-834.6051654933079,-625.5864965036006,-249.87291077709665,136.5330510117916,407.9735141575082,505.2268196626432
-9026.74153321699,-115.02629333614583,-787.0263207043565,-920.0577308581569,-696.0944647677073,-294.34528054978625,118.22477160192736,407.054896012633,508.695150267174
-9640.744096897564,-150.56070145891434,-864.4822997359036,-1005.2714160085281,-766.423487881121,-338.7208620858745,99.94533611700055,406.1261014119666,512.1438759456286
-10251.367614566745,-186.10659880211097,-941.7110909664646,-1090.2282839107722,-836.5600782315726,-382.9918795096671,81.697803495757,405.1873978590498,515.5724867381617
-10858.411633463857,-221.65968214864043,-1018.6957344891931,-1174.9105039494243,-906.4908247592841,-427.1505960621683,63.485220576346705,404.2390540836634,518.980476400126
-11461.677846939125,-257.21556566767663,-1095.4193614937503,-1259.300359308409,-976.2023981873178,-471.1893169024839,45.31062103798314,403.2813398952179,522.3673425245728
-12060.97020899209,-292.76977982127806,-1171.8652010733856,-1343.3802542792369,-1045.6815562002037,-515.1003918839386,27.177024350339423,402.31452603598467,525.7325866630088
-12656.095046812186,-328.31777041164935,-1248.0165869822335,-1427.1327214914786,-1114.9151485675718,-558.8762183032661,9.087434731284986,401.33888403426954,529.0757144443753
-13246.861171226517,-363.8548977723501,-1323.8569643387973,-1510.540429060816,-1183.8901222096767,-602.5092436212792,-8.95515988644695,400.3546860576373,532.3962356922058
-13833.07998496207,-399.37643610618954,-1399.369896271405,-1593.5861876501035,-1252.593526201625,-645.9919681534166,-26.947788879084953,399.3622047662963,535.6936645399304
-14414.565588632811,-434.8775729724946,-1474.539070501601,-1676.2529574388366,-1321.0125167132371,-689.316947728598,-44.887499945535524,398.3617131667594,538.9675195442929
-14991.134884364064,-470.3534089261465,-1549.3483058614918,-1758.5238549967335,-1389.1343618815818,-732.4767963148636,-62.771360110466674,397.3534844658741,542.2173237968427
-15562.607676970138,-505.79895731041813,-1623.7815587409468,-1840.3821600569017,-1456.946446613141,-775.4641886102929,-80.59645671616033,396.3377919253248,545.4426050334705
-16128.806772603413,-541.2091442055694,-1697.8229294608177,-1921.8113221844792,-1524.4362773127996,-818.2718625977293,-98.35989840260942,395.3149087167433,548.6428957419598
-16689.558074796587,-576.5788085346818,-1771.4566685681962,-2002.794967336508,-1591.5914865367963,-860.8926220618605,-116.05881607531376,394.2851077774902,551.817733267517
-17244.69067782237,-611.9027023281171,-1844.6671830499427,-2083.3169043089847,-1658.3998375668436,-903.3193390672272,-133.69036386024493,393.24866166723547,554.9666599162592
-17794.036957298573,-647.1754911476453,-1917.4390424606256,-2163.361131067139,-1724.8492289028127,-945.5449563958242,-151.25172004546448,392.20584242544766,558.0892230566245
-18337.432657969282,-682.391754670916,-1989.7569849612257,-2242.9118409551024,-1790.927698671308,-987.5624899429357,-168.74008800890613,391.1569214298511,561.184975218681
-18874.71697859646,-717.545987436981,-2061.6059232648704,-2321.9534287811593,-1856.6234289476179,-1029.3650310698551,-186.15269713179322,390.1021692560123,564.2534741913138
-19405.732653899384,-752.6325997528495,-2132.9709504860684,-2400.470496775,-1921.924749988551,-1070.9457489122685,-203.48680369723132,389.04185553810225,567.2942831172562
-19930.326033482954,-787.6459187612547,-2203.837345889896,-2478.4478604134565,-1986.820144373844,-1112.297892643094,-220.7396917735299,387.97624883094954,570.3069705859518
