t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
1589.2199999999998,1417.5449999999998,1255.6799999999998,1103.6249999999998,961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-2563007.1720181145,-2266829.756448352,-1974780.8065953772,-1689148.0649681394,-1412471.0448592005,-1147604.1336756402,-897755.5204896494,-666488.3047434806,-457665.67982302967,-275317.550085008,-123402.0402722298,-5433.095287390253,76053.92594197665,120221.45094813446,128844.71688653056,107413.56627316393,66382.02253727846,22486.11309754693
-2789555.507052975,-2530707.158739848,-2268237.0217100102,-2001131.8104107631,-1729350.1278802876,-1454162.5008352106,-1178468.5941687752,-907041.1386200387,-646619.9757720652,-405755.73965569725,-194289.24806168594,-22361.245177308785,101108.44697087556,170440.07564811726,185530.59448430335,154131.28913836333,93478.7244121783,30526.697553002887
-1393979.1741993765,-1344364.8479489954,-1284805.1575252379,-1210756.5801691986,-1118359.7927091978,-1004930.3563938134,-869607.2425763274,-714098.4193676821,-543381.0966674484,-366121.16105102637,-194498.95588688133,-43113.21232587778,73258.893060968,142987.87803470079,161486.5056786415,134599.99366673955,79981.15005589087,24938.62165174592
-285785.59650408797,-334997.859945511,-378419.9303106287,-412664.01696922566,-433951.05395232583,-438334.2488049959,-422225.06874362135,-383246.879797833,-321341.88460845035,-239900.60951501757,-146499.6068582524,-52701.08394663972,27587.17974483016,81344.04939372209,100720.13604479449,86971.15208672552,52030.739871964026,15959.962759858228
-4751.53901543422,-31708.935705207514,-58432.64276792274,-84312.92009739959,-108175.87726173259,-128187.64473411982,-141902.19706712267,-146542.6223171992,-139589.88716213062,-119676.79071445033,-87631.74280173001,-47308.45707530558,-5659.4467887751925,28482.596452815204,47092.65738461515,46523.59499987021,30431.50709695102,9996.940077313828
-61551.53639541209,-56333.30194342244,-51372.45113605248,-46932.31147947972,-43394.76137180991,-41211.005239332204,-40741.12768686957,-41958.43383821017,-44073.70075351572,-45275.95098043283,-42927.15938736525,-34529.37652637888,-19411.320061567854,-341.1629522199746,16410.072536097498,23792.057964130778,18921.156060266036,7015.341328328118
-93789.55032620949,-85072.08423781623,-74871.83967670746,-62839.41543630336,-49188.1041444585,-34935.28994361138,-21975.7663805672,-12743.504122432068,-9283.85524571305,-11888.690431022029,-18008.16355933988,-22566.401525711248,-20411.290791244115,-10058.612351257387,4033.3287844009164,13613.934093182283,13060.249098224136,5163.313161013209
-68565.33961488608,-67563.04813714614,-64347.44352487363,-58002.49190460837,-48086.31599823908,-35083.08090892423,-20805.728381544017,-8354.89374892965,-1203.1600238505544,-1367.1315597904434,-7506.787371467354,-14598.814160192409,-16458.78098083665,-10220.792159795154,732.9964697690616,8891.94271053216,9088.921536554042,3558.800791797064
-37418.19360866264,-40923.74652612054,-42619.993584152704,-41542.05037457338,-36941.218189809726,-28760.84139115348,-18181.75584403328,-7816.1923544126485,-1011.6766941891766,-109.19136670735293,-4483.921419001654,-10101.031254835892,-11833.770445192102,-7435.115567570041,288.08172240262047,5752.774153819755,5706.01675435973,2143.257560490159
-20498.257918883588,-24160.610581249788,-26659.824787052225,-27265.527214492915,-25314.396623643486,-20598.81481899795,-13847.878568403694,-6931.072305225307,-2310.959632593194,-1651.7092540905182,-4375.836973366408,-7588.286981978156,-8043.837830874675,-4814.405804345188,-94.61112756293073,2878.5208247661294,2771.2888964299273,1008.6185789285729
-14497.48544478781,-16599.69434353324,-18005.664843010938,-18269.519809118894,-17000.558212096577,-14127.503030578477,-10187.888375748265,-6367.240019240564,-4021.0793527964715,-3790.4005069145996,-4985.1115219107705,-5978.2025133568595,-5488.1573003855165,-3585.518647497549,-1419.9858178177928,-52.350044398446244,324.1325860102164,173.12748301647588
-13095.718335792086,-13466.95199216373,-13480.907196654598,-12974.510686268843,-11880.06747879867,-10326.181086844488,-8661.633006528935,-7300.78219530307,-6440.663309394278,-5917.792047073922,-5431.245121762149,-4921.53811944778,-4585.828957226033,-4445.699974361263,-4096.296997705601,-3111.2266554786875,-1638.2102163992706,-390.15542809672297
-12538.43236118485,-11487.071208160138,-10515.467956054667,-9781.392293868928,-9499.047048439355,-9783.596591279884,-10398.747231209469,-10647.267319269313,-9752.103392179486,-7682.1784305251485,-5604.224299978878,-5072.298170124513,-6422.262134901836,-8165.937398987573,-8310.851066246858,-6232.932886656044,-3109.353308086137,-711.9882148507993
-10664.300133642264,-9010.063557955673,-8213.19083815512,-8776.816686701803,-10930.731923884528,-14119.364445805119,-16719.473590127476,-16712.664036311846,-13424.341647162639,-8869.382491622091,-6642.7473028937475,-8622.69651406679,-12884.498211312133,-15427.648115899323,-13868.783474776308,-9142.36742518241,-4047.348800963922,-828.2508587747145
-6325.039221643996,-6226.497792708249,-8177.110469409634,-12792.14678097593,-19513.533749763505,-25910.944742348816,-28288.218296599392,-24386.702008542812,-16452.38841718725,-10733.975000708784,-12175.863819809607,-19364.509931978275,-25769.270670290498,-25972.0426589119,-19873.342480577954,-11365.666451105704,-4439.961727903583,-811.5942200830876
-1472.231068716022,-7146.531917360458,-15962.991428303485,-27756.728434097982,-39684.724681909734,-46335.63210787326,-43004.75302776501,-31054.592438701904,-19526.45354502898,-18334.533596521513,-28454.758440126854,-40630.259219605345,-44537.476682674955,-37569.25675953087,-24689.232642104114,-12446.195423761594,-4439.4092833106,-814.2735522071338
-4821.702871678506,-21315.01410933661,-40422.12020540619,-59525.52750502179,-72140.86791189467,-70950.696805525,-55132.56705824088,-35578.690873833126,-28586.157735632954,-40417.06516790379,-60121.321940154885,-70499.56927832776,-63966.58756542897,-45952.8436240701,-26548.938266869714,-12331.933663211119,-4494.334017115398,-1089.8666223883856
-31072.255472653487,-59520.31139579867,-86434.98124818622,-105314.19152733438,-107155.33447007129,-88330.23025286429,-59629.65976693204,-43373.98444855769,-53996.37483434261,-81725.64212980616,-101603.20393978302,-97867.76860618795,-74759.67616969574,-46695.85409531321,-24685.4048573279,-11702.516827530473,-5348.602120542926,-1938.251549699245
-88448.74261062045,-120293.75626121699,-142625.92394737477,-146137.2523019837,-124937.3575387416,-87632.2863597588,-59795.65169815817,-65010.40829708881,-98929.2674246141,-130477.6014009803,-132846.00536380569,-106078.8503906466,-68884.10205205283,-38302.99439449829,-20202.41491752281,-11889.173850440638,-7770.149213134397,-3531.855151949149
-160510.64672629238,-178225.57675819233,-178455.57465551907,-153992.68472559773,-109920.26958374969,-70645.36497916342,-66413.09454249873,-102008.17067496829,-145155.86513578307,-157297.81468330562,-130169.95171850172,-85041.03045834183,-46208.8194064855,-23933.55019490924,-15769.488687337567,-14218.148000858384,-12025.357079410378,-5685.1384277574325
