t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
1770.7049999999997,1589.2199999999998,1417.5449999999998,1255.6799999999998,1103.6249999999998,961.3799999999999,828.9449999999999,706.3199999999999,593.505,490.5,397.305,313.92,240.34500000000003,176.58,122.625,78.48,44.145,19.62,4.905
-3907997.6683296436,-3486342.368768245,-3069353.560860652,-2659681.912074046,-2260341.2102731066,-1874805.9520451266,-1507081.7311237918,-1161733.0982532932,-843848.5390034273,-558917.0819552419,-312586.5744997648,-110270.93512956587,43425.85112890354,145495.81068511604,195537.56440235735,196984.4600104765,158511.20545748321,95536.30836100853,31683.123095720035
-3683071.928356587,-3388781.034385056,-3087338.15761874,-2776085.6747016856,-2453511.376318467,-2119691.5470132283,-1776744.2482820393,-1429241.897663532,-1084498.2704264044,-752610.466921342,-446109.7559877004,-179069.54559999704,34449.181040296615,182647.14752350343,258807.43487209093,264341.9045397918,211455.22872297943,124576.7213881792,39588.34952963965
-1345314.0496232107,-1348693.7919156286,-1340327.8967043313,-1314430.9384971075,-1265532.4271010167,-1188923.8939735286,-1081351.5262707686,-941931.8823282134,-773183.4596313498,-581954.7333960574,-379909.8655592342,-183150.06359764666,-10568.05583945159,119269.51527309249,192492.56339040538,204709.75638717832,164704.21160772644,95164.96861058305,28870.39013461538
-104941.59396032203,-170354.45758283176,-232420.70254114392,-288741.2126609227,-336172.5624743581,-370830.87561285216,-388357.14927372354,-384526.70486555336,-356234.85854571906,-302777.16454757605,-227164.6369015235,-137009.57388048983,-44377.09241527223,35942.10792052256,89890.58922782948,108740.76121566877,93329.50949832126,55823.471160827205,17181.856416874572
-42613.41527379365,-48345.99774417341,-54921.87576104014,-62638.98312128894,-71597.74640409766,-81569.65782508343,-91831.02519881596,-100997.16765624988,-106940.62025201063,-106932.86028655233,-98176.88757366409,-78832.41876086399,-49405.60529977917,-13974.984615144223,19683.760976150286,42050.71364879247,46090.22144663882,32274.584617106237,11147.161467583379
-144091.4057920071,-129165.71848458193,-112847.98612900305,-94895.50148012632,-75663.6367031541,-56317.84048925089,-38889.83004092732,-25980.26213441505,-19940.54642654917,-21583.20178599784,-28896.06603747503,-36691.312140968745,-38163.861864008846,-28472.773625168797,-8715.83758984868,12856.903326420565,24950.61339930105,21500.91067802548,8158.522892097442
-113125.7039687957,-110871.309490209,-105628.70452093122,-96134.31922705178,-81661.73838055336,-62534.96025230176,-40658.81928071083,-19699.542662764463,-4424.384229174493,1092.7830344022095,-4014.3122153733248,-15604.237655167812,-25380.62403311133,-25235.79369632369,-13081.051559706864,4444.071482225559,16082.69509968556,15097.862394432013,5743.438552638447
-53239.49456802933,-59896.74114613443,-64183.91672933223,-64755.708012856325,-60389.03091259777,-50505.314744607575,-35892.98221596609,-19266.319526457086,-5041.6045390183135,2197.917566946094,315.84070095306697,-8173.730269523328,-16501.339826519987,-17597.995273446933,-9442.312639850365,2786.2593640753144,10641.254533270361,9721.541768615287,3556.066505636518
-23949.745268313363,-30402.889287911217,-35529.98680408651,-38394.882091847896,-37980.78706348627,-33578.544198902695,-25398.551645196803,-15116.68233604036,-5810.141028980987,-808.3135571884782,-1679.7572249810587,-6654.005883711133,-11175.223490457505,-10950.218312868103,-5373.366839991534,1867.3873177241162,5966.077163617453,5140.1353264383615,1814.7899864369979
-17384.242668750572,-20795.66166943349,-23422.35857204898,-24704.647582941583,-24056.616395738864,-21138.846602066616,-16243.600037620272,-10549.963070751186,-5889.227211388181,-3855.669250701,-4680.370744991883,-6815.4200529899645,-7891.642727984284,-6495.92846708314,-3219.4076884477017,16.043630719820158,1637.9819768198092,1491.4520345262458,558.5383310859595
-18720.44952738198,-19404.16841674208,-19450.159135941278,-18558.746924128594,-16582.05255965939,-13713.420935975983,-10597.49208579104,-8153.429886402241,-7045.348330473034,-7122.594438174963,-7429.037430504768,-7000.188143610638,-5752.23377046804,-4441.3365420434075,-3684.47868399289,-3251.475235436619,-2502.3440691770265,-1317.2367163211989,-288.0541292580647
-21969.866598207143,-20258.095640400155,-18024.89865562621,-15262.309023316127,-12316.737963763497,-9920.142160174317,-8894.649012517566,-9493.462544309763,-10832.601402620767,-11220.229465474113,-9590.195100743076,-6800.08803405437,-5067.602938678379,-5696.917476986334,-7572.495040925149,-8278.127364347258,-6561.9581741328175,-3393.413488271089,-789.739121788129
-25074.390598745358,-20776.639501367048,-16460.108682217167,-12638.094765346228,-10256.878784921264,-10300.743474681678,-12893.156031961702,-16450.455901716377,-18079.81440817831,-15787.498798878094,-10840.32273169206,-7296.885222747706,-8245.256141171805,-12550.447375592375,-15919.804497957826,-15063.196555215636,-10343.556985077563,-4725.288972354923,-989.0877082163287
-25081.07760388193,-18731.45972496186,-13773.501849994213,-11525.240974017852,-13274.807391598204,-19060.504696889868,-26365.38454821539,-30463.643105388375,-27666.37018904468,-19445.007847980927,-12518.955860009448,-13039.782887592093,-20401.030114625763,-27797.869789702414,-28827.645503294763,-22657.15761558152,-13259.57308127629,-5263.831604941918,-959.9037701637008
-18224.762104411366,-13698.871936616337,-13147.429270555825,-18436.997517786498,-29681.067450943894,-43288.18621931686,-51967.47986647005,-49166.31069112164,-36002.96204233,-23010.044574670275,-21678.60709204696,-33127.48204895753,-46938.24186331443,-51494.21264125244,-43686.51389531792,-28914.133275988133,-14625.689915334096,-5157.8535302798655,-888.5181305349053
-7099.097610216082,-13596.371369421167,-26639.705515623955,-46817.06538436865,-69805.95177318018,-85667.71158215661,-84033.47560780893,-64503.01848059163,-41935.86894074391,-35969.81296119005,-51977.11508836403,-75288.81754205775,-86072.41059174619,-76825.35754398546,-54645.52720074417,-31304.069800017867,-14318.311344910158,-5032.719400026349,-1140.886297949466
-10597.65739658694,-38661.59811142867,-72205.74458335845,-107016.26800381749,-131608.53275253245,-132167.87476153724,-105704.90712743749,-70476.17816655073,-56041.37949715462,-75525.58832020602,-110942.7975364384,-131332.55867078961,-121647.5628716008,-90365.65869051151,-55315.67009638813,-28756.22029055945,-13421.725547101543,-6079.671638483944,-2212.301683735209
-57277.209186275446,-106159.28806411555,-151971.62292682048,-183447.3235084579,-185352.95207125717,-152127.20231735407,-103066.20162671753,-76570.35797659148,-96406.09439345433,-144472.85575487415,-177564.7774662499,-169500.96986111213,-128733.79511270691,-80575.42229806281,-43810.927633177176,-23177.25692916096,-14163.943852483615,-9628.887492001215,-4437.987224920719
-149457.90312963433,-197196.02832137907,-227737.99320727887,-226605.09854393222,-186743.6286607616,-125493.39424404725,-85372.30437541266,-100823.791641314,-158666.77067744054,-206041.73132677507,-202904.65658618519,-154664.83449281083,-94278.39103138506,-48684.88081929312,-25488.88330859663,-18847.997721753658,-18686.660314160745,-16135.589285452728,-7536.92922694166
-235366.542361459,-250210.08165508398,-238031.72476122665,-190967.99367084907,-121686.6288453007,-69741.87462760507,-76022.59859545267,-137069.1629554141,-197549.6485938445,-203646.70028918557,-153029.55353379404,-83930.62987319837,-32284.22466824639,-9785.286548299944,-9763.118764973422,-19578.82989840122,-27229.844838885794,-24216.545200825796,-10422.44465597035
-245472.8947819272,-213762.28469214248,-158786.90908144138,-86864.73449699066,-28194.795918850712,-22663.723396530575,-78152.75357446226,-146944.4653588598,-166292.63880740013,-121062.08698345395,-48937.77161431919,6015.436481767558,26413.41478297299,18492.667981054292,-3497.5091139387223,-25900.509343782756,-37270.44422033508,-30842.30624254985,-11728.033273214603
-164495.57882471522,-103036.95904648076,-33855.974604348194,24789.53926073141,41101.63646734449,-1011.4943570574382,-69987.62277899701,-103961.15482155627,-72704.29453941113,-4651.938123786514,51693.94849134192,71653.96301747335,58873.347357064216,27988.173839582472,-7123.600580857034,-34757.89487834905,-44686.66715199979,-33032.49771985329,-10793.71364482803
-45144.95520689178,16162.682420818059,68582.41427390657,91342.81721505795,66261.37714432243,6379.028404674701,-38816.3548561893,-27941.26154230306,28229.276700896167,84040.23610349146,107101.95217018596,95445.09884675687,62553.856657599696,21934.346964951783,-16109.551294557605,-41745.165979328915,-46218.4450444575,-29823.571527166016,-8171.871034137238
