t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
1467.5449999999998,1355.6799999999998,1253.6249999999998,1161.3799999999999,1078.945,1006.3199999999999,943.505,890.5,847.3050000000001,813.9200000000001,790.345,776.58,772.625,778.48,794.145,819.62,854.905
-1628333.3588619593,-1426578.5385641812,-1228266.8210738227,-1035272.8422357626,-849640.100926386,-673619.3875692447,-509686.1423050086,-360524.5526075499,-228962.1299765599,-117834.37184129359,-29755.57327025388,33230.16310237628,70142.92179693218,81726.13326896667,71279.98474298355,45659.32311815533,16398.219867423606
-1997848.0490741497,-1787431.52382529,-1575837.8465864027,-1363120.4270447926,-1150098.647787272,-938600.2365837677,-731662.253048608,-533644.3846966072,-350189.0353008327,-187947.44791732045,-53987.27066830715,45185.545389457795,105007.78960450545,124568.99202566195,108441.84057824666,68258.9027464918,23498.58215709106
-1268527.8820323967,-1187888.6001829752,-1099965.4249913585,-1001730.8365025321,-891009.8873411323,-766932.0614559671,-630453.2056538993,-484865.32440542825,-336143.88002742146,-192917.0404637855,-65808.37216897287,34053.640494309824,97403.45540678421,119819.4308830705,104629.05974477316,64630.87095077055,21337.756179532094
-438143.7743735056,-457357.2806248024,-469828.10018145887,-472066.18232987204,-460657.4713385008,-432647.9821633783,-386182.8472864313,-321354.72374924994,-241095.15461456773,-151792.27980952832,-63193.36728150475,12851.359869340211,65010.20590994828,86121.92342464397,76785.89821618344,47152.86910674599,15173.792852746354
-55603.27793521477,-88308.0203858075,-118766.51085233866,-145304.6866703955,-165722.38923045108,-177385.1008031643,-177582.1490243809,-164203.03708504894,-136684.97255667383,-97011.85958467159,-50338.276106379366,-4683.231476351065,30744.467448555,48529.51464719797,46456.24622090917,29670.170430875543,9825.923774030747
-10607.766554039355,-20224.667524622557,-30123.283375630035,-40179.95635860788,-49940.57619058471,-58526.07632487191,-64605.80152092847,-66514.3314657034,-62595.663747559614,-51816.630694839645,-34565.154302404124,-13334.989943072585,7223.068021388824,21432.92951899761,25035.70947990162,18115.4032017147,6617.857255373282
-47163.78167667288,-42294.35654575208,-37356.689919723955,-32498.951396634806,-28061.26889936288,-24559.063534695397,-22531.297828673243,-22209.502422977414,-23076.580862546904,-23584.66423421405,-21462.996763692587,-14907.140612243795,-4290.211682611973,6882.418883556993,13322.930748073733,11777.600439107433,4775.604005192189
-57302.97079462584,-52035.84140302769,-45638.97625664445,-37868.635313892504,-28953.400339210355,-19786.90823924935,-11925.42785674735,-7160.822904928793,-6582.965493455198,-9476.072658670524,-12924.596063725356,-13048.55932116314,-7746.1099303270785,970.66517659853,7719.096440723603,8132.381202001823,3428.7702056548133
-43619.5012045865,-42383.03364487139,-39592.80396773935,-34669.70587106101,-27474.272979874535,-18657.84310346577,-9872.476728759937,-3471.309871543861,-1444.1532920812833,-3904.404190841609,-8251.158649205245,-10299.080273619718,-7322.243436579825,-696.4662769054556,4843.195341293892,5492.410068268987,2238.387034945128
