t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
1820.7049999999997,1689.2199999999998,1567.5449999999998,1455.6799999999998,1353.6249999999998,1261.3799999999999,1178.945,1106.32,1043.505,990.5,947.3050000000001,913.9200000000001,890.345,876.58,872.625,878.48,894.145,919.62,954.905
-3907947.6708396547,-3486242.388847816,-3069203.6286263624,-2659482.072694469,-2260091.523961245,-1874506.4940483414,-1506732.591711206,-1161334.3827006854,-843400.3675756124,-558419.5898859407,-312039.91196896444,-109675.26723838132,44070.344385872566,146188.93444992363,196279.1089863431,197774.20092938334,159348.9034690595,96421.70950508583,32615.958736766814
-3683021.938396376,-3388681.1146952705,-3087188.4286203505,-2775886.316925385,-2453262.6302838186,-2119393.713067638,-1776397.6863996368,-1428847.0272040796,-1084055.5698543666,-752120.4734852734,-445573.0653601357,-178486.81147803843,35077.24737345981,183319.77767590655,259523.80385886144,265101.13133728167,212256.37686085753,125418.7995791419,40470.31233639123
-1345264.072211777,-1348593.9725833635,-1340178.5062283904,-1314232.3825333766,-1265285.245573019,-1188628.760258834,-1081009.246185941,-941543.3929135735,-772749.8277370983,-581477.1540715436,-379389.66024741234,-182588.6781370055,-9967.058275951491,119908.43706130407,193167.6042524854,205418.99664004165,165445.61995398064,95936.40523024075,29669.609946653793
-104891.63411542488,-170254.7786946774,-232271.78556834528,-288543.7774311934,-335927.56575632136,-370539.50855187094,-388020.83419752034,-384147.0914668076,-355813.81945023756,-302316.7902780152,-226667.2302480123,-136477.6436908433,-43813.34681880295,36534.768840299235,90509.08129504546,109381.82454073451,93989.71735437997,56499.23933792685,17869.45303264949
-42563.47801142073,-48246.49933031275,-54773.56684424245,-62442.98574686103,-71355.54931653812,-81283.11023037502,-91502.32900850607,-100628.86824060077,-106535.59573476233,-106494.30941899853,-97708.31623077548,-78337.62510709105,-48888.6636769082,-13440.228209154846,20231.75862789,42607.15824446645,46650.118531553955,32832.76114663713,11698.288244719488
-144041.4961258757,-129066.44050271744,-112700.41927165633,-94701.25677280642,-75424.84704089687,-56037.147758929634,-38570.369146820936,-25625.642007983162,-19554.828116720382,-21170.873741187108,-28462.016704937283,-36240.800022902666,-37702.483182981465,-28006.42776387663,-8250.69048190617,13314.457667125534,25393.993013172974,21923.38725168965,8553.264593054675
-113075.8269098548,-110772.29180952205,-105482.01305600558,-95942.1391835078,-81426.95538747487,-62261.136628782115,-40350.16467723584,-19360.87928003448,-4061.106854645448,1474.7518958230503,-3620.052625108975,-15204.512631203164,-24982.625813424504,-24847.020390652116,-12709.243028376128,4791.0003502467725,16396.723240449664,15370.933068607868,5967.530991629285
-53189.65512395379,-59798.023531271356,-64038.23319884293,-64565.90131348409,-60158.84377781724,-50239.34964978376,-35596.651756077285,-18945.787863924037,-4703.72045046843,2545.6954392423495,665.5257153460271,-7830.564513994792,-16173.465680244053,-17294.432513928397,-9172.226140624673,3013.6648309365087,10816.841387862009,9836.347611238354,3601.411992005049
-23899.94844300048,-30304.51138301353,-35385.442839336065,-38207.753604967176,-37755.773442792684,-33321.398659016784,-25116.00257611863,-14816.340923996215,-5500.396206172808,-498.21548522692365,-1378.890651788146,-6372.354834601664,-10923.028859654383,-10737.830010731319,-5211.092222766273,1969.4369556112479,5998.140220383266,5092.95181760738,1679.7499386991421
