t1,t2,t3,t4,t5,t6
226.58,222.625,228.48000000000002,244.145,269.62,304.905
-135.29432131367608,-9.04292051263559,107.56809684803994,204.9615337769246,275.12199414676513,316.76762768574997
-486.83965475868723,-235.1446015114526,-11.355085732440756,165.53749048674933,279.3253296576103,327.05567331486407
-817.3890726703264,-449.44413930657726,-125.36999924580428,126.73459681931007,282.133725344086,335.5209094137417
-1117.505267445866,-646.3594455407141,-231.8175240928075,89.36552413062061,283.48129653205496,341.9506113577011
-1379.4735893271225,-821.234351246967,-328.4171342274798,54.16101898282278,283.334018370643,346.1748881810453
-1597.6505891718905,-970.5373061910316,-413.35736134062415,21.74249026416669,281.6893569217293,348.07160881353957
-1768.6462451075058,-1091.9746504265372,-485.35334336049334,-7.398431561895364,278.5741741946762,347.5687713925855
-1891.335946079582,-1184.5151956946818,-543.6693826848627,-32.91244994433589,274.0411508638252,344.6443638347996
-1966.715359911273,-1248.331352866362,-588.107578137787,-54.597008792621295,268.16407612302675,339.3239432213078
-1997.625405835304,-1284.6692594107856,-618.96637633031,-72.39291499334331,261.03241876959464,331.6763039052463
-1988.3841748334805,-1295.6655444792025,-636.9750332300097,-86.37408868508308,252.74561373916058,321.80769957122106
-1944.367081205079,-1284.131118376303,-643.2113131372698,-96.73177156672276,243.4074762356805,309.85512917954827
-1871.5758839706825,-1253.3226608556504,-639.0102276228513,-103.75478553720436,233.12109844567686,295.9791932783987
-1776.2322770589133,-1206.720611255466,-625.8712914500995,-107.80753157935234,221.98450203161767,280.35698291414326
-1664.423773559669,-1147.8289739408267,-605.370795224133,-109.30736278284385,210.08722511131546,263.1753888907273
-1541.8200679275367,-1080.0078088753032,-579.0841702295367,-108.70278151457217,197.50792693047043,244.62512640746536
-1413.4683681174974,-1006.3445507150382,-548.5218736807793,-106.45363453136389,184.31300687878334,224.89567085362913
-1283.6675154437823,-929.5658729682477,-515.0805628408935,-103.01415090963772,170.55616412899042,204.17120487633062
-1155.9138520174815,-851.9881159662222,-480.0098260875621,-98.81932443531335,156.2787740820521,182.62759244779812
