t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
1153.625,1061.3799999999999,978.9449999999999,906.3199999999999,843.505,790.5,747.305,713.92,690.345,676.5799999999999,672.625,678.48,694.145,719.62,754.905
-816917.4254134644,22128.063259168815,-40075.287744244,-81343.78013921589,-104087.74577568001,-111152.37247238932,-105702.53263497612,-91124.3315578701,-70925.10077015677,-48608.04526859001,-27493.149930943484,-10452.864180209568,469.5304622449456,4587.789709128169,3267.137716826957
-1072927.210870302,13220.950834733892,-61794.75118850782,-117675.86382233277,-152713.46880137376,-167250.53887977632,-163346.9498867142,-144457.88272734312,-115127.6833612379,-80654.26705173969,-46646.508576907545,-18385.690940464894,79.75361482633878,7120.549125709968,4907.622101644097
-790239.3948954972,-5281.628037866448,-53494.16125722062,-99402.16040075221,-135385.23876205587,-156520.76980176073,-160730.94306326917,-148616.06883039567,-123150.63384809885,-89274.8836537931,-53286.910417392384,-21874.9702329437,-667.9269300655949,7647.054811207167,5288.539254863055
-376887.41590142524,-5587.732447491609,-24133.10634585944,-53379.062604144405,-84207.5574896939,-108743.53796307668,-121595.86890269084,-120309.54237757376,-105393.8815952006,-80116.78059727978,-50007.7644979586,-21841.548387096173,-1903.480004323868,6353.747684099301,4600.82332535587
-116876.79153789475,7526.385901518522,5203.5955118368765,-11367.866056584584,-35296.76977496345,-59001.82154118931,-76234.07749864331,-83059.83198146027,-78212.12954240562,-63148.628153589045,-41835.95574585519,-19990.02433580113,-3476.1216991598335,4040.7743211602274,3375.466665675631
-29153.100368439456,16895.953962758496,20754.674129961335,11948.653477865286,-5295.841705554932,-25030.117877965706,-41807.31145076172,-51788.69280981499,-53116.84844337499,-46027.53578408963,-32843.995799853954,-17611.124524002727,-4992.173641089388,1625.354054348974,2133.2322302962875
-23338.77398155864,17167.777644110516,22929.809368169255,18569.419880768044,6761.788897543833,-7987.180024731781,-21502.74145182398,-30872.392761834362,-34557.136731886756,-32294.828956375146,-25109.51394410582,-15309.726792268762,-6068.49586610088,-263.5653703002571,1171.4787425875147
-32051.822320775715,12882.153960919904,18751.676368649903,16473.008407255078,8295.534173258016,-2118.1493679545215,-11736.601720370969,-18787.222051163717,-22481.722386769237,-22569.864512676162,-19213.165435403233,-13260.56844209875,-6529.452260517039,-1406.298649155161,553.4429500862104
-33612.01645790106,8945.629336331058,13830.29888819195,11886.657020412951,5642.482123966025,-1666.1473443086213,-7930.639082573984,-12431.739359612038,-15188.419192678537,-16170.242720288396,-15004.446709592254,-11475.345377986123,-6414.997851849776,-1878.7376127270777,210.69545358804763
-28947.583749442754,7076.851678683211,10178.964436072343,7510.570105439753,2130.2059839045087,-3070.0660784099196,-6789.86209302649,-9181.739177318257,-10910.942565537674,-12131.36457388435,-12101.700385626846,-9917.63115636645,-5866.338172255137,-1866.9651857133465,46.87383546710771
-22824.58325267132,6689.435918088543,7510.416304432567,3805.063843515966,-1025.4610652801484,-4620.236149835216,-6458.726449089037,-7357.397296855259,-8365.292731569814,-9639.547028861078,-10111.247781945956,-8510.164418175527,-5002.644037061058,-1534.377670455014,-10.785210664514715
-17787.577247043697,6415.184476485716,4959.015495752803,607.6261736091103,-3427.1679129329027,-5576.222959265594,-6044.415084016948,-6075.194339350896,-6796.328013204382,-8124.3394292677285,-8664.60630040311,-7099.498359820043,-3858.548857514274,-986.2861637852936,-11.386910161474049
-14232.89822442683,5218.161032839037,2206.208045527473,-1940.486264800878,-4774.49212633853,-5620.172580666787,-5240.7408792957285,-5024.52429648006,-5847.571714326432,-7160.356632846665,-7345.557562509605,-5441.543327023572,-2433.008157729219,-335.62282232568236,-10.655575384385031
-11487.521727895271,3207.229748363195,-129.0531698526115,-3279.6652344773274,-4809.331155152542,-4773.4825391238355,-4200.264932839479,-4271.260202367096,-5291.568014397915,-6218.662862905834,-5617.651428033501,-3348.153560946755,-914.9974856796748,156.7474450137031,-100.72142245297181
-8470.72063264207,1766.603194394574,-910.0975642652072,-2931.5309265931837,-3678.170716792401,-3550.7868489525854,-3403.4607563037553,-3817.7332571486922,-4485.604191030076,-4416.047464058834,-3079.2095339620855,-1201.9429648551422,-39.27421627114384,7.1959270153766965,-385.9725212512925
-4556.922774927885,2573.5872514940206,420.2283091018421,-1343.523701455144,-2390.009355693076,-2854.5347411475286,-2890.5116400492,-2516.816236835536,-1768.51971749012,-936.2938674762466,-496.05848010133644,-659.4540007002014,-1084.229791208172,-1199.4224871267165,-857.8928612768186
-1436.8756344036979,4588.260419180224,1477.6492606695313,-1360.0761611191224,-3108.758169611188,-2913.1016089429572,-430.9211490651728,3049.996011638926,4803.873441958706,3035.0969505439325,-1025.9705112662948,-4255.6408880782365,-4735.0958678130855,-3085.808501983432,-1255.4777306923816
-3998.780244106721,-1960.6368631888483,-6790.949563350942,-9865.992318323762,-8678.131262598905,-1456.2727988495112,9533.866693431235,16961.534849167645,14071.583347736188,2418.607489615383,-8907.493652456002,-12651.969677195826,-9350.18366235228,-4170.109114831415,-1168.8796115900911
-15732.243776254249,-32296.631865590993,-36630.808196888305,-34806.76378138023,-20586.707953625817,6005.2321368806115,32062.78982030469,38378.5622768185,19217.982018116974,-8886.876136440795,-24462.86277343352,-22041.63545940454,-11348.46711886961,-2999.3263625528857,-440.0503870859462
-31665.240436735523,-79934.34818715088,-84739.65086216683,-74390.03315101861,-36375.29200375541,21546.189954927584,64408.74439101926,58667.47878297026,12458.274150516443,-30857.799413172044,-41477.11673561364,-26602.77598552787,-8541.404163149531,284.7705509707828,621.0336544533797
-40158.3240811956,-108569.86752514615,-123604.37011944986,-110758.14713478852,-48948.78039231099,41499.43590544058,95379.18900429744,67576.46633299148,-7043.839897942936,-55829.488339263386,-52293.18809594248,-23879.52724728507,-2107.567212869949,4207.634014302209,1566.6755412816483
-31901.364078638504,-102004.91476278064,-130200.79161232717,-122735.1676547603,-49154.223997686364,60282.56099435697,113482.65815795005,60641.14500470305,-33069.43637499488,-75086.2758897839,-53643.43895341005,-15643.686376486017,5368.839149741705,7561.5015379069455,2210.209914307896
-5037.9030035659625,-87091.93102296873,-112124.76817909522,-105044.82082333547,-32099.112832647963,74436.32536066633,113055.75375553932,39758.47125172533,-57719.51911620029,-83609.70920469801,-46384.65954914744,-4863.663162224673,12092.900178774553,9959.777975441935,2577.7660362519314
33599.01219900936,-84494.72181202067,-89542.64256520956,-69828.71143833238,-2721.68806005059,81400.46916068727,94945.7592254808,11241.455417815125,-74458.81463867858,-80291.81815879297,-33336.37728173393,5866.632966670113,17116.232046470504,11324.57188624763,2689.432008576109
71372.96922294427,-84753.11617371505,-69755.96846682079,-32444.92692760079,27221.327885666502,78907.4504702106,65381.219005759,-16476.575636164096,-79839.333727132,-67521.1019546927,-18217.31673332632,14556.381697530105,19983.449406203206,11638.946862832836,2536.218338468047
97325.61265566504,-75888.73969476671,-50063.02648364147,-1528.2417932257638,47819.478118299216,66951.77136508634,33027.59134335439,-36562.00704612145,-74546.12828612272,-49886.252651599665,-4384.179840708468,20196.53213780605,20745.362315990296,11020.442476015663,2150.6544481583933
107455.3478473426,-58792.05062002629,-29567.765210567042,20391.588550437784,55713.09710948653,48548.8927410617,5219.896637313041,-46340.90744585285,-62253.66153473894,-31937.396191818418,6218.40418109338,22815.29758663814,19844.13907362668,9711.668461078225,1616.5450307319122
104287.50206589035,-39558.12226693844,-10764.96273611806,33512.68844718342,52857.553403983205,28199.096487325627,-14172.579020457353,-47032.49272989819,-47317.513792924314,-16633.70284986255,13159.235894149648,23085.463475778775,17871.52234514367,8004.660971585614,1039.1696071127046
93189.97487945865,-22541.941719919476,3931.5560593576242,39194.59741232561,43262.8960112806,9826.527556818915,-24655.056214247048,-41817.09829647966,-33045.55793266443,-5086.903033975082,16977.58618062283,21854.482156219587,15372.521871849642,6176.588856134889,516.1318333363863
79177.51862079118,-9536.14932006765,13830.529272599684,39365.89767183311,30676.501363750784,-4238.197828544109,-27830.834465343472,-34004.753095635395,-21172.08145109439,2871.149747154348,18553.89548934277,19842.434472788154,12750.397530653456,4445.038582177078,114.11333735183848
65598.92650497943,-704.8346182487924,19696.666897861014,35951.111476473976,17702.68933601151,-13197.26610607245,-26126.95447562235,-26059.466140125423,-12120.345387604939,8004.806785853005,18730.31894608391,17560.637191804843,10267.303286412363,2947.8577326585414,-144.51974486920238
54079.93443514279,4778.726907292905,22942.451945515346,30299.53176477529,5856.844279274984,-17272.637552164568,-21953.595301490397,-19328.644375903525,-5509.426448249541,11201.244512588291,18174.734341944422,15344.08430558381,8074.350653407187,1735.3043702689429,-282.38685049844526
45061.813425196844,8476.470730805162,24775.014630736398,22934.85594873791,-3916.8426623086248,-17258.102913627772,-17278.07383551525,-14190.199861873627,-631.8782186719895,13235.003305437438,17376.327503439945,13396.652644326809,6215.905900479237,757.8995822314475,-358.35605622819224
38433.027692743985,12303.973764626635,25407.88146357841,13871.332198864178,-10750.05097984828,-14359.775388820728,-13464.875563156256,-10374.558518312919,3246.586953288847,14733.773139719899,16701.062969086423,11808.533575420704,4594.926955153806,-147.77156274912923,-452.0438263102382
33939.541023820406,17401.15893066857,23614.927118839776,3468.11980731045,-13757.980343173294,-10226.364803348964,-11273.338844159967,-7268.0690130685,6818.445192751213,16260.97149289936,16431.995365770355,10503.669495587294,2900.489411819126,-1252.857352042412,-637.8969875807827
31362.23230226042,22157.825745284215,17410.887858239064,-6357.323660419808,-12551.168294635148,-7144.631935676978,-10938.232433379559,-4016.345085266094,10837.529815626693,18377.069074691462,16682.139638671404,9058.240910793442,531.5965529076661,-2855.6459457389706,-937.3440462499826
30474.79681342727,21683.397163588234,7541.415433874914,-11415.748018130289,-8973.134096232092,-8203.536180795552,-11926.295730229058,604.0674539662002,16147.130125832166,21464.920715314147,17040.760090821524,6423.963191543916,-3295.3313816506497,-5015.421329255253,-1237.9141250711725
30718.9989940102,16053.387576308043,2586.9928798799897,-8954.281387882364,-9527.029125128865,-15781.952539372307,-12195.98053429772,7996.447076014794,23220.86656900629,25122.96892220257,16035.05614158601,1016.3815035199094,-8839.651941573527,-7073.765420216026,-1233.3421271090901
30864.47144303752,21595.22007202812,11803.576237239815,-6631.974431236768,-22353.234711052515,-27586.596570147318,-8482.350139330167,18583.267006837737,31225.49270723416,27490.15492780277,11265.154310042662,-7971.981527215934,-14614.475283808899,-7529.051596363824,-572.7311866228154
29469.083147820398,47867.40247689297,23582.266213777453,-19255.069695568545,-45891.649013296104,-35818.733304837384,896.9056521168178,30498.109879523297,37638.20457750596,25703.25513879765,1228.7372439212113,-18563.6376827354,-17384.42687229066,-5136.002544889447,746.0054300853162
26192.50834609331,65860.31633385544,15215.683909920548,-45821.80472311991,-65977.56222361115,-34506.056894611465,13315.64075168597,39986.23405106545,39360.01404342236,17870.349008178833,-12410.50291890799,-26107.663363751817,-14622.06505982628,-411.18541787938716,2208.1079093849594
22398.99742533943,53966.577883513346,-7554.789679320127,-66637.24308334435,-71749.87284025509,-25964.84186740419,23493.64181929186,43683.31762767623,34680.50908887694,5031.681844378817,-24745.05013090052,-26400.824701427904,-7044.498889510508,4408.3418194935175,3119.9925505628494
