t1,t2,t3,t4,t5,t6,t7
290.34499999999997,276.58,272.625,278.48,294.145,319.62,354.905
-1340.3374029058243,103.37727188026395,31.633537651026472,81.06453133268265,188.6085556626765,296.69823625274563,365.36687793630705
-2877.756103837494,-71.06110413251511,-205.14779798465213,-112.9484186656816,83.82766558781807,272.33447670228355,373.4360130292579
-4236.622307722156,-241.2733120860907,-429.46706668905836,-297.2336363709836,-16.9938105046503,247.29728123609698,378.87168613948336
-5350.343840305101,-401.6646505516406,-633.9340715721659,-466.1558216295402,-110.94199033550763,222.33684447658646,381.4968839411392
-6176.704300181975,-546.9124633111494,-812.529001710217,-615.1279416962701,-195.56693116478732,198.13618629326808,381.2017901789224
-6699.970185261183,-672.4085487406361,-960.9664190861324,-740.8578229997015,-269.00939032912333,175.2700415556488,377.9428460883942
-6929.456843891989,-774.6642519522001,-1076.8791252261665,-841.4634293172533,-330.0705796280132,154.17525495372303,371.73824488007733
-6895.204355649432,-851.6065986424427,-1159.8132960167968,-916.456151049119,-378.2229745676841,135.1347811114123,362.6609409380137
-6641.821120779297,-902.7154500725978,-1211.0527345782557,-966.6085420940246,-413.56758867371195,118.27554558820265,350.8302723589483
-6221.6869212662905,-928.9842544479097,-1233.3111091791077,-993.7354499999088,-436.74878517171965,103.57875759938076,336.40315519815965
-5688.587673610973,-932.7206849045692,-1230.3432967693736,-1000.4238731923779,-448.8409890312262,90.90002254221238,319.5655711514469
-5092.558253725742,-917.2296474503246,-1206.5294653450528,-989.7470847304877,-451.22245173451824,79.99590932519737,300.52480368246574
-4476.339659482137,-886.4348126189601,-1166.4795256335406,-964.9937268717243,-445.44985786523966,70.55349198140956,279.50263616875037
-3873.506598501624,-844.4952782461614,-1114.6937846860883,-929.4345525609772,-433.1447034129894,62.21971758493035,256.72954450810903
-3308.055882926798,-795.4639649443443,-1055.3013091533999,-886.1402710214273,-415.8987844092233,54.628104490341286,232.43980808029212
-2795.0921659494925,-743.0184362337438,-991.8836155232844,-837.8552531382247,-395.20250809093375,47.42108035822238,206.8674201445122
-2342.2005804450805,-690.2776995424483,-927.3799510038917,-786.9248232835744,-372.39659455916285,40.267079435564085,180.24268289255593
-1951.130049509942,-639.7037996974516,-864.0626658394259,-735.2690477354754,-348.64536971238016,32.872223162676576,152.78940082184607
-1619.4929627916126,-593.0767028059369,-803.5671161805275,-684.3933396208531,-324.92834761692274,24.986944344215217,124.72261899121801
-1342.2854977201648,-551.525596381038,-746.9596189772295,-635.4254918331516,-302.04609346505026,16.40826361080883,96.24687703439082
